07K,NHS West Suffolk CCG,,,,,,E38000204,"74,075","51,525","35,160","38,875",35,"22,450","18,115","4,900","6,057",82,31,4.5,1,60,"3,245",915,660,785,175,190,260,260,245,"1,645","2,375","2,675","2,510","2,370","2,795","3,950","4,210","4,655","5,360","8,065","8,005","7,530","6,370","4,565","19,600","151,835","5,655",510,"1,300"
07L,NHS Barking And Dagenham CCG,,,,,,E38000004,"47,320","38,425","20,825","26,435",60,"17,775","10,405","3,295","6,952",84,30,4.9,1,45,"4,260",985,920,915,200,240,240,320,360,"2,070","2,705","3,260","3,005","2,640","2,600","2,915","2,935","2,565","2,610","2,550","2,145","1,875","1,615","1,130","10,805","132,231","6,625",660,"1,235"
07P,NHS Brent CCG,,,,,,E38000020,"99,180","78,970","44,425","54,015",740,"29,195","19,830","14,700","15,245",63,20,4.5,1,50,"5,905","1,425","1,325","1,180",295,415,315,410,415,"3,980","6,320","7,285","6,335","4,615","4,670","5,910","6,340","7,045","6,390","6,640","6,355","6,330","4,845","2,950","29,455","223,930","9,610","1,665","5,645"
07T,NHS City And Hackney CCG,,,,,,E38000035,"68,825","55,255","29,260","39,485",85,"21,215","15,040","4,520","14,482",59,19,5.1,1,44,"5,740","1,230",895,"1,075",250,300,255,300,420,"3,375","4,865","6,635","5,655","4,190","3,520","3,885","4,185","4,390","3,750","3,480","2,855","2,550","1,980","1,220","15,950","193,799","6,345","1,190","5,355"
07W,NHS Ealing CCG,,,,,,E38000048,"107,880","87,690","48,260","58,500","1,125","36,515","22,535","13,435","15,207",61,19,3.4,1,51,"5,825","1,555","1,150","1,315",245,265,360,495,490,"3,490","5,620","7,530","7,010","5,875","5,880","6,670","6,820","7,495","7,055","7,830","6,990","6,895","5,320","3,270","30,870","191,656","16,115","1,490","5,620"
07Y,NHS Hounslow CCG,,,,,,E38000084,"71,545","54,660","33,000","37,840",705,"25,085","14,525","5,520","9,527",63,22,3.7,1,52,"4,670",930,885,760,175,285,270,210,240,"1,820","3,195","4,380","3,950","3,330","3,330","3,690","4,245","4,465","4,630","5,150","4,630","4,325","3,535","2,355","16,990","140,932","10,505",905,"2,115"
08C,NHS Hammersmith And Fulham CCG,,,,,,E38000070,"52,950","41,205","22,375","30,075",500,"13,940","14,415","5,760","7,086",52,18,3.9,1,50,"2,500",620,495,480,125,95,170,135,180,"2,265","4,210","5,315","3,780","2,430","2,310","2,835","2,810","3,095","2,970","3,370","3,355","3,015","2,375","1,590","17,010","95,284","3,665","1,085","2,580"
08E,NHS Harrow CCG,,,,,,E38000074,"74,720","59,055","32,805","41,060",855,"21,880","14,480","11,815","10,878",69,21,4.4,1,54,"4,210",745,640,640,215,270,250,255,310,"2,660","3,945","5,260","4,305","3,525","3,055","3,815","4,565","4,680","5,210","5,630","5,745","5,990","4,740","3,330","22,630","162,115","8,075","1,140","4,070"
08F,NHS Havering CCG,,,,,,E38000077,"65,810","52,485","29,655","35,990",165,"24,170","16,930","4,300","7,086",82,29,4.9,1,55,"4,035",955,645,765,195,200,330,290,270,"1,790","2,645","2,925","2,600","2,355","2,820","3,270","3,680","4,195","4,210","5,585","5,145","5,360","4,645","3,410","17,455","172,585","8,335",780,"1,420"
08G,NHS Hillingdon CCG,,,,,,E38000082,"69,905","62,025","29,400","38,345","2,160","24,790","19,475","8,290","9,471",83,24,4.6,1,52,"4,315","1,215",960,980,240,260,320,330,325,"2,300","3,400","4,505","3,915","3,355","3,435","4,130","4,665","4,705","4,865","5,385","4,630","4,490","3,815","2,545","23,280","177,960","8,515","1,155","2,625"
08M,NHS Newham CCG,,,,,,E38000113,"76,055","61,110","35,250","40,710",100,"29,130","16,050","4,240","11,689",74,21,4.5,1,42,"7,935","1,640","1,500","1,630",365,310,405,380,485,"3,350","5,545","6,345","5,770","4,630","4,190","4,495","4,795","4,560","3,945","3,555","2,965","2,755","1,965","1,140","15,965","209,211","11,010",790,"1,925"
08N,NHS Redbridge CCG,,,,,,E38000138,"66,485","52,230","30,890","35,475",120,"23,275","14,575","4,325","10,057",75,27,5.0,1,49,"5,855","1,255",890,995,250,310,330,355,435,"2,180","3,235","3,930","3,890","3,255","3,180","3,530","3,780","4,405","4,020","4,200","3,975","4,080","3,105","2,345","15,450","182,011","7,855",900,"1,745"
08V,NHS Tower Hamlets CCG,,,,,,E38000186,"60,250","47,560","28,200","31,995",50,"22,300","11,665","3,800","9,798",73,21,4.5,1,43,"5,875","1,295","1,040",930,285,310,390,320,410,"2,645","4,565","5,700","4,645","3,605","3,055","3,245","3,160","3,495","3,165","2,830","2,455","2,530","1,770","1,385","12,580","158,731","8,065",765,"1,250"
08W,NHS Waltham Forest CCG,,,,,,E38000192,"69,595","53,060","31,275","38,200",120,"25,355","13,935","3,050","10,722",70,25,4.8,1,47,"5,820","1,345",905,955,275,255,240,260,415,"2,360","3,745","5,240","5,135","4,395","3,765","4,385","4,535","4,555","3,975","4,125","3,950","3,500","2,550","1,620","13,635","189,809","11,075",940,"2,475"
08Y,NHS West London CCG,,,,,,E38000202,"53,260","41,855","23,740","28,665",860,"13,965","13,705","5,605","8,579",51,16,5.5,2,50,"5,225",750,510,685,125,160,175,165,170,"1,270","2,070","3,295","2,975","2,215","2,155","3,105","3,080","2,915","3,165","3,770","3,725","3,260","2,690","1,985","16,000","140,265","3,090","1,075","2,130"
09A,NHS Central London (Westminster) CCG,,,,,,E38000031,"42,070","34,985","19,400","22,370",300,"11,945","13,765","4,500","4,772",54,18,4.7,1,51,"2,135",575,750,645,120,165,100,110,195,"1,455","1,840","2,665","2,460","2,045","1,850","2,240","2,475","2,425","2,365","2,810","2,580","2,260","2,030","1,590","12,525","106,674","3,005","2,955","1,515"
09D,NHS Brighton And Hove CCG,,,,,,E38000021,"67,480","51,480","32,345","34,990",145,"22,455","18,080","5,735","5,205",96,42,5.0,1,53,"3,895",895,835,825,250,200,250,325,390,"2,400","2,810","3,430","3,410","2,995","3,180","4,155","4,165","4,165","4,170","5,270","4,860","4,890","3,915","2,970","20,125","173,186","8,390",465,715
10C,NHS Surrey Heath CCG,,,,,,E38000178,"19,935","16,955","8,900","10,940",95,"6,930","7,145",985,"1,894",71,24,5.3,2,57,"1,120",180,175,250,95,65,80,60,80,500,700,905,730,760,905,"1,155","1,345","1,365","1,555","1,725","1,695","1,765","1,525","1,020","6,610","55,911","1,680",345,345
10J,NHS North Hampshire CCG,,,,,,E38000120,"62,365","52,875","27,460","34,705",195,"22,065","17,270","8,025","5,515",92,28,4.2,1,54,"3,195","1,005",825,740,205,225,215,295,350,"1,835","2,775","3,240","2,925","2,445","2,875","3,850","4,320","4,575","4,405","5,865","5,440","4,875","3,450","2,150","21,785","134,647","7,845",625,795
10K,NHS Fareham And Gosport CCG,,,,,,E38000059,"55,005","41,785","24,905","30,055",45,"19,480","11,100","6,590","4,619",84,29,5.1,2,60,"2,525",560,450,440,125,165,215,225,235,"1,390","2,075","2,330","1,950","1,545","2,240","2,705","3,145","3,730","3,950","5,515","5,435","5,570","4,825","3,530","14,950","143,020","5,940",415,665
10L,NHS Isle Of Wight CCG,,,,,,E38000087,"41,105","33,035","19,825","21,275",10,"14,420","7,780","7,500","3,337",100,38,5.6,2,61,"1,445",490,435,465,155,155,110,100,120,750,"1,010","1,145","1,040","1,055","1,365","2,185","2,905","3,015","4,150","5,350","4,820","4,000","2,840","1,905","12,985","110,561","2,985",460,465
10Q,NHS Oxfordshire CCG,,,,,,E38000136,"167,390","134,475","77,100","90,185",100,"64,730","44,670","8,880","16,195",65,20,4.4,1,54,"9,660","2,865","2,225","2,305",620,665,810,655,850,"5,295","7,500","9,280","7,920","6,385","7,180","9,120","10,395","10,725","11,360","13,595","13,475","13,705","11,585","8,295","45,130","395,808","27,655","1,090","3,870"
10R,NHS Portsmouth CCG,,,,,,E38000137,"53,970","41,580","24,540","29,415",15,"20,460","10,140","5,170","5,811",86,31,4.3,1,54,"3,230",705,530,585,165,155,175,240,275,"1,960","2,925","3,265","2,650","2,175","2,445","3,140","3,510","3,325","3,575","4,510","4,330","4,235","3,205","2,440","12,930","123,493","7,155",440,"1,000"
10V,NHS South Eastern Hampshire CCG,,,,,,E38000154,"59,120","46,230","27,175","31,905",40,"21,050","13,790","6,310","5,074",84,29,5.2,1,59,"2,565",710,490,535,165,135,185,250,305,"1,530","2,330","2,610","2,170","1,765","2,230","3,055","3,720","4,025","4,370","6,045","5,885","5,770","4,775","3,350","17,080","151,406","6,885",490,915
10X,NHS Southampton CCG,,,,,,E38000167,"72,920","54,990","33,725","39,180",15,"27,915","11,965","7,940","7,173",77,24,4.8,1,53,"4,100",900,600,735,230,270,355,390,520,"3,240","3,965","4,505","3,635","3,160","3,570","3,905","4,740","5,320","4,805","6,020","5,865","4,895","3,730","3,005","16,340","191,488","10,195",725,"1,040"
11A,NHS West Hampshire CCG,,,,,,E38000198,"163,720","130,610","74,685","88,915",120,"57,825","39,175","21,300","12,309",82,27,4.7,1,59,"6,620","1,795","1,340","1,665",530,620,645,685,705,"4,185","6,140","7,040","5,675","5,365","6,450","8,345","10,515","10,970","12,530","16,595","16,750","15,725","12,810","9,435","51,355","382,017","18,695","1,870","2,250"
11J,NHS Dorset CCG,,,,,,E38000045,"237,835","199,590","112,320","125,430",80,"84,355","64,375","33,800","17,060",79,27,4.4,1,59,"8,520","2,740","2,180","2,360",665,790,770,865,990,"6,280","7,970","9,525","8,520","7,600","9,800","12,585","15,410","17,010","19,105","25,040","24,400","22,230","18,045","13,595","85,335","542,483","29,955","2,855","3,265"
11M,NHS Gloucestershire CCG,,,,,,E38000062,"177,550","143,855","80,190","97,290",75,"66,240","35,830","20,080","21,704",85,30,4.1,1,54,"9,145","4,000","3,005","2,990",890,780,685,770,860,"6,300","8,610","10,175","7,655","6,125","6,920","9,025","10,140","11,290","12,195","15,735","15,230","14,665","11,255","7,865","44,930","411,379","24,710","3,585","9,100"
11N,NHS Kernow CCG,,,,,,E38000089,"202,555","142,725","96,110","106,410",35,"49,545","50,830","27,580","14,775",84,34,4.8,1,59,"6,845","2,270","2,095","2,095",600,605,695,690,915,"5,290","6,990","7,860","6,815","5,895","8,170","10,190","12,680","14,985","17,535","23,640","22,375","18,985","14,645","9,255","65,750","393,895","13,280","2,440","6,760"
11X,NHS Somerset CCG,,,,,,E38000150,"168,990","134,205","77,470","91,430",90,"57,895","37,305","24,250","14,757",82,28,5.0,1,59,"6,695","2,055","1,620","1,740",510,515,575,615,725,"4,530","6,805","6,985","6,095","5,155","6,300","8,615","10,500","11,585","13,390","18,605","17,245","15,445","12,440","9,210","53,835","413,032","18,010","1,795","4,790"
12F,NHS Wirral CCG,,,,,,E38000208,"126,835","90,570","57,990","68,825",20,"42,270","30,000","7,275","11,023",65,22,4.4,1,57,"4,165","1,465","1,515","1,630",365,415,460,590,690,"4,550","5,755","6,585","5,265","4,545","5,475","7,215","8,435","9,085","9,975","11,975","11,040","11,025","8,560","5,510","31,625","270,230","14,215",685,"4,815"
13T,NHS Newcastle Gateshead CCG,,,,,,E38000212,"175,860","126,670","83,175","92,620",60,"57,800","33,840","23,365","11,665",81,30,4.8,1,56,"6,680","3,205","2,515","2,325",530,515,600,710,865,"5,775","6,835","8,160","7,300","6,795","7,820","9,125","11,820","12,610","13,695","15,715","13,930","14,105","11,100","7,185","50,465","387,195","20,440",980,"1,700"
14L,NHS Manchester CCG,,,,,,E38000217,"156,480","124,790","71,555","84,910",15,"56,705","29,880","16,940","21,263",78,28,4.0,1,47,"10,700","3,930","3,370","2,895",820,705,735,730,900,"6,915","9,835","11,025","9,350","7,420","7,570","9,385","9,835","10,340","10,050","10,655","9,525","7,995","5,690","3,495","40,215","349,703","20,975","1,505","5,635"
14Y,NHS Buckinghamshire CCG,,,,,,E38000223,"135,950","117,220","61,270","73,535","1,145","47,370","36,475","15,335","18,042",73,23,4.2,1,54,"8,845","2,600","2,125","2,440",560,490,510,475,540,"3,640","6,330","7,580","6,585","4,690","5,345","7,170","8,000","8,880","9,380","11,820","11,440","10,685","8,935","6,085","45,010","307,982","20,225","1,145","5,675"
15A,NHS Berkshire West CCG,,,,,,E38000221,"142,030","98,125","63,075","78,790",165,"40,960","35,270","4,970","16,919",65,21,4.1,1,53,"9,785","2,290","1,775","1,700",500,490,545,565,705,"4,520","7,220","9,275","7,270","5,510","5,840","7,320","7,975","8,560","9,145","11,660","11,590","10,905","9,455","6,760","33,300","281,273","14,115",935,"6,795"
15C,"NHS Bristol, North Somerset And South Gloucestershire CCG",,,,,,E38000222,"279,255","231,335","119,910","159,205",140,"95,100","67,415","29,445","39,376",68,24,4.1,1,53,"12,675","3,320","2,515","2,715",860,830,"1,180","1,250","1,760","11,230","16,560","20,815","16,715","12,545","11,950","15,670","17,455","17,275","18,620","23,375","21,850","19,865","15,730","11,230","84,870","607,389","35,810","2,005","18,240"
15D,NHS East Berkshire CCG,,,,,,E38000224,"103,945","82,050","47,135","56,135",675,"34,560","29,290","6,345","11,850",62,20,4.3,1,53,"6,980","1,970","1,220","1,680",405,455,460,395,520,"2,765","4,235","6,005","5,595","4,630","4,805","5,555","6,395","6,935","7,080","8,400","7,990","7,505","6,670","4,660","29,215","233,609","11,895","1,305","1,955"
15E,NHS Birmingham And Solihull CCG,,,,,,E38000220,"351,880","276,020","156,840","195,000",40,"135,640","62,585","37,325","40,469",69,27,4.3,1,54,"20,380","6,420","5,075","5,725","1,370","1,310","1,525","1,540","1,715","12,080","16,345","18,240","15,760","13,490","14,825","18,355","21,215","22,035","22,875","27,945","29,690","29,325","24,275","17,680","75,920","871,813","47,525","13,120","6,445"
15F,NHS Leeds CCG,,,,,,E38000225,"158,320","125,425","72,545","85,770",*,"56,510","34,300","14,975","19,636",80,30,5.7,2,53,"10,755","2,745","2,730","2,320",650,610,635,700,925,"5,500","7,500","8,980","7,510","5,980","6,500","8,370","9,275","10,170","10,595","13,560","12,645","12,445","9,715","6,535","39,925","484,163","8,580","1,350","4,480"
15M,NHS Derby And Derbyshire CCG,,,,,,E38000229,"320,775","253,870","146,455","174,250",70,"112,615","75,570","36,755","28,931",58,21,4.2,1,57,"14,225","3,390","2,665","2,840",810,820,945,"1,190","1,350","9,940","13,975","15,645","12,735","11,315","14,060","19,160","22,080","23,070","24,605","32,110","30,600","26,445","20,105","13,430","99,060","662,010","37,905","1,740","8,880"
15N,NHS Devon CCG,,,,,,E38000230,"383,190","282,535","179,220","203,865",105,"123,820","103,070","33,840","21,805",79,28,4.1,1,59,"12,750","5,225","4,150","3,960","1,120","1,130","1,280","1,450","1,780","10,560","14,255","14,530","12,600","11,445","14,740","20,265","24,320","27,330","30,055","41,230","41,325","36,250","29,560","20,830","117,155","703,885","39,485","4,705","5,530"
16C,NHS Tees Valley CCG,,,,,,E38000247,"212,365","167,595","97,120","115,235",10,"72,145","46,080","30,605","18,766",82,23,3.7,1,55,"10,125","3,740","2,840","2,645",630,660,740,850,885,"6,610","9,205","10,015","8,695","7,865","9,145","11,740","14,715","16,775","17,565","20,880","18,350","17,465","12,515","6,650","64,880","381,926","25,570","3,585","5,130"
18C,NHS Herefordshire And Worcestershire CCG,,,,,,E38000236,"220,325","181,645","102,165","118,135",25,"68,350","52,130","42,490","18,674",95,28,4.8,2,59,"8,900","2,405","2,295","2,680",745,700,620,710,825,"5,185","7,645","8,835","7,160","6,435","8,425","10,865","13,715","14,785","18,715","25,285","24,660","21,815","16,340","9,895","83,920","476,349","20,635","1,480","3,470"
26A,NHS Norfolk And Waveney CCG,,,,,,E38000239,"316,500","239,485","145,400","171,045",55,"94,955","73,035","41,420","30,076",75,22,4.6,2,59,"13,950","4,350","3,100","3,420",970,735,980,915,"1,415","8,895","12,700","12,875","10,040","8,330","10,725","14,830","17,730","21,305","24,090","34,720","35,665","30,525","24,640","18,225","101,860","645,782","25,135","2,220","11,235"
27D,NHS Cheshire CCG,,,,,,E38000233,"223,200","176,895","99,995","123,185",15,"78,620","54,130","18,280","25,865",81,27,4.5,1,56,"11,075","4,075","2,790","2,960",765,545,735,890,995,"6,995","10,390","11,600","9,070","6,810","8,455","11,295","13,335","14,590","15,765","20,635","20,545","19,765","15,340","10,685","62,300","532,094","27,970","1,995","12,245"
36J,NHS Bradford District And Craven CCG,,,,,,E38000232,"182,485","151,575","73,985","108,490",10,"60,850","43,385","16,550","30,793",61,21,3.9,1,50,"10,495","4,115","2,830","2,835",770,775,815,"1,100","1,190","9,120","13,135","12,850","10,160","7,120","6,965","8,525","10,045","11,525","12,305","13,750","12,175","11,665","8,950","5,740","54,260","385,730","19,270",715,"16,420"
36L,NHS South West London CCG,,,,,,E38000245,"364,035","284,365","161,890","199,890","2,255","111,315","98,130","24,050","50,870",73,22,4.6,1,51,"23,840","6,115","5,270","4,920","1,270","1,365","1,470","1,360","1,545","10,845","17,735","25,705","22,785","17,090","16,815","19,815","23,080","22,745","23,025","26,705","25,795","24,255","19,680","14,730","99,325","893,138","34,660","4,245","15,405"
42D,NHS North Yorkshire CCG,,,,,,E38000241,"131,685","105,720","61,340","70,345",*,"41,040","38,785","16,580","9,318",81,27,3.9,1,60,"4,685","1,815","1,485","1,430",400,330,470,425,470,"3,075","4,335","4,610","4,210","3,665","4,890","7,500","8,705","10,080","11,120","14,735","13,990","12,440","9,885","6,650","48,650","226,444","13,835",960,"3,070"
52R,NHS Nottingham And Nottinghamshire CCG,,,,,,E38000243,"328,360","257,140","144,410","183,855",95,"105,340","98,810","14,915","38,077",50,13,4.0,1,55,"13,825","3,545","2,675","2,845",860,820,"1,250","1,520","2,395","13,795","18,540","19,570","15,475","12,630","14,085","18,765","21,745","22,345","25,100","29,950","28,760","24,560","19,035","12,100","98,660","666,273","37,860","2,440","17,365"
70F,NHS West Sussex CCG,,,,,,E38000248,"263,625","195,990","122,975","139,925",725,"86,335","59,520","28,935","21,204",79,31,4.9,1,59,"14,440","3,610","2,545","2,970",730,740,900,795,955,"6,105","8,765","10,335","8,965","8,535","9,995","13,110","15,490","17,230","19,285","25,425","26,185","25,115","22,215","17,250","76,585","655,109","27,470","1,600","3,095"
71E,NHS Lincolnshire CCG,,,,,,E38000238,"196,355","165,925","90,605","104,630","1,120","68,725","52,690","26,045","18,466",66,22,4.5,2,57,"10,135","2,795","2,050","2,280",750,570,625,730,"1,000","5,960","7,535","7,995","6,400","5,660","7,610","10,275","12,905","13,945","16,440","22,340","20,960","16,875","11,980","7,850","68,170","439,583","18,820","1,560","4,030"
72Q,NHS South East London CCG,,,,,,E38000244,"488,045","377,265","216,945","270,415",685,"149,160","131,550","34,055","62,500",72,26,4.7,1,51,"32,345","7,920","6,845","7,040","1,820","1,765","1,895","1,875","2,045","15,290","24,305","33,340","29,790","23,850","22,965","28,760","32,540","33,125","29,340","33,430","32,705","31,275","25,975","19,175","136,070","1,133,833","49,425","6,445","17,820"
78H,NHS Northamptonshire CCG,,,,,,E38000242,"213,365","174,000","94,530","118,685",155,"69,475","50,990","26,870","26,671",82,27,4.1,1,54,"11,020","2,965","2,225","2,585",650,785,775,955,"1,135","7,440","11,140","12,350","9,535","8,140","9,070","11,985","13,970","14,380","15,515","19,765","18,320","15,105","11,760","8,335","65,960","449,561","24,655","3,315","11,495"
84H,NHS County Durham CCG,,,,,,E38000234,"149,225","117,915","70,150","79,060",10,"53,015","31,005","22,525","11,368",96,36,3.9,1,56,"7,230","2,240","1,965","1,990",520,540,535,645,860,"4,390","5,830","6,200","5,235","5,235","6,485","8,545","10,255","10,940","12,025","15,440","14,650","12,515","8,710","5,285","44,945","290,312","17,545","1,610","1,825"
91Q,NHS Kent And Medway CCG,,,,,,E38000237,"491,930","396,645","227,890","263,245",795,"182,310","129,010","43,435","41,889",79,28,3.6,1,56,"23,655","6,760","5,480","5,165","1,265","1,515","1,900","2,125","2,365","14,565","20,225","22,780","20,360","17,935","21,515","27,445","32,315","33,580","34,705","48,925","46,230","42,410","32,490","21,515","115,150","1,031,321","76,085","34,500","6,710"
92A,NHS Surrey Heartlands CCG,,,,,,E38000246,"273,945","220,405","124,590","147,855","1,500","91,230","81,245","19,270","28,663",78,28,4.5,1,56,"16,655","3,935","3,325","3,670","1,045","1,035","1,180","1,205","1,230","6,745","9,315","13,445","12,495","10,390","11,530","13,950","16,460","17,255","18,685","23,940","24,505","23,670","20,600","16,210","82,570","631,197","30,290","3,995","5,745"
92G,"NHS Bath And North East Somerset, Swindon And Wiltshire CCG",,,,,,E38000231,"239,165","195,455","108,855","130,050",260,"85,790","60,110","25,195","24,360",84,30,4.3,1,55,"12,550","3,600","3,270","3,170",825,890,850,"1,020","1,075","7,455","10,280","12,095","10,110","8,525","10,205","13,195","15,460","16,890","16,920","22,090","21,580","19,520","16,070","10,910","70,380","547,319","30,410","3,170","6,720"
93C,NHS North Central London CCG,,,,,,E38000240,"356,580","294,715","154,120","201,525",940,"99,655","96,540","42,220","56,302",71,22,4.1,1,50,"24,120","5,500","5,095","5,075","1,335","1,295","1,425","1,370","1,510","11,315","19,050","25,875","21,970","17,050","16,255","19,540","22,175","23,955","22,415","25,705","23,135","22,360","17,165","12,695","110,290","754,627","27,455","13,310","19,515"
97R,NHS East Sussex CCG,,,,,,E38000235,"164,985","133,515","75,210","89,530",245,"59,360","40,380","23,790","9,985",80,34,4.6,1,60,"5,760","1,905","1,630","1,635",380,485,615,640,630,"3,840","5,345","5,930","5,460","4,995","6,210","8,700","10,680","11,850","12,980","18,245","17,410","16,005","12,675","9,640","52,525","399,190","22,725","3,620","1,880"
99A,NHS Liverpool CCG,,,,,,E38000101,"180,020","133,790","79,975","100,030",15,"67,505","28,740","16,665","20,882",74,22,4.5,1,53,"7,085","2,730","2,405","2,405",545,560,670,885,"1,195","7,655","10,380","11,840","9,580","7,330","8,615","10,405","13,060","13,435","13,050","14,555","12,935","12,680","9,410","5,215","39,200","423,332","29,175","1,375","10,270"
99C,NHS North Tyneside CCG,,,,,,E38000127,"81,315","66,010","35,860","45,450",*,"30,555","18,205","12,115","5,132",64,24,3.8,1,56,"2,915","1,290","1,010","1,015",335,240,280,405,330,"2,450","3,365","4,015","3,940","3,280","3,775","4,395","5,570","6,165","6,580","8,170","6,420","5,845","4,850","3,340","27,130","148,363","14,635",340,785
99E,NHS Basildon And Brentwood CCG,,,,,,E38000007,"84,960","67,385","35,750","49,020",190,"28,550","18,925","8,295","11,618",70,21,3.9,1,55,"4,450",770,605,635,150,280,385,415,375,"2,975","4,660","5,155","3,970","2,970","3,685","4,390","5,020","5,495","5,460","7,715","6,405","6,910","5,865","4,120","22,835","177,394","11,030",735,"5,780"
99F,NHS Castle Point And Rochford CCG,,,,,,E38000030,"53,675","42,705","24,500","29,055",120,"18,205","11,955","8,370","4,174",85,28,4.3,1,61,"1,865",375,350,485,90,120,145,190,200,"1,265","1,950","1,990","1,495","1,435","2,015","2,765","3,155","3,520","3,815","6,045","5,875","5,565","4,445","2,780","17,380","112,500","5,290",540,"1,270"
99G,NHS Southend CCG,,,,,,E38000168,"54,985","43,730","24,770","30,125",90,"19,760","10,930","8,045","4,995",84,28,4.8,1,57,"2,245",530,400,425,125,185,185,225,225,"1,405","2,075","2,670","2,175","2,150","2,430","2,945","3,805","3,620","3,795","5,560","4,895","4,370","3,685","2,650","16,295","135,503","6,055",465,"1,325"
99M,NHS North East Hampshire And Farnham CCG,,,,,,E38000118,"46,105","39,010","20,645","25,260",205,"15,460","16,185","2,210","5,154",78,28,5.2,2,55,"2,905",590,485,540,150,200,205,200,145,"1,265","1,710","2,445","1,930","1,540","1,965","2,700","3,005","3,105","3,260","4,130","4,140","3,985","3,115","2,060","15,010","128,127","3,505",715,925
13Q,National Commissioning Hub 1,,,,,,,"14,400","13,345","9,290","5,105",*,"4,670","5,045","1,010","2,622",85,31,1.8,1,31,"1,205",215,185,80,15,20,80,160,250,"1,710","2,280","2,525","2,150","1,360",920,755,260,50,25,10,30,35,*,10,"5,015","15,156","2,400",240,945
14M,London - H&J Commissioning Hub,,,,,,,75,55,75,*,0,25,30,*,0,71,14,2.9,2,51,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,15,*,*,*,*,*,0,0,25,95,*,*,0
14Q,Midlands - H&J Commissioning Hub,,,,,,,"1,085",815,"1,070",10,*,485,295,30,2,67,26,3.7,1,50,0,0,0,*,0,0,0,*,*,50,95,100,100,65,110,110,110,105,50,80,50,35,*,*,305,"2,025",150,10,0
14R,East Of England - H&J Commissioning Hub,,,,,,,920,645,855,60,0,340,250,35,14,79,33,4.9,2,51,*,0,0,0,0,0,0,0,*,30,80,95,85,85,85,50,100,60,90,35,45,50,25,0,270,"1,948",80,*,*
14T,South West - H&J Commissioning Hub,,,,,,,600,425,600,*,0,205,135,80,0,77,29,4.9,3,62,0,0,0,0,0,0,0,*,0,15,35,35,25,35,20,25,45,40,65,70,35,145,10,0,205,"1,102",35,*,0
32T,North West - H&J Commissioning Hub,,,,,,,745,530,720,20,0,380,115,30,6,91,48,3.5,1,46,0,0,0,0,0,0,0,0,*,70,70,85,75,100,65,50,65,55,10,30,25,20,10,*,130,"1,397",150,*,0
76A,North East And Yorkshire - H&J Commissioning Hub,,,,,,,"1,360","1,055","1,270",90,0,725,240,70,20,70,28,3.4,1,45,*,0,0,0,0,*,10,*,*,95,115,170,175,170,110,110,85,120,55,45,35,*,10,20,290,"2,691",275,*,*
97T,South East - H&J Commissioning Hub,,,,,,,"1,135",905,980,155,0,590,260,15,40,70,39,3.5,1,43,10,0,0,0,0,0,*,*,*,80,140,165,130,115,85,80,85,80,30,25,25,10,15,*,260,"2,389",230,*,10
59999,Unknown,,,,,,,"72,955","57,950","37,150","35,625",180,"21,705","20,150","11,615","4,478",81,22,5.5,2,51,"2,545","2,690","1,930","2,220",420,490,400,480,485,"2,885","3,260","3,190","2,785","2,675","2,925","4,440","5,380","5,255","5,355","6,610","5,820","4,880","3,095","2,085","22,405","199,235","6,330","1,570","1,500"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Small numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To protect patient confidentiality, figures between 1 and 5 have been replaced with “*” (an asterisk). Where it was still possible to identify figures from the total, additional figures have been replaced with ""*"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"§ - zero bed day cases. In the HES data, day cases are identified by a field called patient classification. There are a number of records which are not recorded as day cases, and appear as ordinary admissions, but which do not involve an overnight stay and do not result in another episode of care at the same provider.
These include a number of records which resulted in the death of the patient, or their transfer to another hospital provider, however the vast majority are recorded as having been discharged from hospital.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © 2021, NHS Digital, Secondary Care Analysis. All Rights Reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsible statistician:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramesh Notra, Analytical Section Head, Secondary Care Analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact via enquiries@NHSDigital.gov.uk or 0300 303 5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
