,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JULY,,,,England," 	134,790 "," 	476,591 "," 	611,381 "," 	22,321 "," 	147,104 "," 	169,425 "," 	20,471 "," 	441,016 "," 	962,948 "," 	786,647 "," 	913,705 "," 	744,402 "," 	532,215 "," 	1,302,015 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	876 ," 	3,314 "," 	4,190 ", 	111 , 	751 , 	862 , 	552 ," 	2,974 "," 	7,018 "," 	5,538 "," 	6,508 "," 	4,899 "," 	3,167 "," 	8,288 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,040 "," 	3,812 "," 	4,852 ", 	205 ," 	1,466 "," 	1,671 ", 	161 ," 	3,808 "," 	9,745 "," 	7,609 "," 	8,757 "," 	6,831 "," 	5,716 "," 	11,944 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	552 ," 	1,840 "," 	2,392 ", 	191 , 	614 , 	805 , 	27 ," 	1,636 "," 	3,293 "," 	3,271 "," 	2,990 "," 	2,705 "," 	1,129 "," 	3,983 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	630 ," 	2,316 "," 	2,946 ", 	171 , 	746 , 	917 , 	27 ," 	2,514 "," 	4,686 "," 	4,838 "," 	4,012 "," 	3,615 "," 	1,342 "," 	5,305 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,495 "," 	6,230 "," 	7,725 ", 	222 ," 	2,429 "," 	2,651 ", 	412 ," 	4,269 "," 	12,356 "," 	8,887 "," 	11,811 "," 	8,507 "," 	7,889 "," 	14,111 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,358 "," 	4,540 "," 	5,898 ", 	227 ," 	1,671 "," 	1,898 "," 	1,105 "," 	3,841 "," 	9,620 "," 	6,908 "," 	8,931 "," 	6,554 "," 	5,979 "," 	11,689 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,406 "," 	4,588 "," 	5,994 ", 	153 ," 	1,474 "," 	1,627 ", 	31 ," 	3,895 "," 	8,448 "," 	7,438 "," 	8,146 "," 	7,213 "," 	6,014 "," 	11,899 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	563 ," 	1,939 "," 	2,502 ", 	108 , 	913 ," 	1,021 ", 	22 ," 	1,697 "," 	4,331 "," 	4,101 "," 	4,019 "," 	3,108 "," 	2,450 "," 	5,210 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	495 ," 	1,311 "," 	1,806 ", 	99 , 	275 , 	374 , 	3 ," 	1,588 "," 	3,116 "," 	3,114 "," 	2,976 "," 	2,796 "," 	1,580 "," 	5,119 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	870 ," 	3,438 "," 	4,308 ", 	163 ," 	1,436 "," 	1,599 ", 	- 0," 	2,349 "," 	7,137 "," 	5,306 "," 	7,048 "," 	5,296 "," 	3,047 "," 	8,165 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	910 ," 	3,555 "," 	4,465 ", 	137 , 	647 , 	784 , 	46 ," 	2,743 "," 	7,277 "," 	6,369 "," 	7,044 "," 	6,173 "," 	2,928 "," 	9,709 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	374 ," 	1,249 "," 	1,623 ", 	62 , 	365 , 	427 , 	4 ," 	1,253 "," 	2,799 "," 	2,119 "," 	2,488 "," 	1,883 "," 	2,056 "," 	3,398 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,354 "," 	5,945 "," 	7,299 ", 	201 ," 	2,028 "," 	2,229 "," 	1,167 "," 	3,941 "," 	9,394 "," 	7,578 "," 	9,081 "," 	7,307 "," 	5,988 "," 	11,932 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,932 "," 	8,504 "," 	10,436 ", 	345 ," 	3,061 "," 	3,406 ", 	38 ," 	6,087 "," 	13,414 "," 	11,675 "," 	13,030 "," 	11,367 "," 	5,355 "," 	18,197 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	668 ," 	2,331 "," 	2,999 ", 	137 , 	364 , 	501 , 	- 0," 	1,926 "," 	4,579 "," 	4,213 "," 	4,555 "," 	4,107 "," 	1,444 "," 	5,912 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,368 "," 	5,696 "," 	7,064 ", 	198 ," 	2,100 "," 	2,298 ", 	220 ," 	4,478 "," 	10,466 "," 	8,539 "," 	10,148 "," 	8,379 "," 	5,374 "," 	15,911 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	628 ," 	2,804 "," 	3,432 ", 	74 , 	949 ," 	1,023 ", 	298 ," 	2,043 "," 	4,327 "," 	3,989 "," 	4,054 "," 	3,733 "," 	1,675 "," 	5,384 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	767 ," 	2,066 "," 	2,833 ", 	66 , 	249 , 	315 , 	2 ," 	2,664 "," 	4,551 "," 	4,436 "," 	4,229 "," 	4,362 "," 	1,469 "," 	6,756 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	831 ," 	2,941 "," 	3,772 ", 	78 ," 	1,124 "," 	1,202 ", 	4 ," 	2,400 "," 	6,798 "," 	5,165 "," 	6,267 "," 	4,988 "," 	3,949 "," 	8,346 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	691 ," 	3,054 "," 	3,745 ", 	133 ," 	1,232 "," 	1,365 ", 	1 ," 	2,617 "," 	9,083 "," 	4,984 "," 	8,737 "," 	4,906 "," 	4,514 "," 	8,922 "
,2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,991 "," 	8,963 "," 	11,954 ", 	467 ," 	2,481 "," 	2,948 ", 	257 ," 	7,444 "," 	20,435 "," 	15,666 "," 	19,307 "," 	15,124 "," 	11,455 "," 	25,433 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	568 ," 	2,249 "," 	2,817 ", 	85 , 	418 , 	503 , 	1 ," 	2,276 "," 	3,627 "," 	3,041 "," 	3,570 "," 	3,002 "," 	2,324 "," 	5,741 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	387 ," 	1,078 "," 	1,465 ", 	31 , 	234 , 	265 , 	74 ," 	1,020 "," 	3,413 "," 	2,685 "," 	2,964 "," 	2,363 "," 	1,447 "," 	3,819 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	716 ," 	3,454 "," 	4,170 ", 	90 , 	772 , 	862 , 	1 ," 	2,252 "," 	7,381 "," 	5,109 "," 	6,987 "," 	5,101 "," 	4,136 "," 	8,451 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	616 ," 	2,244 "," 	2,860 ", 	84 , 	641 , 	725 , 	- 0," 	1,866 "," 	3,281 "," 	3,914 "," 	2,953 "," 	3,663 "," 	2,825 "," 	7,225 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	757 ," 	3,259 "," 	4,016 ", 	105 , 	886 , 	991 , 	103 ," 	2,761 "," 	8,838 "," 	6,625 "," 	8,199 "," 	6,079 "," 	5,814 "," 	10,737 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	567 ," 	2,311 "," 	2,878 ", 	104 , 	551 , 	655 , 	582 ," 	2,248 "," 	5,168 "," 	3,946 "," 	4,790 "," 	3,787 "," 	2,699 "," 	6,797 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	635 ," 	3,162 "," 	3,797 ", 	72 , 	923 , 	995 , 	371 ," 	2,050 "," 	6,483 "," 	5,578 "," 	5,937 "," 	5,049 "," 	4,558 "," 	8,710 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	333 ," 	1,333 "," 	1,666 ", 	55 , 	280 , 	335 , 	1 ," 	1,936 "," 	2,541 "," 	2,142 "," 	2,467 "," 	2,084 "," 	1,781 "," 	4,038 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	403 ," 	1,701 "," 	2,104 ", 	38 , 	359 , 	397 , 	2 ," 	1,965 "," 	3,731 "," 	3,511 "," 	3,302 "," 	3,083 "," 	2,099 "," 	5,790 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	383 ," 	1,574 "," 	1,957 ", 	62 , 	265 , 	327 , 	1 ," 	2,223 "," 	5,368 "," 	4,403 "," 	3,750 "," 	2,936 "," 	3,138 "," 	7,067 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	501 ," 	1,796 "," 	2,297 ", 	83 , 	634 , 	717 , 	2 ," 	2,697 "," 	7,760 "," 	6,559 "," 	5,426 "," 	4,250 "," 	3,456 "," 	8,159 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	473 ," 	2,054 "," 	2,527 ", 	60 , 	581 , 	641 , 	19 ," 	1,673 "," 	4,696 "," 	3,997 "," 	4,330 "," 	3,693 "," 	3,417 "," 	7,854 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	363 ," 	1,256 "," 	1,619 ", 	31 , 	197 , 	228 , 	9 ," 	1,592 "," 	3,710 "," 	3,056 "," 	3,377 "," 	2,800 "," 	3,052 "," 	6,275 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	701 ," 	2,787 "," 	3,488 ", 	76 , 	650 , 	726 , 	168 ," 	3,087 "," 	7,709 "," 	6,011 "," 	6,802 "," 	5,382 "," 	4,617 "," 	9,321 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	465 ," 	1,691 "," 	2,156 ", 	57 , 	401 , 	458 , 	9 ," 	1,708 "," 	5,213 "," 	4,117 "," 	4,655 "," 	3,592 "," 	2,344 "," 	5,850 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	629 ," 	2,333 "," 	2,962 ", 	66 , 	734 , 	800 , 	611 ," 	2,409 "," 	6,803 "," 	5,386 "," 	6,621 "," 	5,244 "," 	3,498 "," 	7,854 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	514 ," 	1,779 "," 	2,293 ", 	89 , 	733 , 	822 , 	289 ," 	1,704 "," 	4,036 "," 	3,561 "," 	3,943 "," 	3,497 "," 	1,827 "," 	4,995 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	368 ," 	1,628 "," 	1,996 ", 	52 , 	417 , 	469 , 	3 ," 	1,501 "," 	4,992 "," 	4,150 "," 	4,719 "," 	3,875 "," 	3,281 "," 	7,193 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	426 ," 	1,871 "," 	2,297 ", 	50 , 	496 , 	546 , 	1 ," 	1,656 "," 	4,328 "," 	3,684 "," 	4,034 "," 	3,370 "," 	2,574 "," 	6,427 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	796 ," 	2,961 "," 	3,757 ", 	93 , 	752 , 	845 , 	55 ," 	2,639 "," 	6,452 "," 	4,931 "," 	5,969 "," 	4,581 "," 	4,252 "," 	9,174 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	285 ," 	1,101 "," 	1,386 ", 	63 , 	235 , 	298 , 	4 ," 	1,067 "," 	4,160 "," 	2,719 "," 	3,929 "," 	2,572 "," 	2,249 "," 	4,872 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	389 ," 	1,583 "," 	1,972 ", 	54 , 	332 , 	386 , 	8 ," 	1,594 "," 	5,139 "," 	3,449 "," 	4,957 "," 	3,290 "," 	2,893 "," 	6,141 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	664 ," 	2,104 "," 	2,768 ", 	123 , 	543 , 	666 , 	4 ," 	2,923 "," 	6,412 "," 	4,922 "," 	5,166 "," 	4,577 "," 	4,013 "," 	9,962 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	528 ," 	1,981 "," 	2,509 ", 	106 , 	564 , 	670 , 	98 ," 	2,855 "," 	5,389 "," 	4,483 "," 	4,424 "," 	4,195 "," 	3,977 "," 	9,236 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	533 ," 	2,401 "," 	2,934 ", 	120 , 	677 , 	797 , 	99 ," 	2,104 "," 	5,087 "," 	4,130 "," 	4,757 "," 	4,006 "," 	5,391 "," 	9,712 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	654 ," 	1,868 "," 	2,522 ", 	74 , 	397 , 	471 , 	46 ," 	2,001 "," 	9,111 "," 	5,618 "," 	7,451 "," 	5,197 "," 	3,069 "," 	8,967 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	351 ," 	1,029 "," 	1,380 ", 	50 , 	235 , 	285 , 	31 ," 	1,099 "," 	3,809 "," 	3,252 "," 	3,296 "," 	2,903 "," 	1,618 "," 	4,599 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	900 ," 	2,860 "," 	3,760 ", 	99 , 	550 , 	649 , 	172 ," 	2,558 "," 	8,022 "," 	5,908 "," 	7,201 "," 	5,679 "," 	2,211 "," 	9,508 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	520 ," 	2,079 "," 	2,599 ", 	103 , 	577 , 	680 , 	1 ," 	2,494 "," 	5,110 "," 	3,741 "," 	4,905 "," 	3,593 "," 	2,293 "," 	6,258 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	526 ," 	2,113 "," 	2,639 ", 	98 , 	791 , 	889 , 	6 ," 	2,392 "," 	5,425 "," 	3,944 "," 	4,760 "," 	3,580 "," 	2,529 "," 	6,354 "
,2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	541 ," 	1,851 "," 	2,392 ", 	81 , 	428 , 	509 , 	1 ," 	1,734 "," 	2,705 "," 	2,632 "," 	2,465 "," 	2,532 "," 	2,332 "," 	5,285 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	856 ," 	1,750 "," 	2,606 ", 	286 , 	425 , 	711 , 	1 ," 	2,136 "," 	4,904 "," 	4,349 "," 	4,792 "," 	4,192 "," 	2,594 "," 	6,715 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	812 ," 	1,836 "," 	2,648 ", 	311 , 	241 , 	552 , 	7 ," 	2,534 "," 	5,353 "," 	4,052 "," 	5,139 "," 	3,874 "," 	3,507 "," 	5,991 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,577 "," 	8,775 "," 	11,352 ", 	321 ," 	2,447 "," 	2,768 ", 	226 ," 	7,849 "," 	18,424 "," 	15,942 "," 	17,200 "," 	14,881 "," 	8,121 "," 	25,535 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,173 "," 	6,518 "," 	8,691 ", 	293 ," 	1,693 "," 	1,986 ", 	915 ," 	6,569 "," 	13,068 "," 	10,843 "," 	12,864 "," 	10,627 "," 	8,708 "," 	19,605 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,051 "," 	2,600 "," 	3,651 ", 	280 , 	841 ," 	1,121 ", 	1 ," 	2,798 "," 	7,748 "," 	5,823 "," 	7,656 "," 	5,742 "," 	3,389 "," 	8,422 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	548 ," 	1,385 "," 	1,933 ", 	95 , 	602 , 	697 , 	1 ," 	1,480 "," 	3,808 "," 	3,029 "," 	3,798 "," 	3,026 "," 	1,659 "," 	4,511 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,722 "," 	4,782 "," 	6,504 ", 	360 ," 	1,215 "," 	1,575 ", 	1 ," 	5,114 "," 	11,670 "," 	9,419 "," 	11,057 "," 	8,901 "," 	7,558 "," 	15,786 "
,2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,169 "," 	7,285 "," 	9,454 ", 	462 ," 	2,786 "," 	3,248 ", 	2 ," 	6,359 "," 	13,011 "," 	10,696 "," 	12,436 "," 	9,576 "," 	7,549 "," 	16,594 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	504 ," 	1,821 "," 	2,325 ", 	76 , 	512 , 	588 , 	98 ," 	2,121 "," 	4,204 "," 	3,479 "," 	3,794 "," 	3,094 "," 	1,807 "," 	5,513 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	455 ," 	1,466 "," 	1,921 ", 	61 , 	198 , 	259 , 	275 ," 	1,816 "," 	4,319 "," 	3,235 "," 	4,178 "," 	3,134 "," 	1,381 "," 	5,145 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	587 ," 	2,055 "," 	2,642 ", 	99 , 	629 , 	728 , 	869 ," 	2,321 "," 	4,086 "," 	3,660 "," 	4,060 "," 	3,425 "," 	2,663 "," 	5,589 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,129 "," 	10,671 "," 	13,800 ", 	404 ," 	2,654 "," 	3,058 "," 	2,831 "," 	10,021 "," 	20,729 "," 	17,592 "," 	20,409 "," 	17,313 "," 	12,069 "," 	29,297 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	945 ," 	3,939 "," 	4,884 ", 	132 ," 	1,083 "," 	1,215 ", 	42 ," 	3,486 "," 	7,918 "," 	6,314 "," 	7,639 "," 	6,021 "," 	2,622 "," 	10,720 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,229 "," 	4,393 "," 	5,622 ", 	195 ," 	1,349 "," 	1,544 ", 	70 ," 	4,067 "," 	7,508 "," 	7,182 "," 	7,342 "," 	7,007 "," 	4,183 "," 	10,983 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	971 ," 	2,664 "," 	3,635 ", 	143 , 	427 , 	570 , 	73 ," 	2,401 "," 	6,976 "," 	5,855 "," 	6,285 "," 	5,226 "," 	3,322 "," 	11,626 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	838 ," 	2,633 "," 	3,471 ", 	121 , 	376 , 	497 , 	30 ," 	2,641 "," 	7,092 "," 	4,890 "," 	6,804 "," 	4,481 "," 	2,818 "," 	7,296 "
,2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	339 , 	674 ," 	1,013 ", 	51 , 	96 , 	147 , 	23 ," 	1,037 "," 	2,697 "," 	2,259 "," 	2,619 "," 	2,168 "," 	1,794 "," 	3,307 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	564 ," 	2,274 "," 	2,838 ", 	96 , 	980 ," 	1,076 ", 	- 0," 	1,525 "," 	3,752 "," 	2,935 "," 	3,609 "," 	2,826 "," 	1,993 "," 	4,755 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	666 ," 	2,246 "," 	2,912 ", 	117 , 	397 , 	514 , 	117 ," 	2,069 "," 	4,237 "," 	3,543 "," 	4,229 "," 	3,538 "," 	1,155 "," 	5,996 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	418 ," 	1,522 "," 	1,940 ", 	61 , 	269 , 	330 , 	- 0," 	1,336 "," 	3,195 "," 	2,872 "," 	3,052 "," 	2,818 "," 	1,580 "," 	4,507 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	457 ," 	1,750 "," 	2,207 ", 	62 , 	578 , 	640 , 	- 0," 	1,636 "," 	3,587 "," 	3,074 "," 	3,503 "," 	2,911 "," 	1,630 "," 	5,098 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	524 ," 	2,000 "," 	2,524 ", 	60 , 	736 , 	796 , 	- 0," 	1,350 "," 	3,665 "," 	2,868 "," 	3,600 "," 	2,812 "," 	1,615 "," 	4,665 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,352 "," 	5,761 "," 	7,113 ", 	203 ," 	2,502 "," 	2,705 ", 	6 ," 	4,347 "," 	8,993 "," 	7,846 "," 	8,519 "," 	7,306 "," 	5,101 "," 	12,770 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	968 ," 	3,719 "," 	4,687 ", 	182 ," 	1,550 "," 	1,732 ", 	- 0," 	3,400 "," 	7,135 "," 	5,792 "," 	6,610 "," 	5,336 "," 	3,590 "," 	9,716 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,107 "," 	3,811 "," 	4,918 ", 	121 , 	798 , 	919 , 	15 ," 	3,493 "," 	7,981 "," 	6,711 "," 	7,809 "," 	6,662 "," 	4,042 "," 	10,410 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,402 "," 	4,871 "," 	6,273 ", 	131 ," 	1,073 "," 	1,204 ", 	- 0," 	4,550 "," 	8,642 "," 	6,641 "," 	8,593 "," 	6,628 "," 	4,658 "," 	11,483 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,381 "," 	4,948 "," 	6,329 ", 	177 ," 	1,619 "," 	1,796 ", 	2 ," 	3,486 "," 	7,341 "," 	6,313 "," 	7,327 "," 	6,260 "," 	3,151 "," 	9,980 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	925 ," 	4,243 "," 	5,168 ", 	182 ," 	1,993 "," 	2,175 ", 	2 ," 	3,489 "," 	5,743 "," 	4,376 "," 	5,737 "," 	4,360 "," 	3,508 "," 	8,911 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,660 "," 	6,132 "," 	7,792 ", 	248 ," 	1,940 "," 	2,188 ", 	538 ," 	4,033 "," 	9,368 "," 	9,015 "," 	9,275 "," 	8,970 "," 	4,911 "," 	14,647 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,166 "," 	7,987 "," 	10,153 ", 	444 ," 	3,137 "," 	3,581 ", 	138 ," 	5,615 "," 	12,105 "," 	10,417 "," 	12,098 "," 	10,413 "," 	6,914 "," 	17,039 "
,2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,TAL,TORBAY CARE TRUST, 	425 ," 	1,522 "," 	1,947 ", 	98 , 	546 , 	644 , 	115 ," 	1,398 "," 	2,646 "," 	2,396 "," 	2,645 "," 	2,396 "," 	2,190 "," 	4,097 "
