,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,AUGUST,,,,England," 	133,957 "," 	378,081 "," 	512,038 "," 	22,179 "," 	111,894 "," 	134,073 "," 	6,483 "," 	15,041 "," 	404,388 "," 	816,623 "," 	671,458 "," 	777,762 "," 	629,963 "," 	413,372 "," 	1,057,369 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	570 ," 	2,062 "," 	2,632 ", 	109 , 	918 ," 	1,027 ", 	- 0, 	6 ," 	2,103 "," 	4,023 "," 	3,764 "," 	3,755 "," 	3,474 "," 	2,876 "," 	6,198 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	533 ," 	1,389 "," 	1,922 ", 	100 , 	361 , 	461 , 	- 0, 	362 ," 	2,332 "," 	4,373 "," 	3,622 "," 	3,296 "," 	2,687 "," 	3,461 "," 	5,832 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	855 ," 	2,886 "," 	3,741 ", 	146 ," 	1,328 "," 	1,474 ", 	- 0, 	53 ," 	2,624 "," 	4,738 "," 	3,552 "," 	4,522 "," 	3,425 "," 	1,647 "," 	5,951 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	828 ," 	2,706 "," 	3,534 ", 	81 , 	635 , 	716 , 	- 0, 	323 ," 	2,573 "," 	4,298 "," 	3,925 "," 	3,712 "," 	3,465 "," 	4,266 "," 	7,183 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	821 ," 	3,290 "," 	4,111 ", 	186 ," 	1,379 "," 	1,565 ", 	- 0, 	181 ," 	3,225 "," 	6,234 "," 	5,492 "," 	5,455 "," 	4,607 "," 	6,452 "," 	9,631 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	526 ," 	1,543 "," 	2,069 ", 	198 , 	425 , 	623 , 	- 0, 	6 ," 	1,237 "," 	3,007 "," 	2,686 "," 	2,910 "," 	2,384 "," 	1,461 "," 	3,296 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	617 ," 	2,226 "," 	2,843 ", 	177 , 	611 , 	788 , 	- 0, 	5 ," 	2,080 "," 	4,104 "," 	3,701 "," 	3,914 "," 	3,177 "," 	2,175 "," 	4,576 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,343 "," 	4,180 "," 	5,523 ", 	159 ," 	1,469 "," 	1,628 ", 	- 0, 	322 ," 	3,855 "," 	9,951 "," 	7,028 "," 	9,307 "," 	6,714 "," 	6,777 "," 	11,017 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,143 "," 	3,999 "," 	5,142 ", 	108 ," 	1,313 "," 	1,421 ", 	106 , 	787 ," 	3,741 "," 	8,423 "," 	6,854 "," 	8,142 "," 	6,599 "," 	3,513 "," 	9,547 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,316 "," 	3,924 "," 	5,240 ", 	191 ," 	1,306 "," 	1,497 ", 	14 , 	9 ," 	3,498 "," 	7,553 "," 	6,054 "," 	7,288 "," 	5,706 "," 	3,274 "," 	9,064 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	418 ," 	1,540 "," 	1,958 ", 	119 , 	642 , 	761 , 	- 0, 	19 ," 	1,242 "," 	3,287 "," 	2,728 "," 	2,972 "," 	2,410 "," 	2,896 "," 	4,599 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	485 , 	996 ," 	1,481 ", 	89 , 	248 , 	337 , 	- 0, 	- 0," 	1,484 "," 	3,009 "," 	2,766 "," 	2,570 "," 	2,348 "," 	1,127 "," 	3,948 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	852 ," 	2,678 "," 	3,530 ", 	100 , 	683 , 	783 , 	- 0, 	- 0," 	2,674 "," 	6,255 "," 	5,123 "," 	6,253 "," 	5,117 "," 	2,579 "," 	7,063 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,392 "," 	3,347 "," 	4,739 ", 	153 , 	477 , 	630 , 	- 0, 	21 ," 	2,654 "," 	6,471 "," 	5,015 "," 	6,079 "," 	4,823 "," 	2,370 "," 	7,368 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,981 "," 	3,140 "," 	5,121 ", 	182 , 	740 , 	922 , 	- 0, 	- 0," 	3,290 "," 	9,987 "," 	7,357 "," 	9,247 "," 	6,812 "," 	4,236 "," 	10,970 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,423 "," 	3,483 "," 	4,906 ", 	262 , 	732 , 	994 , 	- 0, 	- 0," 	3,327 "," 	9,336 "," 	8,535 "," 	8,411 "," 	7,689 "," 	5,442 "," 	12,724 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	547 , 	954 ," 	1,501 ", 	115 , 	275 , 	390 , 	2 , 	12 ," 	1,307 "," 	2,503 "," 	2,320 "," 	2,281 "," 	2,185 "," 	1,298 "," 	3,145 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,542 "," 	4,401 "," 	5,943 ", 	340 ," 	1,679 "," 	2,019 ", 	21 ," 	1,064 "," 	3,683 "," 	7,698 "," 	6,178 "," 	7,609 "," 	6,008 "," 	4,496 "," 	9,658 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,890 "," 	6,280 "," 	8,170 ", 	870 ," 	1,520 "," 	2,390 ", 	668 , 	48 ," 	5,480 "," 	17,884 "," 	15,231 "," 	13,130 "," 	9,090 "," 	2,990 "," 	13,130 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	764 ," 	1,922 "," 	2,686 ", 	103 , 	555 , 	658 , 	- 0, 	- 0," 	1,479 "," 	5,398 "," 	3,394 "," 	5,277 "," 	3,318 ", 	987 ," 	4,042 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,392 "," 	4,145 "," 	5,537 ", 	185 ," 	1,530 "," 	1,715 ", 	- 0, 	- 0," 	3,855 "," 	8,941 "," 	7,741 "," 	8,552 "," 	7,499 "," 	4,029 "," 	11,860 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	729 ," 	2,390 "," 	3,119 ", 	99 , 	799 , 	898 , 	- 0, 	- 0," 	2,046 "," 	4,245 "," 	4,022 "," 	4,101 "," 	3,688 "," 	1,930 "," 	5,454 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	837 ," 	1,783 "," 	2,620 ", 	93 , 	441 , 	534 , 	- 0, 	- 0," 	1,978 "," 	5,501 "," 	3,806 "," 	5,410 "," 	3,659 "," 	1,931 "," 	5,209 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	908 ," 	2,304 "," 	3,212 ", 	142 , 	668 , 	810 , 	6 , 	- 0," 	2,946 "," 	4,944 "," 	4,850 "," 	4,881 "," 	4,068 "," 	4,541 "," 	6,731 "
,2008-09,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	925 ," 	2,630 "," 	3,555 ", 	186 , 	956 ," 	1,142 ", 	- 0, 	- 0," 	2,527 "," 	5,804 "," 	5,065 "," 	5,668 "," 	5,019 "," 	3,209 "," 	7,914 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	638 ," 	2,180 "," 	2,818 ", 	74 , 	672 , 	746 , 	314 , 	- 0," 	1,837 "," 	3,053 "," 	2,273 "," 	3,051 "," 	2,094 "," 	2,264 "," 	7,544 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	312 ," 	1,040 "," 	1,352 ", 	56 , 	188 , 	244 , 	- 0, 	- 0, 	742 ," 	2,256 "," 	1,712 "," 	2,112 "," 	1,599 ", 	843 ," 	2,567 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	745 ," 	2,575 "," 	3,320 ", 	100 , 	475 , 	575 , 	- 0, 	141 ," 	2,185 "," 	5,586 "," 	4,320 "," 	4,833 "," 	3,932 ", 	907 ," 	5,383 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	467 ," 	1,810 "," 	2,277 ", 	87 , 	684 , 	771 , 	- 0, 	2 ," 	1,281 "," 	3,286 "," 	2,652 "," 	3,232 "," 	2,637 "," 	2,575 "," 	5,425 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT," 	1,140 "," 	2,654 "," 	3,794 ", 	67 ," 	1,376 "," 	1,443 ", 	- 0, 	- 0," 	2,462 "," 	6,275 "," 	4,498 "," 	5,866 "," 	3,788 "," 	2,766 "," 	7,773 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	581 ," 	1,611 "," 	2,192 ", 	86 , 	405 , 	491 , 	- 0, 	1 ," 	1,891 "," 	3,874 "," 	3,769 "," 	3,462 "," 	3,173 "," 	1,453 "," 	4,957 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	543 ," 	1,846 "," 	2,389 ", 	49 , 	539 , 	588 , 	- 0, 	275 ," 	1,979 "," 	4,508 "," 	3,469 "," 	4,206 "," 	3,084 "," 	2,867 "," 	5,867 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	360 ," 	1,067 "," 	1,427 ", 	55 , 	338 , 	393 , 	107 , 	- 0," 	1,428 "," 	2,772 "," 	1,947 "," 	2,761 "," 	1,940 "," 	1,537 "," 	4,265 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	525 ," 	1,170 "," 	1,695 ", 	59 , 	152 , 	211 , 	- 0, 	- 0," 	1,626 "," 	3,956 "," 	3,723 "," 	3,604 "," 	3,154 "," 	2,221 "," 	5,387 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	337 , 	961 ," 	1,298 ", 	20 , 	104 , 	124 , 	8 , 	- 0," 	1,987 "," 	3,075 "," 	2,633 "," 	3,050 "," 	2,679 "," 	1,928 "," 	4,586 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	518 ," 	1,534 "," 	2,052 ", 	84 , 	343 , 	427 , 	- 0, 	- 0," 	2,332 "," 	4,550 "," 	4,355 "," 	3,938 "," 	3,110 "," 	2,203 "," 	5,416 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	449 ," 	1,721 "," 	2,170 ", 	50 , 	439 , 	489 , 	- 0, 	13 ," 	1,622 "," 	3,821 "," 	2,972 "," 	3,446 "," 	2,618 "," 	2,358 "," 	6,207 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	384 , 	943 ," 	1,327 ", 	32 , 	269 , 	301 , 	- 0, 	- 0," 	1,456 "," 	2,891 "," 	2,373 "," 	2,020 "," 	2,063 "," 	1,403 "," 	3,403 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	832 ," 	2,464 "," 	3,296 ", 	80 , 	607 , 	687 , 	- 0, 	- 0," 	2,772 "," 	6,217 "," 	5,159 "," 	5,607 "," 	4,585 "," 	2,817 "," 	7,915 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	500 ," 	1,256 "," 	1,756 ", 	40 , 	172 , 	212 , 	- 0, 	- 0," 	2,093 "," 	4,838 "," 	3,342 "," 	4,423 "," 	3,201 "," 	2,117 "," 	5,316 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	601 ," 	1,891 "," 	2,492 ", 	89 , 	617 , 	706 , 	- 0, 	- 0," 	2,031 "," 	5,109 "," 	4,121 "," 	4,819 "," 	3,577 "," 	2,013 "," 	6,076 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	467 ," 	1,388 "," 	1,855 ", 	104 , 	447 , 	551 , 	- 0, 	- 0," 	1,461 "," 	3,449 "," 	2,614 "," 	2,586 "," 	2,279 "," 	1,641 "," 	3,810 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	368 ," 	1,295 "," 	1,663 ", 	55 , 	351 , 	406 , 	- 0, 	- 0," 	1,364 "," 	3,307 "," 	2,884 "," 	3,307 "," 	2,884 "," 	2,639 "," 	6,251 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	366 ," 	1,503 "," 	1,869 ", 	43 , 	368 , 	411 , 	- 0, 	- 0," 	1,359 "," 	3,853 "," 	3,310 "," 	3,506 "," 	3,012 "," 	2,412 "," 	6,162 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	718 ," 	2,877 "," 	3,595 ", 	91 , 	926 ," 	1,017 ", 	- 0, 	45 ," 	2,232 "," 	4,670 "," 	3,785 "," 	4,617 "," 	3,691 "," 	3,154 "," 	7,461 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	301 , 	924 ," 	1,225 ", 	47 , 	273 , 	320 , 	- 0, 	- 0, 	936 ," 	2,651 "," 	1,951 "," 	2,469 "," 	1,792 "," 	1,187 "," 	5,572 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	481 ," 	1,310 "," 	1,791 ", 	84 , 	499 , 	583 , 	- 0, 	- 0," 	1,578 "," 	4,022 "," 	2,805 "," 	3,733 "," 	2,638 "," 	2,086 "," 	4,613 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	587 ," 	1,648 "," 	2,235 ", 	107 , 	352 , 	459 , 	- 0, 	- 0," 	2,036 "," 	4,597 "," 	3,424 "," 	4,466 "," 	3,361 "," 	2,719 "," 	7,776 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	494 ," 	1,558 "," 	2,052 ", 	74 , 	326 , 	400 , 	- 0, 	- 0," 	1,903 "," 	3,782 "," 	3,111 "," 	3,735 "," 	3,097 "," 	2,578 "," 	6,987 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	500 ," 	2,060 "," 	2,560 ", 	113 , 	539 , 	652 , 	- 0, 	- 0," 	1,669 "," 	4,360 "," 	3,479 "," 	4,320 "," 	3,449 "," 	2,064 "," 	6,306 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	486 ," 	1,397 "," 	1,883 ", 	77 , 	575 , 	652 , 	- 0, 	- 0," 	2,142 "," 	6,680 "," 	3,965 "," 	6,020 "," 	3,795 "," 	2,265 "," 	5,947 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	384 , 	931 ," 	1,315 ", 	5 , 	5 , 	10 , 	- 0, 	- 0, 	976 ," 	2,687 "," 	2,204 "," 	2,687 "," 	2,204 "," 	1,294 "," 	5,667 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	840 ," 	2,126 "," 	2,966 ", 	108 , 	603 , 	711 , 	- 0, 	127 ," 	2,568 "," 	6,654 "," 	4,490 "," 	6,113 "," 	4,371 "," 	1,650 "," 	11,800 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	552 ," 	1,362 "," 	1,914 ", 	139 , 	482 , 	621 , 	100 , 	- 0," 	1,839 "," 	3,537 "," 	3,650 "," 	3,525 "," 	3,650 "," 	2,029 "," 	5,747 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	497 ," 	1,645 "," 	2,142 ", 	84 , 	562 , 	646 , 	6 , 	30 ," 	1,906 "," 	4,231 "," 	2,797 "," 	4,231 "," 	2,797 "," 	1,784 "," 	4,978 "
,2008-09,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	611 ," 	1,204 "," 	1,815 ", 	177 , 	246 , 	423 , 	- 0, 	46 ," 	1,175 "," 	2,248 "," 	1,717 "," 	1,954 "," 	1,620 "," 	1,359 "," 	2,969 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	616 ," 	1,155 "," 	1,771 ", 	33 , 	123 , 	156 , 	139 , 	19 ," 	1,835 "," 	5,105 "," 	3,736 "," 	4,964 "," 	3,509 "," 	1,618 "," 	4,920 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	634 ," 	1,282 "," 	1,916 ", 	278 , 	233 , 	511 , 	191 , 	- 0," 	2,051 "," 	5,345 "," 	3,714 "," 	5,345 "," 	3,670 "," 	2,256 "," 	4,722 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,098 "," 	6,766 "," 	8,864 ", 	113 ," 	1,209 "," 	1,322 ", 	- 0, 	560 ," 	7,583 "," 	15,681 "," 	14,152 "," 	14,895 "," 	13,607 "," 	4,835 "," 	20,307 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,052 "," 	5,024 "," 	7,076 ", 	281 , 	868 ," 	1,149 ", 	- 0," 	1,327 "," 	6,631 "," 	11,347 "," 	9,243 "," 	11,156 "," 	9,020 "," 	6,277 "," 	15,422 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,047 "," 	1,973 "," 	3,020 ", 	241 , 	690 , 	931 , 	- 0, 	- 0," 	2,833 "," 	7,059 "," 	5,606 "," 	6,910 "," 	5,466 "," 	2,102 "," 	7,112 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	403 ," 	1,297 "," 	1,700 ", 	43 , 	544 , 	587 , 	- 0, 	- 0," 	1,691 "," 	3,330 "," 	2,844 "," 	3,326 "," 	2,837 "," 	1,226 "," 	4,307 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,735 "," 	3,521 "," 	5,256 ", 	163 , 	648 , 	811 , 	478 , 	297 ," 	4,435 "," 	10,725 "," 	8,372 "," 	9,202 "," 	7,315 "," 	4,119 "," 	10,720 "
,2008-09,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,869 "," 	4,232 "," 	6,101 ", 	269 ," 	1,261 "," 	1,530 ", 	73 , 	- 0," 	5,774 "," 	10,615 "," 	8,414 "," 	10,589 "," 	8,414 "," 	6,839 "," 	13,660 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	458 ," 	1,353 "," 	1,811 ", 	78 , 	365 , 	443 , 	82 , 	- 0," 	2,053 "," 	3,033 "," 	2,792 "," 	2,914 "," 	2,666 "," 	1,246 "," 	4,571 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	514 ," 	1,503 "," 	2,017 ", 	84 , 	328 , 	412 , 	201 , 	362 ," 	1,819 "," 	3,638 "," 	2,856 "," 	3,251 "," 	2,670 "," 	1,300 "," 	4,616 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	642 ," 	1,489 "," 	2,131 ", 	118 , 	718 , 	836 , 	101 , 	13 ," 	2,498 "," 	2,774 "," 	2,232 "," 	2,754 "," 	2,206 "," 	2,266 "," 	3,899 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,269 "," 	9,329 "," 	12,598 ", 	464 ," 	2,986 "," 	3,450 ", 	299 ," 	2,838 "," 	9,535 "," 	19,036 "," 	16,522 "," 	18,282 "," 	15,653 "," 	8,207 "," 	25,898 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,125 "," 	3,458 "," 	4,583 ", 	101 , 	905 ," 	1,006 ", 	24 , 	- 0," 	4,831 "," 	7,066 "," 	5,412 "," 	6,807 "," 	5,375 "," 	2,052 "," 	8,687 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,354 "," 	3,800 "," 	5,154 ", 	319 ," 	1,315 "," 	1,634 ", 	139 , 	- 0," 	4,120 "," 	7,853 "," 	9,008 "," 	7,442 "," 	6,741 "," 	4,148 "," 	12,084 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	878 ," 	2,134 "," 	3,012 ", 	111 , 	406 , 	517 , 	101 , 	- 0," 	2,580 "," 	5,282 "," 	3,880 "," 	5,163 "," 	3,797 "," 	2,330 "," 	7,256 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	611 ," 	1,756 "," 	2,367 ", 	107 , 	366 , 	473 , 	- 0, 	- 0," 	2,687 "," 	4,495 "," 	4,161 "," 	4,363 "," 	3,982 "," 	2,211 "," 	6,148 "
,2008-09,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	326 , 	694 ," 	1,020 ", 	42 , 	66 , 	108 , 	7 , 	3 ," 	1,005 "," 	2,572 "," 	1,974 "," 	2,493 "," 	1,914 "," 	1,340 "," 	3,289 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	602 ," 	1,892 "," 	2,494 ", 	90 , 	833 , 	923 , 	- 0, 	- 0," 	1,552 "," 	3,161 "," 	2,520 "," 	3,209 "," 	2,513 "," 	1,471 "," 	4,062 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	780 ," 	1,907 "," 	2,687 ", 	186 , 	442 , 	628 , 	43 , 	174 ," 	2,032 "," 	3,576 "," 	3,285 "," 	3,926 "," 	3,557 "," 	1,314 "," 	5,276 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	356 ," 	1,168 "," 	1,524 ", 	54 , 	174 , 	228 , 	78 , 	- 0," 	1,193 "," 	2,600 "," 	2,283 "," 	2,971 "," 	2,323 "," 	1,446 "," 	3,618 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	446 ," 	1,373 "," 	1,819 ", 	81 , 	369 , 	450 , 	- 0, 	189 ," 	1,483 "," 	3,282 "," 	2,800 "," 	2,956 "," 	2,759 "," 	1,762 "," 	4,862 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	542 ," 	1,680 "," 	2,222 ", 	90 , 	634 , 	724 , 	- 0, 	- 0," 	1,326 "," 	2,667 "," 	2,386 "," 	2,662 "," 	2,399 "," 	1,345 "," 	3,721 "
,2008-09,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,361 "," 	4,364 "," 	5,725 ", 	229 ," 	2,033 "," 	2,262 ", 	14 , 	11 ," 	3,822 "," 	8,086 "," 	6,113 "," 	7,827 "," 	5,863 "," 	4,491 "," 	10,904 "
