,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JUNE,,,,England," 	142,169 "," 	457,890 "," 	600,059 "," 	21,946 "," 	130,524 "," 	152,470 "," 	11,295 "," 	17,876 "," 	433,256 "," 	1,007,393 "," 	857,665 "," 	962,775 "," 	816,569 "," 	529,695 "," 	1,368,926 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	621 ," 	2,397 "," 	3,018 ", 	117 ," 	1,093 "," 	1,210 ", 	- 0, 	18 ," 	2,426 "," 	5,336 "," 	4,858 "," 	4,970 "," 	4,416 "," 	3,464 "," 	7,980 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	569 ," 	1,626 "," 	2,195 ", 	110 , 	462 , 	572 , 	- 0, 	527 ," 	2,514 "," 	4,526 "," 	5,072 "," 	3,506 "," 	3,950 "," 	4,600 "," 	8,003 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	845 ," 	3,458 "," 	4,303 ", 	126 ," 	1,263 "," 	1,389 ", 	- 0, 	53 ," 	2,438 "," 	5,455 "," 	5,727 "," 	4,774 "," 	5,104 "," 	1,686 "," 	8,680 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	851 ," 	3,244 "," 	4,095 ", 	100 , 	796 , 	896 , 	- 0, 	539 ," 	2,827 "," 	5,076 "," 	6,101 "," 	4,399 "," 	5,451 "," 	6,563 "," 	10,093 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	954 ," 	3,908 "," 	4,862 ", 	189 ," 	1,503 "," 	1,692 ", 	- 0, 	149 ," 	3,425 "," 	7,590 "," 	7,906 "," 	6,808 "," 	6,969 "," 	7,676 "," 	13,782 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	759 ," 	2,041 "," 	2,800 ", 	327 , 	610 , 	937 , 	- 0, 	18 ," 	1,715 "," 	4,483 "," 	2,965 "," 	3,705 "," 	2,636 "," 	1,817 "," 	3,768 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	703 ," 	2,558 "," 	3,261 ", 	203 , 	701 , 	904 , 	- 0, 	6 ," 	3,001 "," 	6,102 "," 	4,625 "," 	5,247 "," 	3,831 "," 	2,765 "," 	5,508 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,455 "," 	6,168 "," 	7,623 ", 	152 ," 	1,824 "," 	1,976 ", 	879 , 	457 ," 	4,088 "," 	12,903 "," 	9,917 "," 	12,250 "," 	9,452 "," 	7,934 "," 	15,286 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,415 "," 	4,865 "," 	6,280 ", 	132 ," 	1,545 "," 	1,677 ", 	238 , 	59 ," 	4,034 "," 	10,396 "," 	8,878 "," 	9,692 "," 	8,517 "," 	4,701 "," 	13,640 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,360 "," 	4,568 "," 	5,928 ", 	151 ," 	1,528 "," 	1,679 ", 	17 , 	8 ," 	3,735 "," 	9,359 "," 	7,773 "," 	9,094 "," 	7,468 "," 	5,413 "," 	12,885 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	506 ," 	1,838 "," 	2,344 ", 	121 , 	773 , 	894 , 	- 0, 	79 ," 	1,418 "," 	3,761 "," 	3,367 "," 	3,328 "," 	2,912 "," 	3,733 "," 	6,210 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	578 ," 	1,238 "," 	1,816 ", 	87 , 	294 , 	381 , 	- 0, 	- 0," 	1,537 "," 	3,776 "," 	3,788 "," 	3,150 "," 	3,253 "," 	1,601 "," 	5,432 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	977 ," 	3,350 "," 	4,327 ", 	131 ," 	1,060 "," 	1,191 ", 	- 0, 	- 0," 	3,146 "," 	7,451 "," 	6,180 "," 	7,442 "," 	6,175 "," 	3,491 "," 	8,544 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,088 "," 	4,061 "," 	5,149 ", 	124 , 	482 , 	606 , 	- 0, 	- 0," 	2,548 "," 	7,904 "," 	7,039 "," 	7,634 "," 	6,927 "," 	2,573 "," 	9,611 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,695 "," 	4,374 "," 	6,069 ", 	233 , 	877 ," 	1,110 ", 	- 0, 	- 0," 	3,917 "," 	13,167 "," 	10,816 "," 	12,306 "," 	10,108 "," 	5,135 "," 	15,045 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,603 "," 	4,510 "," 	6,113 ", 	305 ," 	1,069 "," 	1,374 ", 	- 0, 	- 0," 	3,597 "," 	12,392 "," 	11,270 "," 	11,369 "," 	10,339 "," 	5,959 "," 	16,450 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	452 ," 	1,097 "," 	1,549 ", 	77 , 	198 , 	275 , 	84 , 	13 ," 	1,438 "," 	3,118 "," 	2,853 "," 	2,955 "," 	2,814 "," 	1,463 "," 	3,942 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,547 "," 	5,536 "," 	7,083 ", 	189 ," 	1,836 "," 	2,025 ", 	32 ," 	1,250 "," 	3,957 "," 	10,002 "," 	8,350 "," 	9,972 "," 	8,078 "," 	5,202 "," 	12,885 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,965 "," 	10,484 "," 	13,449 ", 	467 ," 	3,352 "," 	3,819 ", 	509 , 	55 ," 	7,780 "," 	15,000 "," 	11,604 "," 	13,829 "," 	10,891 "," 	5,600 "," 	16,623 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	783 ," 	2,352 "," 	3,135 ", 	103 , 	583 , 	686 , 	- 0, 	- 0," 	1,721 "," 	5,011 "," 	4,462 "," 	4,877 "," 	4,295 "," 	1,226 "," 	5,371 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,582 "," 	5,396 "," 	6,978 ", 	194 ," 	1,751 "," 	1,945 ", 	- 0, 	- 0," 	4,513 "," 	11,226 "," 	10,522 "," 	11,062 "," 	10,333 "," 	5,478 "," 	16,403 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	670 ," 	2,708 "," 	3,378 ", 	87 , 	938 ," 	1,025 ", 	- 0, 	- 0," 	2,126 "," 	5,577 "," 	5,046 "," 	5,332 "," 	4,605 "," 	2,993 "," 	6,966 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	886 ," 	2,262 "," 	3,148 ", 	92 , 	460 , 	552 , 	- 0, 	- 0," 	2,287 "," 	7,085 "," 	5,374 "," 	6,976 "," 	5,240 "," 	2,662 "," 	7,576 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	965 ," 	2,709 "," 	3,674 ", 	150 , 	945 ," 	1,095 ", 	2 , 	- 0," 	3,295 "," 	6,380 "," 	6,189 "," 	6,303 "," 	5,500 "," 	6,089 "," 	8,955 "
,2009-10,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	950 ," 	2,969 "," 	3,919 ", 	164 , 	899 ," 	1,063 ", 	- 0, 	- 0," 	2,852 "," 	7,332 "," 	6,866 "," 	7,158 "," 	6,807 "," 	4,650 "," 	10,576 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	662 ," 	2,499 "," 	3,161 ", 	65 , 	465 , 	530 , 	377 , 	- 0," 	2,183 "," 	3,549 "," 	2,793 "," 	3,542 "," 	2,775 "," 	2,786 "," 	6,630 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	354 ," 	1,208 "," 	1,562 ", 	86 , 	226 , 	312 , 	- 0, 	- 0, 	871 ," 	2,740 "," 	2,533 "," 	2,733 "," 	2,530 "," 	1,327 "," 	3,614 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	864 ," 	3,304 "," 	4,168 ", 	122 , 	727 , 	849 , 	1 , 	143 ," 	2,069 "," 	6,870 "," 	5,946 "," 	6,323 "," 	5,475 ", 	731 ," 	8,217 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	585 ," 	2,122 "," 	2,707 ", 	85 , 	502 , 	587 , 	- 0, 	9 ," 	1,403 "," 	4,113 "," 	3,280 "," 	4,058 "," 	3,258 "," 	2,315 "," 	2,382 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	694 ," 	2,496 "," 	3,190 ", 	98 , 	384 , 	482 , 	- 0, 	- 0," 	2,483 "," 	9,248 "," 	7,107 "," 	8,703 "," 	6,149 "," 	4,131 "," 	8,332 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	584 ," 	1,967 "," 	2,551 ", 	62 , 	392 , 	454 , 	- 0, 	- 0," 	2,006 "," 	4,825 "," 	4,466 "," 	4,747 "," 	4,092 "," 	2,035 "," 	6,518 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	665 ," 	2,561 "," 	3,226 ", 	66 , 	633 , 	699 , 	- 0, 	387 ," 	2,212 "," 	6,350 "," 	4,907 "," 	5,974 "," 	4,403 "," 	3,754 "," 	7,407 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	345 ," 	1,236 "," 	1,581 ", 	29 , 	236 , 	265 , 	175 , 	- 0," 	1,989 "," 	3,461 "," 	2,344 "," 	3,170 "," 	2,336 "," 	2,167 "," 	4,839 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	435 ," 	1,524 "," 	1,959 ", 	53 , 	187 , 	240 , 	2 , 	- 0," 	1,704 "," 	4,493 "," 	3,945 "," 	4,197 "," 	4,106 "," 	2,818 "," 	7,134 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	457 ," 	1,259 "," 	1,716 ", 	54 , 	142 , 	196 , 	9 , 	- 0," 	1,747 "," 	3,922 "," 	3,345 "," 	3,615 "," 	3,339 "," 	2,396 "," 	5,950 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	558 ," 	1,868 "," 	2,426 ", 	80 , 	497 , 	577 , 	- 0, 	- 0," 	2,730 "," 	5,100 "," 	5,847 "," 	4,873 "," 	4,573 "," 	3,291 "," 	7,682 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	466 ," 	1,961 "," 	2,427 ", 	42 , 	473 , 	515 , 	- 0, 	17 ," 	1,718 "," 	5,815 "," 	4,461 "," 	5,274 "," 	4,088 "," 	3,372 "," 	8,281 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	460 ," 	1,070 "," 	1,530 ", 	65 , 	210 , 	275 , 	- 0, 	- 0," 	1,598 "," 	3,474 "," 	3,005 "," 	3,079 "," 	2,807 "," 	1,855 "," 	4,641 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	773 ," 	2,667 "," 	3,440 ", 	74 , 	637 , 	711 , 	- 0, 	- 0," 	2,919 "," 	7,473 "," 	5,771 "," 	6,793 "," 	5,153 "," 	3,947 "," 	9,370 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	540 ," 	1,701 "," 	2,241 ", 	45 , 	238 , 	283 , 	- 0, 	- 0," 	2,250 "," 	5,797 "," 	4,947 "," 	4,899 "," 	4,722 "," 	2,620 "," 	7,256 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	705 ," 	2,320 "," 	3,025 ", 	77 , 	665 , 	742 , 	- 0, 	- 0," 	2,147 "," 	6,891 "," 	5,792 "," 	6,477 "," 	5,230 "," 	2,772 "," 	8,598 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	491 ," 	1,591 "," 	2,082 ", 	79 , 	517 , 	596 , 	- 0, 	- 0," 	1,570 "," 	3,491 "," 	3,392 "," 	3,881 "," 	3,348 "," 	2,350 "," 	5,326 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	425 ," 	1,492 "," 	1,917 ", 	62 , 	316 , 	378 , 	- 0, 	- 0," 	1,364 "," 	4,512 "," 	3,975 "," 	3,476 "," 	3,069 "," 	2,992 "," 	6,609 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	369 ," 	1,671 "," 	2,040 ", 	43 , 	403 , 	446 , 	- 0, 	- 0," 	1,564 "," 	5,300 "," 	3,920 "," 	4,823 "," 	3,567 "," 	2,875 "," 	5,205 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	773 ," 	3,186 "," 	3,959 ", 	90 ," 	1,110 "," 	1,200 ", 	10 , 	64 ," 	2,268 "," 	7,017 "," 	6,369 "," 	6,837 "," 	5,730 "," 	4,326 "," 	11,057 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	328 ," 	1,110 "," 	1,438 ", 	48 , 	295 , 	343 , 	- 0, 	- 0," 	1,171 "," 	3,527 "," 	2,889 "," 	3,321 "," 	2,745 "," 	1,674 "," 	7,313 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	475 ," 	1,426 "," 	1,901 ", 	65 , 	478 , 	543 , 	- 0, 	- 0," 	1,493 "," 	4,756 "," 	3,600 "," 	4,608 "," 	3,528 "," 	2,726 "," 	5,743 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	572 ," 	2,168 "," 	2,740 ", 	105 , 	342 , 	447 , 	- 0, 	- 0," 	2,281 "," 	5,795 "," 	4,727 "," 	5,647 "," 	4,657 "," 	3,562 "," 	10,651 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	444 ," 	1,870 "," 	2,314 ", 	62 , 	283 , 	345 , 	- 0, 	- 0," 	1,980 "," 	4,538 "," 	3,821 "," 	4,490 "," 	3,790 "," 	3,342 "," 	9,214 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	550 ," 	2,585 "," 	3,135 ", 	107 , 	669 , 	776 , 	- 0, 	- 0," 	2,027 "," 	5,305 "," 	4,317 "," 	5,269 "," 	4,269 "," 	2,367 "," 	6,589 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	580 ," 	1,663 "," 	2,243 ", 	134 , 	586 , 	720 , 	- 0, 	- 0," 	2,029 "," 	7,859 "," 	4,289 "," 	7,202 "," 	4,226 "," 	2,336 "," 	9,582 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	358 , 	999 ," 	1,357 ", 	3 , 	6 , 	9 , 	- 0, 	- 0," 	1,101 "," 	3,397 "," 	2,879 "," 	3,357 "," 	2,855 "," 	1,563 "," 	5,417 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	825 ," 	2,446 "," 	3,271 ", 	85 , 	563 , 	648 , 	7 , 	133 ," 	2,699 "," 	7,819 "," 	5,728 "," 	7,460 "," 	5,628 "," 	1,980 "," 	14,751 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	521 ," 	2,116 "," 	2,637 ", 	79 , 	507 , 	586 , 	131 , 	- 0," 	2,282 "," 	5,819 "," 	4,711 "," 	5,730 "," 	4,616 "," 	2,678 "," 	7,158 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	512 ," 	2,056 "," 	2,568 ", 	77 , 	625 , 	702 , 	- 0, 	10 ," 	1,862 "," 	5,068 "," 	3,696 "," 	5,068 "," 	3,696 "," 	3,384 "," 	6,779 "
,2009-10,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	712 ," 	1,669 "," 	2,381 ", 	281 , 	157 , 	438 , 	- 0, 	37 ," 	1,390 "," 	3,299 "," 	2,328 "," 	2,676 "," 	2,194 "," 	1,759 "," 	4,145 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	565 ," 	1,670 "," 	2,235 ", 	55 , 	189 , 	244 , 	237 , 	15 ," 	2,187 "," 	5,802 "," 	4,147 "," 	5,625 "," 	4,147 "," 	1,617 "," 	6,268 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	803 ," 	1,566 "," 	2,369 ", 	328 , 	214 , 	542 , 	230 , 	- 0," 	2,143 "," 	6,093 "," 	4,588 "," 	5,979 "," 	4,572 "," 	2,812 "," 	6,501 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,334 "," 	7,870 "," 	10,204 ", 	135 ," 	1,817 "," 	1,952 ", 	- 0, 	570 ," 	8,294 "," 	18,767 "," 	16,970 "," 	17,757 "," 	16,291 "," 	6,799 "," 	25,373 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,268 "," 	5,894 "," 	8,162 ", 	457 ," 	1,082 "," 	1,539 ", 	- 0," 	1,603 "," 	6,530 "," 	13,576 "," 	11,307 "," 	13,444 "," 	11,056 "," 	8,789 "," 	19,878 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,114 "," 	2,286 "," 	3,400 ", 	236 , 	747 , 	983 , 	- 0, 	- 0," 	2,633 "," 	8,637 "," 	6,931 "," 	8,486 "," 	6,829 "," 	2,980 "," 	9,799 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	481 ," 	1,221 "," 	1,702 ", 	39 , 	486 , 	525 , 	- 0, 	- 0," 	1,684 "," 	4,159 "," 	3,682 "," 	4,155 "," 	3,682 "," 	1,832 "," 	5,170 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,726 "," 	4,154 "," 	5,880 ", 	246 , 	780 ," 	1,026 ", 	646 , 	316 ," 	4,763 "," 	12,575 "," 	10,454 "," 	11,374 "," 	9,571 "," 	5,379 "," 	14,103 "
,2009-10,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,164 "," 	5,294 "," 	7,458 ", 	438 ," 	1,532 "," 	1,970 ", 	96 , 	- 0," 	6,342 "," 	13,028 "," 	11,313 "," 	12,974 "," 	11,134 "," 	8,059 "," 	18,634 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	447 ," 	1,395 "," 	1,842 ", 	43 , 	291 , 	334 , 	182 , 	- 0," 	2,126 "," 	4,258 "," 	4,185 "," 	3,921 "," 	3,742 "," 	1,699 "," 	5,749 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	410 ," 	1,493 "," 	1,903 ", 	56 , 	313 , 	369 , 	257 , 	356 ," 	1,897 "," 	4,584 "," 	3,368 "," 	4,302 "," 	3,128 "," 	1,309 "," 	5,380 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	601 ," 	1,549 "," 	2,150 ", 	120 , 	607 , 	727 , 	286 , 	25 ," 	1,906 "," 	4,474 "," 	4,014 "," 	4,426 "," 	3,965 "," 	3,192 "," 	6,612 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,295 "," 	10,207 "," 	13,502 ", 	444 ," 	2,612 "," 	3,056 ", 	389 ," 	3,680 "," 	9,474 "," 	23,016 "," 	19,657 "," 	23,027 "," 	19,169 "," 	12,334 "," 	31,458 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,010 "," 	3,574 "," 	4,584 ", 	192 ," 	1,089 "," 	1,281 ", 	50 , 	- 0," 	3,603 "," 	8,773 "," 	7,163 "," 	8,502 "," 	7,163 "," 	2,702 "," 	11,705 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,198 "," 	3,911 "," 	5,109 ", 	283 ," 	1,416 "," 	1,699 ", 	172 , 	- 0," 	4,250 "," 	8,568 "," 	7,695 "," 	8,380 "," 	7,310 "," 	4,602 "," 	14,644 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	982 ," 	2,578 "," 	3,560 ", 	148 , 	582 , 	730 , 	78 , 	- 0," 	2,544 "," 	7,215 "," 	5,672 "," 	6,655 "," 	5,575 "," 	2,681 "," 	10,371 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	703 ," 	2,817 "," 	3,520 ", 	102 , 	527 , 	629 , 	119 , 	- 0," 	2,589 "," 	5,890 "," 	5,347 "," 	5,890 "," 	5,347 "," 	2,568 "," 	8,356 "
,2009-10,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	373 , 	756 ," 	1,129 ", 	34 , 	76 , 	110 , 	- 0, 	- 0," 	1,037 "," 	2,899 "," 	2,204 "," 	2,834 "," 	2,160 "," 	2,072 "," 	3,897 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	663 ," 	2,264 "," 	2,927 ", 	90 , 	911 ," 	1,001 ", 	44 , 	- 0," 	1,459 "," 	3,818 "," 	3,285 "," 	3,678 "," 	3,196 "," 	2,016 "," 	5,197 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	781 ," 	2,194 "," 	2,975 ", 	130 , 	358 , 	488 , 	188 , 	173 ," 	2,462 "," 	5,157 "," 	4,530 "," 	5,252 "," 	4,577 "," 	1,677 "," 	6,835 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	368 ," 	1,513 "," 	1,881 ", 	54 , 	230 , 	284 , 	47 , 	- 0," 	1,344 "," 	3,437 "," 	3,143 "," 	3,746 "," 	3,409 "," 	2,176 "," 	5,081 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	402 ," 	1,574 "," 	1,976 ", 	77 , 	475 , 	552 , 	- 0, 	211 ," 	1,588 "," 	4,097 "," 	3,471 "," 	3,867 "," 	3,151 "," 	2,014 "," 	6,117 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	562 ," 	1,968 "," 	2,530 ", 	54 , 	683 , 	737 , 	10 , 	- 0," 	1,492 "," 	3,730 "," 	3,533 "," 	3,639 "," 	3,443 "," 	1,732 "," 	5,140 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,469 "," 	5,604 "," 	7,073 ", 	233 ," 	2,552 "," 	2,785 ", 	9 , 	7 ," 	4,496 "," 	9,000 "," 	8,160 "," 	8,916 "," 	7,458 "," 	5,701 "," 	13,612 "
,2009-10,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,138 "," 	3,993 "," 	5,131 ", 	127 ," 	1,382 "," 	1,509 ", 	13 , 	- 0," 	3,318 "," 	7,630 "," 	6,544 "," 	7,088 "," 	6,071 "," 	4,169 "," 	10,812 "
