,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JULY,,,,England," 	144,940 "," 	477,674 "," 	622,614 "," 	23,120 "," 	144,366 "," 	167,486 "," 	23,607 "," 	458,096 "," 	1,039,442 "," 	864,466 "," 	986,708 "," 	818,848 "," 	534,076 "," 	1,389,422 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	862 ," 	3,157 "," 	4,019 ", 	111 , 	676 , 	787 , 	513 ," 	3,389 "," 	7,453 "," 	5,953 "," 	6,926 "," 	5,270 "," 	3,319 "," 	8,856 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,081 "," 	4,183 "," 	5,264 ", 	204 ," 	1,557 "," 	1,761 ", 	269 ," 	4,099 "," 	10,777 "," 	10,117 "," 	9,863 "," 	9,094 "," 	4,515 "," 	14,816 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	626 ," 	1,932 "," 	2,558 ", 	199 , 	531 , 	730 , 	50 ," 	1,783 "," 	3,707 "," 	3,719 "," 	3,379 "," 	3,102 "," 	1,256 "," 	4,519 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	647 ," 	2,593 "," 	3,240 ", 	148 , 	738 , 	886 , 	32 ," 	2,777 "," 	5,150 "," 	5,359 "," 	4,449 "," 	4,023 "," 	1,568 "," 	5,842 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,612 "," 	6,400 "," 	8,012 ", 	222 ," 	2,206 "," 	2,428 "," 	1,134 "," 	4,767 "," 	13,185 "," 	10,066 "," 	12,161 "," 	9,241 "," 	7,889 "," 	15,258 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,557 "," 	4,735 "," 	6,292 ", 	207 ," 	1,471 "," 	1,678 "," 	1,239 "," 	4,271 "," 	10,857 "," 	8,787 "," 	9,512 "," 	8,483 "," 	4,861 "," 	13,410 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,502 "," 	4,949 "," 	6,451 ", 	191 ," 	1,666 "," 	1,857 ", 	47 ," 	3,824 "," 	10,016 "," 	8,324 "," 	9,634 "," 	8,084 "," 	6,167 "," 	13,307 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	561 ," 	1,879 "," 	2,440 ", 	76 , 	764 , 	840 , 	34 ," 	1,884 "," 	4,517 "," 	4,821 "," 	4,186 "," 	4,482 "," 	1,961 "," 	6,830 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	530 ," 	1,214 "," 	1,744 ", 	103 , 	294 , 	397 , 	2 ," 	1,446 "," 	3,323 "," 	3,279 "," 	2,864 "," 	2,783 "," 	1,623 "," 	5,175 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	986 ," 	3,387 "," 	4,373 ", 	171 ," 	1,194 "," 	1,365 ", 	1 ," 	2,791 "," 	6,813 "," 	5,903 "," 	6,736 "," 	5,887 "," 	3,038 "," 	8,760 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,051 "," 	3,267 "," 	4,318 ", 	169 , 	589 , 	758 , 	39 ," 	2,740 "," 	8,287 "," 	7,178 "," 	7,838 "," 	6,835 "," 	3,085 "," 	10,328 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	449 ," 	1,253 "," 	1,702 ", 	60 , 	283 , 	343 , 	7 ," 	1,353 "," 	3,126 "," 	2,260 "," 	2,942 "," 	2,167 "," 	1,832 "," 	3,591 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,534 "," 	5,746 "," 	7,280 ", 	300 ," 	1,879 "," 	2,179 "," 	1,266 "," 	4,281 "," 	9,784 "," 	8,002 "," 	9,466 "," 	7,750 "," 	6,760 "," 	13,045 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,138 "," 	8,028 "," 	10,166 ", 	288 ," 	2,701 "," 	2,989 ", 	39 ," 	6,109 "," 	14,267 "," 	12,872 "," 	13,943 "," 	12,589 "," 	5,589 "," 	19,556 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	740 ," 	2,428 "," 	3,168 ", 	106 , 	396 , 	502 , 	1 ," 	1,787 "," 	5,800 "," 	4,477 "," 	5,584 "," 	4,370 "," 	1,550 "," 	6,130 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,455 "," 	5,312 "," 	6,767 ", 	196 ," 	1,777 "," 	1,973 ", 	274 ," 	4,704 "," 	12,018 "," 	9,533 "," 	11,677 "," 	9,259 "," 	4,634 "," 	15,577 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	768 ," 	2,833 "," 	3,601 ", 	89 ," 	1,059 "," 	1,148 ", 	413 ," 	2,214 "," 	5,415 "," 	4,294 "," 	5,159 "," 	4,028 "," 	2,766 "," 	6,325 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	811 ," 	2,184 "," 	2,995 ", 	120 , 	345 , 	465 , 	- 0," 	2,377 "," 	4,154 "," 	4,202 "," 	4,010 "," 	4,041 "," 	1,991 "," 	6,439 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	829 ," 	2,871 "," 	3,700 ", 	72 , 	954 ," 	1,026 ", 	5 ," 	2,447 "," 	6,899 "," 	5,770 "," 	6,806 "," 	5,679 "," 	4,551 "," 	9,289 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	864 ," 	3,334 "," 	4,198 ", 	135 ," 	1,167 "," 	1,302 ", 	- 0," 	2,721 "," 	8,343 "," 	7,261 "," 	8,178 "," 	7,232 "," 	4,541 "," 	11,480 "
,2010-11,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	3,121 "," 	8,823 "," 	11,944 ", 	391 ," 	2,130 "," 	2,521 ", 	305 ," 	7,646 "," 	22,140 "," 	18,720 "," 	21,036 "," 	17,762 "," 	12,155 "," 	28,710 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	551 ," 	2,286 "," 	2,837 ", 	67 , 	390 , 	457 , 	- 0," 	2,121 "," 	4,214 "," 	3,695 "," 	4,197 "," 	3,680 "," 	2,363 "," 	6,131 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	350 ," 	1,069 "," 	1,419 ", 	48 , 	313 , 	361 , 	25 , 	971 ," 	3,052 "," 	2,645 "," 	2,544 "," 	2,272 "," 	1,350 "," 	3,885 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	819 ," 	3,297 "," 	4,116 ", 	119 , 	805 , 	924 , 	2 ," 	2,168 "," 	7,581 "," 	5,734 "," 	7,173 "," 	5,726 "," 	3,975 "," 	9,350 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	548 ," 	2,098 "," 	2,646 ", 	94 , 	675 , 	769 , 	- 0," 	1,989 "," 	4,188 "," 	3,884 "," 	3,837 "," 	3,641 "," 	2,956 "," 	7,087 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	785 ," 	3,135 "," 	3,920 ", 	109 , 	603 , 	712 , 	150 ," 	3,067 "," 	8,337 "," 	6,898 "," 	7,895 "," 	6,160 "," 	5,483 "," 	10,688 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	631 ," 	2,197 "," 	2,828 ", 	89 , 	533 , 	622 , 	613 ," 	2,294 "," 	5,761 "," 	4,545 "," 	5,310 "," 	4,257 "," 	2,517 "," 	7,401 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	665 ," 	2,798 "," 	3,463 ", 	73 , 	747 , 	820 , 	427 ," 	2,163 "," 	5,945 "," 	5,301 "," 	5,509 "," 	4,609 "," 	4,255 "," 	8,190 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	354 ," 	1,340 "," 	1,694 ", 	43 , 	259 , 	302 , 	- 0," 	1,908 "," 	3,315 "," 	2,576 "," 	3,277 "," 	2,560 "," 	1,733 "," 	4,306 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	456 ," 	1,742 "," 	2,198 ", 	100 , 	319 , 	419 , 	- 0," 	1,881 "," 	3,927 "," 	3,635 "," 	3,689 "," 	3,386 "," 	2,203 "," 	5,362 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	387 ," 	1,575 "," 	1,962 ", 	72 , 	380 , 	452 , 	- 0," 	1,770 "," 	4,541 "," 	3,858 "," 	3,941 "," 	3,218 "," 	2,932 "," 	6,815 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	561 ," 	1,843 "," 	2,404 ", 	106 , 	707 , 	813 , 	- 0," 	2,740 "," 	8,074 "," 	6,721 "," 	5,823 "," 	4,558 "," 	3,301 "," 	8,379 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	500 ," 	2,261 "," 	2,761 ", 	51 , 	598 , 	649 , 	19 ," 	1,842 "," 	5,789 "," 	4,842 "," 	5,361 "," 	4,469 "," 	3,701 "," 	8,777 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	427 ," 	1,187 "," 	1,614 ", 	66 , 	208 , 	274 , 	13 ," 	1,892 "," 	4,309 "," 	3,507 "," 	3,858 "," 	3,183 "," 	2,059 "," 	5,313 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	766 ," 	2,829 "," 	3,595 ", 	96 , 	719 , 	815 , 	181 ," 	2,998 "," 	8,137 "," 	6,341 "," 	7,213 "," 	5,685 "," 	4,450 "," 	9,270 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	559 ," 	1,681 "," 	2,240 ", 	81 , 	394 , 	475 , 	9 ," 	1,952 "," 	6,403 "," 	4,668 "," 	5,671 "," 	4,136 "," 	2,077 "," 	6,684 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	703 ," 	2,320 "," 	3,023 ", 	100 , 	638 , 	738 , 	753 ," 	2,420 "," 	6,720 "," 	5,401 "," 	6,362 "," 	5,235 "," 	3,321 "," 	7,802 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	517 ," 	1,727 "," 	2,244 ", 	94 , 	611 , 	705 , 	331 ," 	1,535 "," 	3,542 "," 	3,267 "," 	3,431 "," 	3,154 "," 	2,031 "," 	4,992 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	449 ," 	1,698 "," 	2,147 ", 	60 , 	453 , 	513 , 	3 ," 	1,506 "," 	5,247 "," 	4,511 "," 	4,902 "," 	4,190 "," 	3,104 "," 	7,284 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	454 ," 	1,817 "," 	2,271 ", 	47 , 	531 , 	578 , 	1 ," 	1,723 "," 	4,484 "," 	3,849 "," 	4,131 "," 	3,496 "," 	2,747 "," 	6,570 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	752 ," 	3,015 "," 	3,767 ", 	125 , 	740 , 	865 , 	53 ," 	2,808 "," 	7,064 "," 	5,308 "," 	6,305 "," 	5,105 "," 	4,341 "," 	10,449 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	385 ," 	1,135 "," 	1,520 ", 	70 , 	278 , 	348 , 	3 ," 	1,493 "," 	3,768 "," 	2,958 "," 	3,501 "," 	2,769 "," 	1,979 "," 	7,628 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	512 ," 	1,436 "," 	1,948 ", 	69 , 	347 , 	416 , 	9 ," 	1,919 "," 	7,082 "," 	3,716 "," 	6,669 "," 	3,498 "," 	3,077 "," 	9,108 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	608 ," 	2,013 "," 	2,621 ", 	100 , 	447 , 	547 , 	7 ," 	2,910 "," 	6,835 "," 	5,041 "," 	5,667 "," 	4,600 "," 	4,020 "," 	9,828 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	555 ," 	1,791 "," 	2,346 ", 	93 , 	433 , 	526 , 	101 ," 	2,784 "," 	5,571 "," 	4,045 "," 	4,631 "," 	3,713 "," 	3,776 "," 	9,125 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	567 ," 	2,358 "," 	2,925 ", 	93 , 	605 , 	698 , 	99 ," 	2,105 "," 	5,743 "," 	4,275 "," 	5,401 "," 	4,121 "," 	2,962 "," 	7,349 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	642 ," 	1,726 "," 	2,368 ", 	105 , 	419 , 	524 , 	44 ," 	2,189 "," 	9,897 "," 	6,484 "," 	8,564 "," 	5,389 "," 	3,679 "," 	8,995 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	364 ," 	1,163 "," 	1,527 ", 	47 , 	378 , 	425 , 	20 ," 	1,096 "," 	3,968 "," 	3,315 "," 	3,383 "," 	2,960 "," 	1,543 "," 	4,594 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	860 ," 	2,582 "," 	3,442 ", 	119 , 	533 , 	652 , 	151 ," 	2,648 "," 	8,721 "," 	6,427 "," 	7,933 "," 	5,864 "," 	2,405 "," 	9,667 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	508 ," 	2,238 "," 	2,746 ", 	80 , 	584 , 	664 , 	147 ," 	2,415 "," 	5,231 "," 	4,213 "," 	5,185 "," 	4,186 "," 	2,323 "," 	6,679 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	571 ," 	2,235 "," 	2,806 ", 	92 , 	768 , 	860 , 	2 ," 	2,175 "," 	6,369 "," 	4,387 "," 	6,304 "," 	4,335 "," 	2,597 "," 	7,965 "
,2010-11,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	545 ," 	2,101 "," 	2,646 ", 	75 , 	602 , 	677 , 	- 0," 	1,720 "," 	2,950 "," 	2,726 "," 	2,742 "," 	2,590 "," 	2,113 "," 	5,160 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	842 ," 	1,944 "," 	2,786 ", 	283 , 	629 , 	912 , 	- 0," 	2,105 "," 	5,013 "," 	4,685 "," 	4,775 "," 	4,441 "," 	2,526 "," 	7,101 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	783 ," 	2,063 "," 	2,846 ", 	338 , 	433 , 	771 , 	217 ," 	2,346 "," 	5,470 "," 	4,221 "," 	5,332 "," 	4,057 "," 	2,999 "," 	6,143 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,650 "," 	8,930 "," 	11,580 ", 	256 ," 	2,560 "," 	2,816 ", 	198 ," 	9,081 "," 	19,648 "," 	17,091 "," 	18,372 "," 	16,005 "," 	8,221 "," 	27,161 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,309 "," 	6,783 "," 	9,092 ", 	547 ," 	1,787 "," 	2,334 "," 	1,350 "," 	7,020 "," 	14,183 "," 	11,986 "," 	14,027 "," 	11,835 "," 	9,400 "," 	21,241 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,143 "," 	2,619 "," 	3,762 ", 	298 , 	828 ," 	1,126 ", 	107 ," 	2,859 "," 	8,038 "," 	6,649 "," 	7,925 "," 	6,532 "," 	3,036 "," 	9,229 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	584 ," 	1,539 "," 	2,123 ", 	63 , 	535 , 	598 , 	1 ," 	1,682 "," 	4,223 "," 	3,769 "," 	4,218 "," 	3,765 "," 	1,859 "," 	5,453 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,906 "," 	4,997 "," 	6,903 ", 	336 ," 	1,333 "," 	1,669 ", 	2 ," 	5,096 "," 	13,882 "," 	10,995 "," 	12,760 "," 	9,954 "," 	7,624 "," 	16,112 "
,2010-11,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,252 "," 	6,226 "," 	8,478 ", 	398 ," 	2,132 "," 	2,530 ", 	2 ," 	6,306 "," 	14,823 "," 	12,289 "," 	14,450 "," 	12,065 "," 	9,386 "," 	20,312 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	619 ," 	1,884 "," 	2,503 ", 	137 , 	670 , 	807 , 	151 ," 	2,134 "," 	4,324 "," 	3,891 "," 	3,893 "," 	3,428 "," 	1,706 "," 	6,013 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	441 ," 	1,503 "," 	1,944 ", 	35 , 	206 , 	241 , 	258 ," 	1,715 "," 	4,601 "," 	3,350 "," 	4,459 "," 	3,214 "," 	1,511 "," 	5,385 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	548 ," 	2,126 "," 	2,674 ", 	85 , 	811 , 	896 , 	676 ," 	2,194 "," 	3,981 "," 	3,960 "," 	3,765 "," 	3,786 "," 	2,283 "," 	5,611 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,261 "," 	11,220 "," 	14,481 ", 	375 ," 	2,727 "," 	3,102 "," 	3,114 "," 	9,976 "," 	22,839 "," 	18,469 "," 	22,447 "," 	18,137 "," 	12,150 "," 	30,001 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	983 ," 	3,684 "," 	4,667 ", 	183 ," 	1,069 "," 	1,252 ", 	57 ," 	3,748 "," 	8,350 "," 	6,485 "," 	8,065 "," 	6,181 "," 	2,558 "," 	11,324 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,371 "," 	4,243 "," 	5,614 ", 	364 ," 	1,483 "," 	1,847 ", 	90 ," 	4,359 "," 	7,826 "," 	7,139 "," 	7,681 "," 	6,998 "," 	4,287 "," 	13,722 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	948 ," 	2,925 "," 	3,873 ", 	131 , 	520 , 	651 , 	67 ," 	2,521 "," 	7,597 "," 	6,080 "," 	7,221 "," 	5,850 "," 	2,710 "," 	10,468 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	770 ," 	3,091 "," 	3,861 ", 	130 , 	496 , 	626 , 	77 ," 	2,752 "," 	8,174 "," 	6,706 "," 	7,761 "," 	6,324 "," 	1,571 "," 	10,080 "
,2010-11,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	327 , 	733 ," 	1,060 ", 	36 , 	77 , 	113 , 	32 , 	990 ," 	3,091 "," 	2,292 "," 	3,025 "," 	2,202 "," 	2,041 "," 	3,772 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	699 ," 	2,381 "," 	3,080 ", 	97 ," 	1,043 "," 	1,140 ", 	- 0," 	1,531 "," 	3,796 "," 	3,342 "," 	3,686 "," 	3,238 "," 	2,003 "," 	5,346 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	664 ," 	2,083 "," 	2,747 ", 	121 , 	412 , 	533 , 	144 ," 	2,483 "," 	4,624 "," 	3,828 "," 	4,606 "," 	3,808 "," 	1,290 "," 	6,060 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	438 ," 	1,469 "," 	1,907 ", 	75 , 	272 , 	347 , 	- 0," 	1,349 "," 	3,659 "," 	3,095 "," 	3,315 "," 	3,056 "," 	1,737 "," 	4,794 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	500 ," 	1,617 "," 	2,117 ", 	99 , 	587 , 	686 , 	- 0," 	1,693 "," 	3,823 "," 	3,262 "," 	3,775 "," 	3,111 "," 	2,009 "," 	5,472 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	605 ," 	2,061 "," 	2,666 ", 	75 , 	685 , 	760 , 	- 0," 	1,686 "," 	3,741 "," 	3,099 "," 	3,636 "," 	3,060 "," 	1,703 "," 	4,908 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,482 "," 	5,810 "," 	7,292 ", 	211 ," 	2,455 "," 	2,666 ", 	9 ," 	4,646 "," 	9,660 "," 	8,301 "," 	9,231 "," 	7,808 "," 	5,090 "," 	13,503 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,110 "," 	3,996 "," 	5,106 ", 	157 ," 	1,520 "," 	1,677 ", 	- 0," 	3,432 "," 	7,485 "," 	6,030 "," 	7,157 "," 	5,733 "," 	3,980 "," 	10,333 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,288 "," 	3,770 "," 	5,058 ", 	174 , 	752 , 	926 , 	26 ," 	3,435 "," 	8,309 "," 	7,144 "," 	7,955 "," 	7,093 "," 	4,309 "," 	11,241 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,717 "," 	5,015 "," 	6,732 ", 	157 ," 	1,075 "," 	1,232 ", 	2 ," 	4,664 "," 	8,834 "," 	8,079 "," 	8,783 "," 	7,935 "," 	3,895 "," 	12,875 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,382 "," 	4,911 "," 	6,293 ", 	159 ," 	1,580 "," 	1,739 ", 	4 ," 	3,475 "," 	7,489 "," 	6,352 "," 	7,419 "," 	6,296 "," 	3,309 "," 	10,225 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	983 ," 	4,073 "," 	5,056 ", 	146 ," 	1,914 "," 	2,060 ", 	2 ," 	3,517 "," 	5,944 "," 	4,595 "," 	5,738 "," 	4,476 "," 	4,048 "," 	9,617 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,757 "," 	5,354 "," 	7,111 ", 	301 ," 	2,034 "," 	2,335 ", 	55 ," 	4,532 "," 	10,441 "," 	9,284 "," 	10,341 "," 	9,206 "," 	4,729 "," 	13,786 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,668 "," 	8,012 "," 	10,680 ", 	561 ," 	3,090 "," 	3,651 ", 	151 ," 	6,349 "," 	13,807 "," 	11,468 "," 	13,716 "," 	11,372 "," 	5,865 "," 	17,354 "
,2010-11,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,TAL,TORBAY CARE TRUST, 	494 ," 	1,369 "," 	1,863 ", 	90 , 	432 , 	522 , 	112 ," 	1,424 "," 	2,571 "," 	2,278 "," 	2,570 "," 	2,275 "," 	1,338 "," 	3,622 "
