,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,NOVEMBER,,,,England," 	143,021 "," 	414,948 "," 	557,969 "," 	22,563 "," 	119,263 "," 	141,826 "," 	9,370 "," 	17,065 "," 	422,489 "," 	841,257 "," 	750,375 "," 	806,813 "," 	708,597 "," 	452,756 "," 	1,171,818 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	326 ," 	1,440 "," 	1,766 ", 	39 , 	478 , 	517 , 	4 , 	11 ," 	1,207 "," 	2,229 "," 	1,205 "," 	2,105 "," 	1,111 "," 	1,769 "," 	1,581 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	617 ," 	2,228 "," 	2,845 ", 	118 , 	950 ," 	1,068 ", 	- 0, 	12 ," 	2,334 "," 	4,994 "," 	4,199 "," 	4,709 "," 	3,849 "," 	3,334 "," 	6,738 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	547 ," 	1,580 "," 	2,127 ", 	104 , 	367 , 	471 , 	- 0, 	515 ," 	2,435 "," 	4,174 "," 	3,789 "," 	3,143 "," 	2,695 "," 	3,949 "," 	6,269 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	918 ," 	3,109 "," 	4,027 ", 	140 ," 	1,175 "," 	1,315 ", 	- 0, 	42 ," 	2,287 "," 	5,679 "," 	5,309 "," 	5,125 "," 	4,774 "," 	1,469 "," 	6,867 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	936 ," 	3,046 "," 	3,982 ", 	115 , 	700 , 	815 , 	- 0, 	460 ," 	2,962 "," 	4,197 "," 	3,862 "," 	3,604 "," 	3,341 "," 	4,617 "," 	7,571 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	964 ," 	3,474 "," 	4,438 ", 	225 ," 	1,362 "," 	1,587 ", 	- 0, 	236 ," 	3,594 "," 	6,787 "," 	6,445 "," 	6,022 "," 	5,498 "," 	6,912 "," 	11,165 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	561 ," 	1,839 "," 	2,400 ", 	195 , 	564 , 	759 , 	- 0, 	39 ," 	1,533 "," 	3,474 "," 	2,986 "," 	3,125 "," 	2,684 "," 	1,764 "," 	3,709 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	781 ," 	2,625 "," 	3,406 ", 	259 , 	817 ," 	1,076 ", 	- 0, 	83 ," 	2,580 "," 	4,829 "," 	4,199 "," 	4,275 "," 	3,602 "," 	2,466 "," 	5,036 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,533 "," 	4,803 "," 	6,336 ", 	181 ," 	1,631 "," 	1,812 ", 	- 0, 	468 ," 	4,323 "," 	10,907 "," 	8,238 "," 	10,300 "," 	7,871 "," 	7,870 "," 	13,030 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,464 "," 	4,309 "," 	5,773 ", 	131 ," 	1,405 "," 	1,536 ", 	162 ," 	1,065 "," 	3,961 "," 	8,489 "," 	7,903 "," 	7,940 "," 	7,309 "," 	3,621 "," 	10,484 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,369 "," 	4,706 "," 	6,075 ", 	163 ," 	1,519 "," 	1,682 ", 	17 , 	24 ," 	3,557 "," 	7,026 "," 	6,957 "," 	6,802 "," 	6,509 "," 	5,064 "," 	11,718 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	489 ," 	1,648 "," 	2,137 ", 	149 , 	726 , 	875 , 	- 0, 	20 ," 	1,347 "," 	3,447 "," 	2,967 "," 	3,034 "," 	2,565 "," 	3,308 "," 	4,955 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	551 ," 	1,149 "," 	1,700 ", 	88 , 	290 , 	378 , 	- 0, 	- 0," 	1,593 "," 	3,167 "," 	3,131 "," 	2,340 "," 	2,657 "," 	1,061 "," 	4,552 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	948 ," 	2,928 "," 	3,876 ", 	108 , 	897 ," 	1,005 ", 	- 0, 	- 0," 	2,718 "," 	6,260 "," 	5,281 "," 	6,254 "," 	5,274 "," 	2,855 "," 	7,346 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,193 "," 	3,497 "," 	4,690 ", 	126 , 	468 , 	594 , 	- 0, 	18 ," 	2,597 "," 	6,877 "," 	5,839 "," 	6,608 "," 	5,525 "," 	2,348 "," 	9,614 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	2,188 "," 	3,328 "," 	5,516 ", 	251 , 	801 ," 	1,052 ", 	- 0, 	- 0," 	3,381 "," 	11,490 "," 	8,259 "," 	10,639 "," 	7,647 "," 	7,284 "," 	12,771 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,574 "," 	4,121 "," 	5,695 ", 	195 , 	766 , 	961 , 	- 0, 	- 0," 	3,479 "," 	10,491 "," 	9,811 "," 	9,451 "," 	8,839 "," 	5,931 "," 	14,332 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	373 ," 	1,092 "," 	1,465 ", 	67 , 	237 , 	304 , 	2 , 	11 ," 	1,357 "," 	2,572 "," 	2,378 "," 	2,383 "," 	2,240 "," 	1,483 "," 	3,390 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,513 "," 	4,973 "," 	6,486 ", 	298 ," 	1,866 "," 	2,164 ", 	31 ," 	1,158 "," 	3,893 "," 	8,231 "," 	7,040 "," 	8,187 "," 	6,829 "," 	4,612 "," 	10,664 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,890 "," 	6,280 "," 	8,170 ", 	870 ," 	1,520 "," 	2,390 ", 	573 , 	32 ," 	5,300 "," 	12,836 "," 	11,389 "," 	13,120 "," 	9,090 "," 	2,990 "," 	13,130 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	798 ," 	2,144 "," 	2,942 ", 	127 , 	596 , 	723 , 	- 0, 	- 0," 	1,618 "," 	4,498 "," 	3,953 "," 	4,361 "," 	3,832 ", 	812 ," 	4,644 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,546 "," 	4,406 "," 	5,952 ", 	165 ," 	1,568 "," 	1,733 ", 	- 0, 	- 0," 	4,141 "," 	9,326 "," 	9,107 "," 	8,932 "," 	8,815 "," 	4,013 "," 	13,678 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	684 ," 	2,408 "," 	3,092 ", 	81 , 	901 , 	982 , 	- 0, 	- 0," 	2,093 "," 	4,648 "," 	4,302 "," 	4,417 "," 	3,943 "," 	2,174 "," 	5,816 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	864 ," 	2,120 "," 	2,984 ", 	132 , 	467 , 	599 , 	- 0, 	- 0," 	2,030 "," 	5,485 "," 	4,739 "," 	5,394 "," 	4,601 "," 	2,278 "," 	6,180 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	944 ," 	2,495 "," 	3,439 ", 	168 , 	821 , 	989 , 	4 , 	- 0," 	3,108 "," 	5,096 "," 	5,487 "," 	5,013 "," 	4,701 "," 	5,055 "," 	7,549 "
,2008-09,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	886 ," 	2,754 "," 	3,640 ", 	137 , 	893 ," 	1,030 ", 	- 0, 	- 0," 	2,433 "," 	6,421 "," 	5,860 "," 	6,285 "," 	5,817 "," 	3,729 "," 	9,024 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	687 ," 	2,282 "," 	2,969 ", 	56 , 	598 , 	654 , 	377 , 	- 0," 	1,774 "," 	3,061 "," 	2,548 "," 	3,057 "," 	2,461 "," 	2,545 "," 	5,216 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	329 ," 	1,120 "," 	1,449 ", 	73 , 	190 , 	263 , 	- 0, 	- 0, 	756 ," 	2,253 "," 	1,924 "," 	2,090 "," 	1,792 ", 	929 ," 	2,890 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	895 ," 	3,177 "," 	4,072 ", 	74 , 	728 , 	802 , 	1 , 	226 ," 	1,991 "," 	5,937 "," 	5,315 "," 	5,089 "," 	4,896 ", 	901 ," 	6,789 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	552 ," 	2,004 "," 	2,556 ", 	110 , 	704 , 	814 , 	- 0, 	7 ," 	1,381 "," 	3,475 "," 	2,960 "," 	3,434 "," 	2,942 "," 	2,578 "," 	5,931 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	755 ," 	2,501 "," 	3,256 ", 	98 , 	405 , 	503 , 	- 0, 	- 0," 	2,610 "," 	7,311 "," 	6,198 "," 	6,730 "," 	5,307 "," 	3,428 "," 	8,945 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	579 ," 	1,776 "," 	2,355 ", 	67 , 	369 , 	436 , 	1 , 	- 0," 	1,796 "," 	4,281 "," 	3,948 "," 	4,109 "," 	3,583 "," 	1,700 "," 	5,373 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	632 ," 	2,182 "," 	2,814 ", 	54 , 	589 , 	643 , 	- 0, 	333 ," 	2,159 "," 	4,924 "," 	4,141 "," 	4,415 "," 	3,581 "," 	3,186 "," 	6,834 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	408 ," 	1,284 "," 	1,692 ", 	41 , 	316 , 	357 , 	126 , 	- 0," 	1,409 "," 	2,815 "," 	2,252 "," 	2,808 "," 	2,249 "," 	1,776 "," 	3,774 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	488 ," 	1,257 "," 	1,745 ", 	60 , 	146 , 	206 , 	- 0, 	- 0," 	1,689 "," 	4,034 "," 	4,129 "," 	3,797 "," 	3,717 "," 	2,090 "," 	6,072 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	360 , 	913 ," 	1,273 ", 	24 , 	94 , 	118 , 	7 , 	- 0," 	1,989 "," 	3,303 "," 	3,299 "," 	2,900 "," 	3,137 "," 	1,833 "," 	5,211 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	523 ," 	1,686 "," 	2,209 ", 	80 , 	407 , 	487 , 	- 0, 	- 0," 	2,275 "," 	4,717 "," 	4,900 "," 	4,070 "," 	3,862 "," 	2,483 "," 	6,442 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	498 ," 	1,932 "," 	2,430 ", 	48 , 	548 , 	596 , 	- 0, 	15 ," 	1,643 "," 	4,294 "," 	3,576 "," 	3,884 "," 	3,226 "," 	2,671 "," 	6,598 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	352 ," 	1,045 "," 	1,397 ", 	40 , 	314 , 	354 , 	- 0, 	- 0," 	1,650 "," 	3,055 "," 	2,581 "," 	2,659 "," 	2,285 "," 	1,512 "," 	4,596 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	767 ," 	2,553 "," 	3,320 ", 	62 , 	616 , 	678 , 	- 0, 	- 0," 	2,736 "," 	6,024 "," 	5,124 "," 	5,452 "," 	4,581 "," 	3,505 "," 	8,159 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	543 ," 	1,368 "," 	1,911 ", 	40 , 	174 , 	214 , 	- 0, 	- 0," 	2,033 "," 	4,643 "," 	4,312 "," 	4,158 "," 	4,137 "," 	2,705 "," 	6,241 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	626 ," 	2,032 "," 	2,658 ", 	89 , 	602 , 	691 , 	- 0, 	- 0," 	2,135 "," 	5,767 "," 	4,538 "," 	5,473 "," 	4,036 "," 	2,780 "," 	6,689 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	481 ," 	1,592 "," 	2,073 ", 	86 , 	533 , 	619 , 	- 0, 	- 0," 	1,549 "," 	3,335 "," 	2,813 "," 	2,897 "," 	2,552 "," 	1,744 "," 	4,125 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	383 ," 	1,296 "," 	1,679 ", 	44 , 	323 , 	367 , 	- 0, 	- 0," 	1,306 "," 	3,725 "," 	3,870 "," 	3,725 "," 	3,870 "," 	3,022 "," 	6,608 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	383 ," 	1,382 "," 	1,765 ", 	35 , 	312 , 	347 , 	- 0, 	- 0," 	1,183 "," 	3,990 "," 	3,031 "," 	3,630 "," 	2,758 "," 	2,770 "," 	5,209 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	731 ," 	3,044 "," 	3,775 ", 	109 ," 	1,009 "," 	1,118 ", 	- 0, 	56 ," 	2,333 "," 	5,111 "," 	4,640 "," 	5,058 "," 	4,534 "," 	3,973 "," 	8,826 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	310 , 	951 ," 	1,261 ", 	38 , 	297 , 	335 , 	- 0, 	- 0," 	1,109 "," 	2,785 "," 	2,403 "," 	2,658 "," 	2,311 "," 	1,424 "," 	5,023 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	482 ," 	1,364 "," 	1,846 ", 	64 , 	419 , 	483 , 	- 0, 	- 0," 	1,523 "," 	3,662 "," 	3,182 "," 	3,554 "," 	3,043 "," 	2,277 "," 	5,999 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	619 ," 	1,766 "," 	2,385 ", 	90 , 	333 , 	423 , 	- 0, 	- 0," 	2,142 "," 	5,364 "," 	4,189 "," 	5,220 "," 	4,127 "," 	2,961 "," 	8,868 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	527 ," 	1,691 "," 	2,218 ", 	69 , 	325 , 	394 , 	- 0, 	- 0," 	1,979 "," 	4,315 "," 	3,878 "," 	4,297 "," 	3,865 "," 	2,810 "," 	8,230 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	568 ," 	2,278 "," 	2,846 ", 	109 , 	606 , 	715 , 	- 0, 	- 0," 	1,752 "," 	4,704 "," 	3,871 "," 	4,671 "," 	3,842 "," 	2,066 "," 	7,007 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	499 ," 	1,344 "," 	1,843 ", 	113 , 	451 , 	564 , 	- 0, 	- 0," 	2,252 "," 	6,538 "," 	3,981 "," 	5,984 "," 	3,927 "," 	1,963 "," 	7,325 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	357 , 	918 ," 	1,275 ", 	5 , 	8 , 	13 , 	- 0, 	- 0, 	915 ," 	2,943 "," 	2,518 "," 	2,920 "," 	2,506 "," 	1,314 "," 	5,850 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT," 	1,885 "," 	1,637 "," 	3,522 ", 	125 , 	666 , 	791 , 	3 , 	105 ," 	3,059 "," 	6,646 "," 	5,019 "," 	6,216 "," 	4,908 "," 	1,896 "," 	13,264 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	634 ," 	1,749 "," 	2,383 ", 	148 , 	401 , 	549 , 	91 , 	- 0," 	2,320 "," 	4,308 "," 	3,625 "," 	4,225 "," 	3,572 "," 	2,651 "," 	5,002 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	492 ," 	1,810 "," 	2,302 ", 	73 , 	567 , 	640 , 	7 , 	29 ," 	1,978 "," 	3,838 "," 	3,052 "," 	3,838 "," 	3,052 "," 	2,319 "," 	4,013 "
,2008-09,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	582 ," 	1,534 "," 	2,116 ", 	165 , 	368 , 	533 , 	- 0, 	36 ," 	1,413 "," 	2,856 "," 	2,096 "," 	2,561 "," 	2,004 "," 	1,670 "," 	3,518 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	588 ," 	1,286 "," 	1,874 ", 	51 , 	156 , 	207 , 	203 , 	26 ," 	1,885 "," 	4,962 "," 	4,001 "," 	4,740 "," 	3,599 "," 	1,844 "," 	5,385 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	641 ," 	1,362 "," 	2,003 ", 	304 , 	288 , 	592 , 	259 , 	- 0," 	2,296 "," 	5,133 "," 	4,348 "," 	5,133 "," 	3,897 "," 	1,959 "," 	4,924 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,217 "," 	7,359 "," 	9,576 ", 	122 ," 	1,322 "," 	1,444 ", 	- 0, 	587 ," 	7,569 "," 	14,771 "," 	14,835 "," 	14,189 "," 	14,141 "," 	6,163 "," 	21,935 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,125 "," 	5,359 "," 	7,484 ", 	263 , 	981 ," 	1,244 ", 	- 0," 	1,404 "," 	6,663 "," 	11,597 "," 	10,214 "," 	11,376 "," 	9,931 "," 	6,752 "," 	16,798 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,070 "," 	2,172 "," 	3,242 ", 	221 , 	683 , 	904 , 	- 0, 	- 0," 	2,793 "," 	7,259 "," 	6,055 "," 	7,115 "," 	5,904 "," 	2,062 "," 	7,809 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	460 ," 	1,111 "," 	1,571 ", 	45 , 	443 , 	488 , 	- 0, 	- 0," 	1,749 "," 	3,795 "," 	2,944 "," 	3,791 "," 	2,943 "," 	1,188 "," 	4,365 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,733 "," 	3,726 "," 	5,459 ", 	190 , 	696 , 	886 , 	572 , 	276 ," 	4,688 "," 	10,657 "," 	9,458 "," 	9,485 "," 	8,636 "," 	4,461 "," 	12,754 "
,2008-09,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,892 "," 	4,970 "," 	6,862 ", 	240 ," 	1,629 "," 	1,869 ", 	71 , 	2 ," 	5,920 "," 	12,493 "," 	10,211 "," 	12,325 "," 	10,211 "," 	8,034 "," 	15,004 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	466 ," 	1,498 "," 	1,964 ", 	51 , 	380 , 	431 , 	121 , 	- 0," 	2,233 "," 	3,085 "," 	2,924 "," 	2,961 "," 	2,803 "," 	1,261 "," 	4,501 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	487 ," 	1,505 "," 	1,992 ", 	63 , 	361 , 	424 , 	242 , 	340 ," 	2,104 "," 	3,901 "," 	2,982 "," 	3,545 "," 	2,804 "," 	1,249 "," 	4,901 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	591 ," 	1,403 "," 	1,994 ", 	101 , 	663 , 	764 , 	57 , 	30 ," 	2,679 "," 	3,099 "," 	2,836 "," 	3,055 "," 	2,803 "," 	2,268 "," 	4,795 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,570 "," 	10,326 "," 	13,896 ", 	462 ," 	2,847 "," 	3,309 ", 	290 ," 	3,243 "," 	9,309 "," 	18,427 "," 	17,444 "," 	18,021 "," 	17,033 "," 	8,311 "," 	27,781 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,034 "," 	3,209 "," 	4,243 ", 	180 , 	952 ," 	1,132 ", 	45 , 	- 0," 	4,621 "," 	7,219 "," 	6,224 "," 	7,036 "," 	5,996 "," 	2,051 "," 	9,618 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,315 "," 	3,925 "," 	5,240 ", 	288 ," 	1,357 "," 	1,645 ", 	182 , 	- 0," 	4,325 "," 	7,107 "," 	8,952 "," 	6,654 "," 	6,350 "," 	4,342 "," 	12,927 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	983 ," 	2,339 "," 	3,322 ", 	151 , 	528 , 	679 , 	64 , 	- 0," 	2,603 "," 	6,288 "," 	4,997 "," 	5,912 "," 	4,761 "," 	2,344 "," 	8,410 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	805 ," 	3,001 "," 	3,806 ", 	111 , 	437 , 	548 , 	94 , 	- 0," 	2,540 "," 	5,008 "," 	4,831 "," 	4,848 "," 	4,631 "," 	2,389 "," 	6,533 "
,2008-09,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	361 , 	679 ," 	1,040 ", 	67 , 	82 , 	149 , 	3 , 	7 , 	945 ," 	2,469 "," 	2,127 "," 	2,412 "," 	2,126 "," 	1,264 "," 	3,839 "
,2008-09,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	711 ," 	1,997 "," 	2,708 ", 	89 , 	867 , 	956 , 	45 , 	- 0," 	1,543 "," 	3,193 "," 	2,951 "," 	3,108 "," 	2,857 "," 	1,633 "," 	4,674 "
,2008-09,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	803 ," 	1,963 "," 	2,766 ", 	193 , 	457 , 	650 , 	67 , 	141 ," 	2,124 "," 	3,735 "," 	3,693 "," 	4,054 "," 	4,022 "," 	1,218 "," 	5,878 "
,2008-09,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	364 ," 	1,283 "," 	1,647 ", 	44 , 	187 , 	231 , 	78 , 	- 0," 	1,458 "," 	2,989 "," 	2,765 "," 	3,443 "," 	2,771 "," 	1,809 "," 	4,290 "
,2008-09,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	479 ," 	1,550 "," 	2,029 ", 	65 , 	423 , 	488 , 	- 0, 	276 ," 	1,577 "," 	3,388 "," 	2,976 "," 	3,132 "," 	2,875 "," 	1,789 "," 	5,041 "
,2008-09,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	569 ," 	1,728 "," 	2,297 ", 	66 , 	571 , 	637 , 	21 , 	- 0," 	1,319 "," 	2,905 "," 	2,596 "," 	2,779 "," 	2,710 "," 	1,347 "," 	4,195 "
