,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JULY,,,,England," 	146,658 "," 	464,249 "," 	610,907 "," 	23,246 "," 	135,745 "," 	158,991 "," 	10,364 "," 	17,795 "," 	437,212 "," 	1,005,667 "," 	843,856 "," 	961,704 "," 	801,989 "," 	516,215 "," 	1,348,798 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	595 ," 	1,878 "," 	2,473 ", 	109 , 	571 , 	680 , 	- 0, 	621 ," 	2,538 "," 	5,714 "," 	4,732 "," 	4,558 "," 	3,549 "," 	3,671 "," 	7,469 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	930 ," 	3,352 "," 	4,282 ", 	124 ," 	1,267 "," 	1,391 ", 	1 , 	58 ," 	2,470 "," 	4,655 "," 	5,617 "," 	3,903 "," 	4,738 "," 	1,519 "," 	6,998 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	896 ," 	3,412 "," 	4,308 ", 	130 , 	884 ," 	1,014 ", 	- 0, 	588 ," 	2,984 "," 	7,943 "," 	6,362 "," 	7,185 "," 	5,366 "," 	3,598 "," 	8,757 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,032 "," 	3,774 "," 	4,806 ", 	197 ," 	1,524 "," 	1,721 ", 	- 0, 	179 ," 	3,515 "," 	8,748 "," 	7,571 "," 	7,937 "," 	6,528 "," 	6,639 "," 	13,062 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	763 ," 	2,017 "," 	2,780 ", 	359 , 	550 , 	909 , 	- 0, 	48 ," 	1,812 "," 	4,162 "," 	2,975 "," 	3,844 "," 	2,642 "," 	2,225 "," 	3,579 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	804 ," 	2,527 "," 	3,331 ", 	239 , 	602 , 	841 , 	- 0, 	2 ," 	3,116 "," 	5,931 "," 	4,392 "," 	5,174 "," 	3,623 "," 	2,763 "," 	5,185 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,575 "," 	6,332 "," 	7,907 ", 	203 ," 	1,991 "," 	2,194 ", 	609 , 	468 ," 	4,345 "," 	12,474 "," 	9,570 "," 	11,764 "," 	9,126 "," 	7,893 "," 	14,657 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,471 "," 	4,842 "," 	6,313 ", 	158 ," 	1,587 "," 	1,745 ", 	178 , 	43 ," 	4,107 "," 	9,577 "," 	8,668 "," 	8,970 "," 	8,364 "," 	4,387 "," 	12,824 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,486 "," 	4,892 "," 	6,378 ", 	142 ," 	1,683 "," 	1,825 ", 	20 , 	11 ," 	3,804 "," 	9,553 "," 	7,725 "," 	8,824 "," 	7,425 "," 	5,276 "," 	12,701 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	537 ," 	1,857 "," 	2,394 ", 	127 , 	770 , 	897 , 	- 0, 	77 ," 	1,366 "," 	4,058 "," 	3,435 "," 	3,598 "," 	3,011 "," 	3,280 "," 	6,114 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	560 ," 	1,164 "," 	1,724 ", 	103 , 	273 , 	376 , 	- 0, 	- 0," 	1,723 "," 	3,620 "," 	3,465 "," 	3,086 "," 	2,960 "," 	1,460 "," 	5,120 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	986 ," 	3,095 "," 	4,081 ", 	131 , 	994 ," 	1,125 ", 	- 0, 	- 0," 	3,063 "," 	7,287 "," 	5,992 "," 	7,285 "," 	5,986 "," 	2,960 "," 	8,369 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,061 "," 	3,907 "," 	4,968 ", 	126 , 	510 , 	636 , 	- 0, 	- 0," 	2,409 "," 	8,489 "," 	6,644 "," 	8,237 "," 	6,381 "," 	2,673 "," 	9,257 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,677 "," 	4,472 "," 	6,149 ", 	265 , 	950 ," 	1,215 ", 	- 0, 	- 0," 	3,983 "," 	13,183 "," 	10,511 "," 	12,321 "," 	9,823 "," 	4,916 "," 	14,652 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,667 "," 	4,828 "," 	6,495 ", 	317 ," 	1,114 "," 	1,431 ", 	- 0, 	- 0," 	3,692 "," 	12,669 "," 	10,993 "," 	11,623 "," 	10,085 "," 	6,184 "," 	16,186 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	466 ," 	1,111 "," 	1,577 ", 	55 , 	228 , 	283 , 	98 , 	3 ," 	1,357 "," 	3,202 "," 	2,613 "," 	3,033 "," 	2,593 "," 	1,423 "," 	3,639 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,677 "," 	5,745 "," 	7,422 ", 	255 ," 	1,923 "," 	2,178 ", 	43 ," 	1,126 "," 	4,023 "," 	9,997 "," 	8,389 "," 	9,935 "," 	8,148 "," 	5,185 "," 	12,893 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,249 "," 	8,181 "," 	10,430 ", 	316 ," 	2,929 "," 	3,245 ", 	538 , 	52 ," 	5,783 "," 	14,642 "," 	14,659 "," 	13,386 "," 	13,909 "," 	5,479 "," 	20,935 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	833 ," 	2,373 "," 	3,206 ", 	145 , 	602 , 	747 , 	- 0, 	- 0," 	1,756 "," 	4,982 "," 	4,349 "," 	4,748 "," 	4,163 "," 	1,108 "," 	5,308 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,711 "," 	5,314 "," 	7,025 ", 	193 ," 	1,822 "," 	2,015 ", 	- 0, 	- 0," 	4,600 "," 	10,951 "," 	10,266 "," 	10,783 "," 	10,099 "," 	5,166 "," 	15,954 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	757 ," 	2,670 "," 	3,427 ", 	89 , 	939 ," 	1,028 ", 	- 0, 	- 0," 	2,091 "," 	5,281 "," 	4,794 "," 	5,069 "," 	4,420 "," 	2,392 "," 	6,699 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	936 ," 	2,283 "," 	3,219 ", 	88 , 	319 , 	407 , 	- 0, 	- 0," 	2,318 "," 	7,119 "," 	5,830 "," 	7,010 "," 	5,666 "," 	2,543 "," 	7,236 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT," 	1,013 "," 	2,808 "," 	3,821 ", 	146 , 	922 ," 	1,068 ", 	5 , 	- 0," 	3,280 "," 	6,509 "," 	5,955 "," 	6,425 "," 	5,297 "," 	5,296 "," 	8,722 "
,2009-10,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT," 	1,000 "," 	3,049 "," 	4,049 ", 	187 , 	940 ," 	1,127 ", 	- 0, 	- 0," 	2,872 "," 	7,327 "," 	6,465 "," 	7,207 "," 	6,379 "," 	4,066 "," 	10,381 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	696 ," 	2,500 "," 	3,196 ", 	89 , 	446 , 	535 , 	373 , 	- 0," 	2,184 "," 	3,515 "," 	2,746 "," 	3,510 "," 	2,323 "," 	2,738 "," 	6,546 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	329 ," 	1,200 "," 	1,529 ", 	92 , 	242 , 	334 , 	- 0, 	- 0, 	871 ," 	2,907 "," 	2,251 "," 	2,900 "," 	2,249 "," 	1,227 "," 	3,325 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	916 ," 	3,147 "," 	4,063 ", 	138 , 	742 , 	880 , 	- 0, 	124 ," 	2,236 "," 	6,300 "," 	5,862 "," 	5,776 "," 	5,401 ", 	710 ," 	8,059 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	562 ," 	2,278 "," 	2,840 ", 	129 , 	862 , 	991 , 	- 0, 	7 ," 	1,315 "," 	4,436 "," 	3,299 "," 	4,351 "," 	3,277 "," 	2,828 "," 	6,592 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	721 ," 	2,516 "," 	3,237 ", 	93 , 	418 , 	511 , 	- 0, 	- 0," 	2,549 "," 	9,240 "," 	6,781 "," 	8,729 "," 	5,670 "," 	4,083 "," 	8,214 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	572 ," 	2,036 "," 	2,608 ", 	82 , 	446 , 	528 , 	- 0, 	- 0," 	2,058 "," 	4,911 "," 	4,355 "," 	4,833 "," 	3,962 "," 	1,864 "," 	6,047 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	627 ," 	2,508 "," 	3,135 ", 	57 , 	683 , 	740 , 	- 0, 	382 ," 	2,094 "," 	6,082 "," 	4,781 "," 	5,680 "," 	4,273 "," 	3,958 "," 	8,085 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	397 ," 	1,257 "," 	1,654 ", 	37 , 	245 , 	282 , 	148 , 	- 0," 	1,919 "," 	3,047 "," 	2,406 "," 	3,043 "," 	2,396 "," 	1,676 "," 	4,985 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	463 ," 	1,467 "," 	1,930 ", 	57 , 	177 , 	234 , 	4 , 	- 0," 	1,798 "," 	4,403 "," 	3,875 "," 	3,976 "," 	3,567 "," 	2,203 "," 	6,459 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	442 ," 	1,205 "," 	1,647 ", 	64 , 	193 , 	257 , 	11 , 	- 0," 	1,843 "," 	3,855 "," 	3,378 "," 	3,429 "," 	3,362 "," 	2,330 "," 	5,768 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	542 ," 	1,743 "," 	2,285 ", 	106 , 	378 , 	484 , 	- 0, 	- 0," 	2,763 "," 	5,339 "," 	5,509 "," 	4,854 "," 	4,367 "," 	3,304 "," 	7,569 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	454 ," 	1,934 "," 	2,388 ", 	51 , 	521 , 	572 , 	- 0, 	17 ," 	1,618 "," 	5,570 "," 	4,311 "," 	5,057 "," 	3,889 "," 	3,375 "," 	8,052 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	378 , 	905 ," 	1,283 ", 	38 , 	151 , 	189 , 	- 0, 	- 0," 	1,613 "," 	3,816 "," 	2,887 "," 	3,368 "," 	2,573 "," 	1,804 "," 	4,389 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	862 ," 	2,694 "," 	3,556 ", 	75 , 	619 , 	694 , 	- 0, 	- 0," 	2,868 "," 	7,250 "," 	5,752 "," 	6,557 "," 	5,151 "," 	3,752 "," 	9,530 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	673 ," 	1,650 "," 	2,323 ", 	77 , 	226 , 	303 , 	- 0, 	- 0," 	2,349 "," 	5,486 "," 	4,777 "," 	4,684 "," 	4,591 "," 	2,531 "," 	7,373 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	781 ," 	2,361 "," 	3,142 ", 	92 , 	708 , 	800 , 	- 0, 	- 0," 	2,197 "," 	6,439 "," 	5,573 "," 	5,814 "," 	5,005 "," 	2,497 "," 	8,313 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	513 ," 	1,628 "," 	2,141 ", 	95 , 	562 , 	657 , 	- 0, 	- 0," 	1,480 "," 	3,567 "," 	3,207 "," 	3,505 "," 	2,990 "," 	2,439 "," 	5,060 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	427 ," 	1,571 "," 	1,998 ", 	50 , 	331 , 	381 , 	- 0, 	- 0," 	1,400 "," 	5,252 "," 	4,263 "," 	4,044 "," 	3,240 "," 	2,938 "," 	7,061 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	455 ," 	1,726 "," 	2,181 ", 	38 , 	384 , 	422 , 	- 0, 	- 0," 	1,529 "," 	4,579 "," 	3,794 "," 	4,166 "," 	3,452 "," 	2,518 "," 	5,569 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	730 ," 	3,334 "," 	4,064 ", 	113 ," 	1,250 "," 	1,363 ", 	26 , 	45 ," 	2,487 "," 	6,807 "," 	5,950 "," 	6,734 "," 	5,500 "," 	4,326 "," 	10,473 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	328 ," 	1,146 "," 	1,474 ", 	44 , 	286 , 	330 , 	- 0, 	- 0," 	1,146 "," 	3,415 "," 	2,949 "," 	3,237 "," 	2,771 "," 	1,736 "," 	7,104 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	498 ," 	1,533 "," 	2,031 ", 	81 , 	525 , 	606 , 	- 0, 	- 0," 	1,551 "," 	4,524 "," 	3,568 "," 	4,377 "," 	3,427 "," 	2,710 "," 	5,672 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	636 ," 	2,219 "," 	2,855 ", 	97 , 	391 , 	488 , 	- 0, 	- 0," 	2,295 "," 	5,810 "," 	4,741 "," 	5,642 "," 	4,661 "," 	3,633 "," 	10,378 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	582 ," 	1,903 "," 	2,485 ", 	87 , 	283 , 	370 , 	- 0, 	- 0," 	2,222 "," 	4,595 "," 	3,894 "," 	4,561 "," 	3,868 "," 	3,314 "," 	9,376 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	558 ," 	2,688 "," 	3,246 ", 	111 , 	745 , 	856 , 	- 0, 	- 0," 	1,934 "," 	5,404 "," 	4,415 "," 	5,381 "," 	4,380 "," 	2,409 "," 	6,585 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	506 ," 	1,686 "," 	2,192 ", 	120 , 	641 , 	761 , 	- 0, 	- 0," 	2,032 "," 	6,867 "," 	3,720 "," 	6,200 "," 	3,610 "," 	2,527 "," 	9,461 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	399 ," 	1,021 "," 	1,420 ", 	5 , 	15 , 	20 , 	- 0, 	- 0," 	1,045 "," 	3,460 "," 	2,833 "," 	3,425 "," 	2,806 "," 	1,581 "," 	5,309 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	888 ," 	2,773 "," 	3,661 ", 	151 , 	661 , 	812 , 	9 , 	153 ," 	2,964 "," 	7,585 "," 	5,774 "," 	7,204 "," 	5,670 "," 	1,917 "," 	15,010 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	562 ," 	1,978 "," 	2,540 ", 	107 , 	511 , 	618 , 	95 , 	- 0," 	2,265 "," 	5,094 "," 	4,227 "," 	5,027 "," 	4,176 "," 	1,903 "," 	7,183 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	560 ," 	2,051 "," 	2,611 ", 	82 , 	648 , 	730 , 	- 0, 	5 ," 	1,869 "," 	4,467 "," 	3,530 "," 	4,467 "," 	3,530 "," 	2,673 "," 	6,500 "
,2009-10,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	655 ," 	1,691 "," 	2,346 ", 	286 , 	221 , 	507 , 	- 0, 	40 ," 	1,527 "," 	3,315 "," 	2,283 "," 	2,901 "," 	2,181 "," 	1,649 "," 	4,300 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	671 ," 	1,734 "," 	2,405 ", 	81 , 	165 , 	246 , 	277 , 	25 ," 	2,147 "," 	5,708 "," 	4,214 "," 	5,526 "," 	4,214 "," 	1,697 "," 	6,148 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	766 ," 	1,820 "," 	2,586 ", 	341 , 	292 , 	633 , 	189 , 	- 0," 	2,092 "," 	5,825 "," 	4,615 "," 	5,710 "," 	4,423 "," 	2,631 "," 	6,261 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,365 "," 	7,985 "," 	10,350 ", 	138 ," 	1,851 "," 	1,989 ", 	- 0, 	559 ," 	8,457 "," 	18,686 "," 	16,314 "," 	17,741 "," 	15,337 "," 	6,423 "," 	24,350 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,278 "," 	6,128 "," 	8,406 ", 	471 ," 	1,101 "," 	1,572 ", 	- 0," 	1,566 "," 	6,439 "," 	13,986 "," 	11,242 "," 	13,758 "," 	10,997 "," 	9,246 "," 	19,633 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,119 "," 	2,443 "," 	3,562 ", 	233 , 	819 ," 	1,052 ", 	- 0, 	- 0," 	2,660 "," 	8,093 "," 	6,499 "," 	7,939 "," 	6,381 "," 	2,743 "," 	8,634 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	425 ," 	1,236 "," 	1,661 ", 	33 , 	515 , 	548 , 	- 0, 	- 0," 	1,538 "," 	4,073 "," 	3,416 "," 	4,070 "," 	3,412 "," 	1,618 "," 	4,847 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,803 "," 	4,328 "," 	6,131 ", 	258 , 	903 ," 	1,161 ", 	320 , 	646 ," 	4,707 "," 	12,450 "," 	10,413 "," 	11,398 "," 	9,465 "," 	5,444 "," 	13,955 "
,2009-10,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,985 "," 	5,532 "," 	7,517 ", 	224 ," 	1,646 "," 	1,870 ", 	95 , 	- 0," 	6,086 "," 	12,485 "," 	11,362 "," 	12,431 "," 	11,148 "," 	8,093 "," 	18,652 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	449 ," 	1,689 "," 	2,138 ", 	53 , 	313 , 	366 , 	123 , 	- 0," 	2,183 "," 	4,355 "," 	4,148 "," 	3,947 "," 	3,735 "," 	1,815 "," 	5,741 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	360 ," 	1,557 "," 	1,917 ", 	48 , 	286 , 	334 , 	257 , 	61 ," 	1,907 "," 	4,783 "," 	3,716 "," 	4,476 "," 	3,511 "," 	1,669 "," 	5,470 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	592 ," 	1,941 "," 	2,533 ", 	143 , 	825 , 	968 , 	370 , 	15 ," 	1,898 "," 	4,114 "," 	3,966 "," 	4,062 "," 	3,930 "," 	3,028 "," 	6,610 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,441 "," 	10,799 "," 	14,240 ", 	516 ," 	2,706 "," 	3,222 ", 	337 ," 	3,101 "," 	9,739 "," 	23,134 "," 	19,671 "," 	23,277 "," 	19,222 "," 	12,494 "," 	30,568 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,019 "," 	3,584 "," 	4,603 ", 	202 ," 	1,108 "," 	1,310 ", 	70 , 	- 0," 	3,559 "," 	8,757 "," 	7,229 "," 	8,521 "," 	6,990 "," 	2,630 "," 	10,955 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,254 "," 	3,882 "," 	5,136 ", 	330 ," 	1,461 "," 	1,791 ", 	170 , 	- 0," 	4,252 "," 	9,114 "," 	7,986 "," 	8,906 "," 	7,564 "," 	4,430 "," 	14,777 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	949 ," 	2,616 "," 	3,565 ", 	159 , 	636 , 	795 , 	51 , 	- 0," 	2,562 "," 	7,356 "," 	5,970 "," 	6,743 "," 	5,538 "," 	2,489 "," 	9,895 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	780 ," 	3,090 "," 	3,870 ", 	136 , 	540 , 	676 , 	83 , 	- 0," 	2,630 "," 	6,368 "," 	5,671 "," 	6,185 "," 	5,531 "," 	2,467 "," 	8,442 "
,2009-10,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	367 , 	779 ," 	1,146 ", 	44 , 	85 , 	129 , 	- 0, 	- 0, 	972 ," 	2,983 "," 	2,247 "," 	2,911 "," 	2,194 "," 	1,866 "," 	4,034 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	649 ," 	2,307 "," 	2,956 ", 	114 ," 	1,066 "," 	1,180 ", 	45 , 	- 0," 	1,496 "," 	4,357 "," 	3,180 "," 	4,247 "," 	3,064 "," 	2,039 "," 	4,881 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	785 ," 	2,203 "," 	2,988 ", 	142 , 	393 , 	535 , 	199 , 	180 ," 	2,344 "," 	4,695 "," 	4,190 "," 	5,065 "," 	4,414 "," 	1,537 "," 	6,479 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	421 ," 	1,538 "," 	1,959 ", 	51 , 	231 , 	282 , 	51 , 	- 0," 	1,331 "," 	3,647 "," 	3,123 "," 	3,961 "," 	3,385 "," 	2,212 "," 	5,167 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	439 ," 	1,576 "," 	2,015 ", 	82 , 	460 , 	542 , 	- 0, 	224 ," 	1,671 "," 	4,077 "," 	3,483 "," 	3,775 "," 	3,136 "," 	1,913 "," 	5,953 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	612 ," 	2,064 "," 	2,676 ", 	76 , 	712 , 	788 , 	14 , 	- 0," 	1,574 "," 	4,131 "," 	3,258 "," 	4,065 "," 	3,197 "," 	1,793 "," 	4,839 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,403 "," 	5,226 "," 	6,629 ", 	217 ," 	2,370 "," 	2,587 ", 	15 , 	15 ," 	4,495 "," 	8,672 "," 	7,986 "," 	8,817 "," 	6,916 "," 	5,686 "," 	12,623 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,137 "," 	4,086 "," 	5,223 ", 	173 ," 	1,537 "," 	1,710 ", 	9 , 	- 0," 	3,151 "," 	9,036 "," 	6,533 "," 	8,501 "," 	6,063 "," 	4,160 "," 	10,192 "
,2009-10,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,188 "," 	3,852 "," 	5,040 ", 	172 , 	674 , 	846 , 	- 0, 	146 ," 	3,445 "," 	8,706 "," 	7,992 "," 	8,602 "," 	7,934 "," 	5,747 "," 	12,750 "
