,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JUNE,,,,England," 	136,475 "," 	501,450 "," 	637,925 "," 	22,358 "," 	153,608 "," 	175,966 "," 	21,786 "," 	442,509 "," 	1,024,225 "," 	862,757 "," 	969,284 "," 	818,842 "," 	559,438 "," 	1,419,113 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	874 ," 	3,325 "," 	4,199 ", 	128 ," 	1,206 "," 	1,334 ", 	54 ," 	2,567 "," 	4,701 "," 	5,681 "," 	4,200 "," 	5,100 "," 	1,329 "," 	9,055 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	906 ," 	3,407 "," 	4,313 ", 	114 , 	709 , 	823 , 	581 ," 	3,003 "," 	7,706 "," 	5,961 "," 	6,721 "," 	5,329 "," 	3,334 "," 	9,105 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	979 ," 	4,045 "," 	5,024 ", 	177 ," 	1,556 "," 	1,733 ", 	192 ," 	3,809 "," 	9,878 "," 	8,130 "," 	8,913 "," 	7,354 "," 	6,023 "," 	13,146 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	577 ," 	1,931 "," 	2,508 ", 	201 , 	612 , 	813 , 	33 ," 	1,669 "," 	3,445 "," 	3,466 "," 	3,128 "," 	2,910 "," 	1,134 "," 	4,170 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	645 ," 	2,486 "," 	3,131 ", 	148 , 	746 , 	894 , 	34 ," 	2,514 "," 	4,994 "," 	4,955 "," 	4,251 "," 	3,752 "," 	1,390 "," 	5,444 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,484 "," 	6,288 "," 	7,772 ", 	190 ," 	2,572 "," 	2,762 ", 	449 ," 	4,244 "," 	13,532 "," 	10,244 "," 	12,591 "," 	9,822 "," 	7,695 "," 	15,774 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,376 "," 	4,939 "," 	6,315 ", 	184 ," 	1,874 "," 	2,058 "," 	1,304 "," 	3,898 "," 	10,561 "," 	7,895 "," 	9,855 "," 	7,444 "," 	6,237 "," 	12,869 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,339 "," 	4,810 "," 	6,149 ", 	145 ," 	1,582 "," 	1,727 ", 	48 ," 	3,829 "," 	9,740 "," 	8,407 "," 	9,380 "," 	8,179 "," 	6,200 "," 	13,114 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	550 ," 	1,970 "," 	2,520 ", 	106 , 	904 ," 	1,010 ", 	15 ," 	1,659 "," 	4,816 "," 	4,009 "," 	4,354 "," 	3,364 "," 	2,589 "," 	5,724 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	572 ," 	1,352 "," 	1,924 ", 	135 , 	261 , 	396 , 	3 ," 	1,490 "," 	3,428 "," 	3,307 "," 	3,103 "," 	2,954 "," 	1,729 "," 	5,392 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT," 	1,014 "," 	3,693 "," 	4,707 ", 	198 ," 	1,494 "," 	1,692 ", 	1 ," 	2,370 "," 	7,617 "," 	6,052 "," 	7,529 "," 	6,031 "," 	3,155 "," 	9,167 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,073 "," 	3,737 "," 	4,810 ", 	166 , 	716 , 	882 , 	44 ," 	2,729 "," 	8,059 "," 	6,950 "," 	7,770 "," 	6,705 "," 	2,895 "," 	10,474 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	441 ," 	1,332 "," 	1,773 ", 	76 , 	377 , 	453 , 	9 ," 	1,310 "," 	2,874 "," 	2,376 "," 	2,510 "," 	2,063 "," 	1,945 "," 	3,609 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,553 "," 	6,332 "," 	7,885 ", 	206 ," 	2,036 "," 	2,242 "," 	1,327 "," 	4,009 "," 	9,940 "," 	8,816 "," 	9,627 "," 	8,500 "," 	6,803 "," 	13,989 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,003 "," 	8,817 "," 	10,820 ", 	380 ," 	3,183 "," 	3,563 ", 	37 ," 	5,964 "," 	14,173 "," 	12,589 "," 	13,791 "," 	12,289 "," 	5,417 "," 	19,995 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	812 ," 	2,563 "," 	3,375 ", 	212 , 	408 , 	620 , 	- 0," 	1,859 "," 	4,931 "," 	4,527 "," 	4,911 "," 	4,433 "," 	1,448 "," 	6,441 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,514 "," 	6,072 "," 	7,586 ", 	214 ," 	2,216 "," 	2,430 ", 	265 ," 	4,500 "," 	11,862 "," 	9,934 "," 	11,480 "," 	9,729 "," 	5,522 "," 	17,551 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	698 ," 	2,873 "," 	3,571 ", 	92 ," 	1,056 "," 	1,148 ", 	337 ," 	2,147 "," 	5,214 "," 	4,567 "," 	4,908 "," 	4,280 "," 	1,856 "," 	6,114 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	835 ," 	2,258 "," 	3,093 ", 	80 , 	289 , 	369 , 	1 ," 	2,593 "," 	4,314 "," 	4,911 "," 	3,963 "," 	4,838 "," 	1,506 "," 	7,523 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	822 ," 	3,140 "," 	3,962 ", 	91 ," 	1,133 "," 	1,224 ", 	5 ," 	2,462 "," 	7,203 "," 	5,837 "," 	6,602 "," 	5,622 "," 	4,175 "," 	9,398 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	724 ," 	3,194 "," 	3,918 ", 	146 ," 	1,252 "," 	1,398 ", 	1 ," 	2,535 "," 	8,343 "," 	4,620 "," 	7,959 "," 	4,531 "," 	4,788 "," 	8,788 "
,2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	3,087 "," 	9,434 "," 	12,521 ", 	494 ," 	2,441 "," 	2,935 ", 	276 ," 	7,665 "," 	21,407 "," 	17,287 "," 	20,235 "," 	16,652 "," 	12,032 "," 	28,033 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	568 ," 	2,395 "," 	2,963 ", 	78 , 	496 , 	574 , 	1 ," 	2,197 "," 	3,765 "," 	3,529 "," 	3,703 "," 	3,499 "," 	2,436 "," 	6,518 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	374 ," 	1,216 "," 	1,590 ", 	37 , 	250 , 	287 , 	36 ," 	1,033 "," 	3,643 "," 	2,850 "," 	3,179 "," 	2,467 "," 	1,500 "," 	3,986 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	783 ," 	3,526 "," 	4,309 ", 	113 , 	860 , 	973 , 	3 ," 	2,170 "," 	7,941 "," 	5,763 "," 	7,464 "," 	5,747 "," 	4,476 "," 	9,598 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	596 ," 	2,190 "," 	2,786 ", 	89 , 	641 , 	730 , 	- 0," 	1,901 "," 	4,048 "," 	4,152 "," 	3,676 "," 	3,901 "," 	3,058 "," 	7,691 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	728 ," 	3,293 "," 	4,021 ", 	122 , 	938 ," 	1,060 ", 	111 ," 	3,000 "," 	9,294 "," 	6,966 "," 	8,746 "," 	6,241 "," 	6,150 "," 	11,310 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	601 ," 	2,372 "," 	2,973 ", 	114 , 	577 , 	691 , 	572 ," 	2,326 "," 	5,790 "," 	4,330 "," 	5,346 "," 	4,229 "," 	2,662 "," 	7,297 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	634 ," 	3,177 "," 	3,811 ", 	90 , 	975 ," 	1,065 ", 	380 ," 	2,105 "," 	6,753 "," 	6,450 "," 	6,298 "," 	5,833 "," 	4,889 "," 	9,949 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	323 ," 	1,457 "," 	1,780 ", 	47 , 	273 , 	320 , 	1 ," 	1,961 "," 	2,945 "," 	2,513 "," 	2,874 "," 	2,477 "," 	1,983 "," 	4,682 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	407 ," 	1,786 "," 	2,193 ", 	56 , 	280 , 	336 , 	- 0," 	1,874 "," 	4,092 "," 	3,927 "," 	3,676 "," 	3,469 "," 	2,218 "," 	6,399 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	395 ," 	1,372 "," 	1,767 ", 	45 , 	242 , 	287 , 	- 0," 	2,070 "," 	5,584 "," 	4,452 "," 	3,768 "," 	3,120 "," 	3,114 "," 	7,186 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	502 ," 	1,857 "," 	2,359 ", 	100 , 	720 , 	820 , 	1 ," 	2,781 "," 	8,225 "," 	6,941 "," 	5,791 "," 	4,505 "," 	3,689 "," 	8,650 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	489 ," 	2,343 "," 	2,832 ", 	64 , 	652 , 	716 , 	23 ," 	1,758 "," 	5,219 "," 	4,306 "," 	4,850 "," 	3,999 "," 	3,615 "," 	8,493 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	362 ," 	1,423 "," 	1,785 ", 	32 , 	263 , 	295 , 	9 ," 	1,375 "," 	3,972 "," 	3,657 "," 	3,642 "," 	3,375 "," 	3,103 "," 	6,990 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	787 ," 	3,144 "," 	3,931 ", 	102 , 	831 , 	933 , 	178 ," 	3,082 "," 	8,749 "," 	6,607 "," 	7,773 "," 	5,962 "," 	4,919 "," 	10,122 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	500 ," 	1,826 "," 	2,326 ", 	50 , 	480 , 	530 , 	12 ," 	1,758 "," 	5,672 "," 	4,840 "," 	4,894 "," 	4,338 "," 	2,380 "," 	6,817 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	600 ," 	2,519 "," 	3,119 ", 	81 , 	801 , 	882 , 	653 ," 	2,474 "," 	7,369 "," 	5,745 "," 	7,203 "," 	5,587 "," 	3,722 "," 	8,349 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	459 ," 	1,995 "," 	2,454 ", 	67 , 	823 , 	890 , 	272 ," 	1,658 "," 	4,323 "," 	3,729 "," 	4,218 "," 	3,644 "," 	1,992 "," 	5,314 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	396 ," 	1,859 "," 	2,255 ", 	54 , 	511 , 	565 , 	2 ," 	1,531 "," 	5,353 "," 	4,556 "," 	5,064 "," 	4,303 "," 	3,579 "," 	7,942 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	425 ," 	1,952 "," 	2,377 ", 	47 , 	526 , 	573 , 	- 0," 	1,667 "," 	4,729 "," 	3,941 "," 	4,395 "," 	3,633 "," 	2,701 "," 	6,909 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	797 ," 	3,124 "," 	3,921 ", 	121 , 	726 , 	847 , 	64 ," 	2,602 "," 	7,071 "," 	5,484 "," 	6,568 "," 	5,109 "," 	4,514 "," 	10,139 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	299 ," 	1,284 "," 	1,583 ", 	52 , 	297 , 	349 , 	4 ," 	1,089 "," 	4,709 "," 	3,253 "," 	4,484 "," 	3,068 "," 	2,325 "," 	5,474 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	414 ," 	1,668 "," 	2,082 ", 	54 , 	384 , 	438 , 	3 ," 	1,674 "," 	7,914 "," 	3,606 "," 	7,700 "," 	3,451 "," 	3,183 "," 	6,609 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	604 ," 	2,271 "," 	2,875 ", 	103 , 	599 , 	702 , 	10 ," 	2,891 "," 	6,875 "," 	5,293 "," 	5,518 "," 	4,884 "," 	4,365 "," 	10,764 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	537 ," 	1,973 "," 	2,510 ", 	79 , 	625 , 	704 , 	99 ," 	2,766 "," 	5,660 "," 	4,693 "," 	4,572 "," 	4,321 "," 	4,118 "," 	9,863 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	536 ," 	2,511 "," 	3,047 ", 	98 , 	676 , 	774 , 	99 ," 	2,186 "," 	5,751 "," 	4,446 "," 	5,352 "," 	4,328 "," 	5,597 "," 	10,406 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	594 ," 	1,914 "," 	2,508 ", 	70 , 	364 , 	434 , 	40 ," 	1,951 "," 	9,747 "," 	6,143 "," 	8,326 "," 	5,719 "," 	3,119 "," 	9,735 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	395 ," 	1,187 "," 	1,582 ", 	45 , 	259 , 	304 , 	30 , 	994 ," 	4,190 "," 	3,498 "," 	3,625 "," 	3,172 "," 	1,669 "," 	4,824 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	855 ," 	3,017 "," 	3,872 ", 	65 , 	564 , 	629 , 	165 ," 	2,745 "," 	8,744 "," 	6,029 "," 	7,809 "," 	5,758 "," 	2,454 "," 	9,931 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	499 ," 	2,208 "," 	2,707 ", 	81 , 	600 , 	681 , 	1 ," 	2,428 "," 	5,098 "," 	4,238 "," 	4,919 "," 	4,087 "," 	2,546 "," 	7,131 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	529 ," 	2,105 "," 	2,634 ", 	96 , 	702 , 	798 , 	6 ," 	2,362 "," 	6,044 "," 	4,396 "," 	5,340 "," 	4,052 "," 	2,865 "," 	7,169 "
,2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	545 ," 	2,031 "," 	2,576 ", 	85 , 	511 , 	596 , 	- 0," 	1,710 "," 	3,119 "," 	2,960 "," 	2,873 "," 	2,834 "," 	2,473 "," 	5,761 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	917 ," 	1,822 "," 	2,739 ", 	318 , 	418 , 	736 , 	- 0," 	2,118 "," 	5,459 "," 	4,624 "," 	5,265 "," 	4,421 "," 	2,738 "," 	6,954 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	842 ," 	1,979 "," 	2,821 ", 	340 , 	221 , 	561 , 	4 ," 	2,339 "," 	5,996 "," 	4,686 "," 	5,779 "," 	4,482 "," 	3,623 "," 	6,721 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,544 "," 	9,137 "," 	11,681 ", 	289 ," 	2,660 "," 	2,949 ", 	193 ," 	7,726 "," 	19,899 "," 	16,907 "," 	18,667 "," 	15,766 "," 	8,574 "," 	27,119 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,117 "," 	6,870 "," 	8,987 ", 	324 ," 	1,722 "," 	2,046 ", 	989 ," 	6,543 "," 	13,691 "," 	11,872 "," 	13,462 "," 	11,699 "," 	9,125 "," 	21,324 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,101 "," 	2,768 "," 	3,869 ", 	322 , 	837 ," 	1,159 ", 	3 ," 	2,659 "," 	7,998 "," 	6,819 "," 	7,910 "," 	6,711 "," 	3,637 "," 	9,853 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	575 ," 	1,547 "," 	2,122 ", 	124 , 	619 , 	743 , 	1 ," 	1,524 "," 	4,095 "," 	3,236 "," 	4,087 "," 	3,234 "," 	1,802 "," 	4,938 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,755 "," 	5,078 "," 	6,833 ", 	331 ," 	1,340 "," 	1,671 ", 	2 ," 	5,234 "," 	12,580 "," 	10,629 "," 	11,824 "," 	10,016 "," 	8,228 "," 	17,548 "
,2011-12,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,306 "," 	7,647 "," 	9,953 ", 	444 ," 	2,968 "," 	3,412 ", 	3 ," 	6,374 "," 	13,107 "," 	10,950 "," 	12,731 "," 	10,716 "," 	8,627 "," 	18,748 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	552 ," 	2,049 "," 	2,601 ", 	79 , 	587 , 	666 , 	146 ," 	2,198 "," 	4,120 "," 	3,684 "," 	3,690 "," 	3,226 "," 	1,811 "," 	5,685 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	451 ," 	1,538 "," 	1,989 ", 	43 , 	223 , 	266 , 	246 ," 	1,860 "," 	4,661 "," 	3,705 "," 	4,428 "," 	3,547 "," 	1,550 "," 	5,868 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	589 ," 	2,140 "," 	2,729 ", 	93 , 	643 , 	736 , 	928 ," 	2,201 "," 	4,349 "," 	3,729 "," 	4,325 "," 	3,511 "," 	2,544 "," 	5,618 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,094 "," 	11,076 "," 	14,170 ", 	438 ," 	2,811 "," 	3,249 "," 	2,968 "," 	9,795 "," 	21,805 "," 	18,463 "," 	21,485 "," 	18,170 "," 	12,372 "," 	30,882 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	920 ," 	4,226 "," 	5,146 ", 	122 ," 	1,217 "," 	1,339 ", 	57 ," 	3,481 "," 	8,770 "," 	7,139 "," 	8,485 "," 	6,783 "," 	2,854 "," 	12,097 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,249 "," 	4,593 "," 	5,842 ", 	185 ," 	1,285 "," 	1,470 ", 	85 ," 	4,098 "," 	8,156 "," 	7,652 "," 	7,962 "," 	7,460 "," 	4,428 "," 	11,781 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	903 ," 	2,839 "," 	3,742 ", 	117 , 	402 , 	519 , 	72 ," 	2,549 "," 	7,501 "," 	6,565 "," 	6,723 "," 	5,859 "," 	3,299 "," 	11,895 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	806 ," 	2,827 "," 	3,633 ", 	160 , 	492 , 	652 , 	36 ," 	2,686 "," 	7,837 "," 	5,923 "," 	7,534 "," 	5,454 "," 	3,166 "," 	8,596 "
,2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	327 , 	688 ," 	1,015 ", 	49 , 	94 , 	143 , 	19 ," 	1,027 "," 	2,956 "," 	2,432 "," 	2,872 "," 	2,248 "," 	1,905 "," 	3,558 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	579 ," 	2,496 "," 	3,075 ", 	75 ," 	1,110 "," 	1,185 ", 	1 ," 	1,461 "," 	3,630 "," 	3,481 "," 	3,476 "," 	3,349 "," 	2,168 "," 	5,408 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	655 ," 	2,431 "," 	3,086 ", 	115 , 	410 , 	525 , 	117 ," 	2,017 "," 	4,216 "," 	3,760 "," 	4,213 "," 	3,758 "," 	1,275 "," 	6,393 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	423 ," 	1,526 "," 	1,949 ", 	64 , 	267 , 	331 , 	1 ," 	1,307 "," 	3,847 "," 	3,220 "," 	3,516 "," 	3,156 "," 	1,692 "," 	5,093 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	468 ," 	1,832 "," 	2,300 ", 	67 , 	646 , 	713 , 	1 ," 	1,679 "," 	3,638 "," 	3,192 "," 	3,576 "," 	3,034 "," 	1,768 "," 	5,180 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	507 ," 	2,215 "," 	2,722 ", 	55 , 	776 , 	831 , 	- 0," 	1,467 "," 	3,754 "," 	3,237 "," 	3,683 "," 	3,173 "," 	1,778 "," 	5,308 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,431 "," 	6,083 "," 	7,514 ", 	222 ," 	2,579 "," 	2,801 ", 	13 ," 	4,164 "," 	9,407 "," 	8,390 "," 	8,848 "," 	7,847 "," 	5,358 "," 	13,878 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,002 "," 	4,099 "," 	5,101 ", 	181 ," 	1,732 "," 	1,913 ", 	- 0," 	3,439 "," 	7,518 "," 	6,799 "," 	7,006 "," 	6,334 "," 	4,006 "," 	11,353 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,175 "," 	4,009 "," 	5,184 ", 	148 , 	789 , 	937 , 	17 ," 	3,450 "," 	8,774 "," 	7,415 "," 	8,455 "," 	7,367 "," 	4,246 "," 	11,502 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,397 "," 	5,231 "," 	6,628 ", 	141 ," 	1,147 "," 	1,288 ", 	4 ," 	4,627 "," 	9,220 "," 	7,598 "," 	9,140 "," 	7,576 "," 	4,512 "," 	12,941 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,284 "," 	5,168 "," 	6,452 ", 	146 ," 	1,673 "," 	1,819 ", 	3 ," 	3,721 "," 	7,617 "," 	6,688 "," 	7,595 "," 	6,633 "," 	3,503 "," 	10,767 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	845 ," 	4,283 "," 	5,128 ", 	151 ," 	1,928 "," 	2,079 ", 	1 ," 	3,383 "," 	5,849 "," 	4,455 "," 	5,838 "," 	4,432 "," 	3,802 "," 	9,973 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,631 "," 	6,350 "," 	7,981 ", 	281 ," 	1,857 "," 	2,138 ", 	497 ," 	4,049 "," 	9,976 "," 	9,649 "," 	9,915 "," 	9,602 "," 	4,934 "," 	15,159 "
,2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,052 "," 	8,373 "," 	10,425 ", 	411 ," 	3,312 "," 	3,723 ", 	134 ," 	5,726 "," 	12,978 "," 	11,756 "," 	12,972 "," 	11,754 "," 	7,161 "," 	18,782 "
