,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,OCTOBER,,,,England," 	133,808 "," 	485,380 "," 	619,188 "," 	21,454 "," 	149,715 "," 	171,169 "," 	20,927 "," 	451,353 "," 	956,082 "," 	816,141 "," 	907,111 "," 	773,727 "," 	543,928 "," 	1,346,998 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	594 ," 	1,726 "," 	2,320 ", 	121 , 	372 , 	493 , 	482 ," 	2,736 "," 	5,949 "," 	4,870 "," 	4,907 "," 	3,803 "," 	4,468 "," 	7,903 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	729 ," 	3,337 "," 	4,066 ", 	136 ," 	1,233 "," 	1,369 ", 	62 ," 	2,739 "," 	4,282 "," 	5,327 "," 	3,783 "," 	4,761 "," 	1,300 "," 	8,351 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	856 ," 	3,101 "," 	3,957 ", 	109 , 	686 , 	795 , 	532 ," 	3,116 "," 	6,749 "," 	5,545 "," 	6,228 "," 	4,890 "," 	3,070 "," 	8,190 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,013 "," 	3,921 "," 	4,934 ", 	192 ," 	1,462 "," 	1,654 ", 	200 ," 	4,180 "," 	9,916 "," 	7,683 "," 	8,905 "," 	6,950 "," 	5,654 "," 	11,995 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	597 ," 	1,948 "," 	2,545 ", 	199 , 	651 , 	850 , 	28 ," 	1,714 "," 	3,381 "," 	3,355 "," 	3,067 "," 	2,761 "," 	1,126 "," 	4,084 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	656 ," 	2,477 "," 	3,133 ", 	185 , 	770 , 	955 , 	43 ," 	2,657 "," 	4,851 "," 	5,035 "," 	4,148 "," 	3,755 "," 	1,392 "," 	5,512 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,458 "," 	6,284 "," 	7,742 ", 	212 ," 	2,427 "," 	2,639 ", 	392 ," 	4,732 "," 	12,943 "," 	9,726 "," 	12,363 "," 	9,288 "," 	8,930 "," 	15,018 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,436 "," 	4,360 "," 	5,796 ", 	219 ," 	1,288 "," 	1,507 "," 	1,190 "," 	4,108 "," 	9,671 "," 	7,263 "," 	9,036 "," 	6,885 "," 	4,836 "," 	12,125 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,405 "," 	4,728 "," 	6,133 ", 	162 ," 	1,691 "," 	1,853 ", 	32 ," 	3,937 "," 	8,912 "," 	7,603 "," 	8,575 "," 	7,361 "," 	6,113 "," 	12,323 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	540 ," 	1,806 "," 	2,346 ", 	95 , 	833 , 	928 , 	26 ," 	1,834 "," 	4,667 "," 	4,388 "," 	4,303 "," 	3,065 "," 	2,542 "," 	5,132 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	543 ," 	1,311 "," 	1,854 ", 	146 , 	261 , 	407 , 	2 ," 	1,649 "," 	3,109 "," 	3,099 "," 	2,998 "," 	2,837 "," 	1,490 "," 	5,111 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	927 ," 	3,475 "," 	4,402 ", 	163 ," 	1,370 "," 	1,533 ", 	- 0," 	2,499 "," 	7,361 "," 	5,894 "," 	7,294 "," 	5,877 "," 	3,101 "," 	8,838 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	971 ," 	3,566 "," 	4,537 ", 	151 , 	626 , 	777 , 	38 ," 	2,740 "," 	6,919 "," 	6,588 "," 	6,726 "," 	6,402 "," 	3,016 "," 	9,996 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	385 ," 	1,226 "," 	1,611 ", 	59 , 	396 , 	455 , 	9 ," 	1,425 "," 	3,344 "," 	2,483 "," 	2,981 "," 	2,174 "," 	2,101 "," 	3,681 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,359 "," 	5,381 "," 	6,740 ", 	226 ," 	1,941 "," 	2,167 "," 	1,299 "," 	4,252 "," 	9,753 "," 	8,068 "," 	9,429 "," 	7,714 "," 	7,539 "," 	13,083 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,888 "," 	8,339 "," 	10,227 ", 	286 ," 	3,044 "," 	3,330 ", 	30 ," 	6,282 "," 	13,208 "," 	11,841 "," 	12,856 "," 	11,512 "," 	5,536 "," 	18,886 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	673 ," 	2,444 "," 	3,117 ", 	125 , 	377 , 	502 , 	- 0," 	1,908 "," 	4,877 "," 	4,577 "," 	4,867 "," 	4,451 "," 	1,311 "," 	6,360 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,372 "," 	5,824 "," 	7,196 ", 	169 ," 	2,212 "," 	2,381 ", 	207 ," 	4,418 "," 	11,487 "," 	8,946 "," 	11,297 "," 	8,790 "," 	6,198 "," 	16,064 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	649 ," 	2,673 "," 	3,322 ", 	66 , 	991 ," 	1,057 ", 	322 ," 	2,194 "," 	4,399 "," 	4,105 "," 	4,085 "," 	3,835 "," 	2,802 "," 	6,203 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	841 ," 	2,250 "," 	3,091 ", 	60 , 	296 , 	356 , 	1 ," 	2,740 "," 	4,600 "," 	4,914 "," 	4,322 "," 	4,826 "," 	1,513 "," 	7,357 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	764 ," 	2,922 "," 	3,686 ", 	67 ," 	1,154 "," 	1,221 ", 	1 ," 	2,486 "," 	7,346 "," 	5,972 "," 	6,850 "," 	5,785 "," 	4,073 "," 	9,274 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	713 ," 	3,376 "," 	4,089 ", 	121 ," 	1,196 "," 	1,317 ", 	1 ," 	2,619 "," 	7,214 "," 	6,422 "," 	6,874 "," 	6,082 "," 	4,699 "," 	10,197 "
,2011-12,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,577 "," 	8,107 "," 	10,684 ", 	473 ," 	2,303 "," 	2,776 ", 	253 ," 	7,804 "," 	19,418 "," 	15,637 "," 	18,322 "," 	15,131 "," 	11,467 "," 	25,841 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	545 ," 	2,420 "," 	2,965 ", 	82 , 	405 , 	487 , 	2 ," 	2,208 "," 	3,760 "," 	3,249 "," 	3,702 "," 	3,204 "," 	2,390 "," 	5,992 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	385 ," 	1,027 "," 	1,412 ", 	31 , 	215 , 	246 , 	54 ," 	1,100 "," 	3,298 "," 	2,825 "," 	2,861 "," 	2,473 "," 	1,522 "," 	4,065 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	787 ," 	3,489 "," 	4,276 ", 	77 ," 	1,010 "," 	1,087 ", 	1 ," 	2,192 "," 	6,765 "," 	5,525 "," 	6,353 "," 	5,520 "," 	4,186 "," 	9,070 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	608 ," 	2,276 "," 	2,884 ", 	78 , 	661 , 	739 , 	1 ," 	1,744 "," 	3,619 "," 	3,912 "," 	3,275 "," 	3,706 "," 	3,100 "," 	7,358 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	705 ," 	3,223 "," 	3,928 ", 	102 , 	950 ," 	1,052 ", 	126 ," 	2,886 "," 	7,967 "," 	6,118 "," 	7,430 "," 	5,613 "," 	5,550 "," 	10,284 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	571 ," 	2,350 "," 	2,921 ", 	102 , 	569 , 	671 , 	561 ," 	2,174 "," 	5,346 "," 	4,194 "," 	4,896 "," 	4,008 "," 	2,711 "," 	7,261 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	659 ," 	3,023 "," 	3,682 ", 	69 ," 	1,005 "," 	1,074 ", 	325 ," 	2,130 "," 	6,244 "," 	5,537 "," 	5,663 "," 	5,082 "," 	4,402 "," 	8,810 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	332 ," 	1,397 "," 	1,729 ", 	61 , 	281 , 	342 , 	1 ," 	1,891 "," 	2,659 "," 	2,147 "," 	2,612 "," 	2,098 "," 	1,973 "," 	4,169 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	418 ," 	1,665 "," 	2,083 ", 	52 , 	334 , 	386 , 	- 0," 	1,973 "," 	3,756 "," 	3,376 "," 	3,336 "," 	2,949 "," 	2,165 "," 	5,774 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	479 ," 	1,307 "," 	1,786 ", 	52 , 	279 , 	331 , 	1 ," 	2,109 "," 	5,631 "," 	4,768 "," 	3,843 "," 	3,127 "," 	3,056 "," 	6,938 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	529 ," 	1,794 "," 	2,323 ", 	105 , 	681 , 	786 , 	- 0," 	2,633 "," 	7,665 "," 	6,903 "," 	5,370 "," 	4,455 "," 	3,559 "," 	8,801 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	484 ," 	2,184 "," 	2,668 ", 	70 , 	649 , 	719 , 	20 ," 	1,852 "," 	4,681 "," 	3,981 "," 	4,353 "," 	3,711 "," 	3,226 "," 	8,041 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	382 ," 	1,252 "," 	1,634 ", 	50 , 	232 , 	282 , 	16 ," 	1,613 "," 	3,810 "," 	3,062 "," 	3,367 "," 	2,762 "," 	3,004 "," 	5,978 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	716 ," 	2,972 "," 	3,688 ", 	65 , 	711 , 	776 , 	177 ," 	3,089 "," 	8,634 "," 	6,168 "," 	7,749 "," 	5,601 "," 	4,434 "," 	9,566 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	456 ," 	1,761 "," 	2,217 ", 	51 , 	451 , 	502 , 	9 ," 	1,844 "," 	5,750 "," 	4,235 "," 	5,383 "," 	3,948 "," 	2,361 "," 	6,310 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	598 ," 	2,263 "," 	2,861 ", 	65 , 	714 , 	779 , 	580 ," 	2,401 "," 	6,807 "," 	5,436 "," 	6,603 "," 	5,288 "," 	3,294 "," 	8,054 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	503 ," 	1,849 "," 	2,352 ", 	87 , 	758 , 	845 , 	255 ," 	1,617 "," 	4,223 "," 	3,650 "," 	4,127 "," 	3,573 "," 	1,894 "," 	5,298 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	350 ," 	1,734 "," 	2,084 ", 	40 , 	470 , 	510 , 	1 ," 	1,690 "," 	4,753 "," 	4,156 "," 	4,460 "," 	3,906 "," 	3,303 "," 	7,318 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	488 ," 	1,916 "," 	2,404 ", 	70 , 	543 , 	613 , 	- 0," 	1,660 "," 	4,268 "," 	3,886 "," 	3,900 "," 	3,566 "," 	2,475 "," 	6,646 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	759 ," 	3,033 "," 	3,792 ", 	96 , 	754 , 	850 , 	64 ," 	2,912 "," 	6,381 "," 	4,628 "," 	5,853 "," 	4,294 "," 	4,304 "," 	9,076 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	302 ," 	1,192 "," 	1,494 ", 	57 , 	263 , 	320 , 	1 ," 	1,113 "," 	4,321 "," 	2,883 "," 	4,088 "," 	2,753 "," 	2,217 "," 	4,918 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	414 ," 	1,505 "," 	1,919 ", 	47 , 	352 , 	399 , 	2 ," 	1,703 "," 	4,966 "," 	3,533 "," 	4,762 "," 	3,358 "," 	2,828 "," 	6,147 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	624 ," 	2,232 "," 	2,856 ", 	97 , 	589 , 	686 , 	7 ," 	2,842 "," 	6,082 "," 	5,187 "," 	4,959 "," 	4,852 "," 	4,023 "," 	10,457 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	529 ," 	2,059 "," 	2,588 ", 	101 , 	618 , 	719 , 	100 ," 	2,915 "," 	5,073 "," 	4,367 "," 	4,262 "," 	4,136 "," 	3,970 "," 	9,474 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	525 ," 	2,380 "," 	2,905 ", 	82 , 	638 , 	720 , 	101 ," 	2,219 "," 	5,133 "," 	4,217 "," 	4,835 "," 	4,119 "," 	5,144 "," 	9,581 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	657 ," 	1,806 "," 	2,463 ", 	63 , 	337 , 	400 , 	48 ," 	1,993 "," 	9,160 "," 	6,076 "," 	7,646 "," 	5,596 "," 	3,091 "," 	9,493 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	371 ," 	1,081 "," 	1,452 ", 	47 , 	255 , 	302 , 	32 ," 	1,104 "," 	3,821 "," 	3,159 "," 	3,353 "," 	2,853 "," 	1,712 "," 	4,435 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	844 ," 	2,806 "," 	3,650 ", 	74 , 	451 , 	525 , 	145 ," 	2,583 "," 	7,785 "," 	6,141 "," 	6,962 "," 	5,882 "," 	2,172 "," 	9,944 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	485 ," 	2,057 "," 	2,542 ", 	88 , 	488 , 	576 , 	2 ," 	2,419 "," 	5,053 "," 	4,213 "," 	4,907 "," 	4,061 "," 	2,425 "," 	6,992 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	492 ," 	2,085 "," 	2,577 ", 	81 , 	647 , 	728 , 	2 ," 	2,464 "," 	5,209 "," 	4,159 "," 	4,630 "," 	3,885 "," 	2,593 "," 	6,672 "
,2011-12,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	571 ," 	2,060 "," 	2,631 ", 	77 , 	489 , 	566 , 	- 0," 	1,764 "," 	3,054 "," 	2,855 "," 	2,832 "," 	2,749 "," 	2,475 "," 	5,516 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	819 ," 	1,849 "," 	2,668 ", 	286 , 	437 , 	723 , 	2 ," 	2,209 "," 	4,855 "," 	4,450 "," 	4,733 "," 	4,318 "," 	2,847 "," 	6,832 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	797 ," 	2,050 "," 	2,847 ", 	301 , 	234 , 	535 , 	3 ," 	2,413 "," 	5,782 "," 	4,554 "," 	5,573 "," 	4,353 "," 	3,421 "," 	6,671 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,660 "," 	8,924 "," 	11,584 ", 	334 ," 	2,562 "," 	2,896 ", 	200 ," 	7,933 "," 	18,048 "," 	16,164 "," 	16,867 "," 	15,112 "," 	8,675 "," 	27,839 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,295 "," 	6,808 "," 	9,103 ", 	317 ," 	1,764 "," 	2,081 "," 	1,059 "," 	6,675 "," 	13,086 "," 	11,170 "," 	12,892 "," 	11,027 "," 	8,522 "," 	20,135 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,001 "," 	2,619 "," 	3,620 ", 	258 , 	835 ," 	1,093 ", 	- 0," 	2,809 "," 	7,210 "," 	6,281 "," 	7,111 "," 	6,188 "," 	3,491 "," 	8,974 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	490 ," 	1,379 "," 	1,869 ", 	75 , 	549 , 	624 , 	1 ," 	1,403 "," 	3,733 "," 	3,057 "," 	3,725 "," 	3,055 "," 	1,611 "," 	4,498 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,602 "," 	4,688 "," 	6,290 ", 	322 ," 	1,239 "," 	1,561 ", 	1 ," 	5,386 "," 	11,951 "," 	10,172 "," 	11,120 "," 	9,577 "," 	8,303 "," 	16,847 "
,2011-12,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,221 "," 	7,696 "," 	9,917 ", 	461 ," 	2,798 "," 	3,259 ", 	5 ," 	6,481 "," 	12,766 "," 	11,168 "," 	12,353 "," 	10,949 "," 	8,628 "," 	18,556 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	541 ," 	1,832 "," 	2,373 ", 	74 , 	529 , 	603 , 	134 ," 	2,248 "," 	4,030 "," 	3,593 "," 	3,540 "," 	3,273 "," 	1,851 "," 	5,515 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	434 ," 	1,479 "," 	1,913 ", 	55 , 	198 , 	253 , 	264 ," 	1,919 "," 	4,231 "," 	3,283 "," 	4,002 "," 	3,101 "," 	1,521 "," 	5,117 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	578 ," 	1,984 "," 	2,562 ", 	83 , 	524 , 	607 , 	891 ," 	2,429 "," 	4,005 "," 	3,587 "," 	3,968 "," 	3,423 "," 	2,587 "," 	5,664 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,106 "," 	10,998 "," 	14,104 ", 	378 ," 	2,573 "," 	2,951 "," 	3,080 "," 	10,073 "," 	20,586 "," 	16,964 "," 	20,249 "," 	16,697 "," 	12,370 "," 	28,922 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,020 "," 	4,122 "," 	5,142 ", 	127 ," 	1,194 "," 	1,321 ", 	57 ," 	3,639 "," 	7,685 "," 	6,653 "," 	7,363 "," 	6,327 "," 	2,825 "," 	10,779 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,241 "," 	4,766 "," 	6,007 ", 	160 ," 	1,395 "," 	1,555 ", 	79 ," 	4,136 "," 	7,932 "," 	7,218 "," 	7,760 "," 	7,063 "," 	4,263 "," 	11,327 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	912 ," 	2,722 "," 	3,634 ", 	105 , 	466 , 	571 , 	65 ," 	2,481 "," 	6,943 "," 	6,010 "," 	6,213 "," 	5,293 "," 	3,559 "," 	12,160 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	734 ," 	2,564 "," 	3,298 ", 	105 , 	332 , 	437 , 	30 ," 	2,913 "," 	6,508 "," 	4,984 "," 	6,285 "," 	4,543 "," 	2,780 "," 	7,546 "
,2011-12,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	342 , 	693 ," 	1,035 ", 	43 , 	77 , 	120 , 	34 ," 	1,079 "," 	2,640 "," 	2,198 "," 	2,565 "," 	2,029 "," 	1,773 "," 	3,273 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	566 ," 	2,373 "," 	2,939 ", 	90 ," 	1,148 "," 	1,238 ", 	- 0," 	1,482 "," 	3,871 "," 	3,390 "," 	3,704 "," 	3,233 "," 	1,979 "," 	5,304 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	679 ," 	2,285 "," 	2,964 ", 	108 , 	469 , 	577 , 	115 ," 	2,192 "," 	4,288 "," 	3,808 "," 	4,285 "," 	3,806 "," 	1,191 "," 	6,403 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	425 ," 	1,365 "," 	1,790 ", 	56 , 	376 , 	432 , 	1 ," 	1,305 "," 	3,299 "," 	2,918 "," 	3,230 "," 	2,860 "," 	2,570 "," 	5,122 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	449 ," 	1,841 "," 	2,290 ", 	60 , 	668 , 	728 , 	- 0," 	1,689 "," 	3,841 "," 	3,354 "," 	3,776 "," 	3,204 "," 	1,581 "," 	5,016 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	489 ," 	2,013 "," 	2,502 ", 	60 , 	704 , 	764 , 	- 0," 	1,434 "," 	3,779 "," 	3,207 "," 	3,724 "," 	3,159 "," 	1,705 "," 	5,136 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,414 "," 	5,484 "," 	6,898 ", 	201 ," 	2,397 "," 	2,598 ", 	10 ," 	4,486 "," 	8,677 "," 	8,094 "," 	8,182 "," 	7,634 "," 	4,936 "," 	12,954 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,051 "," 	3,742 "," 	4,793 ", 	181 ," 	1,471 "," 	1,652 ", 	1 ," 	3,348 "," 	7,554 "," 	6,565 "," 	7,006 "," 	6,082 "," 	3,871 "," 	10,941 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,143 "," 	3,719 "," 	4,862 ", 	146 , 	871 ," 	1,017 ", 	23 ," 	3,283 "," 	7,601 "," 	6,946 "," 	7,574 "," 	6,888 "," 	4,845 "," 	11,458 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,494 "," 	5,069 "," 	6,563 ", 	174 ," 	1,156 "," 	1,330 ", 	1 ," 	4,544 "," 	8,439 "," 	7,569 "," 	8,419 "," 	7,560 "," 	4,267 "," 	13,005 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,210 "," 	4,900 "," 	6,110 ", 	175 ," 	1,560 "," 	1,735 ", 	3 ," 	3,796 "," 	7,413 "," 	6,284 "," 	7,385 "," 	6,260 "," 	3,387 "," 	10,189 "
,2011-12,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	929 ," 	4,287 "," 	5,216 ", 	179 ," 	1,970 "," 	2,149 ", 	2 ," 	3,624 "," 	5,644 "," 	4,535 "," 	5,628 "," 	4,526 "," 	4,001 "," 	9,491 "
