,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,DECEMBER,,,,England," 	119,445 "," 	444,135 "," 	563,580 "," 	19,370 "," 	139,459 "," 	158,829 "," 	18,857 "," 	464,950 "," 	803,021 "," 	717,726 "," 	759,668 "," 	679,446 "," 	482,439 "," 	1,176,382 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	711 ," 	2,915 "," 	3,626 ", 	129 ," 	1,157 "," 	1,286 ", 	46 ," 	2,841 "," 	3,587 "," 	4,642 "," 	3,149 "," 	4,077 "," 	1,130 "," 	7,200 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	695 ," 	2,738 "," 	3,433 ", 	111 , 	572 , 	683 , 	439 ," 	3,383 "," 	6,020 "," 	4,748 "," 	5,540 "," 	4,154 "," 	2,881 "," 	7,122 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,000 "," 	3,779 "," 	4,779 ", 	257 ," 	1,361 "," 	1,618 ", 	161 ," 	4,111 "," 	8,244 "," 	6,681 "," 	7,391 "," 	6,061 "," 	5,400 "," 	10,746 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	536 ," 	1,642 "," 	2,178 ", 	215 , 	548 , 	763 , 	24 ," 	1,743 "," 	2,887 "," 	2,672 "," 	2,620 "," 	2,164 ", 	965 ," 	3,271 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	634 ," 	2,080 "," 	2,714 ", 	220 , 	670 , 	890 , 	37 ," 	2,650 "," 	4,115 "," 	3,859 "," 	3,516 "," 	2,757 "," 	1,206 "," 	4,247 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,403 "," 	6,246 "," 	7,649 ", 	191 ," 	2,339 "," 	2,530 ", 	351 ," 	5,236 "," 	9,036 "," 	8,705 "," 	8,510 "," 	8,317 "," 	7,069 "," 	13,399 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,337 "," 	4,507 "," 	5,844 ", 	203 ," 	1,607 "," 	1,810 "," 	1,156 "," 	4,450 "," 	8,368 "," 	6,553 "," 	7,578 "," 	6,244 "," 	4,194 "," 	10,957 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,200 "," 	4,381 "," 	5,581 ", 	148 ," 	1,482 "," 	1,630 ", 	38 ," 	3,974 "," 	7,366 "," 	6,697 "," 	7,093 "," 	6,483 "," 	5,297 "," 	10,729 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	437 ," 	1,796 "," 	2,233 ", 	88 , 	792 , 	880 , 	22 ," 	1,801 "," 	3,927 "," 	3,377 "," 	3,622 "," 	2,829 "," 	2,369 "," 	4,701 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	485 ," 	1,166 "," 	1,651 ", 	62 , 	287 , 	349 , 	- 0," 	1,733 "," 	2,774 "," 	2,813 "," 	2,648 "," 	2,558 "," 	1,489 "," 	4,568 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	817 ," 	3,112 "," 	3,929 ", 	181 ," 	1,322 "," 	1,503 ", 	- 0," 	2,661 "," 	5,905 "," 	5,057 "," 	5,854 "," 	5,037 "," 	2,831 "," 	7,656 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	932 ," 	3,124 "," 	4,056 ", 	106 , 	554 , 	660 , 	40 ," 	2,892 "," 	6,109 "," 	5,618 "," 	5,900 "," 	5,451 "," 	2,615 "," 	8,548 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	356 ," 	1,208 "," 	1,564 ", 	57 , 	380 , 	437 , 	6 ," 	1,487 "," 	3,134 "," 	2,329 "," 	2,830 "," 	2,068 "," 	1,789 "," 	3,382 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,205 "," 	5,018 "," 	6,223 ", 	206 ," 	1,990 "," 	2,196 "," 	1,019 "," 	4,254 "," 	8,351 "," 	6,817 "," 	8,040 "," 	6,511 "," 	6,496 "," 	10,903 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,676 "," 	8,217 "," 	9,893 ", 	286 ," 	3,189 "," 	3,475 ", 	34 ," 	6,333 "," 	10,592 "," 	10,538 "," 	10,297 "," 	10,274 "," 	5,043 "," 	16,621 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	565 ," 	2,026 "," 	2,591 ", 	130 , 	338 , 	468 , 	- 0," 	2,088 "," 	3,817 "," 	3,936 "," 	3,801 "," 	3,861 "," 	1,264 "," 	5,460 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,234 "," 	5,135 "," 	6,369 ", 	190 ," 	2,036 "," 	2,226 ", 	151 ," 	4,573 "," 	10,010 "," 	8,600 "," 	9,836 "," 	8,462 "," 	6,585 "," 	14,378 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	542 ," 	2,305 "," 	2,847 ", 	63 , 	884 , 	947 , 	225 ," 	2,130 "," 	4,084 "," 	3,526 "," 	3,870 "," 	3,307 "," 	2,562 "," 	5,375 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	764 ," 	2,074 "," 	2,838 ", 	48 , 	321 , 	369 , 	- 0," 	2,911 "," 	4,368 "," 	4,290 "," 	4,073 "," 	4,229 "," 	1,348 "," 	6,404 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	760 ," 	2,740 "," 	3,500 ", 	76 ," 	1,084 "," 	1,160 ", 	1 ," 	2,580 "," 	5,538 "," 	5,158 "," 	5,067 "," 	5,005 "," 	3,624 "," 	8,086 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	692 ," 	3,176 "," 	3,868 ", 	100 ," 	1,138 "," 	1,238 ", 	1 ," 	2,773 "," 	5,819 "," 	5,687 "," 	5,490 "," 	5,424 "," 	4,485 "," 	9,565 "
,2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,402 "," 	7,551 "," 	9,953 ", 	389 ," 	2,120 "," 	2,509 ", 	211 ," 	7,826 "," 	16,666 "," 	14,076 "," 	16,255 "," 	13,651 "," 	9,802 "," 	22,600 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	445 ," 	2,004 "," 	2,449 ", 	68 , 	383 , 	451 , 	216 ," 	2,216 "," 	3,020 "," 	2,948 "," 	2,978 "," 	2,915 "," 	1,976 "," 	5,186 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	346 , 	978 ," 	1,324 ", 	20 , 	212 , 	232 , 	50 ," 	1,041 "," 	2,780 "," 	2,494 "," 	2,356 "," 	2,112 "," 	1,295 "," 	3,365 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	686 ," 	3,135 "," 	3,821 ", 	89 , 	874 , 	963 , 	1 ," 	2,232 "," 	5,908 "," 	4,536 "," 	5,499 "," 	4,498 "," 	3,515 "," 	7,586 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	485 ," 	1,960 "," 	2,445 ", 	79 , 	602 , 	681 , 	- 0," 	1,825 "," 	3,007 "," 	3,364 "," 	2,761 "," 	3,190 "," 	2,230 "," 	5,918 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	598 ," 	2,889 "," 	3,487 ", 	65 , 	855 , 	920 , 	71 ," 	2,853 "," 	7,168 "," 	5,366 "," 	6,721 "," 	4,890 "," 	4,819 "," 	8,450 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	490 ," 	2,160 "," 	2,650 ", 	73 , 	593 , 	666 , 	502 ," 	2,299 "," 	4,374 "," 	3,541 "," 	4,005 "," 	3,326 "," 	2,252 "," 	6,068 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	503 ," 	2,678 "," 	3,181 ", 	51 , 	898 , 	949 , 	286 ," 	2,126 "," 	4,785 "," 	4,565 "," 	4,385 "," 	4,113 "," 	3,619 "," 	7,172 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	270 ," 	1,195 "," 	1,465 ", 	33 , 	223 , 	256 , 	103 ," 	1,790 "," 	2,189 "," 	2,133 "," 	2,126 "," 	2,086 "," 	1,667 "," 	3,745 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	322 ," 	1,364 "," 	1,686 ", 	62 , 	278 , 	340 , 	- 0," 	1,925 "," 	2,991 "," 	2,735 "," 	2,809 "," 	2,552 "," 	1,825 "," 	4,074 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	259 ," 	1,086 "," 	1,345 ", 	30 , 	174 , 	204 , 	1 ," 	1,889 "," 	5,225 "," 	4,711 "," 	3,019 "," 	2,626 "," 	2,560 "," 	4,947 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	421 ," 	1,609 "," 	2,030 ", 	76 , 	585 , 	661 , 	- 0," 	2,607 "," 	6,884 "," 	6,595 "," 	4,276 "," 	3,690 "," 	3,546 "," 	7,350 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	390 ," 	1,823 "," 	2,213 ", 	49 , 	583 , 	632 , 	11 ," 	1,765 "," 	3,992 "," 	3,492 "," 	3,717 "," 	3,184 "," 	2,791 "," 	6,828 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	278 ," 	1,094 "," 	1,372 ", 	27 , 	203 , 	230 , 	8 ," 	1,598 "," 	3,301 "," 	2,637 "," 	2,904 "," 	2,333 "," 	2,594 "," 	5,328 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	585 ," 	2,429 "," 	3,014 ", 	64 , 	615 , 	679 , 	145 ," 	3,160 "," 	6,893 "," 	5,486 "," 	6,064 "," 	4,914 "," 	4,009 "," 	8,362 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	399 ," 	1,601 "," 	2,000 ", 	53 , 	411 , 	464 , 	8 ," 	1,853 "," 	4,466 "," 	3,868 "," 	4,132 "," 	3,648 "," 	2,251 "," 	5,728 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	530 ," 	2,121 "," 	2,651 ", 	87 , 	693 , 	780 , 	516 ," 	2,522 "," 	6,164 "," 	4,903 "," 	5,989 "," 	4,732 "," 	2,830 "," 	6,901 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	446 ," 	1,529 "," 	1,975 ", 	52 , 	618 , 	670 , 	246 ," 	1,695 "," 	3,439 "," 	3,246 "," 	3,370 "," 	3,187 "," 	1,609 "," 	4,564 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	355 ," 	1,497 "," 	1,852 ", 	36 , 	420 , 	456 , 	1 ," 	1,616 "," 	3,782 "," 	3,245 "," 	3,527 "," 	2,984 "," 	2,818 "," 	5,767 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	396 ," 	1,664 "," 	2,060 ", 	64 , 	540 , 	604 , 	1 ," 	1,677 "," 	3,647 "," 	3,230 "," 	3,343 "," 	2,920 "," 	2,114 "," 	5,371 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	616 ," 	2,740 "," 	3,356 ", 	74 , 	686 , 	760 , 	55 ," 	2,959 "," 	5,457 "," 	4,061 "," 	4,990 "," 	3,790 "," 	3,498 "," 	7,678 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	274 ," 	1,030 "," 	1,304 ", 	55 , 	284 , 	339 , 	4 ," 	1,097 "," 	3,391 "," 	2,389 "," 	3,207 "," 	2,247 "," 	1,987 "," 	4,219 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	367 ," 	1,312 "," 	1,679 ", 	45 , 	326 , 	371 , 	8 ," 	1,698 "," 	3,979 "," 	3,214 "," 	3,781 "," 	3,050 "," 	2,574 "," 	5,488 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	577 ," 	1,974 "," 	2,551 ", 	104 , 	546 , 	650 , 	8 ," 	2,855 "," 	4,977 "," 	4,317 "," 	3,918 "," 	4,047 "," 	3,658 "," 	8,701 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	491 ," 	1,796 "," 	2,287 ", 	82 , 	549 , 	631 , 	98 ," 	2,787 "," 	4,155 "," 	3,823 "," 	3,372 "," 	3,593 "," 	3,389 "," 	7,893 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	518 ," 	2,256 "," 	2,774 ", 	92 , 	589 , 	681 , 	99 ," 	2,167 "," 	3,946 "," 	3,724 "," 	3,707 "," 	3,627 "," 	4,439 "," 	8,299 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	606 ," 	1,656 "," 	2,262 ", 	66 , 	334 , 	400 , 	66 ," 	1,989 "," 	7,153 "," 	4,987 "," 	6,162 "," 	4,624 "," 	2,563 "," 	7,864 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	288 , 	932 ," 	1,220 ", 	24 , 	219 , 	243 , 	20 ," 	1,045 "," 	3,288 "," 	2,718 "," 	2,889 "," 	2,454 "," 	1,430 "," 	3,844 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	687 ," 	2,486 "," 	3,173 ", 	56 , 	412 , 	468 , 	122 ," 	2,634 "," 	6,751 "," 	5,273 "," 	6,082 "," 	5,052 "," 	1,888 "," 	8,385 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	417 ," 	1,864 "," 	2,281 ", 	70 , 	438 , 	508 , 	165 ," 	2,391 "," 	4,390 "," 	3,865 "," 	4,192 "," 	3,703 "," 	2,066 "," 	5,905 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	433 ," 	1,922 "," 	2,355 ", 	46 , 	690 , 	736 , 	16 ," 	2,264 "," 	4,440 "," 	3,686 "," 	3,892 "," 	3,459 "," 	2,386 "," 	5,955 "
,2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	507 ," 	2,036 "," 	2,543 ", 	64 , 	517 , 	581 , 	- 0," 	1,675 "," 	2,481 "," 	2,543 "," 	2,304 "," 	2,467 "," 	2,056 "," 	4,746 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	833 ," 	1,760 "," 	2,593 ", 	283 , 	416 , 	699 , 	- 0," 	2,174 "," 	4,220 "," 	3,948 "," 	4,023 "," 	3,803 "," 	2,536 "," 	6,132 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	660 ," 	1,842 "," 	2,502 ", 	291 , 	235 , 	526 , 	3 ," 	2,413 "," 	4,712 "," 	4,070 "," 	4,458 "," 	3,846 "," 	2,831 "," 	5,753 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,459 "," 	8,353 "," 	10,812 ", 	303 ," 	2,453 "," 	2,756 ", 	170 ," 	8,187 "," 	15,710 "," 	14,300 "," 	14,680 "," 	13,348 "," 	7,704 "," 	23,392 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,904 "," 	6,589 "," 	8,493 ", 	233 ," 	1,655 "," 	1,888 ", 	917 ," 	6,778 "," 	11,146 "," 	10,213 "," 	10,986 "," 	10,043 "," 	7,398 "," 	17,812 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	919 ," 	2,554 "," 	3,473 ", 	233 , 	786 ," 	1,019 ", 	4 ," 	2,873 "," 	6,165 "," 	5,719 "," 	6,074 "," 	5,638 "," 	3,144 "," 	8,152 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	447 ," 	1,299 "," 	1,746 ", 	68 , 	568 , 	636 , 	- 0," 	1,477 "," 	3,040 "," 	2,895 "," 	3,034 "," 	2,892 "," 	1,724 "," 	4,337 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,571 "," 	4,048 "," 	5,619 ", 	271 ," 	1,159 "," 	1,430 ", 	1 ," 	5,424 "," 	9,962 "," 	8,760 "," 	9,304 "," 	8,183 "," 	7,649 "," 	14,692 "
,2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,060 "," 	7,094 "," 	9,154 ", 	422 ," 	2,734 "," 	3,156 ", 	3 ," 	6,632 "," 	10,903 "," 	9,387 "," 	10,821 "," 	9,332 "," 	7,363 "," 	17,331 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	425 ," 	1,585 "," 	2,010 ", 	54 , 	504 , 	558 , 	101 ," 	2,364 "," 	2,951 "," 	2,858 "," 	2,838 "," 	2,692 "," 	1,713 "," 	4,814 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	407 ," 	1,389 "," 	1,796 ", 	50 , 	223 , 	273 , 	237 ," 	1,975 "," 	3,558 "," 	3,043 "," 	3,340 "," 	2,895 "," 	1,424 "," 	4,651 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	495 ," 	1,799 "," 	2,294 ", 	67 , 	517 , 	584 , 	722 ," 	2,544 "," 	3,347 "," 	3,184 "," 	3,295 "," 	3,011 "," 	2,397 "," 	5,063 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,837 "," 	9,917 "," 	12,754 ", 	307 ," 	2,450 "," 	2,757 "," 	2,709 "," 	10,373 "," 	16,959 "," 	16,099 "," 	16,675 "," 	15,792 "," 	10,512 "," 	26,891 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	912 ," 	3,654 "," 	4,566 ", 	103 ," 	1,043 "," 	1,146 ", 	39 ," 	3,947 "," 	6,936 "," 	6,061 "," 	6,592 "," 	5,781 "," 	2,304 "," 	9,404 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT, 	950 ," 	3,485 "," 	4,435 ", 	117 ," 	1,143 "," 	1,260 ", 	41 ," 	3,933 "," 	7,624 "," 	6,821 "," 	7,467 "," 	6,673 "," 	4,241 "," 	10,810 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	887 ," 	2,505 "," 	3,392 ", 	149 , 	476 , 	625 , 	67 ," 	2,680 "," 	5,738 "," 	5,356 "," 	5,086 "," 	4,714 "," 	3,286 "," 	10,455 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	702 ," 	2,340 "," 	3,042 ", 	117 , 	338 , 	455 , 	24 ," 	2,878 "," 	5,777 "," 	4,512 "," 	5,533 "," 	4,072 "," 	2,480 "," 	6,884 "
,2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	319 , 	632 , 	951 , 	26 , 	101 , 	127 , 	24 ," 	1,113 "," 	2,336 "," 	1,943 "," 	2,239 "," 	1,866 "," 	1,570 "," 	3,051 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	473 ," 	1,874 "," 	2,347 ", 	85 , 	852 , 	937 , 	- 0," 	1,757 "," 	3,436 "," 	2,545 "," 	3,398 "," 	2,469 "," 	1,121 "," 	4,189 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	562 ," 	1,936 "," 	2,498 ", 	96 , 	319 , 	415 , 	116 ," 	2,201 "," 	3,473 "," 	3,253 "," 	3,469 "," 	3,252 ", 	929 ," 	5,319 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	341 ," 	1,293 "," 	1,634 ", 	50 , 	307 , 	357 , 	- 0," 	1,407 "," 	2,805 "," 	2,383 "," 	2,730 "," 	2,317 "," 	2,048 "," 	4,145 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	383 ," 	1,635 "," 	2,018 ", 	30 , 	597 , 	627 , 	- 0," 	1,862 "," 	3,010 "," 	3,025 "," 	2,954 "," 	2,867 "," 	1,647 "," 	4,749 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	424 ," 	1,728 "," 	2,152 ", 	59 , 	630 , 	689 , 	- 0," 	1,605 "," 	3,344 "," 	2,680 "," 	3,315 "," 	2,648 "," 	1,425 "," 	4,424 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,217 "," 	5,397 "," 	6,614 ", 	167 ," 	2,440 "," 	2,607 ", 	9 ," 	4,736 "," 	7,052 "," 	6,861 "," 	6,602 "," 	6,388 "," 	4,084 "," 	10,878 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	926 ," 	3,231 "," 	4,157 ", 	144 ," 	1,348 "," 	1,492 ", 	- 0," 	3,771 "," 	6,224 "," 	5,226 "," 	5,832 "," 	4,842 "," 	2,822 "," 	8,835 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,073 "," 	3,320 "," 	4,393 ", 	97 , 	770 , 	867 , 	12 ," 	3,468 "," 	6,407 "," 	5,941 "," 	6,382 "," 	5,897 "," 	4,227 "," 	9,872 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,395 "," 	4,558 "," 	5,953 ", 	168 ," 	1,072 "," 	1,240 ", 	3 ," 	4,988 "," 	6,850 "," 	6,307 "," 	6,832 "," 	6,297 "," 	3,775 "," 	11,217 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,159 "," 	4,518 "," 	5,677 ", 	144 ," 	1,493 "," 	1,637 ", 	3 ," 	3,777 "," 	6,287 "," 	5,859 "," 	6,271 "," 	5,841 "," 	2,977 "," 	9,241 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	799 ," 	3,974 "," 	4,773 ", 	147 ," 	1,878 "," 	2,025 ", 	2 ," 	3,794 "," 	4,762 "," 	4,000 "," 	4,688 "," 	3,996 "," 	3,475 "," 	8,273 "
,2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,550 "," 	5,441 "," 	6,991 ", 	302 ," 	1,930 "," 	2,232 ", 	326 ," 	4,331 "," 	7,736 "," 	7,806 "," 	7,662 "," 	7,740 "," 	4,149 "," 	12,301 "
