,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JANUARY,,,,England," 	121,865 "," 	413,862 "," 	535,727 "," 	18,823 "," 	121,263 "," 	140,086 "," 	10,243 "," 	14,851 "," 	434,834 "," 	844,839 "," 	718,947 "," 	805,520 "," 	685,633 "," 	461,915 "," 	1,185,751 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	544 ," 	2,224 "," 	2,768 ", 	99 ," 	1,019 "," 	1,118 ", 	- 0, 	24 ," 	2,191 "," 	4,819 "," 	4,477 "," 	4,376 "," 	4,060 "," 	2,445 "," 	7,007 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	487 ," 	1,459 "," 	1,946 ", 	106 , 	384 , 	490 , 	- 0, 	420 ," 	2,488 "," 	5,318 "," 	4,298 "," 	4,182 "," 	3,387 "," 	3,144 "," 	7,002 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	750 ," 	2,912 "," 	3,662 ", 	122 ," 	1,080 "," 	1,202 ", 	1 , 	34 ," 	2,534 "," 	3,776 "," 	4,691 "," 	3,312 "," 	3,945 "," 	1,347 "," 	5,947 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	788 ," 	2,856 "," 	3,644 ", 	92 , 	594 , 	686 , 	- 0, 	483 ," 	3,086 "," 	6,631 "," 	5,181 "," 	5,898 "," 	4,548 "," 	3,120 "," 	7,650 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	871 ," 	3,691 "," 	4,562 ", 	147 ," 	1,370 "," 	1,517 ", 	- 0, 	329 ," 	3,488 "," 	8,322 "," 	6,445 "," 	7,254 "," 	5,471 "," 	3,836 "," 	11,452 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	522 ," 	1,802 "," 	2,324 ", 	176 , 	526 , 	702 , 	- 0, 	17 ," 	1,618 "," 	3,576 "," 	2,870 "," 	3,133 "," 	2,421 "," 	1,603 "," 	3,388 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	656 ," 	2,402 "," 	3,058 ", 	177 , 	639 , 	816 , 	- 0, 	10 ," 	2,725 "," 	4,981 "," 	4,490 "," 	4,083 "," 	3,580 "," 	2,468 "," 	5,267 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,317 "," 	5,612 "," 	6,929 ", 	175 ," 	1,954 "," 	2,129 ", 	576 , 	388 ," 	4,298 "," 	11,391 "," 	8,366 "," 	10,669 "," 	7,977 "," 	7,058 "," 	13,064 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,177 "," 	4,260 "," 	5,437 ", 	136 ," 	1,333 "," 	1,469 ", 	148 , 	56 ," 	3,837 "," 	8,226 "," 	6,897 "," 	7,570 "," 	6,700 "," 	4,067 "," 	10,935 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,275 "," 	4,386 "," 	5,661 ", 	158 ," 	1,512 "," 	1,670 ", 	9 , 	22 ," 	3,776 "," 	8,351 "," 	6,820 "," 	8,026 "," 	6,499 "," 	5,507 "," 	11,426 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	411 ," 	1,688 "," 	2,099 ", 	75 , 	687 , 	762 , 	- 0, 	77 ," 	1,379 "," 	3,472 "," 	3,116 "," 	3,138 "," 	2,819 "," 	1,869 "," 	5,636 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	495 ," 	1,202 "," 	1,697 ", 	71 , 	253 , 	324 , 	- 0, 	- 0," 	1,565 "," 	3,014 "," 	3,158 "," 	3,339 "," 	2,745 "," 	1,589 "," 	4,496 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	741 ," 	2,958 "," 	3,699 ", 	136 ," 	1,010 "," 	1,146 ", 	- 0, 	- 0," 	3,160 "," 	6,316 "," 	5,607 "," 	6,314 "," 	5,603 "," 	2,811 "," 	7,865 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,156 "," 	4,516 "," 	5,672 ", 	104 , 	486 , 	590 , 	- 0, 	- 0," 	2,527 "," 	7,421 "," 	6,203 "," 	7,200 "," 	5,954 "," 	2,110 "," 	8,202 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,497 "," 	4,301 "," 	5,798 ", 	218 ," 	1,083 "," 	1,301 ", 	- 0, 	- 0," 	3,756 "," 	10,843 "," 	8,878 "," 	10,134 "," 	8,297 "," 	4,398 "," 	12,476 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,352 "," 	4,116 "," 	5,468 ", 	245 , 	919 ," 	1,164 ", 	- 0, 	- 0," 	3,412 "," 	10,113 "," 	8,849 "," 	9,278 "," 	8,118 "," 	5,121 "," 	13,457 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	391 ," 	1,185 "," 	1,576 ", 	41 , 	266 , 	307 , 	101 , 	16 ," 	1,307 "," 	2,687 "," 	2,380 "," 	2,529 "," 	2,317 "," 	1,521 "," 	3,376 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,450 "," 	5,397 "," 	6,847 ", 	237 ," 	1,760 "," 	1,997 ", 	33 ," 	1,118 "," 	4,042 "," 	8,436 "," 	7,377 "," 	8,409 "," 	7,129 "," 	4,993 "," 	11,470 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,764 "," 	7,509 "," 	9,273 ", 	205 ," 	2,686 "," 	2,891 ", 	498 , 	47 ," 	6,021 "," 	12,109 "," 	12,491 "," 	11,158 "," 	11,784 "," 	4,976 "," 	18,151 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	670 ," 	2,149 "," 	2,819 ", 	102 , 	533 , 	635 , 	- 0, 	- 0," 	1,761 "," 	4,410 "," 	3,736 "," 	4,268 "," 	3,649 ", 	957 ," 	4,762 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,421 "," 	5,023 "," 	6,444 ", 	146 ," 	1,681 "," 	1,827 ", 	- 0, 	- 0," 	4,594 "," 	10,017 "," 	8,848 "," 	9,571 "," 	8,571 "," 	4,579 "," 	13,383 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	583 ," 	2,478 "," 	3,061 ", 	83 , 	916 , 	999 , 	- 0, 	- 0," 	2,168 "," 	4,665 "," 	4,291 "," 	4,427 "," 	3,966 "," 	2,221 "," 	6,059 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	798 ," 	1,794 "," 	2,592 ", 	97 , 	263 , 	360 , 	- 0, 	- 0," 	2,338 "," 	5,205 "," 	5,012 "," 	5,125 "," 	4,837 "," 	2,371 "," 	5,906 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	827 ," 	2,485 "," 	3,312 ", 	123 , 	855 , 	978 , 	5 , 	- 0," 	3,111 "," 	5,212 "," 	5,333 "," 	5,144 "," 	4,737 "," 	4,662 "," 	7,805 "
,2009-10,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	773 ," 	2,746 "," 	3,519 ", 	156 , 	905 ," 	1,061 ", 	- 0, 	- 0," 	2,737 "," 	6,748 "," 	6,307 "," 	6,453 "," 	6,213 "," 	3,962 "," 	9,774 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	531 ," 	2,101 "," 	2,632 ", 	62 , 	369 , 	431 , 	375 , 	- 0," 	2,316 "," 	3,531 "," 	3,035 "," 	3,530 "," 	3,030 "," 	1,820 "," 	6,784 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	274 ," 	1,048 "," 	1,322 ", 	63 , 	212 , 	275 , 	- 0, 	- 0, 	959 ," 	2,190 "," 	2,055 "," 	1,899 "," 	1,844 "," 	1,238 "," 	2,583 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	626 ," 	3,041 "," 	3,667 ", 	116 , 	677 , 	793 , 	- 0, 	1 ," 	2,026 "," 	7,230 "," 	4,813 "," 	6,406 "," 	4,429 "," 	1,908 "," 	6,842 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	476 ," 	2,123 "," 	2,599 ", 	101 , 	797 , 	898 , 	- 0, 	5 ," 	1,705 "," 	4,215 "," 	3,094 "," 	3,800 "," 	2,915 "," 	2,847 "," 	5,620 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	709 ," 	2,753 "," 	3,462 ", 	104 , 	431 , 	535 , 	- 0, 	- 0," 	3,091 "," 	8,019 "," 	5,944 "," 	7,320 "," 	4,941 "," 	3,948 "," 	8,466 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	514 ," 	1,991 "," 	2,505 ", 	62 , 	432 , 	494 , 	- 0, 	- 0," 	2,029 "," 	4,469 "," 	3,816 "," 	4,004 "," 	3,419 "," 	1,862 "," 	5,840 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	632 ," 	2,383 "," 	3,015 ", 	54 , 	624 , 	678 , 	- 0, 	341 ," 	2,120 "," 	5,340 "," 	4,801 "," 	4,911 "," 	4,092 "," 	3,317 "," 	7,277 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	335 ," 	1,145 "," 	1,480 ", 	38 , 	206 , 	244 , 	150 , 	- 0," 	1,980 "," 	2,549 "," 	2,073 "," 	2,612 "," 	2,061 "," 	1,270 "," 	4,498 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	586 ," 	1,300 "," 	1,886 ", 	55 , 	193 , 	248 , 	6 , 	- 0," 	1,899 "," 	4,789 "," 	4,173 "," 	3,749 "," 	3,487 "," 	2,459 "," 	6,227 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	373 ," 	1,208 "," 	1,581 ", 	61 , 	188 , 	249 , 	19 , 	- 0," 	2,346 "," 	3,352 "," 	3,135 "," 	3,294 "," 	2,912 "," 	2,187 "," 	5,073 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	436 ," 	1,550 "," 	1,986 ", 	79 , 	309 , 	388 , 	- 0, 	- 0," 	2,386 "," 	5,400 "," 	5,001 "," 	4,448 "," 	3,697 "," 	3,103 "," 	6,611 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	408 ," 	1,873 "," 	2,281 ", 	49 , 	476 , 	525 , 	- 0, 	14 ," 	1,699 "," 	4,465 "," 	3,897 "," 	4,059 "," 	3,546 "," 	3,010 "," 	7,259 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	316 , 	903 ," 	1,219 ", 	32 , 	181 , 	213 , 	- 0, 	- 0," 	1,707 "," 	3,707 "," 	2,824 "," 	3,361 "," 	2,544 "," 	1,659 "," 	4,064 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	637 ," 	2,179 "," 	2,816 ", 	58 , 	499 , 	557 , 	- 0, 	- 0," 	2,697 "," 	6,469 "," 	5,072 "," 	5,680 "," 	4,320 "," 	3,534 "," 	8,343 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	418 ," 	1,426 "," 	1,844 ", 	53 , 	230 , 	283 , 	- 0, 	- 0," 	2,071 "," 	4,741 "," 	4,470 "," 	4,101 "," 	4,316 "," 	2,543 "," 	6,722 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	570 ," 	1,956 "," 	2,526 ", 	55 , 	508 , 	563 , 	- 0, 	- 0," 	2,220 "," 	5,321 "," 	4,828 "," 	4,849 "," 	4,277 "," 	2,366 "," 	7,188 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	440 ," 	1,452 "," 	1,892 ", 	64 , 	508 , 	572 , 	- 0, 	- 0," 	1,687 "," 	3,186 "," 	2,882 "," 	3,064 "," 	2,552 "," 	2,151 "," 	4,292 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	405 ," 	1,458 "," 	1,863 ", 	61 , 	359 , 	420 , 	- 0, 	- 0," 	1,424 "," 	4,571 "," 	3,815 "," 	3,520 "," 	2,899 "," 	2,510 "," 	6,123 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	368 ," 	1,642 "," 	2,010 ", 	43 , 	408 , 	451 , 	- 0, 	- 0," 	1,704 "," 	4,001 "," 	3,313 "," 	3,640 "," 	3,014 "," 	2,269 "," 	5,221 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	609 ," 	3,142 "," 	3,751 ", 	88 , 	986 ," 	1,074 ", 	4 , 	46 ," 	2,389 "," 	5,298 "," 	4,911 "," 	4,980 "," 	4,334 "," 	4,354 "," 	8,893 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	295 ," 	1,017 "," 	1,312 ", 	45 , 	270 , 	315 , 	- 0, 	- 0," 	1,101 "," 	3,365 "," 	2,651 "," 	3,175 "," 	2,476 "," 	1,374 "," 	6,746 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	424 ," 	1,377 "," 	1,801 ", 	58 , 	403 , 	461 , 	- 0, 	- 0," 	1,519 "," 	3,871 "," 	3,360 "," 	3,790 "," 	3,271 "," 	2,134 "," 	5,358 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	540 ," 	1,929 "," 	2,469 ", 	72 , 	358 , 	430 , 	- 0, 	- 0," 	2,155 "," 	5,157 "," 	3,777 "," 	5,007 "," 	3,731 "," 	3,167 "," 	9,000 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	477 ," 	1,727 "," 	2,204 ", 	67 , 	327 , 	394 , 	- 0, 	- 0," 	2,061 "," 	4,010 "," 	3,041 "," 	3,981 "," 	3,022 "," 	3,032 "," 	7,817 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	452 ," 	2,271 "," 	2,723 ", 	74 , 	641 , 	715 , 	- 0, 	- 0," 	1,758 "," 	4,661 "," 	3,697 "," 	4,625 "," 	3,671 "," 	2,218 "," 	5,726 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	525 ," 	1,480 "," 	2,005 ", 	97 , 	477 , 	574 , 	- 0, 	- 0," 	2,062 "," 	6,791 "," 	3,539 "," 	6,030 "," 	3,365 "," 	2,159 "," 	8,771 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	320 , 	846 ," 	1,166 ", 	8 , 	11 , 	19 , 	- 0, 	- 0," 	1,092 "," 	2,739 "," 	2,331 "," 	2,713 "," 	2,310 "," 	1,417 "," 	6,025 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	734 ," 	2,338 "," 	3,072 ", 	107 , 	514 , 	621 , 	20 , 	113 ," 	2,735 "," 	6,442 "," 	4,584 "," 	5,728 "," 	4,324 "," 	1,510 "," 	11,148 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	449 ," 	1,889 "," 	2,338 ", 	87 , 	420 , 	507 , 	132 , 	- 0," 	2,193 "," 	4,477 "," 	3,728 "," 	4,427 "," 	3,675 "," 	1,748 "," 	6,367 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	371 ," 	1,852 "," 	2,223 ", 	70 , 	603 , 	673 , 	- 0, 	7 ," 	1,798 "," 	4,286 "," 	3,086 "," 	4,286 "," 	3,086 "," 	2,259 "," 	5,856 "
,2009-10,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	560 ," 	1,577 "," 	2,137 ", 	160 , 	327 , 	487 , 	- 0, 	18 ," 	1,520 "," 	2,506 "," 	2,207 "," 	2,251 "," 	2,177 "," 	1,610 "," 	3,975 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	591 ," 	1,643 "," 	2,234 ", 	60 , 	413 , 	473 , 	240 , 	9 ," 	2,063 "," 	4,640 "," 	3,962 "," 	4,497 "," 	3,962 "," 	1,810 "," 	5,460 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	551 ," 	1,351 "," 	1,902 ", 	223 , 	181 , 	404 , 	161 , 	- 0," 	2,209 "," 	4,152 "," 	3,610 "," 	4,029 "," 	3,450 "," 	2,275 "," 	5,079 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	1,980 "," 	6,332 "," 	8,312 ", 	113 ," 	1,503 "," 	1,616 ", 	- 0, 	344 ," 	8,559 "," 	15,658 "," 	13,726 "," 	14,532 "," 	12,799 "," 	5,058 "," 	20,784 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,623 "," 	5,448 "," 	7,071 ", 	294 ," 	1,047 "," 	1,341 ", 	- 0," 	1,255 "," 	6,790 "," 	11,198 "," 	9,740 "," 	11,118 "," 	9,599 "," 	7,890 "," 	18,122 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	837 ," 	1,987 "," 	2,824 ", 	197 , 	742 , 	939 , 	- 0, 	- 0," 	2,719 "," 	6,626 "," 	5,532 "," 	6,568 "," 	5,480 "," 	2,479 "," 	7,103 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	325 ," 	1,048 "," 	1,373 ", 	28 , 	402 , 	430 , 	- 0, 	- 0," 	1,575 "," 	3,587 "," 	2,805 "," 	3,586 "," 	2,805 "," 	1,130 "," 	4,004 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,589 "," 	3,896 "," 	5,485 ", 	206 , 	945 ," 	1,151 ", 	601 , 	152 ," 	4,784 "," 	10,159 "," 	8,792 "," 	9,437 "," 	7,920 "," 	5,490 "," 	12,350 "
,2009-10,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,780 "," 	5,269 "," 	7,049 ", 	277 ," 	1,787 "," 	2,064 ", 	84 , 	1 ," 	5,983 "," 	10,888 "," 	9,986 "," 	10,856 "," 	9,848 "," 	8,080 "," 	16,910 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	452 ," 	1,464 "," 	1,916 ", 	50 , 	366 , 	416 , 	136 , 	- 0," 	2,108 "," 	3,366 "," 	3,058 "," 	2,968 "," 	2,602 "," 	1,453 "," 	4,324 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	325 ," 	1,247 "," 	1,572 ", 	34 , 	227 , 	261 , 	193 , 	15 ," 	1,887 "," 	3,453 "," 	2,604 "," 	3,129 "," 	2,376 "," 	1,312 "," 	4,479 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	524 ," 	1,365 "," 	1,889 ", 	127 , 	510 , 	637 , 	406 , 	21 ," 	1,793 "," 	3,423 "," 	3,114 "," 	3,387 "," 	3,075 "," 	2,618 "," 	5,562 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,619 "," 	9,127 "," 	11,746 ", 	371 ," 	2,338 "," 	2,709 ", 	374 ," 	2,442 "," 	9,516 "," 	18,459 "," 	15,883 "," 	18,237 "," 	15,496 "," 	11,552 "," 	26,250 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,007 "," 	3,638 "," 	4,645 ", 	177 ," 	1,137 "," 	1,314 ", 	77 , 	- 0," 	3,460 "," 	5,860 "," 	4,809 "," 	5,610 "," 	4,563 "," 	2,338 "," 	8,913 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,073 "," 	3,406 "," 	4,479 ", 	277 ," 	1,360 "," 	1,637 ", 	124 , 	- 0," 	4,165 "," 	6,322 "," 	5,973 "," 	6,187 "," 	5,704 "," 	3,977 "," 	11,785 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	660 ," 	2,210 "," 	2,870 ", 	105 , 	540 , 	645 , 	56 , 	- 0," 	2,650 "," 	6,124 "," 	4,186 "," 	5,739 "," 	4,004 "," 	2,297 "," 	7,461 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	545 ," 	2,454 "," 	2,999 ", 	72 , 	436 , 	508 , 	71 , 	- 0," 	2,401 "," 	4,958 "," 	4,461 "," 	4,720 "," 	4,329 "," 	1,941 "," 	7,292 "
,2009-10,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	230 , 	439 , 	669 , 	35 , 	50 , 	85 , 	- 0, 	- 0, 	971 ," 	2,219 "," 	1,842 "," 	2,184 "," 	1,768 "," 	1,432 "," 	3,057 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	572 ," 	2,057 "," 	2,629 ", 	83 , 	895 , 	978 , 	7 , 	- 0," 	1,504 "," 	2,802 "," 	2,638 "," 	2,897 "," 	2,601 "," 	1,859 "," 	4,374 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	711 ," 	1,992 "," 	2,703 ", 	111 , 	307 , 	418 , 	136 , 	127 ," 	2,474 "," 	3,297 "," 	3,256 "," 	3,981 "," 	3,903 "," 	1,376 "," 	5,827 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	302 , 	903 ," 	1,205 ", 	42 , 	179 , 	221 , 	37 , 	- 0," 	1,343 "," 	2,395 "," 	2,025 "," 	2,882 "," 	2,521 "," 	1,815 "," 	3,948 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	366 ," 	1,460 "," 	1,826 ", 	68 , 	490 , 	558 , 	- 0, 	174 ," 	1,605 "," 	3,243 "," 	2,855 "," 	2,892 "," 	2,521 "," 	1,635 "," 	5,121 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	501 ," 	1,886 "," 	2,387 ", 	83 , 	648 , 	731 , 	7 , 	- 0," 	1,629 "," 	2,888 "," 	2,668 "," 	2,831 "," 	2,602 "," 	1,719 "," 	4,238 "
,2009-10,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,322 "," 	4,926 "," 	6,248 ", 	203 ," 	2,202 "," 	2,405 ", 	12 , 	8 ," 	4,486 "," 	7,514 "," 	6,241 "," 	6,976 "," 	6,508 "," 	4,948 "," 	11,867 "
