,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MAY,,,,England," 	126,110 "," 	466,616 "," 	592,726 "," 	21,235 "," 	145,811 "," 	167,046 "," 	21,082 "," 	449,039 "," 	987,843 "," 	799,321 "," 	934,319 "," 	757,040 "," 	541,674 "," 	1,323,319 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	809 ," 	3,100 "," 	3,909 ", 	114 , 	674 , 	788 , 	506 ," 	3,073 "," 	6,917 "," 	5,625 "," 	6,439 "," 	4,941 "," 	3,175 "," 	8,564 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	981 ," 	3,635 "," 	4,616 ", 	187 ," 	1,346 "," 	1,533 ", 	203 ," 	3,834 "," 	9,431 "," 	7,545 "," 	8,452 "," 	6,763 "," 	5,949 "," 	12,339 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	548 ," 	1,861 "," 	2,409 ", 	185 , 	623 , 	808 , 	40 ," 	1,687 "," 	3,413 "," 	3,268 "," 	3,139 "," 	2,677 "," 	1,038 "," 	4,032 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	614 ," 	2,336 "," 	2,950 ", 	164 , 	749 , 	913 , 	44 ," 	2,530 "," 	4,769 "," 	4,956 "," 	4,136 "," 	3,671 "," 	1,310 "," 	5,431 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,428 "," 	6,603 "," 	8,031 ", 	224 ," 	2,511 "," 	2,735 ", 	431 ," 	4,562 "," 	12,932 "," 	9,947 "," 	12,291 "," 	9,452 "," 	8,053 "," 	15,479 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,310 "," 	4,571 "," 	5,881 ", 	166 ," 	1,711 "," 	1,877 "," 	1,181 "," 	3,987 "," 	10,119 "," 	7,406 "," 	9,371 "," 	7,013 "," 	6,114 "," 	12,144 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,277 "," 	4,365 "," 	5,642 ", 	154 ," 	1,441 "," 	1,595 ", 	32 ," 	3,811 "," 	9,611 "," 	7,181 "," 	9,273 "," 	6,938 "," 	6,225 "," 	11,340 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	534 ," 	1,753 "," 	2,287 ", 	115 , 	827 , 	942 , 	21 ," 	1,677 "," 	4,390 "," 	3,329 "," 	4,021 "," 	2,873 "," 	2,189 "," 	4,694 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	505 ," 	1,270 "," 	1,775 ", 	95 , 	241 , 	336 , 	1 ," 	1,537 "," 	3,150 "," 	3,021 "," 	2,662 "," 	2,507 "," 	1,640 "," 	4,910 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	905 ," 	3,171 "," 	4,076 ", 	176 ," 	1,365 "," 	1,541 ", 	1 ," 	2,495 "," 	7,469 "," 	5,754 "," 	7,412 "," 	5,745 "," 	3,207 "," 	8,699 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	970 ," 	3,532 "," 	4,502 ", 	147 , 	650 , 	797 , 	45 ," 	2,822 "," 	7,678 "," 	6,665 "," 	7,282 "," 	6,321 "," 	3,111 "," 	9,989 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	405 ," 	1,180 "," 	1,585 ", 	72 , 	349 , 	421 , 	3 ," 	1,333 "," 	2,862 "," 	2,147 "," 	2,538 "," 	1,891 "," 	2,008 "," 	3,402 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,380 "," 	5,789 "," 	7,169 ", 	211 ," 	2,071 "," 	2,282 "," 	1,236 "," 	4,066 "," 	9,428 "," 	8,061 "," 	9,137 "," 	7,793 "," 	5,936 "," 	12,614 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,849 "," 	8,414 "," 	10,263 ", 	370 ," 	2,974 "," 	3,344 ", 	43 ," 	6,151 "," 	14,179 "," 	12,246 "," 	13,810 "," 	11,953 "," 	5,842 "," 	19,156 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	712 ," 	2,377 "," 	3,089 ", 	126 , 	377 , 	503 , 	- 0," 	1,862 "," 	5,041 "," 	4,199 "," 	5,019 "," 	4,105 "," 	1,442 "," 	5,999 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,408 "," 	5,748 "," 	7,156 ", 	208 ," 	1,947 "," 	2,155 ", 	244 ," 	4,728 "," 	10,677 "," 	9,274 "," 	10,330 "," 	9,007 "," 	4,977 "," 	16,860 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	595 ," 	2,461 "," 	3,056 ", 	89 , 	959 ," 	1,048 ", 	225 ," 	2,050 "," 	4,894 "," 	3,829 "," 	4,586 "," 	3,557 "," 	2,730 "," 	5,221 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	843 ," 	2,224 "," 	3,067 ", 	76 , 	350 , 	426 , 	5 ," 	2,694 "," 	4,981 "," 	4,558 "," 	4,637 "," 	4,489 "," 	1,394 "," 	6,942 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	828 ," 	2,830 "," 	3,658 ", 	67 ," 	1,023 "," 	1,090 ", 	3 ," 	2,500 "," 	7,059 "," 	5,381 "," 	6,539 "," 	5,194 "," 	3,967 "," 	8,644 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	709 ," 	3,076 "," 	3,785 ", 	119 ," 	1,140 "," 	1,259 ", 	- 0," 	2,597 "," 	4,937 "," 	3,999 "," 	4,588 "," 	3,925 "," 	4,904 "," 	8,150 "
,2011-12,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,840 "," 	8,830 "," 	11,670 ", 	442 ," 	2,420 "," 	2,862 ", 	252 ," 	7,912 "," 	20,482 "," 	16,417 "," 	19,389 "," 	15,759 "," 	12,297 "," 	26,618 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	462 ," 	2,260 "," 	2,722 ", 	84 , 	446 , 	530 , 	353 ," 	2,252 "," 	3,879 "," 	3,303 "," 	3,825 "," 	3,282 "," 	2,410 "," 	6,094 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	356 , 	995 ," 	1,351 ", 	36 , 	203 , 	239 , 	68 ," 	1,096 "," 	3,391 "," 	2,760 "," 	2,896 "," 	2,363 "," 	1,427 "," 	3,786 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	672 ," 	3,480 "," 	4,152 ", 	92 , 	961 ," 	1,053 ", 	1 ," 	2,216 "," 	7,483 "," 	4,411 "," 	7,044 "," 	4,398 "," 	4,439 "," 	8,688 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	496 ," 	2,025 "," 	2,521 ", 	78 , 	559 , 	637 , 	1 ," 	1,973 "," 	4,000 "," 	3,876 "," 	3,607 "," 	3,603 "," 	3,001 "," 	7,173 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	742 ," 	3,056 "," 	3,798 ", 	108 , 	799 , 	907 , 	123 ," 	2,894 "," 	8,824 "," 	6,448 "," 	8,287 "," 	5,815 "," 	5,594 "," 	10,034 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	570 ," 	2,191 "," 	2,761 ", 	102 , 	548 , 	650 , 	547 ," 	2,226 "," 	5,393 "," 	3,799 "," 	4,950 "," 	3,668 "," 	2,452 "," 	6,768 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	621 ," 	2,864 "," 	3,485 ", 	77 , 	901 , 	978 , 	346 ," 	2,148 "," 	6,780 "," 	5,532 "," 	6,315 "," 	5,073 "," 	4,468 "," 	8,916 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	322 ," 	1,267 "," 	1,589 ", 	59 , 	253 , 	312 , 	176 ," 	1,855 "," 	2,678 "," 	2,290 "," 	2,621 "," 	2,254 "," 	1,776 "," 	4,167 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	388 ," 	1,653 "," 	2,041 ", 	76 , 	366 , 	442 , 	1 ," 	1,932 "," 	4,157 "," 	3,444 "," 	3,757 "," 	2,972 "," 	2,214 "," 	5,586 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	350 ," 	1,324 "," 	1,674 ", 	59 , 	253 , 	312 , 	- 0," 	2,123 "," 	5,274 "," 	4,134 "," 	3,603 "," 	2,918 "," 	3,141 "," 	6,796 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	499 ," 	1,728 "," 	2,227 ", 	112 , 	630 , 	742 , 	1 ," 	2,833 "," 	8,110 "," 	6,361 "," 	5,627 "," 	4,088 "," 	3,638 "," 	8,152 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	474 ," 	2,127 "," 	2,601 ", 	67 , 	577 , 	644 , 	16 ," 	1,729 "," 	5,147 "," 	3,907 "," 	4,745 "," 	3,583 "," 	3,493 "," 	7,828 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	356 ," 	1,353 "," 	1,709 ", 	40 , 	251 , 	291 , 	13 ," 	1,322 "," 	4,456 "," 	3,296 "," 	3,994 "," 	3,022 "," 	2,890 "," 	6,204 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	639 ," 	2,935 "," 	3,574 ", 	72 , 	783 , 	855 , 	162 ," 	3,212 "," 	8,634 "," 	5,749 "," 	7,616 "," 	5,374 "," 	4,732 "," 	9,112 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	431 ," 	1,867 "," 	2,298 ", 	60 , 	474 , 	534 , 	15 ," 	1,795 "," 	5,033 "," 	4,453 "," 	4,428 "," 	3,956 "," 	2,230 "," 	6,222 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	581 ," 	2,205 "," 	2,786 ", 	79 , 	700 , 	779 , 	598 ," 	2,465 "," 	6,779 "," 	5,439 "," 	6,592 "," 	5,291 "," 	3,511 "," 	8,039 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	467 ," 	1,814 "," 	2,281 ", 	79 , 	746 , 	825 , 	230 ," 	1,617 "," 	4,136 "," 	3,594 "," 	4,039 "," 	3,493 "," 	1,848 "," 	5,159 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	408 ," 	1,677 "," 	2,085 ", 	63 , 	489 , 	552 , 	3 ," 	1,576 "," 	5,075 "," 	4,277 "," 	4,810 "," 	4,014 "," 	3,345 "," 	7,401 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	410 ," 	1,848 "," 	2,258 ", 	46 , 	521 , 	567 , 	- 0," 	1,768 "," 	4,327 "," 	3,449 "," 	3,970 "," 	3,168 "," 	2,490 "," 	6,249 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	723 ," 	2,951 "," 	3,674 ", 	119 , 	658 , 	777 , 	60 ," 	2,684 "," 	7,112 "," 	4,880 "," 	6,559 "," 	4,515 "," 	4,502 "," 	9,403 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	304 ," 	1,152 "," 	1,456 ", 	69 , 	286 , 	355 , 	3 ," 	1,112 "," 	4,655 "," 	2,843 "," 	4,439 "," 	2,704 "," 	2,280 "," 	4,967 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	421 ," 	1,534 "," 	1,955 ", 	47 , 	307 , 	354 , 	7 ," 	1,672 "," 	7,434 "," 	3,249 "," 	7,224 "," 	3,069 "," 	3,136 "," 	5,865 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	560 ," 	2,029 "," 	2,589 ", 	90 , 	490 , 	580 , 	7 ," 	2,741 "," 	6,536 "," 	4,922 "," 	5,256 "," 	4,500 "," 	4,151 "," 	9,850 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	465 ," 	1,812 "," 	2,277 ", 	86 , 	533 , 	619 , 	99 ," 	2,995 "," 	5,722 "," 	4,514 "," 	4,709 "," 	4,129 "," 	4,079 "," 	9,136 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	494 ," 	2,195 "," 	2,689 ", 	96 , 	570 , 	666 , 	101 ," 	2,135 "," 	5,285 "," 	4,102 "," 	4,932 "," 	3,959 "," 	5,343 "," 	9,689 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	559 ," 	1,716 "," 	2,275 ", 	51 , 	327 , 	378 , 	50 ," 	1,959 "," 	9,070 "," 	5,830 "," 	7,777 "," 	5,362 "," 	3,115 "," 	9,196 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	337 ," 	1,082 "," 	1,419 ", 	42 , 	236 , 	278 , 	37 ," 	1,006 "," 	4,299 "," 	3,142 "," 	3,749 "," 	2,784 "," 	1,662 "," 	4,270 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	746 ," 	2,616 "," 	3,362 ", 	84 , 	478 , 	562 , 	124 ," 	2,660 "," 	7,896 "," 	5,697 "," 	7,170 "," 	5,470 "," 	2,371 "," 	9,238 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	487 ," 	2,016 "," 	2,503 ", 	85 , 	562 , 	647 , 	214 ," 	2,308 "," 	4,999 "," 	3,892 "," 	4,822 "," 	3,723 "," 	2,442 "," 	6,549 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	490 ," 	2,048 "," 	2,538 ", 	70 , 	737 , 	807 , 	31 ," 	2,478 "," 	5,661 "," 	4,008 "," 	5,024 "," 	3,662 "," 	2,851 "," 	6,517 "
,2011-12,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	498 ," 	1,907 "," 	2,405 ", 	68 , 	428 , 	496 , 	- 0," 	1,830 "," 	2,962 "," 	2,623 "," 	2,687 "," 	2,509 "," 	2,527 "," 	5,351 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	854 ," 	1,752 "," 	2,606 ", 	294 , 	400 , 	694 , 	- 0," 	2,217 "," 	5,027 "," 	4,389 "," 	4,864 "," 	4,235 "," 	2,718 "," 	6,876 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	751 ," 	1,921 "," 	2,672 ", 	311 , 	246 , 	557 , 	6 ," 	2,507 "," 	5,813 "," 	4,388 "," 	5,607 "," 	4,200 "," 	3,328 "," 	6,092 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,387 "," 	8,535 "," 	10,922 ", 	244 ," 	2,480 "," 	2,724 ", 	185 ," 	8,003 "," 	18,834 "," 	15,840 "," 	17,626 "," 	14,794 "," 	8,547 "," 	25,935 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,930 "," 	6,328 "," 	8,258 ", 	317 ," 	1,678 "," 	1,995 ", 	855 ," 	6,643 "," 	13,404 "," 	10,932 "," 	13,191 "," 	10,742 "," 	9,002 "," 	20,028 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	968 ," 	2,455 "," 	3,423 ", 	286 , 	819 ," 	1,105 ", 	3 ," 	2,804 "," 	8,072 "," 	6,293 "," 	7,956 "," 	6,196 "," 	3,498 "," 	8,610 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	457 ," 	1,372 "," 	1,829 ", 	95 , 	597 , 	692 , 	2 ," 	1,464 "," 	4,061 "," 	3,008 "," 	4,046 "," 	3,002 "," 	1,764 "," 	4,299 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,604 "," 	4,585 "," 	6,189 ", 	283 ," 	1,226 "," 	1,509 ", 	1 ," 	5,119 "," 	11,445 "," 	9,681 "," 	10,778 "," 	9,153 "," 	7,648 "," 	16,402 "
,2011-12,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,005 "," 	6,249 "," 	8,254 ", 	437 ," 	2,672 "," 	3,109 ", 	9 ," 	6,486 "," 	12,271 "," 	10,378 "," 	11,944 "," 	10,177 "," 	8,169 "," 	18,581 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	489 ," 	1,852 "," 	2,341 ", 	77 , 	540 , 	617 , 	120 ," 	2,210 "," 	4,030 "," 	3,424 "," 	3,553 "," 	2,981 "," 	1,765 "," 	5,376 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	438 ," 	1,364 "," 	1,802 ", 	46 , 	237 , 	283 , 	228 ," 	1,851 "," 	4,307 "," 	3,089 "," 	4,178 "," 	2,949 "," 	1,552 "," 	5,248 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	586 ," 	2,100 "," 	2,686 ", 	111 , 	591 , 	702 , 	971 ," 	2,340 "," 	4,289 "," 	3,483 "," 	4,262 "," 	3,242 "," 	2,454 "," 	5,423 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,973 "," 	10,427 "," 	13,400 ", 	412 ," 	2,655 "," 	3,067 "," 	2,743 "," 	10,187 "," 	20,870 "," 	17,341 "," 	20,531 "," 	17,036 "," 	12,044 "," 	29,592 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	903 ," 	3,669 "," 	4,572 ", 	117 ," 	1,025 "," 	1,142 ", 	72 ," 	3,532 "," 	8,571 "," 	6,537 "," 	8,284 "," 	6,249 "," 	2,670 "," 	11,121 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,130 "," 	3,996 "," 	5,126 ", 	160 ," 	1,210 "," 	1,370 ", 	90 ," 	4,065 "," 	7,829 "," 	7,386 "," 	7,627 "," 	7,203 "," 	4,267 "," 	11,245 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	853 ," 	2,851 "," 	3,704 ", 	120 , 	504 , 	624 , 	64 ," 	2,691 "," 	7,021 "," 	6,037 "," 	6,233 "," 	5,307 "," 	3,074 "," 	10,893 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	774 ," 	2,589 "," 	3,363 ", 	121 , 	403 , 	524 , 	40 ," 	2,775 "," 	7,210 "," 	5,261 "," 	6,832 "," 	4,873 "," 	2,833 "," 	7,793 "
,2011-12,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	308 , 	650 , 	958 , 	51 , 	95 , 	146 , 	32 ," 	1,025 "," 	2,834 "," 	1,994 "," 	2,756 "," 	1,917 "," 	1,885 "," 	3,268 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	549 ," 	2,301 "," 	2,850 ", 	74 ," 	1,110 "," 	1,184 ", 	- 0," 	1,492 "," 	3,668 "," 	3,353 "," 	3,522 "," 	3,217 "," 	2,002 "," 	5,234 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	603 ," 	2,038 "," 	2,641 ", 	97 , 	313 , 	410 , 	106 ," 	2,141 "," 	4,419 "," 	3,536 "," 	4,417 "," 	3,533 "," 	1,227 "," 	6,032 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	352 ," 	1,430 "," 	1,782 ", 	51 , 	230 , 	281 , 	- 0," 	1,368 "," 	3,665 "," 	2,932 "," 	3,318 "," 	2,871 "," 	1,603 "," 	4,578 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	451 ," 	1,766 "," 	2,217 ", 	57 , 	588 , 	645 , 	- 0," 	1,561 "," 	3,689 "," 	3,076 "," 	3,529 "," 	2,951 "," 	1,664 "," 	5,088 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	527 ," 	2,076 "," 	2,603 ", 	69 , 	764 , 	833 , 	1 ," 	1,533 "," 	3,693 "," 	3,033 "," 	3,633 "," 	2,990 "," 	1,803 "," 	4,955 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,297 "," 	5,576 "," 	6,873 ", 	236 ," 	2,417 "," 	2,653 ", 	9 ," 	4,362 "," 	8,968 "," 	8,066 "," 	8,452 "," 	7,534 "," 	5,117 "," 	13,111 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	919 ," 	3,736 "," 	4,655 ", 	164 ," 	1,514 "," 	1,678 ", 	- 0," 	3,502 "," 	7,059 "," 	6,322 "," 	6,542 "," 	5,843 "," 	3,862 "," 	10,514 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,026 "," 	3,717 "," 	4,743 ", 	112 , 	750 , 	862 , 	15 ," 	3,445 "," 	8,483 "," 	7,226 "," 	8,106 "," 	7,152 "," 	4,056 "," 	11,163 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,333 "," 	4,675 "," 	6,008 ", 	118 ," 	1,143 "," 	1,261 ", 	3 ," 	4,772 "," 	8,020 "," 	6,872 "," 	7,963 "," 	6,857 "," 	4,112 "," 	11,894 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,189 "," 	4,778 "," 	5,967 ", 	162 ," 	1,549 "," 	1,711 ", 	3 ," 	3,699 "," 	7,478 "," 	6,499 "," 	7,441 "," 	6,403 "," 	3,329 "," 	10,373 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	887 ," 	4,425 "," 	5,312 ", 	155 ," 	1,750 "," 	1,905 ", 	- 0," 	3,376 "," 	6,825 "," 	4,922 "," 	6,810 "," 	4,882 "," 	3,714 "," 	9,749 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,484 "," 	5,978 "," 	7,462 ", 	284 ," 	1,814 "," 	2,098 ", 	477 ," 	4,085 "," 	10,147 "," 	9,318 "," 	10,093 "," 	9,273 "," 	4,909 "," 	14,891 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,078 "," 	8,038 "," 	10,116 ", 	468 ," 	3,169 "," 	3,637 ", 	140 ," 	5,882 "," 	13,134 "," 	11,113 "," 	12,994 "," 	11,063 "," 	6,523 "," 	17,291 "
,2011-12,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,TAL,TORBAY CARE TRUST, 	422 ," 	1,441 "," 	1,863 ", 	80 , 	452 , 	532 , 	113 ," 	1,429 "," 	2,828 "," 	2,535 "," 	2,828 "," 	2,531 "," 	2,139 "," 	4,194 "
