,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,FEBRUARY,,,,England," 	129,290 "," 	433,162 "," 	562,452 "," 	19,191 "," 	125,328 "," 	144,519 "," 	10,938 "," 	15,320 "," 	411,442 "," 	898,435 "," 	758,275 "," 	859,282 "," 	719,258 "," 	457,084 "," 	1,217,200 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	417 ," 	1,482 "," 	1,899 ", 	57 , 	493 , 	550 , 	- 0, 	4 ," 	1,152 "," 	2,572 "," 	1,293 "," 	2,225 "," 	1,266 "," 	1,916 "," 	3,059 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	531 ," 	2,281 "," 	2,812 ", 	82 ," 	1,028 "," 	1,110 ", 	- 0, 	9 ," 	2,147 "," 	4,926 "," 	4,192 "," 	4,506 "," 	3,769 "," 	2,206 "," 	6,721 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	503 ," 	1,648 "," 	2,151 ", 	77 , 	396 , 	473 , 	- 0, 	464 ," 	2,467 "," 	5,123 "," 	4,543 "," 	4,002 "," 	3,481 "," 	3,100 "," 	7,178 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	828 ," 	3,112 "," 	3,940 ", 	118 ," 	1,141 "," 	1,259 ", 	- 0, 	55 ," 	2,511 "," 	3,874 "," 	4,751 "," 	3,347 "," 	4,122 "," 	1,425 "," 	6,206 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	809 ," 	2,841 "," 	3,650 ", 	87 , 	651 , 	738 , 	- 0, 	463 ," 	2,865 "," 	6,989 "," 	5,566 "," 	6,310 "," 	4,883 "," 	3,134 "," 	8,047 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	904 ," 	3,638 "," 	4,542 ", 	133 ," 	1,351 "," 	1,484 ", 	- 0, 	238 ," 	3,331 "," 	7,410 "," 	7,184 "," 	6,266 "," 	6,115 "," 	3,854 "," 	12,400 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	524 ," 	1,712 "," 	2,236 ", 	182 , 	498 , 	680 , 	- 0, 	12 ," 	1,537 "," 	3,977 "," 	3,150 "," 	3,560 "," 	2,768 "," 	1,574 "," 	3,737 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	648 ," 	2,386 "," 	3,034 ", 	169 , 	670 , 	839 , 	- 0, 	10 ," 	2,462 "," 	5,679 "," 	4,421 "," 	4,821 "," 	3,512 "," 	2,315 "," 	5,079 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,575 "," 	5,716 "," 	7,291 ", 	283 ," 	1,979 "," 	2,262 ", 	651 , 	380 ," 	4,348 "," 	11,506 "," 	8,405 "," 	10,901 "," 	8,012 "," 	6,617 "," 	13,113 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,149 "," 	3,650 "," 	4,799 ", 	84 , 	937 ," 	1,021 ", 	- 0, 	41 ," 	3,703 "," 	8,863 "," 	7,008 "," 	8,230 "," 	6,785 "," 	3,765 "," 	10,691 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,315 "," 	4,606 "," 	5,921 ", 	142 ," 	1,505 "," 	1,647 ", 	8 , 	12 ," 	3,529 "," 	8,594 "," 	7,165 "," 	8,259 "," 	6,821 "," 	5,295 "," 	11,502 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	486 ," 	1,762 "," 	2,248 ", 	82 , 	729 , 	811 , 	- 0, 	81 ," 	1,263 "," 	3,197 "," 	3,354 "," 	2,809 "," 	3,034 "," 	1,723 "," 	5,887 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	493 ," 	1,275 "," 	1,768 ", 	71 , 	253 , 	324 , 	- 0, 	- 0," 	1,500 "," 	3,270 "," 	3,194 "," 	3,539 "," 	2,782 "," 	1,684 "," 	4,401 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	924 ," 	3,008 "," 	3,932 ", 	145 , 	986 ," 	1,131 ", 	- 0, 	- 0," 	2,968 "," 	6,497 "," 	5,352 "," 	6,494 "," 	5,348 "," 	2,791 "," 	7,600 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,154 "," 	4,410 "," 	5,564 ", 	102 , 	514 , 	616 , 	- 0, 	- 0," 	2,703 "," 	7,238 "," 	6,171 "," 	7,023 "," 	5,923 "," 	2,208 "," 	8,389 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,495 "," 	4,407 "," 	5,902 ", 	234 ," 	1,126 "," 	1,360 ", 	- 0, 	- 0," 	3,484 "," 	10,807 "," 	9,400 "," 	10,100 "," 	8,785 "," 	4,231 "," 	12,977 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,441 "," 	4,482 "," 	5,923 ", 	263 ," 	1,005 "," 	1,268 ", 	- 0, 	- 0," 	3,229 "," 	10,465 "," 	9,572 "," 	9,601 "," 	8,782 "," 	5,122 "," 	14,181 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	467 ," 	1,161 "," 	1,628 ", 	45 , 	228 , 	273 , 	141 , 	11 ," 	1,190 "," 	2,733 "," 	2,391 "," 	2,575 "," 	2,354 "," 	1,406 "," 	3,375 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,570 "," 	5,490 "," 	7,060 ", 	248 ," 	1,848 "," 	2,096 ", 	41 ," 	1,197 "," 	3,777 "," 	8,972 "," 	7,366 "," 	8,944 "," 	7,153 "," 	4,895 "," 	11,387 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,869 "," 	7,857 "," 	9,726 ", 	221 ," 	2,732 "," 	2,953 ", 	462 , 	44 ," 	5,755 "," 	12,719 "," 	12,515 "," 	11,755 "," 	11,808 "," 	5,215 "," 	18,356 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	740 ," 	2,175 "," 	2,915 ", 	95 , 	525 , 	620 , 	- 0, 	- 0," 	1,746 "," 	4,699 "," 	3,887 "," 	4,490 "," 	3,782 "," 	1,291 "," 	4,905 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,402 "," 	4,981 "," 	6,383 ", 	154 ," 	1,607 "," 	1,761 ", 	- 0, 	- 0," 	4,423 "," 	10,433 "," 	8,711 "," 	10,063 "," 	8,459 "," 	4,431 "," 	13,554 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	653 ," 	2,611 "," 	3,264 ", 	96 , 	962 ," 	1,058 ", 	- 0, 	- 0," 	1,855 "," 	4,580 "," 	4,368 "," 	4,335 "," 	4,016 "," 	2,109 "," 	5,974 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	818 ," 	1,882 "," 	2,700 ", 	70 , 	210 , 	280 , 	- 0, 	- 0," 	2,046 "," 	5,520 "," 	5,212 "," 	5,435 "," 	5,012 "," 	2,411 "," 	5,951 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	939 ," 	2,625 "," 	3,564 ", 	170 , 	897 ," 	1,067 ", 	4 , 	- 0," 	2,663 "," 	5,403 "," 	5,492 "," 	5,329 "," 	4,809 "," 	4,762 "," 	7,635 "
,2009-10,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	865 ," 	2,939 "," 	3,804 ", 	148 , 	993 ," 	1,141 ", 	- 0, 	- 0," 	2,417 "," 	6,709 "," 	6,161 "," 	6,377 "," 	6,095 "," 	3,724 "," 	9,886 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	495 ," 	2,169 "," 	2,664 ", 	56 , 	434 , 	490 , 	327 , 	- 0," 	2,087 "," 	3,560 "," 	3,242 "," 	3,558 "," 	3,241 "," 	1,740 "," 	6,876 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	328 ," 	1,068 "," 	1,396 ", 	84 , 	290 , 	374 , 	- 0, 	- 0," 	1,002 "," 	2,373 "," 	1,993 "," 	2,049 "," 	1,725 "," 	1,190 "," 	2,890 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	604 ," 	3,093 "," 	3,697 ", 	100 , 	671 , 	771 , 	- 0, 	- 0," 	1,921 "," 	7,231 "," 	5,181 "," 	6,357 "," 	4,726 "," 	1,959 "," 	7,200 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	552 ," 	2,152 "," 	2,704 ", 	141 , 	775 , 	916 , 	- 0, 	1 ," 	1,498 "," 	4,022 "," 	3,314 "," 	3,642 "," 	3,142 "," 	2,866 "," 	6,021 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	651 ," 	2,900 "," 	3,551 ", 	84 , 	420 , 	504 , 	- 0, 	- 0," 	3,108 "," 	8,657 "," 	6,456 "," 	8,150 "," 	5,306 "," 	4,164 "," 	8,807 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	479 ," 	1,876 "," 	2,355 ", 	84 , 	448 , 	532 , 	- 0, 	- 0," 	1,947 "," 	4,954 "," 	4,082 "," 	4,556 "," 	3,652 "," 	1,675 "," 	5,540 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	611 ," 	2,327 "," 	2,938 ", 	66 , 	556 , 	622 , 	- 0, 	356 ," 	2,097 "," 	5,131 "," 	4,936 "," 	4,733 "," 	4,199 "," 	3,363 "," 	7,651 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	340 ," 	1,304 "," 	1,644 ", 	38 , 	232 , 	270 , 	153 , 	- 0," 	1,743 "," 	2,625 "," 	2,231 "," 	2,645 "," 	2,219 "," 	1,215 "," 	4,591 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	586 ," 	1,300 "," 	1,886 ", 	55 , 	193 , 	248 , 	6 , 	- 0," 	1,715 "," 	4,359 "," 	4,096 "," 	3,749 "," 	3,487 "," 	2,459 "," 	6,227 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	406 ," 	1,206 "," 	1,612 ", 	57 , 	192 , 	249 , 	19 , 	- 0," 	2,085 "," 	3,192 "," 	3,940 "," 	3,299 "," 	3,105 "," 	2,335 "," 	5,460 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	482 ," 	1,678 "," 	2,160 ", 	89 , 	376 , 	465 , 	- 0, 	- 0," 	2,077 "," 	5,287 "," 	5,005 "," 	4,507 "," 	3,934 "," 	3,046 "," 	7,009 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	425 ," 	1,980 "," 	2,405 ", 	55 , 	505 , 	560 , 	- 0, 	15 ," 	1,718 "," 	5,024 "," 	3,911 "," 	4,635 "," 	3,568 "," 	2,954 "," 	7,398 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	413 , 	963 ," 	1,376 ", 	34 , 	158 , 	192 , 	- 0, 	- 0," 	1,611 "," 	3,428 "," 	2,759 "," 	3,184 "," 	2,533 "," 	1,614 "," 	4,127 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	711 ," 	2,368 "," 	3,079 ", 	60 , 	521 , 	581 , 	- 0, 	- 0," 	2,669 "," 	7,075 "," 	5,262 "," 	6,271 "," 	4,492 "," 	3,418 "," 	8,328 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	538 ," 	1,464 "," 	2,002 ", 	60 , 	203 , 	263 , 	- 0, 	- 0," 	1,874 "," 	5,299 "," 	4,309 "," 	4,464 "," 	4,216 "," 	2,309 "," 	6,547 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	613 ," 	2,014 "," 	2,627 ", 	76 , 	545 , 	621 , 	- 0, 	- 0," 	2,041 "," 	5,773 "," 	4,684 "," 	5,378 "," 	4,149 "," 	2,468 "," 	6,977 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	416 ," 	1,533 "," 	1,949 ", 	56 , 	491 , 	547 , 	- 0, 	- 0," 	1,550 "," 	3,285 "," 	3,000 "," 	3,161 "," 	2,718 "," 	2,084 "," 	4,424 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	404 ," 	1,410 "," 	1,814 ", 	63 , 	348 , 	411 , 	- 0, 	- 0," 	1,419 "," 	4,957 "," 	3,896 "," 	3,817 "," 	2,961 "," 	2,523 "," 	6,059 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	359 ," 	1,614 "," 	1,973 ", 	39 , 	398 , 	437 , 	- 0, 	- 0," 	1,697 "," 	3,995 "," 	3,427 "," 	3,635 "," 	3,118 "," 	2,386 "," 	5,117 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	682 ," 	3,201 "," 	3,883 ", 	104 ," 	1,170 "," 	1,274 ", 	12 , 	49 ," 	2,155 "," 	5,942 "," 	5,005 "," 	5,364 "," 	4,591 "," 	4,066 "," 	9,392 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	298 ," 	1,073 "," 	1,371 ", 	41 , 	273 , 	314 , 	- 0, 	- 0," 	1,100 "," 	3,231 "," 	2,675 "," 	3,088 "," 	2,492 "," 	1,428 "," 	6,714 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	457 ," 	1,395 "," 	1,852 ", 	64 , 	381 , 	445 , 	- 0, 	- 0," 	1,409 "," 	4,271 "," 	3,330 "," 	4,203 "," 	3,268 "," 	2,314 "," 	5,336 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	560 ," 	1,997 "," 	2,557 ", 	96 , 	371 , 	467 , 	- 0, 	- 0," 	2,026 "," 	5,334 "," 	4,063 "," 	5,197 "," 	4,004 "," 	3,099 "," 	9,433 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	488 ," 	1,921 "," 	2,409 ", 	76 , 	387 , 	463 , 	- 0, 	- 0," 	1,862 "," 	4,174 "," 	3,297 "," 	4,153 "," 	3,280 "," 	3,019 "," 	8,209 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	482 ," 	2,393 "," 	2,875 ", 	85 , 	629 , 	714 , 	- 0, 	- 0," 	1,694 "," 	5,106 "," 	3,962 "," 	5,068 "," 	3,943 "," 	1,958 "," 	6,278 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	560 ," 	1,513 "," 	2,073 ", 	132 , 	433 , 	565 , 	- 0, 	- 0," 	1,807 "," 	6,699 "," 	3,783 "," 	6,120 "," 	3,553 "," 	2,030 "," 	9,101 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	342 , 	843 ," 	1,185 ", 	2 , 	4 , 	6 , 	- 0, 	- 0," 	1,031 "," 	3,101 "," 	2,516 "," 	3,055 "," 	2,482 "," 	1,348 "," 	5,874 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	808 ," 	2,655 "," 	3,463 ", 	131 , 	576 , 	707 , 	47 , 	104 ," 	2,675 "," 	6,844 "," 	4,610 "," 	6,133 "," 	4,316 "," 	1,329 "," 	13,430 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	456 ," 	1,935 "," 	2,391 ", 	78 , 	427 , 	505 , 	160 , 	- 0," 	2,136 "," 	4,457 "," 	3,689 "," 	4,398 "," 	3,639 "," 	1,682 "," 	6,021 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	417 ," 	1,876 "," 	2,293 ", 	65 , 	627 , 	692 , 	- 0, 	11 ," 	1,834 "," 	4,827 "," 	3,150 "," 	4,827 "," 	3,150 "," 	2,183 "," 	5,665 "
,2009-10,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	601 ," 	1,639 "," 	2,240 ", 	164 , 	357 , 	521 , 	- 0, 	15 ," 	1,480 "," 	2,657 "," 	2,327 "," 	2,420 "," 	2,326 "," 	1,632 "," 	4,081 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	616 ," 	1,543 "," 	2,159 ", 	83 , 	372 , 	455 , 	230 , 	14 ," 	2,027 "," 	5,060 "," 	4,271 "," 	4,852 "," 	4,271 "," 	1,845 "," 	5,777 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	625 ," 	1,705 "," 	2,330 ", 	261 , 	233 , 	494 , 	239 , 	- 0," 	2,067 "," 	4,756 "," 	4,018 "," 	4,647 "," 	3,910 "," 	2,496 "," 	5,660 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,197 "," 	7,452 "," 	9,649 ", 	120 ," 	1,646 "," 	1,766 ", 	- 0, 	444 ," 	8,555 "," 	17,000 "," 	15,364 "," 	16,406 "," 	14,534 "," 	6,013 "," 	23,124 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,020 "," 	5,891 "," 	7,911 ", 	365 ," 	1,360 "," 	1,725 ", 	- 0," 	1,427 "," 	6,426 "," 	12,669 "," 	10,170 "," 	12,528 "," 	10,024 "," 	7,791 "," 	18,164 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	982 ," 	2,434 "," 	3,416 ", 	207 , 	759 , 	966 , 	- 0, 	- 0," 	2,572 "," 	7,317 "," 	6,010 "," 	7,243 "," 	5,913 "," 	2,607 "," 	7,452 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	446 ," 	1,234 "," 	1,680 ", 	38 , 	426 , 	464 , 	- 0, 	- 0," 	1,576 "," 	3,909 "," 	3,173 "," 	3,903 "," 	3,169 "," 	1,319 "," 	4,416 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,391 "," 	3,528 "," 	4,919 ", 	239 , 	945 ," 	1,184 ", 	580 , 	163 ," 	4,217 "," 	11,276 "," 	9,334 "," 	10,458 "," 	8,438 "," 	5,634 "," 	12,336 "
,2009-10,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,890 "," 	5,112 "," 	7,002 ", 	232 ," 	1,609 "," 	1,841 ", 	83 , 	- 0," 	5,694 "," 	11,626 "," 	10,698 "," 	11,590 "," 	10,523 "," 	8,089 "," 	17,648 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	479 ," 	1,534 "," 	2,013 ", 	77 , 	395 , 	472 , 	126 , 	- 0," 	2,041 "," 	3,815 "," 	3,195 "," 	3,405 "," 	2,729 "," 	1,458 "," 	4,433 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	407 ," 	1,525 "," 	1,932 ", 	45 , 	303 , 	348 , 	271 , 	14 ," 	1,844 "," 	4,046 "," 	3,082 "," 	3,747 "," 	2,862 "," 	1,238 "," 	4,918 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	606 ," 	1,524 "," 	2,130 ", 	138 , 	654 , 	792 , 	395 , 	16 ," 	2,004 "," 	3,623 "," 	3,168 "," 	3,587 "," 	3,137 "," 	2,601 "," 	5,522 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,894 "," 	10,306 "," 	13,200 ", 	417 ," 	2,573 "," 	2,990 ", 	300 ," 	2,822 "," 	9,178 "," 	20,883 "," 	17,498 "," 	20,775 "," 	17,024 "," 	10,942 "," 	28,622 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	890 ," 	3,265 "," 	4,155 ", 	183 ," 	1,030 "," 	1,213 ", 	89 , 	- 0," 	3,334 "," 	6,760 "," 	5,453 "," 	6,585 "," 	5,193 "," 	2,221 "," 	9,521 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,210 "," 	4,006 "," 	5,216 ", 	321 ," 	1,528 "," 	1,849 ", 	124 , 	- 0," 	3,935 "," 	6,742 "," 	6,910 "," 	6,591 "," 	6,626 "," 	3,994 "," 	13,175 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	687 ," 	2,641 "," 	3,328 ", 	107 , 	544 , 	651 , 	91 , 	- 0," 	2,342 "," 	6,307 "," 	5,004 "," 	6,054 "," 	4,745 "," 	2,325 "," 	8,786 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	617 ," 	2,827 "," 	3,444 ", 	89 , 	476 , 	565 , 	85 , 	- 0," 	2,423 "," 	5,644 "," 	5,622 "," 	5,428 "," 	5,119 "," 	1,875 "," 	7,851 "
,2009-10,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	328 , 	652 , 	980 , 	45 , 	85 , 	130 , 	- 0, 	- 0, 	899 ," 	2,763 "," 	2,033 "," 	2,718 "," 	1,947 "," 	1,595 "," 	3,286 "
,2009-10,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	554 ," 	2,139 "," 	2,693 ", 	71 , 	952 ," 	1,023 ", 	7 , 	- 0," 	1,493 "," 	3,029 "," 	2,777 "," 	3,238 "," 	2,762 "," 	1,825 "," 	4,560 "
,2009-10,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	745 ," 	2,088 "," 	2,833 ", 	118 , 	324 , 	442 , 	92 , 	153 ," 	2,382 "," 	3,638 "," 	3,442 "," 	4,324 "," 	4,074 "," 	1,397 "," 	6,130 "
,2009-10,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	287 ," 	1,307 "," 	1,594 ", 	35 , 	191 , 	226 , 	49 , 	- 0," 	1,234 "," 	2,915 "," 	2,369 "," 	3,317 "," 	2,784 "," 	1,851 "," 	4,344 "
,2009-10,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	418 ," 	1,550 "," 	1,968 ", 	69 , 	476 , 	545 , 	- 0, 	- 0," 	1,557 "," 	3,467 "," 	2,863 "," 	3,151 "," 	2,556 "," 	1,761 "," 	5,463 "
