,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,NOVEMBER,,,,England," 	138,073 "," 	451,076 "," 	589,149 "," 	21,013 "," 	130,385 "," 	151,398 "," 	10,948 "," 	16,735 "," 	441,204 "," 	927,866 "," 	829,736 "," 	887,157 "," 	789,498 "," 	478,041 "," 	1,316,225 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	337 ," 	1,336 "," 	1,673 ", 	45 , 	471 , 	516 , 	- 0, 	6 ," 	1,193 "," 	2,648 "," 	1,389 "," 	2,319 "," 	1,331 "," 	2,028 "," 	2,967 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	561 ," 	2,382 "," 	2,943 ", 	111 ," 	1,123 "," 	1,234 ", 	- 0, 	16 ," 	2,334 "," 	4,923 "," 	4,860 "," 	4,585 "," 	4,446 "," 	2,385 "," 	7,698 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	533 ," 	1,653 "," 	2,186 ", 	104 , 	458 , 	562 , 	- 0, 	474 ," 	2,432 "," 	5,189 "," 	4,586 "," 	3,997 "," 	3,576 "," 	3,213 "," 	7,360 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	947 ," 	3,292 "," 	4,239 ", 	117 ," 	1,225 "," 	1,342 ", 	- 0, 	50 ," 	2,425 "," 	4,591 "," 	5,951 "," 	3,944 "," 	5,139 "," 	1,889 "," 	7,353 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	902 ," 	3,182 "," 	4,084 ", 	123 , 	830 , 	953 , 	- 0, 	441 ," 	2,918 "," 	6,808 "," 	5,809 "," 	6,064 "," 	5,118 "," 	3,174 "," 	8,362 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	944 ," 	3,923 "," 	4,867 ", 	156 ," 	1,541 "," 	1,697 ", 	- 0, 	413 ," 	3,514 "," 	8,499 "," 	6,537 "," 	7,369 "," 	5,501 "," 	3,934 "," 	12,278 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	565 ," 	2,020 "," 	2,585 ", 	192 , 	546 , 	738 , 	- 0, 	40 ," 	1,771 "," 	3,767 "," 	2,889 "," 	3,462 "," 	2,565 "," 	1,754 "," 	3,571 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	652 ," 	2,618 "," 	3,270 ", 	195 , 	687 , 	882 , 	- 0, 	8 ," 	3,092 "," 	5,735 "," 	4,701 "," 	5,134 "," 	3,859 "," 	2,694 "," 	5,511 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,586 "," 	6,137 "," 	7,723 ", 	184 ," 	2,037 "," 	2,221 ", 	580 , 	420 ," 	4,465 "," 	12,009 "," 	9,542 "," 	11,330 "," 	9,023 "," 	7,475 "," 	14,380 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,255 "," 	3,873 "," 	5,128 ", 	134 ," 	1,125 "," 	1,259 ", 	- 0, 	44 ," 	4,084 "," 	8,749 "," 	7,989 "," 	8,141 "," 	7,734 "," 	4,056 "," 	11,848 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,428 "," 	5,026 "," 	6,454 ", 	189 ," 	1,870 "," 	2,059 ", 	11 , 	12 ," 	3,688 "," 	9,124 "," 	7,887 "," 	8,792 "," 	7,518 "," 	5,639 "," 	12,667 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	481 ," 	1,830 "," 	2,311 ", 	121 , 	748 , 	869 , 	- 0, 	65 ," 	1,467 "," 	3,598 "," 	3,065 "," 	3,156 "," 	2,711 "," 	1,572 "," 	5,663 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	544 ," 	1,239 "," 	1,783 ", 	73 , 	277 , 	350 , 	- 0, 	- 0," 	1,662 "," 	3,442 "," 	3,722 "," 	2,902 "," 	3,295 "," 	1,316 "," 	5,400 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT," 	1,012 "," 	3,296 "," 	4,308 ", 	157 ," 	1,068 "," 	1,225 ", 	- 0, 	- 0," 	3,209 "," 	6,825 "," 	6,156 "," 	6,822 "," 	6,151 "," 	2,929 "," 	8,489 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,090 "," 	4,056 "," 	5,146 ", 	114 , 	511 , 	625 , 	- 0, 	- 0," 	2,913 "," 	7,685 "," 	6,302 "," 	7,453 "," 	6,169 "," 	2,254 "," 	9,299 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,606 "," 	4,673 "," 	6,279 ", 	210 ," 	1,183 "," 	1,393 ", 	- 0, 	- 0," 	3,911 "," 	12,235 "," 	10,505 "," 	11,435 "," 	9,818 "," 	4,500 "," 	14,429 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,513 "," 	4,510 "," 	6,023 ", 	260 ," 	1,028 "," 	1,288 ", 	- 0, 	- 0," 	3,702 "," 	11,290 "," 	10,656 "," 	10,358 "," 	9,776 "," 	5,535 "," 	15,393 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	439 ," 	1,116 "," 	1,555 ", 	59 , 	262 , 	321 , 	122 , 	13 ," 	1,436 "," 	2,803 "," 	2,677 "," 	2,655 "," 	2,612 "," 	1,383 "," 	3,637 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,536 "," 	5,474 "," 	7,010 ", 	268 ," 	1,699 "," 	1,967 ", 	48 ," 	1,238 "," 	4,178 "," 	9,255 "," 	8,112 "," 	9,221 "," 	7,883 "," 	5,250 "," 	12,476 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,072 "," 	7,754 "," 	9,826 ", 	276 ," 	2,722 "," 	2,998 ", 	534 , 	53 ," 	5,921 "," 	14,031 "," 	13,627 "," 	13,029 "," 	12,890 "," 	5,504 "," 	20,035 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	746 ," 	2,233 "," 	2,979 ", 	71 , 	540 , 	611 , 	- 0, 	- 0," 	1,877 "," 	5,012 "," 	4,353 "," 	4,818 "," 	4,234 ", 	942 ," 	5,390 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,585 "," 	5,225 "," 	6,810 ", 	181 ," 	1,769 "," 	1,950 ", 	- 0, 	- 0," 	4,440 "," 	10,619 "," 	10,241 "," 	10,271 "," 	9,993 "," 	5,169 "," 	15,807 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	658 ," 	2,575 "," 	3,233 ", 	91 , 	951 ," 	1,042 ", 	- 0, 	- 0," 	2,172 "," 	5,005 "," 	4,808 "," 	4,784 "," 	4,408 "," 	2,271 "," 	6,516 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	867 ," 	1,963 "," 	2,830 ", 	90 , 	240 , 	330 , 	- 0, 	- 0," 	2,324 "," 	6,198 "," 	5,381 "," 	6,103 "," 	5,190 "," 	2,490 "," 	6,717 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	982 ," 	2,656 "," 	3,638 ", 	151 , 	929 ," 	1,080 ", 	2 , 	- 0," 	3,100 "," 	5,864 "," 	5,908 "," 	5,788 "," 	5,360 "," 	5,105 "," 	8,427 "
,2009-10,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT," 	1,036 "," 	2,925 "," 	3,961 ", 	208 , 	970 ," 	1,178 ", 	- 0, 	- 0," 	2,867 "," 	7,232 "," 	6,543 "," 	7,129 "," 	6,489 "," 	4,098 "," 	10,155 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	709 ," 	2,509 "," 	3,218 ", 	66 , 	388 , 	454 , 	392 , 	- 0," 	2,305 "," 	3,901 "," 	3,439 "," 	3,814 "," 	3,419 "," 	2,124 "," 	7,086 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	339 ," 	1,086 "," 	1,425 ", 	91 , 	228 , 	319 , 	- 0, 	- 0, 	719 ," 	2,465 "," 	2,322 "," 	2,275 "," 	2,173 "," 	1,002 "," 	3,183 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	790 ," 	3,182 "," 	3,972 ", 	118 , 	729 , 	847 , 	- 0, 	186 ," 	2,143 "," 	6,730 "," 	5,414 "," 	5,861 "," 	4,975 "," 	1,543 "," 	7,478 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	501 ," 	2,120 "," 	2,621 ", 	93 , 	747 , 	840 , 	- 0, 	5 ," 	1,457 "," 	3,743 "," 	3,127 "," 	3,684 "," 	3,101 "," 	2,388 "," 	6,277 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	748 ," 	2,916 "," 	3,664 ", 	109 , 	478 , 	587 , 	- 0, 	- 0," 	2,930 "," 	8,410 "," 	6,863 "," 	7,885 "," 	5,823 "," 	4,156 "," 	9,042 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	556 ," 	1,896 "," 	2,452 ", 	60 , 	373 , 	433 , 	- 0, 	- 0," 	1,965 "," 	4,688 "," 	4,455 "," 	4,323 "," 	4,064 "," 	1,755 "," 	5,736 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	678 ," 	2,595 "," 	3,273 ", 	70 , 	630 , 	700 , 	- 0, 	372 ," 	2,255 "," 	5,876 "," 	5,225 "," 	5,449 "," 	4,412 "," 	3,569 "," 	8,070 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	348 ," 	1,195 "," 	1,543 ", 	38 , 	208 , 	246 , 	157 , 	- 0," 	1,976 "," 	2,677 "," 	2,352 "," 	2,717 "," 	2,344 "," 	1,603 "," 	4,863 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	579 ," 	1,609 "," 	2,188 ", 	98 , 	273 , 	371 , 	6 , 	- 0," 	1,754 "," 	4,356 "," 	4,175 "," 	3,885 "," 	3,717 "," 	2,467 "," 	6,696 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	419 ," 	1,351 "," 	1,770 ", 	79 , 	247 , 	326 , 	19 , 	- 0," 	1,834 "," 	3,662 "," 	3,464 "," 	3,481 "," 	3,311 "," 	2,046 "," 	5,453 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	498 ," 	1,801 "," 	2,299 ", 	96 , 	464 , 	560 , 	- 0, 	- 0," 	2,418 "," 	5,338 "," 	4,973 "," 	4,339 "," 	4,130 "," 	2,923 "," 	6,941 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	477 ," 	2,115 "," 	2,592 ", 	54 , 	561 , 	615 , 	- 0, 	21 ," 	1,679 "," 	5,156 "," 	4,179 "," 	4,702 "," 	3,802 "," 	3,010 "," 	7,527 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	465 ," 	1,052 "," 	1,517 ", 	37 , 	208 , 	245 , 	- 0, 	- 0," 	1,495 "," 	3,506 "," 	3,017 "," 	3,250 "," 	2,713 "," 	1,521 "," 	4,393 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	784 ," 	2,600 "," 	3,384 ", 	66 , 	627 , 	693 , 	- 0, 	- 0," 	2,627 "," 	6,595 "," 	5,582 "," 	5,989 "," 	4,800 "," 	3,759 "," 	9,143 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	590 ," 	1,595 "," 	2,185 ", 	45 , 	225 , 	270 , 	- 0, 	- 0," 	1,929 "," 	5,540 "," 	5,145 "," 	4,735 "," 	4,983 "," 	2,597 "," 	7,563 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	709 ," 	2,142 "," 	2,851 ", 	88 , 	614 , 	702 , 	- 0, 	- 0," 	2,171 "," 	6,072 "," 	5,323 "," 	5,649 "," 	4,809 "," 	2,641 "," 	7,976 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	528 ," 	1,644 "," 	2,172 ", 	74 , 	576 , 	650 , 	- 0, 	- 0," 	1,681 "," 	3,326 "," 	3,266 "," 	3,511 "," 	3,036 "," 	2,306 "," 	4,946 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	399 ," 	1,442 "," 	1,841 ", 	62 , 	369 , 	431 , 	- 0, 	- 0," 	1,310 "," 	5,079 "," 	4,309 "," 	3,911 "," 	3,275 "," 	2,547 "," 	6,068 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	379 ," 	1,680 "," 	2,059 ", 	46 , 	404 , 	450 , 	- 0, 	- 0," 	1,693 "," 	4,049 "," 	3,369 "," 	3,684 "," 	3,065 "," 	2,335 "," 	5,289 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	714 ," 	3,405 "," 	4,119 ", 	94 ," 	1,149 "," 	1,243 ", 	2 , 	47 ," 	2,425 "," 	5,591 "," 	5,544 "," 	5,448 "," 	4,898 "," 	3,890 "," 	9,436 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	370 ," 	1,041 "," 	1,411 ", 	47 , 	288 , 	335 , 	- 0, 	- 0," 	1,100 "," 	3,286 "," 	2,992 "," 	3,135 "," 	2,841 "," 	1,438 "," 	6,879 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	528 ," 	1,501 "," 	2,029 ", 	72 , 	440 , 	512 , 	- 0, 	- 0," 	1,622 "," 	4,401 "," 	3,529 "," 	4,283 "," 	3,433 "," 	2,467 "," 	5,672 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	584 ," 	2,078 "," 	2,662 ", 	46 , 	380 , 	426 , 	- 0, 	- 0," 	2,318 "," 	5,563 "," 	4,480 "," 	5,436 "," 	4,437 "," 	3,322 "," 	10,048 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	512 ," 	1,915 "," 	2,427 ", 	56 , 	360 , 	416 , 	- 0, 	- 0," 	2,043 "," 	4,442 "," 	3,819 "," 	4,416 "," 	3,804 "," 	3,031 "," 	8,822 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	486 ," 	2,571 "," 	3,057 ", 	67 , 	689 , 	756 , 	- 0, 	- 0," 	1,942 "," 	5,284 "," 	4,289 "," 	5,247 "," 	4,270 "," 	2,426 "," 	6,750 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	531 ," 	1,390 "," 	1,921 ", 	130 , 	461 , 	591 , 	- 0, 	- 0," 	1,623 "," 	6,599 "," 	3,832 "," 	6,015 "," 	3,678 "," 	1,834 "," 	9,591 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	413 ," 	1,049 "," 	1,462 ", 	2 , 	7 , 	9 , 	- 0, 	- 0," 	1,062 "," 	3,147 "," 	2,971 "," 	3,126 "," 	2,947 "," 	1,514 "," 	6,226 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	873 ," 	2,578 "," 	3,451 ", 	115 , 	595 , 	710 , 	14 , 	122 ," 	2,952 "," 	6,777 "," 	4,939 "," 	6,417 "," 	4,829 "," 	1,507 "," 	13,751 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	515 ," 	1,963 "," 	2,478 ", 	92 , 	458 , 	550 , 	133 , 	- 0," 	2,352 "," 	4,468 "," 	4,169 "," 	4,396 "," 	4,160 "," 	1,854 "," 	6,803 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	458 ," 	2,036 "," 	2,494 ", 	66 , 	670 , 	736 , 	- 0, 	10 ," 	2,106 "," 	4,573 "," 	3,442 "," 	4,573 "," 	3,442 "," 	2,320 "," 	6,053 "
,2009-10,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	689 ," 	1,600 "," 	2,289 ", 	327 , 	184 , 	511 , 	- 0, 	27 ," 	1,483 "," 	3,028 "," 	2,468 "," 	2,697 "," 	2,170 "," 	1,803 "," 	4,312 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	625 ," 	1,838 "," 	2,463 ", 	58 , 	357 , 	415 , 	290 , 	18 ," 	2,169 "," 	5,529 "," 	4,373 "," 	5,380 "," 	4,373 "," 	1,838 "," 	6,165 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	657 ," 	1,778 "," 	2,435 ", 	250 , 	275 , 	525 , 	238 , 	- 0," 	2,103 "," 	5,549 "," 	4,574 "," 	5,414 "," 	4,421 "," 	2,525 "," 	6,567 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,327 "," 	8,051 "," 	10,378 ", 	127 ," 	1,734 "," 	1,861 ", 	- 0, 	521 ," 	8,706 "," 	17,639 "," 	16,478 "," 	16,514 "," 	15,565 "," 	5,735 "," 	24,598 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,099 "," 	6,134 "," 	8,233 ", 	348 , 	880 ," 	1,228 ", 	- 0," 	1,414 "," 	6,941 "," 	13,220 "," 	12,076 "," 	12,467 "," 	11,976 "," 	8,172 "," 	20,881 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,105 "," 	2,691 "," 	3,796 ", 	209 , 	822 ," 	1,031 ", 	- 0, 	- 0," 	2,769 "," 	7,609 "," 	6,804 "," 	7,549 "," 	6,732 "," 	2,757 "," 	8,443 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	445 ," 	1,332 "," 	1,777 ", 	33 , 	461 , 	494 , 	- 0, 	- 0," 	1,550 "," 	3,865 "," 	3,261 "," 	3,861 "," 	3,261 "," 	1,553 "," 	4,730 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,854 "," 	4,796 "," 	6,650 ", 	305 , 	964 ," 	1,269 ", 	742 , 	239 ," 	5,317 "," 	11,535 "," 	9,854 "," 	11,306 "," 	9,281 "," 	6,199 "," 	13,482 "
,2009-10,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,947 "," 	5,452 "," 	7,399 ", 	276 ," 	1,684 "," 	1,960 ", 	84 , 	- 0," 	5,969 "," 	11,922 "," 	11,206 "," 	11,895 "," 	11,025 "," 	7,919 "," 	17,985 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	450 ," 	1,407 "," 	1,857 ", 	58 , 	342 , 	400 , 	163 , 	- 0," 	2,265 "," 	3,831 "," 	3,590 "," 	3,157 "," 	2,886 "," 	1,959 "," 	4,859 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	408 ," 	1,532 "," 	1,940 ", 	54 , 	247 , 	301 , 	237 , 	15 ," 	1,880 "," 	4,485 "," 	3,461 "," 	4,153 "," 	3,262 "," 	1,425 "," 	5,442 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	609 ," 	1,645 "," 	2,254 ", 	134 , 	681 , 	815 , 	445 , 	17 ," 	2,105 "," 	3,787 "," 	3,828 "," 	3,735 "," 	3,777 "," 	2,958 "," 	6,392 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,197 "," 	10,365 "," 	13,562 ", 	476 ," 	2,527 "," 	3,003 ", 	280 ," 	2,862 "," 	9,779 "," 	21,759 "," 	19,078 "," 	21,535 "," 	18,718 "," 	11,214 "," 	29,648 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	990 ," 	3,679 "," 	4,669 ", 	182 ," 	1,163 "," 	1,345 ", 	66 , 	- 0," 	3,526 "," 	6,678 "," 	6,727 "," 	6,510 "," 	6,467 "," 	2,338 "," 	11,058 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,276 "," 	4,176 "," 	5,452 ", 	373 ," 	1,602 "," 	1,975 ", 	172 , 	- 0," 	4,360 "," 	7,600 "," 	7,407 "," 	7,452 "," 	7,025 "," 	4,085 "," 	13,976 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	850 ," 	2,616 "," 	3,466 ", 	114 , 	690 , 	804 , 	24 , 	- 0," 	2,740 "," 	6,452 "," 	5,405 "," 	6,166 "," 	5,107 "," 	2,453 "," 	9,015 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	661 ," 	2,972 "," 	3,633 ", 	91 , 	707 , 	798 , 	39 , 	- 0," 	2,643 "," 	6,319 "," 	5,661 "," 	6,213 "," 	5,461 "," 	2,293 "," 	8,352 "
,2009-10,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	334 , 	699 ," 	1,033 ", 	51 , 	59 , 	110 , 	- 0, 	- 0, 	971 ," 	2,675 "," 	2,247 "," 	2,620 "," 	2,208 "," 	1,583 "," 	3,516 "
,2009-10,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	635 ," 	2,225 "," 	2,860 ", 	106 , 	988 ," 	1,094 ", 	19 , 	- 0," 	1,561 "," 	3,276 "," 	3,128 "," 	3,417 "," 	3,123 "," 	1,814 "," 	5,097 "
,2009-10,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	768 ," 	2,156 "," 	2,924 ", 	129 , 	358 , 	487 , 	175 , 	166 ," 	2,541 "," 	4,148 "," 	3,960 "," 	4,403 "," 	4,267 "," 	1,527 "," 	6,373 "
,2009-10,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	330 ," 	1,382 "," 	1,712 ", 	43 , 	225 , 	268 , 	49 , 	- 0," 	1,405 "," 	3,099 "," 	2,732 "," 	3,524 "," 	3,159 "," 	1,824 "," 	4,670 "
,2009-10,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	432 ," 	1,681 "," 	2,113 ", 	81 , 	535 , 	616 , 	- 0, 	240 ," 	1,742 "," 	3,538 "," 	3,462 "," 	3,252 "," 	3,121 "," 	1,816 "," 	5,777 "
