,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,SEPTEMBER,,,,England," 	136,242 "," 	452,865 "," 	589,107 "," 	21,654 "," 	132,607 "," 	154,261 "," 	10,992 "," 	16,855 "," 	426,379 "," 	970,488 "," 	848,647 "," 	928,493 "," 	808,060 "," 	501,550 "," 	1,350,603 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	744 ," 	2,889 "," 	3,633 ", 	114 , 	979 ," 	1,093 ", 	- 0, 	4 ," 	2,741 "," 	7,065 "," 	5,681 "," 	6,752 "," 	5,436 "," 	4,492 "," 	9,296 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	377 ," 	1,408 "," 	1,785 ", 	50 , 	481 , 	531 , 	- 0, 	3 ," 	1,208 "," 	3,286 "," 	1,377 "," 	2,801 "," 	1,317 "," 	1,437 "," 	2,941 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	545 ," 	2,376 "," 	2,921 ", 	131 ," 	1,050 "," 	1,181 ", 	- 0, 	24 ," 	2,084 "," 	5,119 "," 	4,790 "," 	4,813 "," 	4,359 "," 	3,006 "," 	7,672 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	618 ," 	1,712 "," 	2,330 ", 	139 , 	473 , 	612 , 	- 0, 	539 ," 	2,503 "," 	5,710 "," 	4,880 "," 	4,543 "," 	3,759 "," 	3,686 "," 	7,746 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	927 ," 	3,250 "," 	4,177 ", 	145 ," 	1,264 "," 	1,409 ", 	- 0, 	50 ," 	2,411 "," 	5,081 "," 	5,737 "," 	4,373 "," 	4,874 "," 	1,563 "," 	7,271 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	889 ," 	3,171 "," 	4,060 ", 	124 , 	787 , 	911 , 	- 0, 	543 ," 	2,920 "," 	8,233 "," 	6,127 "," 	7,475 "," 	5,281 "," 	3,485 "," 	8,707 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	880 ," 	3,512 "," 	4,392 ", 	167 ," 	1,409 "," 	1,576 ", 	- 0, 	173 ," 	3,397 "," 	8,506 "," 	8,141 "," 	7,494 "," 	7,122 "," 	4,700 "," 	13,137 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	570 ," 	1,850 "," 	2,420 ", 	204 , 	544 , 	748 , 	- 0, 	16 ," 	1,787 "," 	4,220 "," 	3,369 "," 	3,886 "," 	3,076 "," 	1,950 "," 	4,323 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	647 ," 	2,493 "," 	3,140 ", 	202 , 	651 , 	853 , 	- 0, 	7 ," 	2,796 "," 	6,244 "," 	4,990 "," 	5,192 "," 	3,989 "," 	2,618 "," 	5,630 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,413 "," 	6,226 "," 	7,639 ", 	214 ," 	1,948 "," 	2,162 ", 	870 , 	389 ," 	4,321 "," 	12,210 "," 	9,868 "," 	11,486 "," 	9,445 "," 	7,615 "," 	14,765 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,371 "," 	4,709 "," 	6,080 ", 	141 ," 	1,509 "," 	1,650 ", 	257 , 	48 ," 	3,808 "," 	9,699 "," 	8,546 "," 	9,059 "," 	8,317 "," 	4,531 "," 	12,962 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,377 "," 	4,758 "," 	6,135 ", 	157 ," 	1,637 "," 	1,794 ", 	23 , 	12 ," 	3,969 "," 	9,724 "," 	7,635 "," 	9,479 "," 	7,339 "," 	5,489 "," 	12,541 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	474 ," 	1,846 "," 	2,320 ", 	131 , 	745 , 	876 , 	- 0, 	65 ," 	1,440 "," 	3,778 "," 	3,473 "," 	3,344 "," 	3,013 "," 	2,247 "," 	5,921 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	545 ," 	1,139 "," 	1,684 ", 	81 , 	283 , 	364 , 	- 0, 	- 0," 	1,485 "," 	3,479 "," 	3,504 "," 	3,009 "," 	3,157 "," 	1,323 "," 	5,165 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	961 ," 	3,217 "," 	4,178 ", 	164 ," 	1,015 "," 	1,179 ", 	- 0, 	- 0," 	3,009 "," 	7,508 "," 	6,390 "," 	7,503 "," 	6,385 "," 	3,276 "," 	8,934 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,101 "," 	4,017 "," 	5,118 ", 	127 , 	457 , 	584 , 	- 0, 	32 ," 	1,604 "," 	7,818 "," 	6,868 "," 	7,568 "," 	6,588 "," 	2,587 "," 	9,277 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,600 "," 	4,540 "," 	6,140 ", 	210 , 	996 ," 	1,206 ", 	- 0, 	- 0," 	3,919 "," 	12,369 "," 	10,626 "," 	11,560 "," 	9,931 "," 	4,895 "," 	14,814 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,454 "," 	4,651 "," 	6,105 ", 	256 ," 	1,099 "," 	1,355 ", 	- 0, 	- 0," 	3,652 "," 	11,815 "," 	10,822 "," 	10,839 "," 	9,928 "," 	5,733 "," 	16,076 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	473 ," 	1,143 "," 	1,616 ", 	73 , 	287 , 	360 , 	103 , 	11 ," 	1,332 "," 	3,007 "," 	2,679 "," 	2,831 "," 	2,651 "," 	1,447 "," 	3,805 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,537 "," 	5,568 "," 	7,105 ", 	228 ," 	1,766 "," 	1,994 ", 	50 ," 	1,183 "," 	3,878 "," 	9,616 "," 	8,299 "," 	9,573 "," 	8,022 "," 	5,287 "," 	12,773 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,075 "," 	7,980 "," 	10,055 ", 	302 ," 	2,901 "," 	3,203 ", 	534 , 	54 ," 	5,833 "," 	14,216 "," 	14,067 "," 	13,090 "," 	13,294 "," 	5,677 "," 	20,925 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	782 ," 	2,231 "," 	3,013 ", 	104 , 	596 , 	700 , 	- 0, 	- 0," 	1,722 "," 	4,826 "," 	3,960 "," 	4,455 "," 	3,811 "," 	1,033 "," 	5,022 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,575 "," 	5,118 "," 	6,693 ", 	178 ," 	1,689 "," 	1,867 ", 	- 0, 	- 0," 	4,636 "," 	11,217 "," 	10,183 "," 	10,790 "," 	9,934 "," 	5,012 "," 	15,859 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	688 ," 	2,727 "," 	3,415 ", 	99 ," 	1,018 "," 	1,117 ", 	- 0, 	- 0," 	2,269 "," 	4,995 "," 	4,844 "," 	4,762 "," 	4,491 "," 	2,666 "," 	6,710 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	808 ," 	2,098 "," 	2,906 ", 	81 , 	273 , 	354 , 	- 0, 	- 0," 	2,379 "," 	6,408 "," 	6,069 "," 	6,310 "," 	5,870 "," 	2,374 "," 	7,501 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	929 ," 	2,664 "," 	3,593 ", 	151 , 	898 ," 	1,049 ", 	5 , 	- 0," 	3,314 "," 	6,383 "," 	6,120 "," 	6,315 "," 	5,538 "," 	5,654 "," 	8,800 "
,2009-10,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	955 ," 	3,081 "," 	4,036 ", 	170 , 	972 ," 	1,142 ", 	- 0, 	- 0," 	2,849 "," 	7,482 "," 	6,812 "," 	7,340 "," 	6,732 "," 	4,512 "," 	10,592 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	655 ," 	2,405 "," 	3,060 ", 	66 , 	416 , 	482 , 	371 , 	- 0," 	2,176 "," 	3,845 "," 	3,126 "," 	3,843 "," 	2,246 "," 	3,120 "," 	6,650 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	348 ," 	1,206 "," 	1,554 ", 	108 , 	322 , 	430 , 	- 0, 	- 0, 	861 ," 	2,684 "," 	2,395 "," 	2,676 "," 	2,389 "," 	1,213 "," 	3,391 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	813 ," 	3,299 "," 	4,112 ", 	139 , 	907 ," 	1,046 ", 	- 0, 	171 ," 	2,129 "," 	5,599 "," 	5,857 "," 	5,061 "," 	5,354 ", 	621 ," 	8,004 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	506 ," 	2,074 "," 	2,580 ", 	96 , 	853 , 	949 , 	- 0, 	6 ," 	1,435 "," 	3,925 "," 	3,162 "," 	3,871 "," 	3,145 "," 	2,042 "," 	5,998 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	675 ," 	2,542 "," 	3,217 ", 	92 , 	381 , 	473 , 	- 0, 	- 0," 	2,496 "," 	8,709 "," 	6,753 "," 	8,192 "," 	5,750 "," 	3,951 "," 	8,278 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	541 ," 	2,037 "," 	2,578 ", 	70 , 	470 , 	540 , 	- 0, 	- 0," 	1,963 "," 	4,917 "," 	4,516 "," 	4,474 "," 	4,122 "," 	1,921 "," 	6,372 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	646 ," 	2,593 "," 	3,239 ", 	56 , 	637 , 	693 , 	- 0, 	366 ," 	2,180 "," 	6,046 "," 	5,315 "," 	5,623 "," 	4,511 "," 	3,965 "," 	7,146 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	306 ," 	1,109 "," 	1,415 ", 	43 , 	234 , 	277 , 	152 , 	- 0," 	1,930 "," 	2,777 "," 	2,470 "," 	2,782 "," 	2,461 "," 	1,637 "," 	4,867 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	457 ," 	1,575 "," 	2,032 ", 	102 , 	236 , 	338 , 	6 , 	- 0," 	1,721 "," 	4,112 "," 	4,245 "," 	4,112 "," 	4,245 "," 	2,418 "," 	6,836 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	370 ," 	1,085 "," 	1,455 ", 	67 , 	197 , 	264 , 	19 , 	- 0," 	1,829 "," 	3,221 "," 	3,820 "," 	3,389 "," 	3,193 "," 	2,108 "," 	5,366 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	488 ," 	1,665 "," 	2,153 ", 	96 , 	346 , 	442 , 	- 0, 	- 0," 	2,491 "," 	5,150 "," 	4,956 "," 	4,852 "," 	4,192 "," 	3,335 "," 	7,216 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	469 ," 	2,079 "," 	2,548 ", 	52 , 	521 , 	573 , 	- 0, 	28 ," 	1,712 "," 	5,179 "," 	4,237 "," 	4,722 "," 	3,854 "," 	3,103 "," 	7,571 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	388 , 	998 ," 	1,386 ", 	38 , 	204 , 	242 , 	- 0, 	- 0," 	1,667 "," 	3,650 "," 	2,938 "," 	3,306 "," 	2,706 "," 	1,727 "," 	4,621 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	730 ," 	2,521 "," 	3,251 ", 	44 , 	603 , 	647 , 	- 0, 	- 0," 	2,698 "," 	7,210 "," 	5,066 "," 	6,451 "," 	5,018 "," 	3,908 "," 	9,207 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	509 ," 	1,547 "," 	2,056 ", 	47 , 	240 , 	287 , 	- 0, 	- 0," 	1,947 "," 	5,430 "," 	4,661 "," 	4,732 "," 	4,446 "," 	2,619 "," 	7,277 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	677 ," 	2,219 "," 	2,896 ", 	78 , 	621 , 	699 , 	- 0, 	- 0," 	2,136 "," 	6,337 "," 	5,321 "," 	5,913 "," 	4,827 "," 	2,668 "," 	8,013 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	507 ," 	1,541 "," 	2,048 ", 	84 , 	508 , 	592 , 	- 0, 	- 0," 	1,637 "," 	3,550 "," 	3,046 "," 	3,354 "," 	2,863 "," 	2,291 "," 	4,745 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	401 ," 	1,645 "," 	2,046 ", 	58 , 	395 , 	453 , 	- 0, 	- 0," 	1,399 "," 	5,367 "," 	4,365 "," 	4,133 "," 	3,317 "," 	2,365 "," 	5,953 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	436 ," 	1,643 "," 	2,079 ", 	41 , 	394 , 	435 , 	- 0, 	- 0," 	1,533 "," 	3,997 "," 	3,385 "," 	3,637 "," 	3,080 "," 	2,262 "," 	5,291 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	720 ," 	3,406 "," 	4,126 ", 	86 ," 	1,234 "," 	1,320 ", 	18 , 	54 ," 	2,483 "," 	5,621 "," 	5,824 "," 	5,567 "," 	5,400 "," 	3,873 "," 	10,438 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	322 ," 	1,038 "," 	1,360 ", 	46 , 	308 , 	354 , 	- 0, 	- 0," 	1,125 "," 	3,449 "," 	2,623 "," 	3,269 "," 	2,478 "," 	1,506 "," 	7,106 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	544 ," 	1,568 "," 	2,112 ", 	93 , 	528 , 	621 , 	- 0, 	- 0," 	1,525 "," 	4,264 "," 	3,455 "," 	4,148 "," 	3,348 "," 	2,463 "," 	5,547 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	577 ," 	2,157 "," 	2,734 ", 	70 , 	398 , 	468 , 	- 0, 	- 0," 	2,274 "," 	5,623 "," 	4,599 "," 	5,475 "," 	4,520 "," 	3,468 "," 	10,273 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	496 ," 	1,914 "," 	2,410 ", 	65 , 	290 , 	355 , 	- 0, 	- 0," 	2,031 "," 	4,455 "," 	3,791 "," 	4,429 "," 	3,774 "," 	3,289 "," 	9,304 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	519 ," 	2,608 "," 	3,127 ", 	67 , 	746 , 	813 , 	- 0, 	- 0," 	1,885 "," 	5,208 "," 	4,314 "," 	5,194 "," 	4,280 "," 	2,423 "," 	6,675 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	586 ," 	1,620 "," 	2,206 ", 	150 , 	570 , 	720 , 	- 0, 	- 0," 	1,922 "," 	6,289 "," 	4,478 "," 	5,768 "," 	4,301 "," 	1,981 "," 	9,249 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	389 , 	935 ," 	1,324 ", 	2 , 	7 , 	9 , 	- 0, 	- 0, 	989 ," 	3,209 "," 	2,908 "," 	3,178 "," 	2,890 "," 	1,560 "," 	6,353 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	841 ," 	2,658 "," 	3,499 ", 	117 , 	653 , 	770 , 	9 , 	167 ," 	2,816 "," 	6,730 "," 	5,534 "," 	6,344 "," 	5,360 "," 	1,658 "," 	12,699 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	482 ," 	1,996 "," 	2,478 ", 	78 , 	527 , 	605 , 	109 , 	- 0," 	2,259 "," 	5,034 "," 	4,140 "," 	4,951 "," 	4,057 "," 	1,785 "," 	6,922 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	471 ," 	1,749 "," 	2,220 ", 	70 , 	549 , 	619 , 	- 0, 	14 ," 	1,693 "," 	4,507 "," 	3,564 "," 	4,507 "," 	3,564 "," 	2,395 "," 	6,504 "
,2009-10,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	688 ," 	1,541 "," 	2,229 ", 	207 , 	305 , 	512 , 	- 0, 	30 ," 	1,360 "," 	3,143 "," 	2,427 "," 	2,896 "," 	2,310 "," 	1,285 "," 	3,815 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	638 ," 	1,691 "," 	2,329 ", 	62 , 	238 , 	300 , 	263 , 	24 ," 	1,971 "," 	5,791 "," 	4,255 "," 	5,607 "," 	4,255 "," 	2,103 "," 	6,499 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	759 ," 	1,730 "," 	2,489 ", 	304 , 	252 , 	556 , 	251 , 	- 0," 	2,087 "," 	5,673 "," 	4,629 "," 	5,544 "," 	4,511 "," 	3,074 "," 	6,338 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,206 "," 	7,785 "," 	9,991 ", 	112 ," 	1,737 "," 	1,849 ", 	- 0, 	448 ," 	8,314 "," 	18,180 "," 	16,566 "," 	17,053 "," 	15,445 "," 	6,449 "," 	24,767 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,094 "," 	6,191 "," 	8,285 ", 	420 ," 	1,149 "," 	1,569 ", 	- 0," 	1,364 "," 	6,706 "," 	13,070 "," 	11,420 "," 	12,992 "," 	11,202 "," 	9,173 "," 	20,200 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,018 "," 	2,468 "," 	3,486 ", 	223 , 	760 , 	983 , 	- 0, 	- 0," 	2,509 "," 	8,014 "," 	6,550 "," 	7,892 "," 	6,447 "," 	3,000 "," 	8,474 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	438 ," 	1,339 "," 	1,777 ", 	41 , 	513 , 	554 , 	- 0, 	- 0," 	1,596 "," 	3,910 "," 	3,032 "," 	3,907 "," 	3,031 "," 	1,647 "," 	4,559 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,822 "," 	4,217 "," 	6,039 ", 	297 , 	985 ," 	1,282 ", 	783 , 	323 ," 	4,582 "," 	12,133 "," 	10,146 "," 	11,029 "," 	9,298 "," 	5,494 "," 	13,636 "
,2009-10,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,036 "," 	5,377 "," 	7,413 ", 	278 ," 	1,735 "," 	2,013 ", 	102 , 	1 ," 	5,977 "," 	12,410 "," 	11,806 "," 	12,355 "," 	11,600 "," 	8,421 "," 	18,635 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	433 ," 	1,509 "," 	1,942 ", 	56 , 	376 , 	432 , 	159 , 	- 0," 	2,209 "," 	4,395 "," 	4,000 "," 	3,854 "," 	3,544 "," 	1,838 "," 	5,545 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	439 ," 	1,546 "," 	1,985 ", 	66 , 	324 , 	390 , 	229 , 	13 ," 	1,876 "," 	3,739 "," 	3,347 "," 	3,440 "," 	3,119 "," 	1,355 "," 	5,743 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	587 ," 	1,710 "," 	2,297 ", 	144 , 	733 , 	877 , 	376 , 	11 ," 	2,012 "," 	4,124 "," 	3,460 "," 	4,066 "," 	3,419 "," 	3,170 "," 	6,113 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,146 "," 	10,618 "," 	13,764 ", 	489 ," 	2,837 "," 	3,326 ", 	296 ," 	2,898 "," 	9,432 "," 	21,911 "," 	19,225 "," 	21,801 "," 	18,634 "," 	12,001 "," 	31,092 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	918 ," 	3,881 "," 	4,799 ", 	154 ," 	1,241 "," 	1,395 ", 	51 , 	- 0," 	3,798 "," 	7,528 "," 	7,020 "," 	7,223 "," 	6,700 "," 	2,555 "," 	11,639 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,165 "," 	3,845 "," 	5,010 ", 	307 ," 	1,439 "," 	1,746 ", 	183 , 	- 0," 	4,110 "," 	8,146 "," 	7,708 "," 	8,000 "," 	7,335 "," 	4,505 "," 	14,542 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	788 ," 	2,638 "," 	3,426 ", 	108 , 	604 , 	712 , 	31 , 	- 0," 	2,507 "," 	6,184 "," 	5,626 "," 	6,018 "," 	5,328 "," 	2,464 "," 	9,695 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	746 ," 	3,099 "," 	3,845 ", 	120 , 	555 , 	675 , 	92 , 	- 0," 	2,575 "," 	5,793 "," 	5,868 "," 	5,686 "," 	5,708 "," 	2,644 "," 	8,303 "
,2009-10,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	323 , 	737 ," 	1,060 ", 	38 , 	83 , 	121 , 	- 0, 	- 0, 	999 ," 	2,699 "," 	2,210 "," 	2,634 "," 	2,142 "," 	1,645 "," 	3,797 "
,2009-10,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	609 ," 	2,326 "," 	2,935 ", 	96 ," 	1,106 "," 	1,202 ", 	33 , 	- 0," 	1,474 "," 	3,571 "," 	3,378 "," 	3,524 "," 	3,263 "," 	1,942 "," 	5,244 "
,2009-10,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	790 ," 	2,217 "," 	3,007 ", 	132 , 	367 , 	499 , 	181 , 	152 ," 	2,456 "," 	4,177 "," 	4,363 "," 	4,538 "," 	4,651 "," 	1,526 "," 	6,784 "
,2009-10,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	337 ," 	1,388 "," 	1,725 ", 	45 , 	193 , 	238 , 	- 0, 	- 0," 	1,312 "," 	3,458 "," 	2,871 "," 	3,777 "," 	3,287 "," 	1,991 "," 	4,918 "
