,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,OCTOBER,,,,England," 	152,388 "," 	449,882 "," 	602,270 "," 	23,985 "," 	129,755 "," 	153,740 "," 	9,280 "," 	18,261 "," 	438,160 "," 	951,691 "," 	817,721 "," 	910,842 "," 	769,665 "," 	492,935 "," 	1,271,542 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	377 ," 	1,593 "," 	1,970 ", 	50 , 	514 , 	564 , 	3 , 	9 ," 	1,220 "," 	2,447 "," 	1,262 "," 	2,306 "," 	1,126 "," 	1,663 "," 	1,634 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	700 ," 	2,427 "," 	3,127 ", 	141 ," 	1,059 "," 	1,200 ", 	- 0, 	13 ," 	2,376 "," 	4,884 "," 	4,658 "," 	4,549 "," 	4,220 "," 	3,729 "," 	7,425 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	604 ," 	1,795 "," 	2,399 ", 	113 , 	449 , 	562 , 	- 0, 	538 ," 	2,550 "," 	4,220 "," 	4,017 "," 	3,136 "," 	2,915 "," 	4,214 "," 	7,011 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	875 ," 	3,225 "," 	4,100 ", 	117 ," 	1,290 "," 	1,407 ", 	- 0, 	53 ," 	2,539 "," 	5,971 "," 	4,707 "," 	5,729 "," 	4,506 "," 	1,539 "," 	7,192 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	963 ," 	3,405 "," 	4,368 ", 	112 , 	753 , 	865 , 	- 0, 	523 ," 	2,992 "," 	4,569 "," 	4,214 "," 	3,906 "," 	3,605 "," 	4,797 "," 	8,274 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,046 "," 	3,798 "," 	4,844 ", 	223 ," 	1,598 "," 	1,821 ", 	- 0, 	214 ," 	3,559 "," 	6,572 "," 	6,651 "," 	5,760 "," 	5,623 "," 	8,116 "," 	11,600 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	595 ," 	1,867 "," 	2,462 ", 	202 , 	576 , 	778 , 	- 0, 	4 ," 	1,621 "," 	3,646 "," 	2,956 "," 	3,411 "," 	2,664 "," 	1,713 "," 	3,633 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	817 ," 	2,793 "," 	3,610 ", 	254 , 	788 ," 	1,042 ", 	- 0, 	5 ," 	2,582 "," 	5,641 "," 	4,669 "," 	5,090 "," 	3,984 "," 	2,609 "," 	5,590 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,578 "," 	5,231 "," 	6,809 ", 	209 ," 	1,767 "," 	1,976 ", 	- 0, 	466 ," 	4,679 "," 	11,725 "," 	8,984 "," 	11,042 "," 	8,547 "," 	8,449 "," 	13,998 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,507 "," 	4,756 "," 	6,263 ", 	146 ," 	1,533 "," 	1,679 ", 	175 ," 	1,170 "," 	4,091 "," 	9,871 "," 	8,732 "," 	9,194 "," 	8,113 "," 	3,894 "," 	11,467 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,499 "," 	4,908 "," 	6,407 ", 	192 ," 	1,699 "," 	1,891 ", 	9 , 	13 ," 	3,817 "," 	8,799 "," 	7,733 "," 	8,472 "," 	7,294 "," 	4,218 "," 	11,576 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	524 ," 	1,871 "," 	2,395 ", 	147 , 	849 , 	996 , 	- 0, 	29 ," 	1,358 "," 	3,810 "," 	3,279 "," 	3,362 "," 	2,887 "," 	3,872 "," 	5,557 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	604 ," 	1,331 "," 	1,935 ", 	115 , 	339 , 	454 , 	- 0, 	- 0," 	1,643 "," 	3,487 "," 	3,559 "," 	3,029 "," 	3,152 "," 	1,442 "," 	5,076 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT," 	1,006 "," 	3,195 "," 	4,201 ", 	136 , 	947 ," 	1,083 ", 	- 0, 	- 0," 	2,741 "," 	7,251 "," 	6,174 "," 	7,246 "," 	6,169 "," 	3,094 "," 	8,555 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,345 "," 	3,627 "," 	4,972 ", 	169 , 	459 , 	628 , 	- 0, 	26 ," 	2,628 "," 	7,207 "," 	5,944 "," 	6,802 "," 	5,687 "," 	2,716 "," 	8,922 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	2,305 "," 	3,526 "," 	5,831 ", 	265 , 	882 ," 	1,147 ", 	- 0, 	- 0," 	3,574 "," 	13,305 "," 	8,887 "," 	12,319 "," 	8,229 "," 	5,366 "," 	13,679 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,564 "," 	4,336 "," 	5,900 ", 	213 , 	844 ," 	1,057 ", 	- 0, 	- 0," 	3,754 "," 	11,938 "," 	10,334 "," 	10,755 "," 	9,310 "," 	6,580 "," 	15,388 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	448 ," 	1,049 "," 	1,497 ", 	64 , 	209 , 	273 , 	5 , 	13 ," 	1,380 "," 	2,796 "," 	2,681 "," 	2,606 "," 	2,517 "," 	1,701 "," 	3,681 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,697 "," 	5,351 "," 	7,048 ", 	358 ," 	1,895 "," 	2,253 ", 	20 ," 	1,256 "," 	3,961 "," 	9,170 "," 	7,406 "," 	9,142 "," 	7,177 "," 	5,223 "," 	11,740 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,170 "," 	7,220 "," 	9,390 ", 	990 ," 	1,740 "," 	2,730 ", 	529 , 	32 ," 	5,470 "," 	14,116 "," 	12,356 "," 	15,090 "," 	10,450 "," 	3,430 "," 	15,100 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	829 ," 	2,377 "," 	3,206 ", 	110 , 	650 , 	760 , 	- 0, 	- 0," 	1,725 "," 	4,427 "," 	4,189 "," 	4,286 "," 	4,056 ", 	916 ," 	4,993 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,777 "," 	4,735 "," 	6,512 ", 	264 ," 	1,712 "," 	1,976 ", 	- 0, 	- 0," 	4,431 "," 	10,275 "," 	9,394 "," 	9,806 "," 	9,084 "," 	4,476 "," 	14,218 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	766 ," 	2,780 "," 	3,546 ", 	80 ," 	1,039 "," 	1,119 ", 	- 0, 	- 0," 	2,280 "," 	5,016 "," 	4,855 "," 	4,843 "," 	4,475 "," 	2,434 "," 	6,597 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	947 ," 	2,211 "," 	3,158 ", 	94 , 	502 , 	596 , 	- 0, 	- 0," 	2,005 "," 	6,485 "," 	5,020 "," 	6,378 "," 	4,865 "," 	2,370 "," 	6,611 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT," 	1,045 "," 	2,694 "," 	3,739 ", 	155 , 	859 ," 	1,014 ", 	2 , 	- 0," 	3,238 "," 	5,868 "," 	5,643 "," 	5,863 "," 	4,779 "," 	5,474 "," 	8,022 "
,2008-09,OCTOBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT," 	1,019 "," 	2,970 "," 	3,989 ", 	203 , 	962 ," 	1,165 ", 	- 0, 	- 0," 	2,505 "," 	7,099 "," 	6,221 "," 	6,965 "," 	6,177 "," 	4,091 "," 	9,751 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	667 ," 	2,256 "," 	2,923 ", 	53 , 	781 , 	834 , 	403 , 	- 0," 	1,813 "," 	3,225 "," 	2,736 "," 	3,221 "," 	2,327 "," 	2,731 "," 	5,466 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	356 ," 	1,217 "," 	1,573 ", 	74 , 	246 , 	320 , 	- 0, 	- 0, 	753 ," 	2,799 "," 	1,964 "," 	2,611 "," 	1,820 ", 	996 ," 	3,129 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	870 ," 	3,472 "," 	4,342 ", 	86 , 	644 , 	730 , 	2 , 	183 ," 	2,282 "," 	7,057 "," 	6,006 "," 	6,121 "," 	5,498 "," 	1,146 "," 	7,607 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	529 ," 	2,279 "," 	2,808 ", 	81 , 	822 , 	903 , 	- 0, 	2 ," 	1,408 "," 	3,816 "," 	3,285 "," 	3,759 "," 	3,270 "," 	3,024 "," 	6,656 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	716 ," 	2,568 "," 	3,284 ", 	129 , 	670 , 	799 , 	- 0, 	- 0," 	2,584 "," 	7,561 "," 	6,134 "," 	7,056 "," 	5,092 "," 	3,913 "," 	8,756 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	629 ," 	1,973 "," 	2,602 ", 	70 , 	442 , 	512 , 	- 0, 	- 0," 	1,887 "," 	4,965 "," 	4,178 "," 	4,783 "," 	3,756 "," 	1,987 "," 	5,775 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	705 ," 	2,469 "," 	3,174 ", 	55 , 	668 , 	723 , 	- 0, 	433 ," 	2,148 "," 	5,495 "," 	4,812 "," 	5,046 "," 	4,013 "," 	3,408 "," 	7,422 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	431 ," 	1,333 "," 	1,764 ", 	50 , 	419 , 	469 , 	150 , 	- 0," 	1,486 "," 	2,928 "," 	2,435 "," 	2,921 "," 	2,423 "," 	1,764 "," 	4,406 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	549 ," 	1,425 "," 	1,974 ", 	43 , 	168 , 	211 , 	- 0, 	- 0," 	1,691 "," 	4,034 "," 	4,129 "," 	4,151 "," 	4,063 "," 	2,271 "," 	6,700 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	394 ," 	1,095 "," 	1,489 ", 	22 , 	149 , 	171 , 	6 , 	- 0," 	2,040 "," 	3,255 "," 	3,336 "," 	3,477 "," 	3,278 "," 	2,163 "," 	5,545 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	603 ," 	1,904 "," 	2,507 ", 	91 , 	435 , 	526 , 	- 0, 	- 0," 	2,412 "," 	4,650 "," 	5,100 "," 	4,476 "," 	4,299 "," 	2,829 "," 	7,295 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	488 ," 	1,929 "," 	2,417 ", 	53 , 	529 , 	582 , 	- 0, 	14 ," 	1,676 "," 	4,686 "," 	3,567 "," 	4,204 "," 	3,194 "," 	2,848 "," 	7,064 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	407 ," 	1,146 "," 	1,553 ", 	38 , 	343 , 	381 , 	- 0, 	- 0," 	1,578 "," 	3,250 "," 	2,680 "," 	2,904 "," 	2,383 "," 	1,532 "," 	4,728 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	805 ," 	2,852 "," 	3,657 ", 	84 , 	674 , 	758 , 	- 0, 	- 0," 	2,927 "," 	6,979 "," 	5,790 "," 	6,293 "," 	5,214 "," 	3,674 "," 	9,176 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	576 ," 	1,600 "," 	2,176 ", 	68 , 	232 , 	300 , 	- 0, 	- 0," 	2,201 "," 	5,875 "," 	4,607 "," 	5,429 "," 	4,438 "," 	2,887 "," 	6,908 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	726 ," 	2,503 "," 	3,229 ", 	85 , 	727 , 	812 , 	- 0, 	- 0," 	2,209 "," 	5,842 "," 	4,949 "," 	5,497 "," 	4,463 "," 	2,514 "," 	7,416 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	569 ," 	1,670 "," 	2,239 ", 	88 , 	505 , 	593 , 	- 0, 	- 0," 	1,589 "," 	3,529 "," 	3,276 "," 	3,409 "," 	2,977 "," 	2,067 "," 	4,768 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	446 ," 	1,467 "," 	1,913 ", 	62 , 	374 , 	436 , 	- 0, 	- 0," 	1,465 "," 	3,983 "," 	4,036 "," 	3,983 "," 	4,036 "," 	3,154 "," 	6,867 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	369 ," 	1,539 "," 	1,908 ", 	24 , 	393 , 	417 , 	- 0, 	- 0," 	1,305 "," 	3,794 "," 	3,543 "," 	3,452 "," 	3,224 "," 	2,498 "," 	6,259 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	798 ," 	3,474 "," 	4,272 ", 	112 ," 	1,077 "," 	1,189 ", 	- 0, 	64 ," 	2,628 "," 	5,680 "," 	4,475 "," 	5,564 "," 	4,384 "," 	3,938 "," 	8,955 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	365 ," 	1,069 "," 	1,434 ", 	52 , 	361 , 	413 , 	- 0, 	- 0," 	1,062 "," 	3,377 "," 	2,597 "," 	3,212 "," 	2,444 "," 	1,413 "," 	5,213 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	505 ," 	1,415 "," 	1,920 ", 	76 , 	446 , 	522 , 	- 0, 	- 0," 	1,557 "," 	4,488 "," 	3,458 "," 	4,300 "," 	3,305 "," 	2,426 "," 	6,514 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	601 ," 	1,940 "," 	2,541 ", 	109 , 	370 , 	479 , 	- 0, 	- 0," 	2,189 "," 	5,709 "," 	4,519 "," 	5,582 "," 	4,447 "," 	3,300 "," 	9,692 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	599 ," 	1,907 "," 	2,506 ", 	94 , 	398 , 	492 , 	- 0, 	- 0," 	2,041 "," 	4,688 "," 	4,000 "," 	4,671 "," 	3,979 "," 	3,050 "," 	8,848 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	613 ," 	2,467 "," 	3,080 ", 	159 , 	686 , 	845 , 	- 0, 	- 0," 	1,914 "," 	5,354 "," 	4,247 "," 	5,311 "," 	4,222 "," 	2,163 "," 	7,724 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	536 ," 	1,524 "," 	2,060 ", 	83 , 	521 , 	604 , 	- 0, 	- 0," 	2,362 "," 	8,170 "," 	4,424 "," 	7,606 "," 	4,376 "," 	2,169 "," 	7,267 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	373 , 	988 ," 	1,361 ", 	6 , 	3 , 	9 , 	- 0, 	- 0," 	1,027 "," 	3,195 "," 	2,653 "," 	3,177 "," 	2,633 "," 	1,470 "," 	5,907 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	970 ," 	2,598 "," 	3,568 ", 	132 , 	655 , 	787 , 	3 , 	105 ," 	3,231 "," 	7,865 "," 	5,096 "," 	7,414 "," 	4,970 "," 	2,127 "," 	13,912 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	649 ," 	1,802 "," 	2,451 ", 	146 , 	548 , 	694 , 	99 , 	- 0," 	1,997 "," 	4,615 "," 	4,298 "," 	4,604 "," 	4,275 "," 	2,418 "," 	6,082 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	584 ," 	2,040 "," 	2,624 ", 	85 , 	654 , 	739 , 	3 , 	33 ," 	1,916 "," 	4,532 "," 	3,550 "," 	4,532 "," 	3,550 "," 	2,229 "," 	6,116 "
,2008-09,OCTOBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	711 ," 	1,726 "," 	2,437 ", 	163 , 	348 , 	511 , 	- 0, 	43 ," 	1,741 "," 	3,063 "," 	2,227 "," 	2,726 "," 	2,100 "," 	1,717 "," 	3,762 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	639 ," 	1,608 "," 	2,247 ", 	48 , 	153 , 	201 , 	208 , 	19 ," 	2,101 "," 	5,599 "," 	5,423 "," 	4,245 "," 	3,867 "," 	1,905 "," 	5,779 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	661 ," 	1,449 "," 	2,110 ", 	291 , 	314 , 	605 , 	253 , 	- 0," 	2,307 "," 	5,749 "," 	4,892 "," 	5,749 "," 	4,293 "," 	2,244 "," 	5,699 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,370 "," 	7,793 "," 	10,163 ", 	125 ," 	1,431 "," 	1,556 ", 	- 0, 	714 ," 	7,941 "," 	17,222 "," 	15,847 "," 	16,512 "," 	15,262 "," 	7,208 "," 	23,906 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,400 "," 	6,117 "," 	8,517 ", 	314 , 	959 ," 	1,273 ", 	- 0," 	1,617 "," 	6,850 "," 	13,156 "," 	10,725 "," 	12,986 "," 	10,513 "," 	7,583 "," 	17,849 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,153 "," 	2,355 "," 	3,508 ", 	260 , 	797 ," 	1,057 ", 	- 0, 	- 0," 	2,770 "," 	8,124 "," 	6,729 "," 	7,949 "," 	6,583 "," 	2,303 "," 	8,429 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	496 ," 	1,292 "," 	1,788 ", 	41 , 	559 , 	600 , 	- 0, 	- 0," 	1,846 "," 	3,967 "," 	3,500 "," 	3,962 "," 	3,490 "," 	1,643 "," 	5,175 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,868 "," 	4,149 "," 	6,017 ", 	217 , 	803 ," 	1,020 ", 	631 , 	294 ," 	4,930 "," 	12,274 "," 	10,329 "," 	10,851 "," 	9,428 "," 	4,858 "," 	14,039 "
,2008-09,OCTOBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,066 "," 	5,373 "," 	7,439 ", 	273 ," 	1,724 "," 	1,997 ", 	84 , 	- 0," 	6,112 "," 	12,141 "," 	12,116 "," 	10,686 "," 	12,116 "," 	7,944 "," 	17,021 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	533 ," 	1,652 "," 	2,185 ", 	63 , 	454 , 	517 , 	165 , 	- 0," 	2,390 "," 	3,370 "," 	3,491 "," 	3,273 "," 	3,369 "," 	1,534 "," 	5,442 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	518 ," 	1,610 "," 	2,128 ", 	81 , 	371 , 	452 , 	248 , 	389 ," 	1,895 "," 	4,299 "," 	3,468 "," 	3,889 "," 	3,268 "," 	1,483 "," 	5,531 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	734 ," 	1,598 "," 	2,332 ", 	164 , 	723 , 	887 , 	89 , 	28 ," 	2,710 "," 	3,158 "," 	2,854 "," 	3,091 "," 	2,817 "," 	2,289 "," 	4,900 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,734 "," 	11,061 "," 	14,795 ", 	544 ," 	3,195 "," 	3,739 ", 	324 ," 	3,331 "," 	9,641 "," 	22,139 "," 	19,408 "," 	21,566 "," 	19,066 "," 	9,113 "," 	30,325 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,103 "," 	3,415 "," 	4,518 ", 	199 ," 	1,014 "," 	1,213 ", 	51 , 	- 0," 	4,883 "," 	7,982 "," 	6,942 "," 	7,821 "," 	6,685 "," 	2,204 "," 	10,460 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,504 "," 	4,432 "," 	5,936 ", 	354 ," 	1,520 "," 	1,874 ", 	166 , 	- 0," 	4,496 "," 	8,137 "," 	10,935 "," 	7,596 "," 	7,880 "," 	4,844 "," 	14,789 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT," 	1,069 "," 	2,575 "," 	3,644 ", 	191 , 	632 , 	823 , 	72 , 	- 0," 	2,818 "," 	6,438 "," 	5,595 "," 	5,985 "," 	5,312 "," 	2,904 "," 	9,335 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	806 ," 	2,884 "," 	3,690 ", 	119 , 	462 , 	581 , 	90 , 	- 0," 	2,707 "," 	5,813 "," 	5,552 "," 	5,663 "," 	5,346 "," 	2,652 "," 	8,165 "
,2008-09,OCTOBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	369 , 	770 ," 	1,139 ", 	60 , 	89 , 	149 , 	3 , 	4 ," 	1,078 "," 	2,952 "," 	2,360 "," 	2,887 "," 	2,356 "," 	1,614 "," 	4,167 "
,2008-09,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	657 ," 	2,222 "," 	2,879 ", 	81 ," 	1,001 "," 	1,082 ", 	35 , 	- 0," 	1,657 "," 	3,652 "," 	3,156 "," 	3,570 "," 	3,033 "," 	1,817 "," 	4,906 "
,2008-09,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	880 ," 	2,151 "," 	3,031 ", 	219 , 	521 , 	740 , 	57 , 	170 ," 	2,146 "," 	4,875 "," 	3,928 "," 	5,024 "," 	4,213 "," 	1,513 "," 	6,496 "
,2008-09,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	395 ," 	1,302 "," 	1,697 ", 	70 , 	209 , 	279 , 	74 , 	- 0," 	1,395 "," 	3,527 "," 	2,954 "," 	3,693 "," 	2,951 "," 	1,921 "," 	4,618 "
,2008-09,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	544 ," 	1,816 "," 	2,360 ", 	96 , 	491 , 	587 , 	- 0, 	274 ," 	1,627 "," 	4,090 "," 	3,578 "," 	3,704 "," 	3,436 "," 	1,967 "," 	5,959 "
,2008-09,OCTOBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	594 ," 	1,896 "," 	2,490 ", 	80 , 	663 , 	743 , 	19 , 	- 0," 	1,371 "," 	3,242 "," 	3,068 "," 	3,224 "," 	3,017 "," 	1,575 "," 	4,693 "
