,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,DECEMBER,,,,England," 	127,164 "," 	392,719 "," 	519,883 "," 	20,714 "," 	115,336 "," 	136,050 "," 	7,717 "," 	15,646 "," 	450,630 "," 	780,175 "," 	721,187 "," 	748,274 "," 	680,918 "," 	434,467 "," 	1,121,161 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	545 ," 	2,147 "," 	2,692 ", 	117 , 	940 ," 	1,057 ", 	- 0, 	12 ," 	2,352 "," 	4,013 "," 	4,180 "," 	3,743 "," 	3,820 "," 	2,889 "," 	6,691 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	507 ," 	1,526 "," 	2,033 ", 	107 , 	368 , 	475 , 	- 0, 	522 ," 	2,541 "," 	3,865 "," 	3,752 "," 	2,814 "," 	2,691 "," 	3,742 "," 	6,060 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	798 ," 	3,039 "," 	3,837 ", 	126 ," 	1,257 "," 	1,383 ", 	- 0, 	40 ," 	2,646 "," 	5,244 "," 	4,329 "," 	4,772 "," 	3,861 "," 	1,320 "," 	6,624 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	787 ," 	2,922 "," 	3,709 ", 	112 , 	669 , 	781 , 	- 0, 	455 ," 	2,881 "," 	3,852 "," 	3,687 "," 	3,232 "," 	3,091 "," 	4,307 "," 	7,333 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	862 ," 	3,223 "," 	4,085 ", 	183 ," 	1,334 "," 	1,517 ", 	- 0, 	173 ," 	3,878 "," 	5,542 "," 	6,398 "," 	4,792 "," 	5,429 "," 	6,499 "," 	10,553 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	616 ," 	1,795 "," 	2,411 ", 	238 , 	525 , 	763 , 	- 0, 	48 ," 	1,662 "," 	3,273 "," 	2,989 "," 	2,929 "," 	2,652 "," 	1,684 "," 	3,646 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	760 ," 	2,505 "," 	3,265 ", 	242 , 	720 , 	962 , 	- 0, 	81 ," 	2,759 "," 	4,150 "," 	4,118 "," 	3,578 "," 	3,430 "," 	2,208 "," 	4,724 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,277 "," 	4,720 "," 	5,997 ", 	151 ," 	1,641 "," 	1,792 ", 	- 0, 	419 ," 	4,880 "," 	9,775 "," 	8,127 "," 	9,072 "," 	7,743 "," 	7,404 "," 	12,646 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,303 "," 	4,293 "," 	5,596 ", 	119 ," 	1,504 "," 	1,623 ", 	- 0, 	990 ," 	4,415 "," 	8,120 "," 	7,446 "," 	7,539 "," 	6,885 "," 	3,448 "," 	10,102 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,185 "," 	4,343 "," 	5,528 ", 	146 ," 	1,482 "," 	1,628 ", 	11 , 	21 ," 	3,714 "," 	6,230 "," 	6,083 "," 	5,059 "," 	5,773 "," 	3,519 "," 	10,681 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	429 ," 	1,568 "," 	1,997 ", 	102 , 	666 , 	768 , 	- 0, 	26 ," 	1,521 "," 	2,792 "," 	2,975 "," 	2,373 "," 	2,598 "," 	3,030 "," 	4,856 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	540 ," 	1,122 "," 	1,662 ", 	95 , 	236 , 	331 , 	- 0, 	- 0," 	1,631 "," 	2,993 "," 	2,960 "," 	3,068 "," 	2,562 "," 	1,460 "," 	4,284 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	819 ," 	2,918 "," 	3,737 ", 	121 , 	866 , 	987 , 	- 0, 	- 0," 	2,895 "," 	5,671 "," 	5,004 "," 	5,668 "," 	4,995 "," 	2,704 "," 	6,950 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,108 "," 	3,530 "," 	4,638 ", 	106 , 	431 , 	537 , 	- 0, 	19 ," 	2,734 "," 	6,658 "," 	5,974 "," 	6,356 "," 	5,650 "," 	2,544 "," 	8,688 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,710 "," 	3,286 "," 	4,996 ", 	234 , 	906 ," 	1,140 ", 	- 0, 	- 0," 	3,846 "," 	9,267 "," 	8,294 "," 	8,581 "," 	7,680 "," 	6,282 "," 	12,261 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,321 "," 	3,611 "," 	4,932 ", 	161 , 	714 , 	875 , 	- 0, 	- 0," 	3,816 "," 	10,693 "," 	8,635 "," 	9,633 "," 	7,779 "," 	4,942 "," 	12,354 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	344 , 	918 ," 	1,262 ", 	53 , 	216 , 	269 , 	1 , 	12 ," 	1,422 "," 	2,360 "," 	2,336 "," 	2,197 "," 	2,240 "," 	1,509 "," 	3,290 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,387 "," 	4,720 "," 	6,107 ", 	276 ," 	1,834 "," 	2,110 ", 	25 ," 	1,068 "," 	4,145 "," 	8,047 "," 	6,729 "," 	7,940 "," 	6,548 "," 	4,522 "," 	10,577 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,980 "," 	6,600 "," 	8,580 ", 	910 ," 	1,590 "," 	2,500 ", 	434 , 	39 ," 	5,490 "," 	12,792 "," 	11,569 "," 	13,800 "," 	9,540 "," 	3,150 "," 	13,780 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	723 ," 	2,085 "," 	2,808 ", 	131 , 	585 , 	716 , 	- 0, 	- 0," 	1,668 "," 	4,537 "," 	4,089 "," 	4,398 "," 	3,964 "," 	1,052 "," 	4,858 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,399 "," 	4,358 "," 	5,757 ", 	162 ," 	1,598 "," 	1,760 ", 	- 0, 	- 0," 	4,517 "," 	8,967 "," 	8,807 "," 	8,577 "," 	8,540 "," 	4,431 "," 	13,085 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	571 ," 	2,267 "," 	2,838 ", 	69 , 	879 , 	948 , 	- 0, 	- 0," 	2,325 "," 	4,109 "," 	4,343 "," 	3,893 "," 	3,993 "," 	2,249 "," 	5,758 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	758 ," 	1,892 "," 	2,650 ", 	112 , 	404 , 	516 , 	- 0, 	- 0," 	2,290 "," 	5,475 "," 	4,663 "," 	5,385 "," 	4,497 "," 	2,181 "," 	6,043 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	856 ," 	2,373 "," 	3,229 ", 	128 , 	780 , 	908 , 	3 , 	- 0," 	3,207 "," 	5,011 "," 	5,026 "," 	4,933 "," 	4,394 "," 	4,859 "," 	7,189 "
,2008-09,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	749 ," 	2,368 "," 	3,117 ", 	118 , 	830 , 	948 , 	- 0, 	- 0," 	2,722 "," 	5,749 "," 	5,286 "," 	5,735 "," 	5,225 "," 	3,058 "," 	7,658 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	473 ," 	1,572 "," 	2,045 ", 	19 , 	338 , 	357 , 	235 , 	- 0," 	1,703 "," 	2,884 "," 	2,389 "," 	2,883 "," 	2,327 "," 	2,385 "," 	4,559 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	284 ," 	1,191 "," 	1,475 ", 	63 , 	226 , 	289 , 	- 0, 	- 0, 	789 ," 	2,320 "," 	1,958 "," 	2,164 "," 	1,801 ", 	830 ," 	2,986 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	739 ," 	2,921 "," 	3,660 ", 	86 , 	576 , 	662 , 	- 0, 	166 ," 	2,108 "," 	5,254 "," 	4,992 "," 	4,526 "," 	4,560 ", 	732 ," 	6,295 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	595 ," 	1,644 "," 	2,239 ", 	93 , 	631 , 	724 , 	- 0, 	3 ," 	1,383 "," 	3,046 "," 	2,923 "," 	2,988 "," 	2,903 "," 	2,593 "," 	5,743 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	694 ," 	2,187 "," 	2,881 ", 	93 , 	371 , 	464 , 	- 0, 	- 0," 	2,341 "," 	6,745 "," 	6,008 "," 	6,222 "," 	5,094 "," 	3,145 "," 	8,214 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	532 ," 	1,600 "," 	2,132 ", 	60 , 	363 , 	423 , 	- 0, 	- 0," 	2,047 "," 	3,828 "," 	3,633 "," 	3,602 "," 	3,313 "," 	1,535 "," 	4,924 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	549 ," 	2,295 "," 	2,844 ", 	62 , 	633 , 	695 , 	- 0, 	333 ," 	2,282 "," 	4,545 "," 	4,033 "," 	4,084 "," 	3,405 "," 	3,104 "," 	6,626 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	329 ," 	1,076 "," 	1,405 ", 	7 , 	216 , 	223 , 	108 , 	- 0," 	1,523 "," 	2,693 "," 	2,185 "," 	2,685 "," 	2,179 "," 	1,729 "," 	3,801 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	411 ," 	1,279 "," 	1,690 ", 	58 , 	165 , 	223 , 	- 0, 	- 0," 	1,808 "," 	4,034 "," 	4,129 "," 	3,273 "," 	3,371 "," 	2,029 "," 	5,610 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	324 , 	875 ," 	1,199 ", 	31 , 	96 , 	127 , 	7 , 	- 0," 	2,267 "," 	3,303 "," 	3,299 "," 	2,589 "," 	2,763 "," 	1,804 "," 	4,515 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	430 ," 	1,732 "," 	2,162 ", 	77 , 	404 , 	481 , 	- 0, 	- 0," 	2,367 "," 	3,764 "," 	4,164 "," 	3,465 "," 	3,908 "," 	2,435 "," 	6,160 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	458 ," 	1,715 "," 	2,173 ", 	45 , 	510 , 	555 , 	- 0, 	10 ," 	1,779 "," 	3,812 "," 	3,250 "," 	3,419 "," 	2,888 "," 	2,626 "," 	6,343 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	344 , 	858 ," 	1,202 ", 	26 , 	228 , 	254 , 	- 0, 	- 0," 	1,650 "," 	2,472 "," 	2,254 "," 	2,223 "," 	2,071 "," 	1,394 "," 	3,694 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	719 ," 	2,267 "," 	2,986 ", 	53 , 	596 , 	649 , 	- 0, 	- 0," 	2,875 "," 	5,938 "," 	4,871 "," 	5,295 "," 	4,351 "," 	3,242 "," 	7,651 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	492 ," 	1,265 "," 	1,757 ", 	58 , 	198 , 	256 , 	- 0, 	- 0," 	2,170 "," 	4,383 "," 	4,208 "," 	3,847 "," 	4,028 "," 	2,033 "," 	6,073 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	595 ," 	1,698 "," 	2,293 ", 	79 , 	509 , 	588 , 	- 0, 	- 0," 	2,272 "," 	5,006 "," 	4,246 "," 	4,423 "," 	3,742 "," 	1,987 "," 	6,127 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	476 ," 	1,291 "," 	1,767 ", 	78 , 	413 , 	491 , 	- 0, 	- 0," 	1,699 "," 	3,098 "," 	2,828 "," 	2,972 "," 	2,593 "," 	1,628 "," 	4,090 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	321 , 	929 ," 	1,250 ", 	45 , 	260 , 	305 , 	- 0, 	- 0," 	1,444 "," 	3,565 "," 	3,644 "," 	3,565 "," 	3,644 "," 	2,757 "," 	5,475 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	313 ," 	1,323 "," 	1,636 ", 	26 , 	314 , 	340 , 	- 0, 	- 0," 	1,420 "," 	3,014 "," 	2,720 "," 	2,742 "," 	2,475 "," 	2,052 "," 	4,716 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	558 ," 	2,775 "," 	3,333 ", 	97 ," 	1,000 "," 	1,097 ", 	- 0, 	56 ," 	2,436 "," 	4,759 "," 	4,308 "," 	4,698 "," 	4,190 "," 	3,259 "," 	8,042 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	282 , 	844 ," 	1,126 ", 	34 , 	263 , 	297 , 	- 0, 	- 0," 	1,185 "," 	2,605 "," 	2,177 "," 	2,479 "," 	2,107 "," 	1,276 "," 	5,027 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	580 ," 	1,248 "," 	1,828 ", 	149 , 	429 , 	578 , 	- 0, 	- 0," 	1,472 "," 	3,636 "," 	2,731 "," 	3,542 "," 	2,660 "," 	2,152 "," 	5,173 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	530 ," 	1,554 "," 	2,084 ", 	87 , 	289 , 	376 , 	- 0, 	- 0," 	2,335 "," 	4,903 "," 	3,795 "," 	4,784 "," 	3,743 "," 	2,980 "," 	8,177 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	457 ," 	1,578 "," 	2,035 ", 	65 , 	306 , 	371 , 	- 0, 	- 0," 	2,197 "," 	4,087 "," 	3,444 "," 	4,068 "," 	3,431 "," 	2,780 "," 	7,329 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	496 ," 	2,117 "," 	2,613 ", 	141 , 	622 , 	763 , 	- 0, 	- 0," 	1,962 "," 	4,191 "," 	3,338 "," 	4,169 "," 	3,313 "," 	1,915 "," 	6,088 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	390 ," 	1,279 "," 	1,669 ", 	91 , 	403 , 	494 , 	- 0, 	- 0," 	1,806 "," 	6,182 "," 	3,591 "," 	5,718 "," 	3,545 "," 	1,964 "," 	6,556 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	329 , 	969 ," 	1,298 ", 	2 , 	4 , 	6 , 	- 0, 	- 0," 	1,020 "," 	2,773 "," 	2,482 "," 	2,753 "," 	2,470 "," 	1,295 "," 	5,217 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT," 	1,365 "," 	2,088 "," 	3,453 ", 	164 , 	458 , 	622 , 	1 , 	127 ," 	2,854 "," 	7,613 "," 	4,960 "," 	7,206 "," 	4,870 "," 	2,530 "," 	12,231 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	564 ," 	1,483 "," 	2,047 ", 	126 , 	361 , 	487 , 	77 , 	- 0," 	2,544 "," 	4,490 "," 	3,313 "," 	4,218 "," 	3,280 "," 	2,215 "," 	5,100 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	442 ," 	1,534 "," 	1,976 ", 	72 , 	492 , 	564 , 	- 0, 	43 ," 	1,932 "," 	3,933 "," 	2,922 "," 	3,933 "," 	2,922 "," 	2,052 "," 	3,752 "
,2008-09,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	797 ," 	1,384 "," 	2,181 ", 	166 , 	246 , 	412 , 	- 0, 	2 , 	925 ," 	2,399 "," 	2,167 "," 	2,397 "," 	2,067 "," 	1,723 "," 	2,761 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	488 ," 	1,485 "," 	1,973 ", 	44 , 	114 , 	158 , 	246 , 	12 ," 	1,991 "," 	4,640 "," 	4,001 "," 	4,492 "," 	3,637 "," 	1,518 "," 	5,355 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	549 ," 	1,146 "," 	1,695 ", 	250 , 	147 , 	397 , 	278 , 	- 0," 	2,398 "," 	4,878 "," 	4,185 "," 	4,878 "," 	3,709 "," 	1,783 "," 	4,752 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,047 "," 	7,032 "," 	9,079 ", 	125 ," 	1,308 "," 	1,433 ", 	- 0, 	544 ," 	7,745 "," 	14,910 "," 	14,662 "," 	14,306 "," 	14,113 "," 	6,215 "," 	21,565 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,921 "," 	5,161 "," 	7,082 ", 	215 , 	766 , 	981 , 	- 0," 	1,370 "," 	7,048 "," 	10,765 "," 	10,053 "," 	10,635 "," 	9,842 "," 	6,363 "," 	16,627 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	884 ," 	1,995 "," 	2,879 ", 	215 , 	657 , 	872 , 	- 0, 	- 0," 	3,122 "," 	6,740 "," 	5,668 "," 	6,589 "," 	5,545 "," 	2,035 "," 	4,871 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	396 ," 	1,089 "," 	1,485 ", 	22 , 	476 , 	498 , 	- 0, 	- 0," 	1,872 "," 	3,245 "," 	3,252 "," 	3,241 "," 	3,251 "," 	1,323 "," 	4,637 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,562 "," 	3,498 "," 	5,060 ", 	165 , 	703 , 	868 , 	514 , 	245 ," 	5,130 "," 	9,979 "," 	8,902 "," 	8,734 "," 	8,106 "," 	4,101 "," 	11,911 "
,2008-09,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,766 "," 	4,865 "," 	6,631 ", 	187 ," 	1,440 "," 	1,627 ", 	133 , 	2 ," 	6,824 "," 	9,851 "," 	9,756 "," 	9,830 "," 	9,756 "," 	6,165 "," 	15,573 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	427 ," 	1,403 "," 	1,830 ", 	54 , 	435 , 	489 , 	172 , 	- 0," 	2,349 "," 	3,002 "," 	3,226 "," 	2,895 "," 	3,120 "," 	1,515 "," 	4,805 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	420 ," 	1,407 "," 	1,827 ", 	64 , 	343 , 	407 , 	182 , 	295 ," 	2,155 "," 	3,271 "," 	2,860 "," 	2,871 "," 	2,640 "," 	1,261 "," 	4,868 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	562 ," 	1,400 "," 	1,962 ", 	120 , 	659 , 	779 , 	53 , 	24 ," 	2,616 "," 	2,994 "," 	2,269 "," 	2,952 "," 	2,215 "," 	2,584 "," 	4,050 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,086 "," 	9,961 "," 	13,047 ", 	408 ," 	2,900 "," 	3,308 ", 	301 ," 	2,812 "," 	10,489 "," 	17,766 "," 	16,600 "," 	17,290 "," 	16,314 "," 	8,451 "," 	25,943 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,001 "," 	3,076 "," 	4,077 ", 	187 ," 	1,100 "," 	1,287 ", 	40 , 	- 0," 	4,639 "," 	6,339 "," 	6,073 "," 	6,192 "," 	5,860 "," 	1,904 "," 	8,673 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,143 "," 	3,448 "," 	4,591 ", 	299 ," 	1,296 "," 	1,595 ", 	148 , 	- 0," 	4,748 "," 	6,431 "," 	8,806 "," 	6,048 "," 	6,357 "," 	3,897 "," 	12,217 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	833 ," 	2,140 "," 	2,973 ", 	140 , 	483 , 	623 , 	55 , 	- 0," 	2,850 "," 	5,620 "," 	4,798 "," 	5,210 "," 	4,566 "," 	2,187 "," 	7,984 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	690 ," 	2,561 "," 	3,251 ", 	101 , 	457 , 	558 , 	59 , 	- 0," 	2,741 "," 	4,752 "," 	4,725 "," 	4,600 "," 	4,511 "," 	2,367 "," 	6,723 "
,2008-09,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	254 , 	547 , 	801 , 	35 , 	65 , 	100 , 	3 , 	7 ," 	1,104 "," 	2,482 "," 	2,286 "," 	2,395 "," 	2,223 "," 	1,100 "," 	3,841 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	590 ," 	2,006 "," 	2,596 ", 	85 , 	886 , 	971 , 	26 , 	- 0," 	1,813 "," 	2,938 "," 	2,877 "," 	2,863 "," 	2,786 "," 	1,541 "," 	4,441 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	775 ," 	1,894 "," 	2,669 ", 	181 , 	428 , 	609 , 	68 , 	149 ," 	2,386 "," 	4,000 "," 	3,738 "," 	4,262 "," 	3,979 "," 	1,407 "," 	5,772 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	372 ," 	1,200 "," 	1,572 ", 	55 , 	179 , 	234 , 	51 , 	- 0," 	1,408 "," 	2,657 "," 	2,948 "," 	3,119 "," 	2,981 "," 	1,723 "," 	4,405 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	433 ," 	1,604 "," 	2,037 ", 	87 , 	462 , 	549 , 	- 0, 	235 ," 	1,672 "," 	3,292 "," 	3,076 "," 	2,975 "," 	2,985 "," 	2,288 "," 	5,772 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	537 ," 	1,779 "," 	2,316 ", 	74 , 	606 , 	680 , 	16 , 	- 0," 	1,428 "," 	2,790 "," 	2,899 "," 	2,740 "," 	2,858 "," 	1,435 "," 	4,283 "
,2008-09,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,467 "," 	4,794 "," 	6,261 ", 	235 ," 	2,062 "," 	2,297 ", 	13 , 	32 ," 	4,563 "," 	7,149 "," 	6,977 "," 	6,926 "," 	6,763 "," 	4,652 "," 	12,198 "
