,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,MARCH,,,,England," 	145,920 "," 	456,706 "," 	602,626 "," 	23,212 "," 	131,200 "," 	154,412 "," 	9,270 "," 	18,645 "," 	459,737 "," 	1,001,469 "," 	818,454 "," 	959,774 "," 	771,725 "," 	511,038 "," 	1,302,049 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	645 ," 	2,276 "," 	2,921 ", 	149 , 	964 ," 	1,113 ", 	- 0, 	25 ," 	2,401 "," 	5,336 "," 	4,395 "," 	4,996 "," 	3,977 "," 	3,604 "," 	7,239 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	638 ," 	1,763 "," 	2,401 ", 	126 , 	454 , 	580 , 	- 0, 	571 ," 	2,566 "," 	4,586 "," 	4,194 "," 	3,494 "," 	3,095 "," 	4,693 "," 	7,622 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	927 ," 	3,491 "," 	4,418 ", 	132 ," 	1,450 "," 	1,582 ", 	- 0, 	54 ," 	2,774 "," 	5,941 "," 	5,376 "," 	5,302 "," 	4,812 "," 	1,823 "," 	8,154 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	915 ," 	3,292 "," 	4,207 ", 	112 , 	788 , 	900 , 	- 0, 	540 ," 	3,033 "," 	4,487 "," 	3,889 "," 	3,851 "," 	3,301 "," 	5,962 "," 	8,728 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,046 "," 	3,987 "," 	5,033 ", 	245 ," 	1,499 "," 	1,744 ", 	- 0, 	196 ," 	3,754 "," 	7,514 "," 	7,219 "," 	6,657 "," 	6,321 "," 	7,202 "," 	13,278 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	682 ," 	2,149 "," 	2,831 ", 	198 , 	673 , 	871 , 	- 0, 	7 ," 	1,887 "," 	4,331 "," 	3,030 "," 	3,723 "," 	2,765 "," 	1,763 "," 	3,898 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	654 ," 	2,668 "," 	3,322 ", 	209 , 	783 , 	992 , 	- 0, 	8 ," 	3,025 "," 	5,501 "," 	4,356 "," 	5,007 "," 	3,840 "," 	2,718 "," 	5,436 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,615 "," 	5,231 "," 	6,846 ", 	166 ," 	1,796 "," 	1,962 ", 	- 0, 	455 ," 	4,698 "," 	12,867 "," 	9,229 "," 	12,203 "," 	8,854 "," 	8,356 "," 	14,897 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,473 "," 	4,890 "," 	6,363 ", 	118 ," 	1,584 "," 	1,702 ", 	186 ," 	1,242 "," 	4,308 "," 	10,003 "," 	8,397 "," 	9,635 "," 	8,099 "," 	4,581 "," 	12,383 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,420 "," 	4,683 "," 	6,103 ", 	138 ," 	1,492 "," 	1,630 ", 	22 , 	14 ," 	3,929 "," 	8,571 "," 	7,389 "," 	8,263 "," 	7,070 "," 	4,639 "," 	12,146 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	508 ," 	1,939 "," 	2,447 ", 	145 , 	819 , 	964 , 	- 0, 	23 ," 	1,434 "," 	3,570 "," 	3,417 "," 	3,113 "," 	3,002 "," 	3,671 "," 	5,963 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	545 ," 	1,246 "," 	1,791 ", 	109 , 	276 , 	385 , 	- 0, 	- 0," 	1,754 "," 	3,768 "," 	4,933 "," 	3,609 "," 	2,846 "," 	1,717 "," 	4,929 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	972 ," 	3,221 "," 	4,193 ", 	137 , 	982 ," 	1,119 ", 	- 0, 	- 0," 	3,084 "," 	7,504 "," 	5,478 "," 	7,503 "," 	5,473 "," 	3,054 "," 	7,799 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,045 "," 	3,673 "," 	4,718 ", 	110 , 	440 , 	550 , 	- 0, 	- 0," 	2,617 "," 	8,131 "," 	6,035 "," 	7,904 "," 	5,746 "," 	2,776 "," 	9,801 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,783 "," 	4,364 "," 	6,147 ", 	226 , 	962 ," 	1,188 ", 	- 0, 	- 0," 	4,133 "," 	10,930 "," 	9,667 "," 	10,120 "," 	8,951 "," 	8,547 "," 	15,180 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,471 "," 	4,500 "," 	5,971 ", 	229 , 	960 ," 	1,189 ", 	- 0, 	- 0," 	3,865 "," 	13,131 "," 	10,537 "," 	11,830 "," 	9,493 "," 	6,734 "," 	15,700 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	453 ," 	1,076 "," 	1,529 ", 	68 , 	226 , 	294 , 	1 , 	6 ," 	1,496 "," 	2,997 "," 	2,359 "," 	2,884 "," 	2,283 "," 	1,490 "," 	3,380 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,582 "," 	5,270 "," 	6,852 ", 	311 ," 	1,927 "," 	2,238 ", 	22 ," 	1,113 "," 	4,359 "," 	9,871 "," 	7,753 "," 	9,834 "," 	7,534 "," 	4,912 "," 	12,219 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,070 "," 	6,910 "," 	8,980 ", 	950 ," 	1,670 "," 	2,620 ", 	554 , 	66 ," 	5,460 "," 	15,055 "," 	12,237 "," 	14,450 "," 	9,840 "," 	3,290 "," 	14,220 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	814 ," 	2,350 "," 	3,164 ", 	131 , 	591 , 	722 , 	- 0, 	- 0," 	1,841 "," 	5,757 "," 	4,484 "," 	5,585 "," 	4,350 "," 	1,499 "," 	5,387 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,624 "," 	5,159 "," 	6,783 ", 	222 ," 	1,670 "," 	1,892 ", 	- 0, 	- 0," 	4,857 "," 	11,013 "," 	9,273 "," 	10,567 "," 	8,991 "," 	5,016 "," 	14,370 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	765 ," 	2,608 "," 	3,373 ", 	134 , 	957 ," 	1,091 ", 	- 0, 	- 0," 	2,224 "," 	5,503 "," 	4,723 "," 	5,329 "," 	4,347 "," 	2,453 "," 	6,309 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	978 ," 	2,421 "," 	3,399 ", 	164 , 	511 , 	675 , 	- 0, 	- 0," 	2,326 "," 	6,394 "," 	5,494 "," 	6,288 "," 	5,320 "," 	2,275 "," 	6,566 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT," 	1,051 "," 	2,845 "," 	3,896 ", 	151 , 	990 ," 	1,141 ", 	5 , 	- 0," 	3,224 "," 	6,063 "," 	5,855 "," 	5,987 "," 	5,097 "," 	5,591 "," 	8,096 "
,2008-09,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	938 ," 	3,117 "," 	4,055 ", 	161 , 	983 ," 	1,144 ", 	- 0, 	- 0," 	2,827 "," 	7,297 "," 	5,895 "," 	7,253 "," 	5,849 "," 	3,554 "," 	8,716 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	565 ," 	2,678 "," 	3,243 ", 	81 , 	464 , 	545 , 	401 , 	- 0," 	1,974 "," 	3,465 "," 	3,303 "," 	3,459 "," 	2,478 "," 	3,294 "," 	7,165 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	336 ," 	1,181 "," 	1,517 ", 	97 , 	228 , 	325 , 	- 0, 	- 0, 	837 ," 	2,625 "," 	2,274 "," 	2,432 "," 	2,127 "," 	1,008 "," 	3,383 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	935 ," 	3,571 "," 	4,506 ", 	111 , 	694 , 	805 , 	3 , 	201 ," 	2,211 "," 	7,055 "," 	5,626 "," 	6,440 "," 	5,136 ", 	879 ," 	7,385 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	605 ," 	2,117 "," 	2,722 ", 	95 , 	723 , 	818 , 	- 0, 	6 ," 	1,435 "," 	4,276 "," 	3,169 "," 	4,208 "," 	3,148 "," 	2,919 "," 	6,464 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	709 ," 	2,774 "," 	3,483 ", 	93 , 	482 , 	575 , 	- 0, 	- 0," 	2,649 "," 	8,334 "," 	7,039 "," 	7,626 "," 	5,983 "," 	3,780 "," 	9,036 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	603 ," 	2,022 "," 	2,625 ", 	82 , 	427 , 	509 , 	- 0, 	- 0," 	2,078 "," 	4,940 "," 	3,960 "," 	4,793 "," 	3,588 "," 	1,941 "," 	5,792 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	625 ," 	2,581 "," 	3,206 ", 	54 , 	686 , 	740 , 	- 0, 	368 ," 	2,188 "," 	5,480 "," 	4,427 "," 	4,978 "," 	3,829 "," 	3,931 "," 	7,045 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	446 ," 	1,074 "," 	1,520 ", 	46 , 	199 , 	245 , 	124 , 	- 0," 	1,343 "," 	3,169 "," 	2,626 "," 	3,164 "," 	2,614 "," 	1,947 "," 	4,445 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	490 ," 	1,542 "," 	2,032 ", 	53 , 	171 , 	224 , 	- 0, 	- 0," 	1,861 "," 	4,154 "," 	3,867 "," 	4,516 "," 	4,271 "," 	2,704 "," 	7,208 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	489 ," 	1,187 "," 	1,676 ", 	39 , 	151 , 	190 , 	8 , 	- 0," 	2,129 "," 	3,456 "," 	3,145 "," 	3,591 "," 	3,335 "," 	2,208 "," 	5,753 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	520 ," 	1,805 "," 	2,325 ", 	81 , 	425 , 	506 , 	- 0, 	- 0," 	2,621 "," 	5,154 "," 	5,379 "," 	4,968 "," 	4,289 "," 	2,996 "," 	7,148 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	499 ," 	1,987 "," 	2,486 ", 	32 , 	519 , 	551 , 	- 0, 	14 ," 	1,692 "," 	5,222 "," 	4,142 "," 	4,740 "," 	3,731 "," 	3,444 "," 	7,709 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	380 ," 	1,113 "," 	1,493 ", 	40 , 	301 , 	341 , 	- 0, 	- 0," 	1,655 "," 	3,458 "," 	2,855 "," 	3,213 "," 	2,668 "," 	1,700 "," 	4,519 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	732 ," 	2,654 "," 	3,386 ", 	51 , 	624 , 	675 , 	- 0, 	- 0," 	2,905 "," 	7,212 "," 	5,462 "," 	6,497 "," 	4,831 "," 	3,624 "," 	9,031 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	615 ," 	1,546 "," 	2,161 ", 	60 , 	226 , 	286 , 	- 0, 	- 0," 	2,326 "," 	5,860 "," 	4,446 "," 	5,206 "," 	4,263 "," 	2,427 "," 	6,824 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	667 ," 	2,177 "," 	2,844 ", 	78 , 	617 , 	695 , 	- 0, 	- 0," 	2,146 "," 	6,442 "," 	5,371 "," 	5,989 "," 	4,752 "," 	2,548 "," 	7,761 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	489 ," 	1,638 "," 	2,127 ", 	86 , 	549 , 	635 , 	- 0, 	- 0," 	1,567 "," 	4,085 "," 	3,368 "," 	3,621 "," 	3,152 "," 	1,989 "," 	4,975 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	385 ," 	1,511 "," 	1,896 ", 	48 , 	332 , 	380 , 	- 0, 	- 0," 	1,464 "," 	4,953 "," 	4,214 "," 	3,814 "," 	3,203 "," 	3,116 "," 	6,742 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	359 ," 	1,565 "," 	1,924 ", 	32 , 	329 , 	361 , 	- 0, 	- 0," 	1,383 "," 	4,524 "," 	3,713 "," 	4,116 "," 	3,378 "," 	2,471 "," 	5,583 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	819 ," 	3,381 "," 	4,200 ", 	107 ," 	1,249 "," 	1,356 ", 	- 0, 	53 ," 	2,629 "," 	6,041 "," 	5,121 "," 	5,853 "," 	4,951 "," 	4,115 "," 	9,694 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	335 ," 	1,140 "," 	1,475 ", 	51 , 	305 , 	356 , 	- 0, 	- 0," 	1,180 "," 	3,460 "," 	2,848 "," 	3,298 "," 	2,759 "," 	1,617 "," 	7,360 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	482 ," 	1,346 "," 	1,828 ", 	66 , 	436 , 	502 , 	- 0, 	- 0," 	1,604 "," 	4,460 "," 	3,483 "," 	4,348 "," 	3,407 "," 	2,536 "," 	6,612 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	628 ," 	2,113 "," 	2,741 ", 	110 , 	393 , 	503 , 	- 0, 	- 0," 	2,402 "," 	5,874 "," 	4,645 "," 	5,732 "," 	4,560 "," 	3,498 "," 	10,128 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	549 ," 	1,890 "," 	2,439 ", 	72 , 	279 , 	351 , 	- 0, 	- 0," 	2,351 "," 	4,624 "," 	3,902 "," 	4,589 "," 	3,871 "," 	3,350 "," 	8,889 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	561 ," 	2,553 "," 	3,114 ", 	116 , 	720 , 	836 , 	- 0, 	- 0," 	1,912 "," 	5,449 "," 	4,150 "," 	5,437 "," 	4,101 "," 	2,523 "," 	7,653 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	511 ," 	1,485 "," 	1,996 ", 	115 , 	420 , 	535 , 	- 0, 	- 0," 	1,823 "," 	7,321 "," 	4,350 "," 	6,714 "," 	4,298 "," 	2,258 "," 	6,968 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	329 , 	916 ," 	1,245 ", 	6 , 	4 , 	10 , 	- 0, 	- 0," 	1,051 "," 	3,611 "," 	2,990 "," 	3,584 "," 	2,966 "," 	1,446 "," 	6,185 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	905 ," 	2,750 "," 	3,655 ", 	146 , 	634 , 	780 , 	6 , 	115 ," 	3,032 "," 	8,064 "," 	5,630 "," 	7,596 "," 	5,481 "," 	1,927 "," 	14,785 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	547 ," 	1,828 "," 	2,375 ", 	76 , 	493 , 	569 , 	130 , 	- 0," 	2,469 "," 	5,335 "," 	4,002 "," 	5,275 "," 	3,948 "," 	2,586 "," 	6,613 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	520 ," 	1,964 "," 	2,484 ", 	56 , 	531 , 	587 , 	10 , 	- 0," 	1,822 "," 	4,621 "," 	3,445 "," 	4,621 "," 	3,445 "," 	2,795 "," 	6,227 "
,2008-09,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	618 ," 	1,638 "," 	2,256 ", 	151 , 	318 , 	469 , 	- 0, 	41 ," 	1,529 "," 	3,513 "," 	2,704 "," 	3,114 "," 	2,543 "," 	2,133 "," 	4,681 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	705 ," 	1,688 "," 	2,393 ", 	55 , 	163 , 	218 , 	181 , 	18 ," 	2,367 "," 	6,032 "," 	4,219 "," 	5,849 "," 	3,766 "," 	2,094 "," 	6,133 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	641 ," 	1,651 "," 	2,292 ", 	262 , 	271 , 	533 , 	260 , 	- 0," 	2,570 "," 	6,073 "," 	4,784 "," 	6,073 "," 	4,511 "," 	2,547 "," 	6,239 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,317 "," 	7,807 "," 	10,124 ", 	123 ," 	1,309 "," 	1,432 ", 	- 0, 	676 ," 	8,482 "," 	19,031 "," 	15,888 "," 	18,252 "," 	15,262 "," 	6,479 "," 	23,938 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,215 "," 	6,041 "," 	8,256 ", 	398 , 	845 ," 	1,243 ", 	- 0," 	1,513 "," 	7,199 "," 	13,438 "," 	10,915 "," 	13,188 "," 	10,602 "," 	7,145 "," 	18,145 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,056 "," 	2,399 "," 	3,455 ", 	203 , 	702 , 	905 , 	- 0, 	- 0," 	2,870 "," 	8,604 "," 	6,416 "," 	8,463 "," 	6,307 "," 	2,706 "," 	5,662 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	493 ," 	1,297 "," 	1,790 ", 	47 , 	602 , 	649 , 	- 0, 	- 0," 	1,828 "," 	4,439 "," 	3,304 "," 	4,436 "," 	3,304 "," 	1,808 "," 	4,893 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,696 "," 	4,181 "," 	5,877 ", 	176 , 	807 , 	983 , 	654 , 	305 ," 	5,173 "," 	12,808 "," 	10,552 "," 	11,299 "," 	9,525 "," 	5,396 "," 	14,035 "
,2008-09,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,091 "," 	5,616 "," 	7,707 ", 	293 ," 	1,595 "," 	1,888 ", 	101 , 	- 0," 	6,508 "," 	13,206 "," 	11,147 "," 	13,153 "," 	11,147 "," 	6,881 "," 	17,830 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	544 ," 	1,715 "," 	2,259 ", 	75 , 	457 , 	532 , 	94 , 	- 0," 	2,513 "," 	4,275 "," 	3,743 "," 	3,976 "," 	3,549 "," 	1,506 "," 	5,526 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	429 ," 	1,533 "," 	1,962 ", 	53 , 	367 , 	420 , 	245 , 	301 ," 	2,146 "," 	4,651 "," 	3,403 "," 	4,234 "," 	3,167 "," 	1,538 "," 	5,484 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	693 ," 	1,839 "," 	2,532 ", 	132 , 	799 , 	931 , 	376 , 	22 ," 	2,825 "," 	5,273 "," 	3,799 "," 	5,213 "," 	3,756 "," 	3,783 "," 	6,709 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,441 "," 	11,021 "," 	14,462 ", 	480 ," 	3,309 "," 	3,789 ", 	319 ," 	3,148 "," 	10,849 "," 	24,340 "," 	18,893 "," 	23,849 "," 	18,465 "," 	9,329 "," 	29,912 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,116 "," 	3,683 "," 	4,799 ", 	425 ," 	1,562 "," 	1,987 ", 	- 0, 	- 0," 	5,075 "," 	8,847 "," 	7,068 "," 	8,693 "," 	6,853 "," 	2,343 "," 	11,389 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,321 "," 	3,884 "," 	5,205 ", 	326 ," 	1,299 "," 	1,625 ", 	204 , 	- 0," 	4,681 "," 	8,926 "," 	10,566 "," 	8,329 "," 	7,360 "," 	4,550 "," 	14,383 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	961 ," 	2,678 "," 	3,639 ", 	142 , 	622 , 	764 , 	54 , 	- 0," 	2,871 "," 	6,286 "," 	5,029 "," 	6,958 "," 	4,920 "," 	2,403 "," 	9,368 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	771 ," 	2,833 "," 	3,604 ", 	102 , 	445 , 	547 , 	102 , 	- 0," 	2,533 "," 	5,734 "," 	5,289 "," 	5,603 "," 	5,095 "," 	2,686 "," 	7,788 "
,2008-09,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	379 , 	887 ," 	1,266 ", 	52 , 	114 , 	166 , 	3 , 	3 ," 	1,130 "," 	3,048 "," 	2,140 "," 	2,966 "," 	2,082 "," 	1,833 "," 	3,896 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	718 ," 	2,128 "," 	2,846 ", 	98 , 	983 ," 	1,081 ", 	39 , 	- 0," 	1,725 "," 	3,818 "," 	3,171 "," 	3,707 "," 	3,062 "," 	1,769 "," 	4,936 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	874 ," 	2,139 "," 	3,013 ", 	173 , 	410 , 	583 , 	75 , 	188 ," 	2,313 "," 	4,115 "," 	4,130 "," 	4,992 "," 	4,312 "," 	1,409 "," 	6,429 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	433 ," 	1,466 "," 	1,899 ", 	52 , 	218 , 	270 , 	63 , 	- 0," 	1,484 "," 	3,494 "," 	3,097 "," 	3,817 "," 	3,005 "," 	2,197 "," 	4,656 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	459 ," 	1,643 "," 	2,102 ", 	74 , 	536 , 	610 , 	- 0, 	265 ," 	1,735 "," 	4,345 "," 	3,223 "," 	4,002 "," 	3,117 "," 	2,162 "," 	5,561 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	624 ," 	1,965 "," 	2,589 ", 	85 , 	651 , 	736 , 	21 , 	- 0," 	1,747 "," 	3,410 "," 	3,194 "," 	3,365 "," 	3,149 "," 	1,621 "," 	4,840 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,540 "," 	5,426 "," 	6,966 ", 	227 ," 	2,337 "," 	2,564 ", 	17 , 	37 ," 	4,579 "," 	9,228 "," 	7,528 "," 	8,907 "," 	7,210 "," 	5,612 "," 	13,573 "
,2008-09,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,214 "," 	4,089 "," 	5,303 ", 	207 ," 	1,517 "," 	1,724 ", 	28 , 	- 0," 	3,590 "," 	7,565 "," 	6,248 "," 	7,346 "," 	6,101 "," 	3,822 "," 	10,836 "
