,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MARCH,,,,England," 	143,030 "," 	525,517 "," 	668,548 "," 	22,274 "," 	159,488 "," 	181,761 "," 	23,970 "," 	476,427 "," 	1,067,115 "," 	884,523 "," 	1,011,328 "," 	838,914 "," 	567,885 "," 	1,446,601 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	977 ," 	3,565 "," 	4,542 ", 	131 ," 	1,257 "," 	1,388 ", 	62 ," 	2,622 "," 	4,630 "," 	6,069 "," 	3,865 "," 	5,257 "," 	1,356 "," 	9,208 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	924 ," 	3,450 "," 	4,374 ", 	143 , 	739 , 	882 , 	614 ," 	3,232 "," 	7,682 "," 	6,553 "," 	7,179 "," 	5,835 "," 	3,326 "," 	9,662 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,145 "," 	4,485 "," 	5,630 ", 	206 ," 	1,600 "," 	1,806 ", 	191 ," 	4,092 "," 	11,209 "," 	8,752 "," 	10,254 "," 	8,014 "," 	6,210 "," 	14,417 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	580 ," 	2,165 "," 	2,745 ", 	203 , 	739 , 	942 , 	38 ," 	1,697 "," 	3,656 "," 	3,942 "," 	3,311 "," 	3,277 "," 	1,170 "," 	4,711 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	726 ," 	2,777 "," 	3,503 ", 	223 , 	993 ," 	1,216 ", 	13 ," 	2,763 "," 	5,161 "," 	5,711 "," 	4,462 "," 	4,423 "," 	1,504 "," 	6,278 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,663 "," 	7,416 "," 	9,079 ", 	206 ," 	2,848 "," 	3,054 ", 	469 ," 	4,704 "," 	14,045 "," 	11,125 "," 	13,452 "," 	10,663 "," 	8,687 "," 	17,065 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,558 "," 	5,360 "," 	6,918 ", 	186 ," 	1,875 "," 	2,061 "," 	1,483 "," 	4,172 "," 	9,903 "," 	8,186 "," 	8,748 "," 	7,761 "," 	5,219 "," 	13,350 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,355 "," 	4,309 "," 	5,664 ", 	219 ," 	1,537 "," 	1,756 ", 	32 ," 	4,100 "," 	9,698 "," 	6,900 "," 	9,346 "," 	6,648 "," 	6,112 "," 	11,304 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	608 ," 	2,196 "," 	2,804 ", 	112 , 	989 ," 	1,101 ", 	33 ," 	1,829 "," 	4,849 "," 	3,564 "," 	4,496 "," 	3,298 "," 	2,586 "," 	6,122 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	547 ," 	1,438 "," 	1,985 ", 	87 , 	294 , 	381 , 	- 0," 	1,613 "," 	3,529 "," 	3,556 "," 	3,000 "," 	3,006 "," 	1,678 "," 	5,581 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT," 	1,059 "," 	3,466 "," 	4,525 ", 	189 ," 	1,382 "," 	1,571 ", 	- 0," 	2,674 "," 	8,459 "," 	5,628 "," 	8,405 "," 	5,620 "," 	3,679 "," 	8,663 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,058 "," 	3,768 "," 	4,826 ", 	134 , 	692 , 	826 , 	42 ," 	3,006 "," 	9,505 "," 	7,241 "," 	9,148 "," 	6,879 "," 	3,716 "," 	10,731 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	433 ," 	1,248 "," 	1,681 ", 	55 , 	372 , 	427 , 	3 ," 	1,421 "," 	3,089 "," 	2,594 "," 	2,721 "," 	2,267 "," 	2,124 "," 	3,829 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,393 "," 	6,414 "," 	7,807 ", 	184 ," 	2,276 "," 	2,460 "," 	1,377 "," 	4,454 "," 	10,567 "," 	8,835 "," 	10,225 "," 	8,481 "," 	6,845 "," 	14,067 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,783 "," 	9,366 "," 	11,149 ", 	345 ," 	3,001 "," 	3,346 ", 	33 ," 	6,239 "," 	15,508 "," 	13,528 "," 	15,170 "," 	13,223 "," 	5,929 "," 	21,097 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	794 ," 	2,767 "," 	3,561 ", 	131 , 	364 , 	495 , 	- 0," 	1,870 "," 	5,107 "," 	4,715 "," 	4,947 "," 	4,596 "," 	1,550 "," 	6,417 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,469 "," 	6,407 "," 	7,876 ", 	197 ," 	2,179 "," 	2,376 ", 	298 ," 	4,921 "," 	12,723 "," 	10,253 "," 	12,197 "," 	9,932 "," 	5,832 "," 	18,187 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	569 ," 	2,797 "," 	3,366 ", 	74 ," 	1,037 "," 	1,111 ", 	347 ," 	2,182 "," 	5,038 "," 	4,008 "," 	4,710 "," 	3,696 "," 	2,754 "," 	5,469 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	924 ," 	2,470 "," 	3,394 ", 	72 , 	336 , 	408 , 	3 ," 	2,681 "," 	5,327 "," 	5,172 "," 	4,981 "," 	5,090 "," 	1,564 "," 	7,727 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	805 ," 	2,934 "," 	3,739 ", 	74 ," 	1,004 "," 	1,078 ", 	3 ," 	2,503 "," 	5,660 "," 	5,257 "," 	5,544 "," 	5,172 "," 	4,065 "," 	8,686 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	839 ," 	3,425 "," 	4,264 ", 	134 ," 	1,234 "," 	1,368 ", 	- 0," 	2,676 "," 	4,134 "," 	3,852 "," 	4,005 "," 	3,841 "," 	4,717 "," 	8,479 "
,2010-11,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	3,094 "," 	10,021 "," 	13,115 ", 	436 ," 	2,504 "," 	2,940 ", 	302 ," 	8,052 "," 	22,928 "," 	18,416 "," 	21,718 "," 	17,551 "," 	13,012 "," 	29,030 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	495 ," 	2,008 "," 	2,503 ", 	87 , 	416 , 	503 , 	- 0," 	2,290 "," 	4,085 "," 	3,665 "," 	4,052 "," 	3,652 "," 	2,285 "," 	6,045 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	440 ," 	1,188 "," 	1,628 ", 	50 , 	244 , 	294 , 	43 ," 	1,035 "," 	3,553 "," 	2,909 "," 	3,039 "," 	2,519 "," 	1,686 "," 	4,252 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	804 ," 	3,616 "," 	4,420 ", 	110 , 	806 , 	916 , 	3 ," 	2,408 "," 	7,832 "," 	5,860 "," 	7,362 "," 	5,850 "," 	4,720 "," 	9,954 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	596 ," 	2,311 "," 	2,907 ", 	80 , 	694 , 	774 , 	- 0," 	2,125 "," 	4,081 "," 	4,375 "," 	3,717 "," 	4,111 "," 	3,126 "," 	7,865 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	773 ," 	3,464 "," 	4,237 ", 	102 , 	638 , 	740 , 	137 ," 	2,947 "," 	9,367 "," 	6,926 "," 	8,875 "," 	6,137 "," 	5,830 "," 	11,319 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	606 ," 	2,276 "," 	2,882 ", 	98 , 	602 , 	700 , 	517 ," 	2,364 "," 	5,915 "," 	4,625 "," 	5,465 "," 	4,344 "," 	2,769 "," 	7,435 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	618 ," 	2,937 "," 	3,555 ", 	68 , 	822 , 	890 , 	380 ," 	2,171 "," 	6,407 "," 	5,416 "," 	6,064 "," 	4,727 "," 	4,495 "," 	8,748 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	303 ," 	1,385 "," 	1,688 ", 	40 , 	262 , 	302 , 	177 ," 	1,852 "," 	3,151 "," 	2,462 "," 	3,075 "," 	2,424 "," 	1,713 "," 	4,409 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	415 ," 	1,817 "," 	2,232 ", 	71 , 	402 , 	473 , 	- 0," 	2,051 "," 	4,171 "," 	3,765 "," 	3,837 "," 	3,379 "," 	2,312 "," 	5,564 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	420 ," 	1,478 "," 	1,898 ", 	68 , 	312 , 	380 , 	1 ," 	2,115 "," 	6,610 "," 	4,406 "," 	4,007 "," 	2,999 "," 	3,261 "," 	7,180 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	541 ," 	1,762 "," 	2,303 ", 	107 , 	748 , 	855 , 	- 0," 	2,724 "," 	8,027 "," 	6,582 "," 	5,892 "," 	4,342 "," 	3,465 "," 	7,975 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	470 ," 	2,304 "," 	2,774 ", 	64 , 	712 , 	776 , 	33 ," 	1,848 "," 	5,354 "," 	4,440 "," 	4,992 "," 	4,110 "," 	3,593 "," 	8,610 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	409 ," 	1,516 "," 	1,925 ", 	49 , 	269 , 	318 , 	9 ," 	1,917 "," 	5,124 "," 	3,939 "," 	4,677 "," 	3,578 "," 	2,648 "," 	7,169 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	776 ," 	3,190 "," 	3,966 ", 	89 , 	828 , 	917 , 	172 ," 	3,405 "," 	8,239 "," 	6,646 "," 	7,239 "," 	5,939 "," 	4,311 "," 	10,655 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	550 ," 	1,952 "," 	2,502 ", 	73 , 	460 , 	533 , 	15 ," 	1,983 "," 	6,439 "," 	4,566 "," 	5,593 "," 	3,998 "," 	2,261 "," 	6,692 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	670 ," 	2,608 "," 	3,278 ", 	70 , 	699 , 	769 , 	654 ," 	2,602 "," 	7,359 "," 	5,910 "," 	6,877 "," 	5,685 "," 	3,441 "," 	8,474 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	523 ," 	1,911 "," 	2,434 ", 	84 , 	784 , 	868 , 	253 ," 	1,594 "," 	4,223 "," 	3,653 "," 	4,095 "," 	3,515 "," 	1,890 "," 	5,156 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	428 ," 	1,971 "," 	2,399 ", 	63 , 	542 , 	605 , 	5 ," 	1,711 "," 	5,549 "," 	4,674 "," 	5,229 "," 	4,355 "," 	3,622 "," 	8,081 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	486 ," 	2,107 "," 	2,593 ", 	59 , 	623 , 	682 , 	3 ," 	1,771 "," 	4,773 "," 	4,006 "," 	4,436 "," 	3,708 "," 	2,694 "," 	7,113 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	839 ," 	3,372 "," 	4,211 ", 	92 , 	677 , 	769 , 	70 ," 	2,842 "," 	7,669 "," 	6,190 "," 	7,082 "," 	5,729 "," 	4,953 "," 	11,412 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	402 ," 	1,477 "," 	1,879 ", 	66 , 	279 , 	345 , 	1 ," 	1,366 "," 	4,975 "," 	3,312 "," 	4,678 "," 	3,108 "," 	2,308 "," 	5,773 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	445 ," 	1,824 "," 	2,269 ", 	63 , 	337 , 	400 , 	7 ," 	2,009 "," 	8,046 "," 	4,094 "," 	7,498 "," 	3,836 "," 	3,245 "," 	7,072 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	580 ," 	2,217 "," 	2,797 ", 	118 , 	577 , 	695 , 	9 ," 	2,940 "," 	7,241 "," 	5,753 "," 	5,979 "," 	5,301 "," 	4,351 "," 	11,198 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	469 ," 	2,009 "," 	2,478 ", 	100 , 	570 , 	670 , 	98 ," 	2,890 "," 	6,037 "," 	5,055 "," 	5,093 "," 	4,702 "," 	4,302 "," 	10,015 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	598 ," 	2,576 "," 	3,174 ", 	102 , 	664 , 	766 , 	101 ," 	2,107 "," 	5,716 "," 	4,877 "," 	5,337 "," 	4,727 "," 	4,942 "," 	10,134 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	611 ," 	2,007 "," 	2,618 ", 	74 , 	391 , 	465 , 	44 ," 	2,192 "," 	9,135 "," 	6,601 "," 	7,867 "," 	6,091 "," 	3,234 "," 	10,380 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	409 ," 	1,207 "," 	1,616 ", 	55 , 	290 , 	345 , 	25 ," 	1,179 "," 	4,148 "," 	3,571 "," 	3,554 "," 	3,158 "," 	1,657 "," 	4,920 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	845 ," 	3,077 "," 	3,922 ", 	77 , 	527 , 	604 , 	141 ," 	2,878 "," 	8,785 "," 	6,673 "," 	7,970 "," 	6,376 "," 	2,681 "," 	10,522 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	516 ," 	2,171 "," 	2,687 ", 	79 , 	575 , 	654 , 	242 ," 	2,382 "," 	5,215 "," 	4,092 "," 	5,012 "," 	4,037 "," 	2,490 "," 	6,906 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	516 ," 	2,449 "," 	2,965 ", 	82 , 	955 ," 	1,037 ", 	1 ," 	2,457 "," 	6,782 "," 	4,541 "," 	6,093 "," 	4,498 "," 	2,947 "," 	8,752 "
,2010-11,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	528 ," 	2,124 "," 	2,652 ", 	61 , 	587 , 	648 , 	3 ," 	1,934 "," 	3,242 "," 	2,910 "," 	2,939 "," 	2,732 "," 	2,626 "," 	5,754 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	960 ," 	2,074 "," 	3,035 ", 	313 , 	465 , 	778 , 	1 ," 	2,372 "," 	5,470 "," 	4,686 "," 	5,258 "," 	4,503 "," 	2,659 "," 	7,211 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	899 ," 	2,279 "," 	3,178 ", 	368 , 	348 , 	716 , 	1 ," 	2,303 "," 	6,287 "," 	5,053 "," 	6,087 "," 	4,859 "," 	3,335 "," 	7,041 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,640 "," 	9,578 "," 	12,218 ", 	312 ," 	2,803 "," 	3,115 ", 	210 ," 	8,267 "," 	20,340 "," 	17,550 "," 	19,045 "," 	16,450 "," 	8,805 "," 	28,517 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,090 "," 	6,985 "," 	9,075 ", 	292 ," 	1,939 "," 	2,231 ", 	985 ," 	6,761 "," 	14,371 "," 	12,106 "," 	14,095 "," 	11,915 "," 	9,311 "," 	21,524 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,085 "," 	2,838 "," 	3,923 ", 	273 , 	879 ," 	1,152 ", 	- 0," 	2,903 "," 	8,270 "," 	6,808 "," 	8,162 "," 	6,731 "," 	3,268 "," 	9,466 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	558 ," 	1,512 "," 	2,070 ", 	93 , 	554 , 	647 , 	1 ," 	1,814 "," 	4,216 "," 	3,447 "," 	4,209 "," 	3,446 "," 	1,777 "," 	4,943 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,831 "," 	5,082 "," 	6,913 ", 	308 ," 	1,333 "," 	1,641 ", 	2 ," 	5,298 "," 	12,278 "," 	10,304 "," 	11,530 "," 	9,746 "," 	6,539 "," 	16,094 "
,2010-11,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,509 "," 	7,230 "," 	9,739 ", 	500 ," 	2,641 "," 	3,141 ", 	2 ," 	6,894 "," 	14,368 "," 	12,673 "," 	13,986 "," 	12,453 "," 	8,832 "," 	21,625 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	617 ," 	1,865 "," 	2,482 ", 	75 , 	587 , 	662 , 	67 ," 	2,407 "," 	4,180 "," 	3,915 "," 	3,627 "," 	3,479 "," 	1,600 "," 	5,405 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	482 ," 	1,644 "," 	2,126 ", 	48 , 	264 , 	312 , 	337 ," 	2,007 "," 	4,676 "," 	3,570 "," 	4,518 "," 	3,397 "," 	1,718 "," 	5,987 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	613 ," 	2,345 "," 	2,958 ", 	102 , 	701 , 	803 , 	979 ," 	2,454 "," 	4,618 "," 	4,148 "," 	4,590 "," 	3,941 "," 	2,667 "," 	6,146 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,350 "," 	12,183 "," 	15,533 ", 	367 ," 	2,869 "," 	3,235 "," 	3,410 "," 	10,558 "," 	23,366 "," 	18,698 "," 	23,044 "," 	18,373 "," 	12,788 "," 	31,939 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	886 ," 	4,411 "," 	5,297 ", 	108 ," 	1,258 "," 	1,366 ", 	65 ," 	3,535 "," 	8,639 "," 	7,040 "," 	8,377 "," 	6,717 "," 	2,438 "," 	12,165 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,328 "," 	4,441 "," 	5,769 ", 	157 ," 	1,359 "," 	1,516 ", 	109 ," 	4,368 "," 	8,404 "," 	8,253 "," 	8,208 "," 	8,084 "," 	4,504 "," 	13,377 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT," 	1,065 "," 	3,106 "," 	4,171 ", 	117 , 	541 , 	658 , 	90 ," 	2,783 "," 	7,768 "," 	6,948 "," 	7,028 "," 	6,247 "," 	3,274 "," 	11,512 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	784 ," 	3,473 "," 	4,257 ", 	130 , 	576 , 	706 , 	45 ," 	2,780 "," 	7,437 "," 	5,492 "," 	7,086 "," 	5,085 "," 	1,954 "," 	8,639 "
,2010-11,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	365 , 	839 ," 	1,204 ", 	48 , 	91 , 	139 , 	32 ," 	1,225 "," 	3,250 "," 	2,360 "," 	3,162 "," 	2,248 "," 	2,015 "," 	3,645 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	581 ," 	2,303 "," 	2,884 ", 	65 ," 	1,087 "," 	1,152 ", 	1 ," 	1,560 "," 	3,535 "," 	2,955 "," 	3,385 "," 	2,852 "," 	2,170 "," 	4,859 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	713 ," 	2,163 "," 	2,876 ", 	119 , 	279 , 	398 , 	123 ," 	2,270 "," 	4,822 "," 	4,027 "," 	4,818 "," 	4,022 "," 	1,130 "," 	6,299 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	428 ," 	1,568 "," 	1,996 ", 	54 , 	271 , 	325 , 	- 0," 	1,425 "," 	4,125 "," 	3,285 "," 	3,775 "," 	3,232 "," 	1,768 "," 	4,960 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	522 ," 	1,964 "," 	2,486 ", 	65 , 	626 , 	691 , 	2 ," 	1,690 "," 	3,865 "," 	3,218 "," 	3,798 "," 	3,088 "," 	1,811 "," 	5,327 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	556 ," 	2,173 "," 	2,729 ", 	72 , 	760 , 	832 , 	- 0," 	1,621 "," 	3,638 "," 	3,090 "," 	3,590 "," 	3,050 "," 	2,000 "," 	5,134 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,471 "," 	6,467 "," 	7,938 ", 	221 ," 	2,831 "," 	3,052 ", 	6 ," 	4,652 "," 	10,040 "," 	8,921 "," 	9,433 "," 	8,326 "," 	5,299 "," 	14,039 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,085 "," 	4,173 "," 	5,258 ", 	177 ," 	1,730 "," 	1,907 ", 	- 0," 	3,481 "," 	7,425 "," 	6,424 "," 	6,884 "," 	5,917 "," 	4,281 "," 	10,975 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,176 "," 	4,021 "," 	5,197 ", 	142 , 	838 , 	980 , 	29 ," 	3,599 "," 	9,173 "," 	7,541 "," 	8,812 "," 	7,493 "," 	4,496 "," 	11,644 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,502 "," 	5,320 "," 	6,822 ", 	156 ," 	1,202 "," 	1,358 ", 	3 ," 	5,041 "," 	9,036 "," 	7,416 "," 	8,976 "," 	7,395 "," 	4,301 "," 	12,478 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,303 "," 	5,200 "," 	6,503 ", 	190 ," 	1,635 "," 	1,825 ", 	3 ," 	3,760 "," 	8,391 "," 	6,721 "," 	8,343 "," 	6,608 "," 	3,518 "," 	10,520 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	964 ," 	4,533 "," 	5,497 ", 	172 ," 	2,004 "," 	2,176 ", 	1 ," 	3,616 "," 	5,793 "," 	4,512 "," 	5,766 "," 	4,440 "," 	4,148 "," 	9,590 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,685 "," 	6,414 "," 	8,099 ", 	287 ," 	1,990 "," 	2,277 ", 	531 ," 	4,508 "," 	11,112 "," 	10,149 "," 	11,054 "," 	10,090 "," 	4,741 "," 	15,617 "
,2010-11,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,615 "," 	9,001 "," 	11,616 ", 	557 ," 	3,643 "," 	4,200 ", 	152 ," 	6,477 "," 	13,834 "," 	11,913 "," 	13,768 "," 	11,849 "," 	6,426 "," 	18,352 "
