,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JANUARY,,,,England," 	124,201 "," 	498,130 "," 	622,331 "," 	19,810 "," 	154,110 "," 	173,920 "," 	21,698 "," 	463,380 "," 	951,947 "," 	815,500 "," 	900,414 "," 	772,872 "," 	550,200 "," 	1,356,850 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	799 ," 	3,312 "," 	4,111 ", 	153 ," 	1,228 "," 	1,381 ", 	48 ," 	2,926 "," 	4,196 "," 	5,376 "," 	3,644 "," 	4,617 "," 	1,302 "," 	8,212 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	759 ," 	3,213 "," 	3,972 ", 	104 , 	685 , 	789 , 	519 ," 	3,462 "," 	7,119 "," 	5,867 "," 	6,515 "," 	5,139 "," 	3,356 "," 	8,611 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	937 ," 	3,958 "," 	4,895 ", 	187 ," 	1,573 "," 	1,760 ", 	171 ," 	4,649 "," 	10,081 "," 	7,462 "," 	8,981 "," 	6,698 "," 	6,653 "," 	11,912 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	546 ," 	1,719 "," 	2,265 ", 	212 , 	561 , 	773 , 	32 ," 	1,780 "," 	3,121 "," 	2,831 "," 	2,838 "," 	2,309 "," 	1,028 "," 	3,520 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	638 ," 	2,195 "," 	2,833 ", 	205 , 	704 , 	909 , 	37 ," 	2,763 "," 	4,372 "," 	4,020 "," 	3,748 "," 	2,886 "," 	1,253 "," 	4,447 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,376 "," 	6,776 "," 	8,152 ", 	183 ," 	2,577 "," 	2,760 ", 	390 ," 	5,323 "," 	13,353 "," 	10,112 "," 	12,724 "," 	9,614 "," 	9,157 "," 	15,459 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,158 "," 	5,021 "," 	6,179 ", 	164 ," 	1,740 "," 	1,904 "," 	1,389 "," 	4,386 "," 	9,470 "," 	7,729 "," 	8,718 "," 	7,324 "," 	4,791 "," 	13,094 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,202 "," 	4,838 "," 	6,040 ", 	109 ," 	1,589 "," 	1,698 ", 	20 ," 	3,900 "," 	8,885 "," 	7,123 "," 	8,528 "," 	6,914 "," 	6,274 "," 	11,825 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	502 ," 	1,985 "," 	2,487 ", 	87 , 	930 ," 	1,017 ", 	19 ," 	2,151 "," 	4,655 "," 	3,839 "," 	4,287 "," 	3,134 "," 	2,793 "," 	5,276 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	553 ," 	1,300 "," 	1,853 ", 	82 , 	310 , 	392 , 	- 0," 	1,654 "," 	3,347 "," 	3,356 "," 	3,222 "," 	3,063 "," 	1,555 "," 	5,441 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	926 ," 	3,317 "," 	4,243 ", 	189 ," 	1,433 "," 	1,622 ", 	- 0," 	2,630 "," 	7,221 "," 	5,496 "," 	7,121 "," 	5,481 "," 	3,237 "," 	8,421 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	942 ," 	3,658 "," 	4,600 ", 	116 , 	707 , 	823 , 	39 ," 	2,843 "," 	7,048 "," 	6,268 "," 	6,875 "," 	6,072 "," 	3,132 "," 	9,843 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	340 ," 	1,287 "," 	1,627 ", 	54 , 	395 , 	449 , 	7 ," 	1,486 "," 	3,394 "," 	2,739 "," 	3,019 "," 	2,416 "," 	1,893 "," 	3,937 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,230 "," 	5,559 "," 	6,789 ", 	214 ," 	2,032 "," 	2,246 "," 	1,214 "," 	4,569 "," 	9,470 "," 	7,845 "," 	9,040 "," 	7,508 "," 	7,471 "," 	12,573 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,739 "," 	8,880 "," 	10,619 ", 	265 ," 	3,342 "," 	3,607 ", 	32 ," 	6,224 "," 	12,744 "," 	11,734 "," 	12,342 "," 	11,386 "," 	5,569 "," 	18,555 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	505 ," 	2,354 "," 	2,859 ", 	141 , 	399 , 	540 , 	- 0," 	1,972 "," 	4,721 "," 	4,770 "," 	4,702 "," 	4,632 "," 	1,392 "," 	6,535 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,205 "," 	5,810 "," 	7,015 ", 	179 ," 	2,286 "," 	2,465 ", 	192 ," 	4,525 "," 	11,187 "," 	9,643 "," 	10,999 "," 	9,470 "," 	6,380 "," 	15,870 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	540 ," 	2,407 "," 	2,947 ", 	67 , 	828 , 	895 , 	294 ," 	2,086 "," 	4,768 "," 	4,257 "," 	4,385 "," 	3,990 "," 	2,819 "," 	6,418 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	809 ," 	2,370 "," 	3,179 ", 	71 , 	351 , 	422 , 	3 ," 	2,773 "," 	4,926 "," 	4,931 "," 	4,554 "," 	4,863 "," 	1,640 "," 	7,392 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	856 ," 	3,079 "," 	3,935 ", 	78 ," 	1,212 "," 	1,290 ", 	3 ," 	2,695 "," 	6,646 "," 	5,841 "," 	6,053 "," 	5,647 "," 	3,809 "," 	9,413 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	814 ," 	3,292 "," 	4,106 ", 	134 ," 	1,166 "," 	1,300 ", 	- 0," 	2,706 "," 	6,589 "," 	6,054 "," 	6,234 "," 	5,715 "," 	4,829 "," 	10,084 "
,2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,511 "," 	8,742 "," 	11,253 ", 	369 ," 	2,262 "," 	2,631 ", 	288 ," 	7,856 "," 	19,698 "," 	16,908 "," 	19,103 "," 	16,335 "," 	11,882 "," 	27,104 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	517 ," 	2,503 "," 	3,020 ", 	94 , 	453 , 	547 , 	128 ," 	2,230 "," 	4,076 "," 	3,624 "," 	4,007 "," 	3,568 "," 	2,343 "," 	6,178 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	361 ," 	1,057 "," 	1,418 ", 	36 , 	264 , 	300 , 	45 ," 	1,094 "," 	3,326 "," 	2,846 "," 	2,821 "," 	2,444 "," 	1,437 "," 	3,932 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	735 ," 	3,784 "," 	4,519 ", 	87 ," 	1,094 "," 	1,181 ", 	1 ," 	2,257 "," 	7,204 "," 	5,354 "," 	6,617 "," 	5,295 "," 	4,115 "," 	9,027 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	488 ," 	2,362 "," 	2,850 ", 	57 , 	703 , 	760 , 	- 0," 	1,694 "," 	3,493 "," 	3,969 "," 	3,115 "," 	3,715 "," 	3,142 "," 	7,433 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	663 ," 	3,335 "," 	3,998 ", 	83 , 	980 ," 	1,063 ", 	83 ," 	2,865 "," 	7,181 "," 	6,670 "," 	6,636 "," 	6,166 "," 	5,680 "," 	10,148 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	568 ," 	2,426 "," 	2,994 ", 	91 , 	623 , 	714 , 	609 ," 	2,169 "," 	5,187 "," 	4,195 "," 	4,715 "," 	3,973 "," 	2,450 "," 	7,139 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	559 ," 	3,129 "," 	3,688 ", 	73 , 	979 ," 	1,052 ", 	392 ," 	2,147 "," 	5,563 "," 	5,252 "," 	5,093 "," 	4,736 "," 	4,296 "," 	8,277 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	313 ," 	1,456 "," 	1,769 ", 	48 , 	258 , 	306 , 	63 ," 	1,870 "," 	2,728 "," 	2,536 "," 	2,647 "," 	2,491 "," 	1,940 "," 	4,559 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	329 ," 	1,683 "," 	2,012 ", 	59 , 	336 , 	395 , 	- 0," 	1,991 "," 	3,997 "," 	3,478 "," 	3,541 "," 	3,057 "," 	2,002 "," 	5,444 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	335 ," 	1,256 "," 	1,591 ", 	53 , 	207 , 	260 , 	- 0," 	1,825 "," 	6,209 "," 	5,222 "," 	3,730 "," 	3,071 "," 	2,899 "," 	6,958 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	480 ," 	1,856 "," 	2,336 ", 	75 , 	690 , 	765 , 	3 ," 	2,583 "," 	7,840 "," 	7,047 "," 	5,336 "," 	4,379 "," 	3,790 "," 	9,029 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	400 ," 	2,246 "," 	2,646 ", 	55 , 	645 , 	700 , 	20 ," 	1,797 "," 	4,775 "," 	4,042 "," 	4,413 "," 	3,771 "," 	3,382 "," 	8,020 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	345 ," 	1,243 "," 	1,588 ", 	37 , 	255 , 	292 , 	10 ," 	1,567 "," 	3,993 "," 	2,995 "," 	3,454 "," 	2,653 "," 	3,070 "," 	6,238 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	671 ," 	2,926 "," 	3,597 ", 	70 , 	741 , 	811 , 	166 ," 	3,179 "," 	6,988 "," 	6,210 "," 	5,975 "," 	5,617 "," 	4,592 "," 	9,543 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	457 ," 	1,905 "," 	2,362 ", 	53 , 	453 , 	506 , 	13 ," 	1,923 "," 	5,255 "," 	4,484 "," 	4,856 "," 	4,267 "," 	2,477 "," 	6,811 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	623 ," 	2,338 "," 	2,961 ", 	78 , 	746 , 	824 , 	589 ," 	2,457 "," 	6,714 "," 	5,194 "," 	6,487 "," 	5,034 "," 	3,276 "," 	7,530 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	496 ," 	1,906 "," 	2,402 ", 	87 , 	763 , 	850 , 	303 ," 	1,676 "," 	3,583 "," 	3,412 "," 	3,470 "," 	3,341 "," 	1,759 "," 	4,880 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	345 ," 	1,694 "," 	2,039 ", 	59 , 	462 , 	521 , 	3 ," 	1,569 "," 	4,507 "," 	4,162 "," 	4,229 "," 	3,890 "," 	3,453 "," 	6,686 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	385 ," 	1,963 "," 	2,348 ", 	52 , 	568 , 	620 , 	2 ," 	1,668 "," 	4,407 "," 	3,756 "," 	3,997 "," 	3,436 "," 	2,644 "," 	6,494 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	641 ," 	3,157 "," 	3,798 ", 	59 , 	837 , 	896 , 	52 ," 	3,035 "," 	6,531 "," 	4,998 "," 	5,932 "," 	4,608 "," 	4,451 "," 	9,668 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	297 ," 	1,155 "," 	1,452 ", 	58 , 	303 , 	361 , 	2 ," 	1,142 "," 	4,179 "," 	2,898 "," 	3,969 "," 	2,740 "," 	2,432 "," 	5,123 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	377 ," 	1,644 "," 	2,021 ", 	47 , 	395 , 	442 , 	6 ," 	1,720 "," 	4,895 "," 	3,546 "," 	4,682 "," 	3,360 "," 	3,069 "," 	6,437 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	597 ," 	2,298 "," 	2,895 ", 	96 , 	629 , 	725 , 	8 ," 	2,903 "," 	6,414 "," 	5,002 "," 	5,247 "," 	4,699 "," 	4,266 "," 	10,516 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	524 ," 	2,060 "," 	2,584 ", 	94 , 	668 , 	762 , 	100 ," 	2,826 "," 	5,508 "," 	4,233 "," 	4,587 "," 	3,989 "," 	4,118 "," 	9,467 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	485 ," 	2,503 "," 	2,988 ", 	78 , 	701 , 	779 , 	101 ," 	2,128 "," 	5,161 "," 	4,115 "," 	4,839 "," 	4,017 "," 	5,296 "," 	9,857 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	560 ," 	1,733 "," 	2,293 ", 	54 , 	328 , 	382 , 	46 ," 	1,999 "," 	8,884 "," 	5,965 "," 	7,646 "," 	5,526 "," 	3,011 "," 	9,432 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	319 ," 	1,146 "," 	1,465 ", 	37 , 	284 , 	321 , 	23 ," 	1,114 "," 	3,746 "," 	3,192 "," 	3,238 "," 	2,937 "," 	1,586 "," 	4,600 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	741 ," 	2,822 "," 	3,563 ", 	65 , 	500 , 	565 , 	124 ," 	2,580 "," 	8,174 "," 	6,141 "," 	7,395 "," 	5,901 "," 	2,317 "," 	9,768 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	389 ," 	2,259 "," 	2,648 ", 	72 , 	535 , 	607 , 	91 ," 	2,224 "," 	5,466 "," 	4,572 "," 	5,242 "," 	4,413 "," 	2,570 "," 	7,300 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	454 ," 	2,118 "," 	2,572 ", 	60 , 	733 , 	793 , 	13 ," 	2,343 "," 	5,280 "," 	3,914 "," 	4,611 "," 	3,652 "," 	2,911 "," 	6,681 "
,2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	482 ," 	2,207 "," 	2,689 ", 	63 , 	579 , 	642 , 	- 0," 	1,460 "," 	2,826 "," 	2,934 "," 	2,571 "," 	2,844 "," 	2,442 "," 	5,751 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	927 ," 	1,919 "," 	2,846 ", 	303 , 	407 , 	710 , 	1 ," 	2,151 "," 	5,138 "," 	4,539 "," 	4,909 "," 	4,340 "," 	2,652 "," 	6,985 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	775 ," 	2,039 "," 	2,814 ", 	300 , 	233 , 	533 , 	2 ," 	2,301 "," 	5,285 "," 	4,380 "," 	4,996 "," 	4,120 "," 	3,279 "," 	6,122 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,561 "," 	9,421 "," 	11,982 ", 	328 ," 	2,761 "," 	3,089 ", 	203 ," 	8,436 "," 	18,272 "," 	16,415 "," 	17,051 "," 	15,385 "," 	8,695 "," 	27,263 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,955 "," 	7,338 "," 	9,293 ", 	240 ," 	1,789 "," 	2,029 ", 	975 ," 	6,833 "," 	13,027 "," 	11,453 "," 	12,848 "," 	11,254 "," 	8,295 "," 	20,239 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,018 "," 	2,827 "," 	3,845 ", 	244 , 	879 ," 	1,123 ", 	3 ," 	2,734 "," 	7,165 "," 	6,278 "," 	7,072 "," 	6,203 "," 	3,547 "," 	9,083 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	511 ," 	1,490 "," 	2,001 ", 	102 , 	615 , 	717 , 	- 0," 	1,470 "," 	3,854 "," 	3,235 "," 	3,853 "," 	3,233 "," 	1,768 "," 	4,844 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,538 "," 	4,694 "," 	6,232 ", 	286 ," 	1,374 "," 	1,660 ", 	1 ," 	5,304 "," 	11,853 "," 	9,961 "," 	10,971 "," 	9,306 "," 	8,679 "," 	16,865 "
,2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,899 "," 	7,204 "," 	10,103 ", 	442 ," 	3,116 "," 	3,558 ", 	3 ," 	7,124 "," 	12,619 "," 	10,994 "," 	12,492 "," 	10,917 "," 	8,659 "," 	19,971 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	540 ," 	1,908 "," 	2,448 ", 	61 , 	573 , 	634 , 	135 ," 	2,278 "," 	3,586 "," 	3,284 "," 	3,493 "," 	3,117 "," 	1,836 "," 	5,516 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	436 ," 	1,637 "," 	2,073 ", 	64 , 	278 , 	342 , 	301 ," 	1,949 "," 	3,969 "," 	3,582 "," 	3,667 "," 	3,408 "," 	1,554 "," 	5,423 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	509 ," 	1,973 "," 	2,482 ", 	95 , 	600 , 	695 , 	784 ," 	2,331 "," 	4,163 "," 	3,633 "," 	4,099 "," 	3,464 "," 	2,711 "," 	5,707 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,865 "," 	11,412 "," 	14,277 ", 	357 ," 	2,764 "," 	3,121 "," 	3,170 "," 	10,244 "," 	19,581 "," 	17,864 "," 	19,247 "," 	17,635 "," 	11,921 "," 	29,583 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	922 ," 	4,099 "," 	5,021 ", 	106 ," 	1,129 "," 	1,235 ", 	38 ," 	3,804 "," 	7,968 "," 	6,738 "," 	7,660 "," 	6,375 "," 	2,585 "," 	10,695 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,034 "," 	3,538 "," 	4,572 ", 	84 , 	631 , 	715 , 	17 ," 	4,157 "," 	7,856 "," 	7,062 "," 	7,696 "," 	6,919 "," 	4,244 "," 	11,223 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	930 ," 	2,750 "," 	3,680 ", 	136 , 	435 , 	571 , 	95 ," 	2,458 "," 	6,772 "," 	6,238 "," 	6,045 "," 	5,515 "," 	3,372 "," 	12,258 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	727 ," 	2,625 "," 	3,352 ", 	106 , 	391 , 	497 , 	23 ," 	2,801 "," 	6,241 "," 	4,710 "," 	5,995 "," 	4,179 "," 	2,954 "," 	7,266 "
,2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	276 , 	716 , 	992 , 	22 , 	105 , 	127 , 	40 ," 	1,041 "," 	2,597 "," 	2,275 "," 	2,512 "," 	2,208 "," 	1,751 "," 	3,457 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	591 ," 	2,123 "," 	2,714 ", 	97 , 	822 , 	919 , 	1 ," 	1,563 "," 	3,964 "," 	2,913 "," 	3,799 "," 	2,850 "," 	1,975 "," 	5,065 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	598 ," 	2,376 "," 	2,974 ", 	114 , 	409 , 	523 , 	119 ," 	2,202 "," 	4,296 "," 	3,783 "," 	4,292 "," 	3,779 "," 	1,181 "," 	6,357 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	431 ," 	1,494 "," 	1,925 ", 	58 , 	367 , 	425 , 	3 ," 	1,363 "," 	3,542 "," 	3,031 "," 	3,450 "," 	2,943 "," 	2,571 "," 	5,315 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	409 ," 	1,827 "," 	2,236 ", 	41 , 	596 , 	637 , 	- 0," 	1,832 "," 	3,586 "," 	3,333 "," 	3,508 "," 	3,188 "," 	1,693 "," 	5,162 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	485 ," 	1,982 "," 	2,467 ", 	61 , 	666 , 	727 , 	- 0," 	1,519 "," 	3,720 "," 	3,026 "," 	3,651 "," 	2,996 "," 	1,747 "," 	5,002 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,260 "," 	6,088 "," 	7,348 ", 	187 ," 	2,619 "," 	2,806 ", 	6 ," 	4,531 "," 	8,537 "," 	7,733 "," 	7,939 "," 	7,169 "," 	4,701 "," 	12,374 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	984 ," 	3,611 "," 	4,595 ", 	167 ," 	1,323 "," 	1,490 ", 	- 0," 	3,483 "," 	7,137 "," 	5,850 "," 	6,604 "," 	5,455 "," 	3,574 "," 	10,212 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT, 	994 ," 	3,862 "," 	4,856 ", 	122 , 	887 ," 	1,009 ", 	14 ," 	3,506 "," 	7,637 "," 	6,839 "," 	7,594 "," 	6,801 "," 	5,002 "," 	11,337 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,416 "," 	5,530 "," 	6,946 ", 	180 ," 	1,340 "," 	1,520 ", 	2 ," 	4,910 "," 	8,357 "," 	7,174 "," 	8,339 "," 	7,160 "," 	4,217 "," 	12,552 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,186 "," 	4,741 "," 	5,927 ", 	153 ," 	1,667 "," 	1,820 ", 	2 ," 	3,756 "," 	7,436 "," 	6,499 "," 	7,327 "," 	6,476 "," 	3,412 "," 	10,448 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	835 ," 	3,887 "," 	4,722 ", 	144 ," 	1,927 "," 	2,071 ", 	3 ," 	3,546 "," 	5,459 "," 	4,439 "," 	5,442 "," 	4,436 "," 	3,898 "," 	9,632 "
,2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,550 "," 	6,097 "," 	7,647 ", 	294 ," 	2,055 "," 	2,349 ", 	520 ," 	4,188 "," 	9,163 "," 	9,171 "," 	9,105 "," 	9,098 "," 	4,879 "," 	14,610 "
