,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,NOVEMBER,,,,England," 	137,936 "," 	521,053 "," 	658,989 "," 	21,833 "," 	161,636 "," 	183,469 "," 	22,657 "," 	448,968 "," 	975,452 "," 	881,072 "," 	926,137 "," 	837,101 "," 	554,226 "," 	1,431,202 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	565 ," 	1,884 "," 	2,449 ", 	99 , 	413 , 	512 , 	514 ," 	2,773 "," 	5,726 "," 	5,226 "," 	4,723 "," 	4,115 "," 	4,080 "," 	8,078 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	867 ," 	3,348 "," 	4,215 ", 	170 ," 	1,242 "," 	1,412 ", 	65 ," 	2,613 "," 	4,443 "," 	5,600 "," 	3,904 "," 	4,911 "," 	1,263 "," 	8,410 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	840 ," 	3,408 "," 	4,248 ", 	120 , 	723 , 	843 , 	514 ," 	3,115 "," 	7,149 "," 	5,949 "," 	6,671 "," 	5,305 "," 	3,171 "," 	8,837 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,060 "," 	4,229 "," 	5,289 ", 	207 ," 	1,605 "," 	1,812 ", 	185 ," 	4,276 "," 	9,546 "," 	8,129 "," 	8,650 "," 	7,432 "," 	5,806 "," 	12,861 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	625 ," 	1,920 "," 	2,545 ", 	220 , 	653 , 	873 , 	34 ," 	1,677 "," 	3,384 "," 	3,150 "," 	3,077 "," 	2,568 "," 	1,104 "," 	3,898 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	708 ," 	2,416 "," 	3,124 ", 	233 , 	773 ," 	1,006 ", 	38 ," 	2,618 "," 	4,788 "," 	4,564 "," 	4,085 "," 	3,296 "," 	1,379 "," 	5,043 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,593 "," 	6,956 "," 	8,549 ", 	202 ," 	2,552 "," 	2,754 ", 	412 ," 	4,581 "," 	12,644 "," 	10,835 "," 	12,068 "," 	10,358 "," 	8,268 "," 	16,342 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,441 "," 	5,150 "," 	6,591 ", 	194 ," 	1,789 "," 	1,983 "," 	1,408 "," 	4,096 "," 	9,053 "," 	7,875 "," 	8,217 "," 	7,491 "," 	4,272 "," 	13,096 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,338 "," 	5,021 "," 	6,359 ", 	159 ," 	1,607 "," 	1,766 ", 	33 ," 	3,958 "," 	8,877 "," 	8,229 "," 	8,581 "," 	7,994 "," 	6,228 "," 	13,195 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	561 ," 	1,904 "," 	2,465 ", 	95 , 	913 ," 	1,008 ", 	23 ," 	2,003 "," 	4,382 "," 	4,097 "," 	4,069 "," 	3,326 "," 	2,554 "," 	5,669 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	538 ," 	1,333 "," 	1,871 ", 	128 , 	250 , 	378 , 	5 ," 	1,701 "," 	3,431 "," 	3,478 "," 	3,312 "," 	3,180 "," 	1,627 "," 	5,623 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	909 ," 	3,523 "," 	4,432 ", 	189 ," 	1,400 "," 	1,589 ", 	- 0," 	2,426 "," 	7,288 "," 	6,294 "," 	7,212 "," 	6,270 "," 	3,240 "," 	9,245 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,040 "," 	3,777 "," 	4,817 ", 	165 , 	689 , 	854 , 	49 ," 	2,793 "," 	6,944 "," 	7,055 "," 	6,728 "," 	6,841 "," 	3,002 "," 	10,670 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	428 ," 	1,425 "," 	1,853 ", 	59 , 	429 , 	488 , 	13 ," 	1,332 "," 	3,545 "," 	2,787 "," 	3,233 "," 	2,488 "," 	2,053 "," 	4,093 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,427 "," 	5,829 "," 	7,256 ", 	224 ," 	2,163 "," 	2,387 "," 	1,363 "," 	4,169 "," 	9,654 "," 	8,586 "," 	9,354 "," 	8,258 "," 	7,615 "," 	13,550 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,900 "," 	9,267 "," 	11,167 ", 	300 ," 	3,287 "," 	3,587 ", 	39 ," 	6,076 "," 	13,510 "," 	12,912 "," 	13,197 "," 	12,602 "," 	5,777 "," 	20,346 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	671 ," 	2,501 "," 	3,172 ", 	124 , 	387 , 	511 , 	1 ," 	1,904 "," 	4,842 "," 	5,111 "," 	4,825 "," 	4,988 "," 	1,382 "," 	6,866 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,384 "," 	6,062 "," 	7,446 ", 	177 ," 	2,347 "," 	2,524 ", 	200 ," 	4,152 "," 	11,263 "," 	10,592 "," 	11,075 "," 	10,401 "," 	6,844 "," 	17,556 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	672 ," 	2,746 "," 	3,418 ", 	76 ," 	1,023 "," 	1,099 ", 	368 ," 	2,108 "," 	4,957 "," 	4,407 "," 	4,629 "," 	4,122 "," 	2,863 "," 	6,500 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	887 ," 	2,526 "," 	3,413 ", 	63 , 	339 , 	402 , 	1 ," 	2,809 "," 	4,613 "," 	5,310 "," 	4,288 "," 	5,221 "," 	1,404 "," 	7,854 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	840 ," 	3,047 "," 	3,887 ", 	66 ," 	1,217 "," 	1,283 ", 	1 ," 	2,467 "," 	6,605 "," 	6,389 "," 	6,117 "," 	6,159 "," 	3,918 "," 	9,767 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	815 ," 	3,535 "," 	4,350 ", 	127 ," 	1,232 "," 	1,359 ", 	1 ," 	2,695 "," 	7,336 "," 	6,768 "," 	6,945 "," 	6,555 "," 	4,748 "," 	11,020 "
,2011-12,NOVEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,814 "," 	9,033 "," 	11,847 ", 	478 ," 	2,519 "," 	2,997 ", 	299 ," 	7,934 "," 	20,305 "," 	17,923 "," 	19,805 "," 	17,397 "," 	11,686 "," 	28,600 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	484 ," 	2,190 "," 	2,674 ", 	90 , 	436 , 	526 , 	2 ," 	2,129 "," 	3,797 "," 	3,712 "," 	3,745 "," 	3,667 "," 	2,276 "," 	6,291 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	368 ," 	1,155 "," 	1,523 ", 	36 , 	249 , 	285 , 	33 ," 	1,085 "," 	3,672 "," 	2,990 "," 	3,175 "," 	2,606 "," 	1,527 "," 	4,245 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	809 ," 	3,769 "," 	4,578 ", 	97 ," 	1,179 "," 	1,276 ", 	1 ," 	2,190 "," 	6,904 "," 	5,812 "," 	6,441 "," 	5,766 "," 	4,401 "," 	9,592 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	581 ," 	2,373 "," 	2,954 ", 	72 , 	685 , 	757 , 	1 ," 	1,710 "," 	3,851 "," 	4,053 "," 	3,486 "," 	3,792 "," 	2,840 "," 	7,248 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	781 ," 	3,326 "," 	4,107 ", 	100 , 	987 ," 	1,087 ", 	117 ," 	2,793 "," 	8,444 "," 	6,555 "," 	7,911 "," 	6,039 "," 	6,017 "," 	10,371 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	602 ," 	2,480 "," 	3,082 ", 	104 , 	633 , 	737 , 	608 ," 	2,287 "," 	5,336 "," 	4,516 "," 	4,892 "," 	4,283 "," 	2,620 "," 	7,577 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	634 ," 	3,252 "," 	3,886 ", 	79 , 	989 ," 	1,068 ", 	361 ," 	2,013 "," 	6,353 "," 	5,838 "," 	5,848 "," 	5,315 "," 	4,643 "," 	9,017 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	343 ," 	1,283 "," 	1,626 ", 	62 , 	272 , 	334 , 	- 0," 	1,757 "," 	2,748 "," 	2,496 "," 	2,664 "," 	2,439 "," 	1,960 "," 	4,392 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	395 ," 	1,689 "," 	2,084 ", 	67 , 	333 , 	400 , 	1 ," 	1,903 "," 	3,942 "," 	3,806 "," 	3,523 "," 	3,287 "," 	2,121 "," 	5,512 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	452 ," 	1,345 "," 	1,797 ", 	39 , 	237 , 	276 , 	1 ," 	1,813 "," 	5,830 "," 	5,145 "," 	3,753 "," 	3,327 "," 	3,045 "," 	7,177 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	510 ," 	1,880 "," 	2,390 ", 	80 , 	714 , 	794 , 	- 0," 	2,632 "," 	8,232 "," 	7,725 "," 	5,541 "," 	4,871 "," 	3,944 "," 	9,651 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	455 ," 	2,337 "," 	2,792 ", 	61 , 	677 , 	738 , 	23 ," 	1,763 "," 	4,795 "," 	4,425 "," 	4,456 "," 	4,145 "," 	3,406 "," 	8,423 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	395 ," 	1,344 "," 	1,739 ", 	31 , 	241 , 	272 , 	10 ," 	1,471 "," 	4,100 "," 	3,146 "," 	3,555 "," 	2,834 "," 	3,499 "," 	6,522 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	768 ," 	2,976 "," 	3,744 ", 	69 , 	712 , 	781 , 	156 ," 	3,063 "," 	7,689 "," 	6,747 "," 	6,772 "," 	6,132 "," 	4,833 "," 	10,216 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	499 ," 	1,866 "," 	2,365 ", 	78 , 	475 , 	553 , 	14 ," 	1,812 "," 	5,628 "," 	4,542 "," 	5,283 "," 	4,258 "," 	2,602 "," 	6,822 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	732 ," 	2,548 "," 	3,280 ", 	83 , 	776 , 	859 , 	688 ," 	2,423 "," 	7,226 "," 	6,017 "," 	6,970 "," 	5,859 "," 	3,390 "," 	8,460 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	482 ," 	1,966 "," 	2,448 ", 	72 , 	828 , 	900 , 	271 ," 	1,625 "," 	4,401 "," 	4,035 "," 	4,302 "," 	3,946 "," 	1,964 "," 	5,496 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	412 ," 	1,831 "," 	2,243 ", 	55 , 	475 , 	530 , 	1 ," 	1,572 "," 	4,874 "," 	4,282 "," 	4,566 "," 	4,009 "," 	3,340 "," 	7,468 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	418 ," 	2,073 "," 	2,491 ", 	50 , 	599 , 	649 , 	- 0," 	1,650 "," 	4,453 "," 	4,014 "," 	4,066 "," 	3,688 "," 	2,398 "," 	6,884 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	826 ," 	3,480 "," 	4,306 ", 	112 , 	848 , 	960 , 	63 ," 	3,035 "," 	6,526 "," 	5,169 "," 	5,937 "," 	4,819 "," 	4,327 "," 	9,758 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	310 ," 	1,204 "," 	1,514 ", 	52 , 	275 , 	327 , 	2 ," 	1,155 "," 	4,512 "," 	3,236 "," 	4,257 "," 	3,038 "," 	2,452 "," 	5,494 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	447 ," 	1,617 "," 	2,064 ", 	54 , 	374 , 	428 , 	4 ," 	1,700 "," 	5,451 "," 	4,049 "," 	5,223 "," 	3,843 "," 	3,198 "," 	6,749 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	673 ," 	2,473 "," 	3,146 ", 	133 , 	685 , 	818 , 	8 ," 	2,869 "," 	6,143 "," 	5,573 "," 	5,042 "," 	5,278 "," 	4,247 "," 	11,065 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	564 ," 	2,223 "," 	2,787 ", 	99 , 	699 , 	798 , 	98 ," 	2,714 "," 	5,232 "," 	4,787 "," 	4,339 "," 	4,516 "," 	4,075 "," 	9,900 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	608 ," 	2,678 "," 	3,286 ", 	99 , 	716 , 	815 , 	99 ," 	2,113 "," 	4,970 "," 	4,665 "," 	4,654 "," 	4,550 "," 	5,115 "," 	10,171 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	643 ," 	2,059 "," 	2,702 ", 	67 , 	389 , 	456 , 	68 ," 	2,028 "," 	9,273 "," 	6,566 "," 	7,807 "," 	6,106 "," 	3,086 "," 	10,170 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	396 ," 	1,157 "," 	1,553 ", 	37 , 	274 , 	311 , 	33 ," 	1,103 "," 	4,003 "," 	3,406 "," 	3,507 "," 	3,094 "," 	1,703 "," 	4,829 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	838 ," 	2,911 "," 	3,749 ", 	76 , 	525 , 	601 , 	140 ," 	2,605 "," 	8,346 "," 	6,397 "," 	7,504 "," 	6,116 "," 	2,265 "," 	10,268 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	485 ," 	1,952 "," 	2,437 ", 	97 , 	493 , 	590 , 	- 0," 	2,326 "," 	5,400 "," 	4,602 "," 	5,183 "," 	4,465 "," 	2,474 "," 	7,191 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	514 ," 	2,232 "," 	2,746 ", 	110 , 	734 , 	844 , 	3 ," 	2,355 "," 	5,410 "," 	4,428 "," 	4,766 "," 	4,166 "," 	2,899 "," 	7,149 "
,2011-12,NOVEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	637 ," 	2,272 "," 	2,909 ", 	74 , 	593 , 	667 , 	- 0," 	1,586 "," 	3,187 "," 	3,225 "," 	2,960 "," 	3,121 "," 	2,615 "," 	5,964 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	893 ," 	2,011 "," 	2,904 ", 	292 , 	465 , 	757 , 	1 ," 	2,113 "," 	5,131 "," 	4,840 "," 	4,948 "," 	4,661 "," 	2,911 "," 	7,478 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	797 ," 	2,200 "," 	2,997 ", 	313 , 	228 , 	541 , 	6 ," 	2,255 "," 	5,810 "," 	4,822 "," 	5,589 "," 	4,630 "," 	3,415 "," 	7,022 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,757 "," 	9,815 "," 	12,572 ", 	330 ," 	2,858 "," 	3,188 ", 	223 ," 	7,858 "," 	18,637 "," 	16,921 "," 	17,424 "," 	15,779 "," 	8,569 "," 	27,632 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,228 "," 	7,499 "," 	9,727 ", 	292 ," 	1,855 "," 	2,147 "," 	1,170 "," 	6,541 "," 	13,794 "," 	12,094 "," 	13,593 "," 	11,842 "," 	8,744 "," 	21,242 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,110 "," 	2,909 "," 	4,019 ", 	259 , 	937 ," 	1,196 ", 	- 0," 	2,716 "," 	7,585 "," 	6,889 "," 	7,500 "," 	6,813 "," 	3,545 "," 	9,646 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	522 ," 	1,465 "," 	1,987 ", 	77 , 	588 , 	665 , 	- 0," 	1,430 "," 	3,900 "," 	3,506 "," 	3,896 "," 	3,503 "," 	1,793 "," 	5,090 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,694 "," 	4,622 "," 	6,316 ", 	295 ," 	1,344 "," 	1,639 ", 	3 ," 	5,227 "," 	12,063 "," 	10,879 "," 	11,188 "," 	10,167 "," 	8,524 "," 	17,969 "
,2011-12,NOVEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,165 "," 	8,253 "," 	10,418 ", 	421 ," 	3,211 "," 	3,632 ", 	6 ," 	6,510 "," 	12,927 "," 	11,995 "," 	12,829 "," 	11,781 "," 	8,705 "," 	19,781 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	551 ," 	1,939 "," 	2,490 ", 	67 , 	534 , 	601 , 	135 ," 	2,248 "," 	3,709 "," 	3,680 "," 	3,470 "," 	3,400 "," 	1,878 "," 	5,634 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	495 ," 	1,764 "," 	2,259 ", 	62 , 	255 , 	317 , 	308 ," 	1,976 "," 	4,139 "," 	3,727 "," 	3,971 "," 	3,530 "," 	1,492 "," 	5,614 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	610 ," 	2,190 "," 	2,800 ", 	105 , 	611 , 	716 , 	984 ," 	2,369 "," 	4,076 "," 	3,766 "," 	4,036 "," 	3,550 "," 	2,753 "," 	6,029 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,184 "," 	12,218 "," 	15,402 ", 	395 ," 	2,875 "," 	3,270 "," 	3,363 "," 	10,182 "," 	20,344 "," 	19,243 "," 	20,032 "," 	18,892 "," 	12,281 "," 	32,320 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,029 "," 	4,422 "," 	5,451 ", 	118 ," 	1,228 "," 	1,346 ", 	51 ," 	3,695 "," 	8,080 "," 	7,356 "," 	7,811 "," 	7,048 "," 	2,741 "," 	11,594 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,242 "," 	4,999 "," 	6,241 ", 	178 ," 	1,546 "," 	1,724 ", 	104 ," 	4,057 "," 	7,901 "," 	7,753 "," 	7,715 "," 	7,555 "," 	4,182 "," 	11,682 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	990 ," 	2,881 "," 	3,871 ", 	124 , 	544 , 	668 , 	102 ," 	2,607 "," 	6,906 "," 	6,778 "," 	6,115 "," 	6,013 "," 	3,763 "," 	12,868 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	770 ," 	2,799 "," 	3,569 ", 	131 , 	392 , 	523 , 	44 ," 	3,105 "," 	6,689 "," 	5,286 "," 	6,430 "," 	4,763 "," 	2,729 "," 	7,806 "
,2011-12,NOVEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	333 , 	742 ," 	1,075 ", 	39 , 	108 , 	147 , 	27 ," 	1,120 "," 	2,678 "," 	2,605 "," 	2,588 "," 	2,384 "," 	1,886 "," 	3,757 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	597 ," 	2,321 "," 	2,918 ", 	88 ," 	1,143 "," 	1,231 ", 	- 0," 	1,573 "," 	3,885 "," 	3,533 "," 	3,700 "," 	3,379 "," 	1,929 "," 	5,467 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	647 ," 	2,195 "," 	2,842 ", 	117 , 	359 , 	476 , 	111 ," 	2,118 "," 	4,582 "," 	3,914 "," 	4,581 "," 	3,913 "," 	1,190 "," 	6,461 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	424 ," 	1,532 "," 	1,956 ", 	45 , 	407 , 	452 , 	2 ," 	1,396 "," 	3,555 "," 	3,316 "," 	3,456 "," 	3,235 "," 	2,636 "," 	5,733 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	503 ," 	2,008 "," 	2,511 ", 	68 , 	751 , 	819 , 	- 0," 	1,682 "," 	3,679 "," 	3,717 "," 	3,589 "," 	3,553 "," 	1,575 "," 	5,110 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	549 ," 	2,205 "," 	2,754 ", 	68 , 	756 , 	824 , 	1 ," 	1,401 "," 	3,866 "," 	3,522 "," 	3,802 "," 	3,463 "," 	1,865 "," 	5,666 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,371 "," 	6,481 "," 	7,852 ", 	210 ," 	2,772 "," 	2,982 ", 	7 ," 	4,400 "," 	8,639 "," 	8,763 "," 	8,105 "," 	8,226 "," 	4,815 "," 	13,758 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,023 "," 	3,699 "," 	4,722 ", 	179 ," 	1,575 "," 	1,754 ", 	- 0," 	3,335 "," 	7,336 "," 	6,930 "," 	6,795 "," 	6,404 "," 	3,686 "," 	11,281 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,216 "," 	3,966 "," 	5,182 ", 	129 , 	878 ," 	1,007 ", 	24 ," 	3,324 "," 	7,901 "," 	7,760 "," 	7,869 "," 	7,711 "," 	4,971 "," 	12,639 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,484 "," 	5,851 "," 	7,335 ", 	185 ," 	1,397 "," 	1,582 ", 	1 ," 	4,702 "," 	8,448 "," 	8,128 "," 	8,434 "," 	8,115 "," 	4,468 "," 	13,907 "
,2011-12,NOVEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,264 "," 	5,145 "," 	6,409 ", 	150 ," 	1,744 "," 	1,894 ", 	1 ," 	3,526 "," 	7,659 "," 	6,798 "," 	7,623 "," 	6,774 "," 	3,518 "," 	10,964 "
