,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,SEPTEMBER,,,,England," 	136,743 "," 	480,977 "," 	617,718 "," 	21,884 "," 	147,774 "," 	169,658 "," 	23,829 "," 	449,293 "," 	1,001,854 "," 	873,209 "," 	947,148 "," 	827,326 "," 	525,634 "," 	1,409,958 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	560 ," 	2,539 "," 	3,099 ", 	91 , 	976 ," 	1,067 ", 	10 ," 	2,374 "," 	5,175 "," 	5,280 "," 	4,773 "," 	4,432 "," 	2,401 "," 	7,462 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	541 ," 	1,788 "," 	2,329 ", 	98 , 	371 , 	469 , 	470 ," 	2,701 "," 	5,818 "," 	5,336 "," 	4,868 "," 	4,271 "," 	3,570 "," 	8,509 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	807 ," 	3,416 "," 	4,223 ", 	121 ," 	1,240 "," 	1,361 ", 	67 ," 	2,639 "," 	4,941 "," 	5,816 "," 	4,229 "," 	4,908 "," 	1,451 "," 	8,619 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	858 ," 	3,169 "," 	4,027 ", 	142 , 	633 , 	775 , 	508 ," 	3,196 "," 	7,633 "," 	6,105 "," 	7,095 "," 	5,445 "," 	2,967 "," 	9,064 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	951 ," 	4,036 "," 	4,987 ", 	153 ," 	1,531 "," 	1,684 ", 	251 ," 	3,969 "," 	11,591 "," 	10,106 "," 	10,734 "," 	9,101 "," 	4,680 "," 	14,836 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	556 ," 	2,077 "," 	2,633 ", 	196 , 	648 , 	844 , 	50 ," 	1,745 "," 	3,717 "," 	3,877 "," 	3,295 "," 	3,156 "," 	1,131 "," 	4,539 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	616 ," 	2,585 "," 	3,201 ", 	152 , 	839 , 	991 , 	26 ," 	2,704 "," 	5,381 "," 	5,719 "," 	4,582 "," 	4,280 "," 	1,319 "," 	6,050 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,536 "," 	6,246 "," 	7,782 ", 	181 ," 	2,228 "," 	2,409 "," 	1,076 "," 	4,635 "," 	13,038 "," 	10,624 "," 	12,261 "," 	9,798 "," 	7,957 "," 	15,715 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,469 "," 	4,748 "," 	6,217 ", 	182 ," 	1,481 "," 	1,663 "," 	1,168 "," 	4,163 "," 	10,342 "," 	8,999 "," 	9,151 "," 	8,640 "," 	4,404 "," 	13,631 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,464 "," 	4,899 "," 	6,363 ", 	207 ," 	1,684 "," 	1,891 ", 	39 ," 	3,746 "," 	9,830 "," 	8,408 "," 	9,535 "," 	8,188 "," 	6,165 "," 	13,333 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	526 ," 	1,959 "," 	2,485 ", 	86 , 	830 , 	916 , 	18 ," 	1,628 "," 	5,026 "," 	4,615 "," 	4,684 "," 	4,312 "," 	2,096 "," 	6,648 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	515 ," 	1,167 "," 	1,682 ", 	82 , 	265 , 	347 , 	1 ," 	1,485 "," 	3,158 "," 	3,255 "," 	2,717 "," 	2,735 "," 	1,425 "," 	5,022 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	929 ," 	3,491 "," 	4,420 ", 	132 ," 	1,261 "," 	1,393 ", 	2 ," 	2,722 "," 	7,551 "," 	5,578 "," 	7,417 "," 	5,561 "," 	3,027 "," 	8,381 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,046 "," 	3,322 "," 	4,368 ", 	157 , 	596 , 	753 , 	54 ," 	2,924 "," 	8,796 "," 	7,319 "," 	8,486 "," 	6,986 "," 	3,561 "," 	10,649 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	483 ," 	1,270 "," 	1,753 ", 	62 , 	348 , 	410 , 	7 ," 	1,212 "," 	2,647 "," 	2,307 "," 	2,467 "," 	2,209 "," 	1,666 "," 	3,705 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,434 "," 	5,742 "," 	7,176 ", 	231 ," 	1,964 "," 	2,195 "," 	1,146 "," 	3,891 "," 	9,452 "," 	7,954 "," 	9,183 "," 	7,685 "," 	6,129 "," 	12,605 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,089 "," 	8,032 "," 	10,121 ", 	301 ," 	2,735 "," 	3,036 ", 	37 ," 	6,001 "," 	13,572 "," 	12,896 "," 	13,193 "," 	12,599 "," 	5,878 "," 	19,902 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	707 ," 	2,346 "," 	3,053 ", 	80 , 	425 , 	505 , 	2 ," 	1,804 "," 	5,700 "," 	4,568 "," 	5,681 "," 	4,251 "," 	1,551 "," 	6,110 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,490 "," 	5,205 "," 	6,695 ", 	195 ," 	1,745 "," 	1,940 ", 	242 ," 	4,723 "," 	11,845 "," 	10,055 "," 	11,366 "," 	9,735 "," 	4,748 "," 	16,971 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	724 ," 	2,798 "," 	3,522 ", 	63 ," 	1,043 "," 	1,106 ", 	340 ," 	2,151 "," 	4,874 "," 	4,423 "," 	4,595 "," 	4,245 "," 	2,735 "," 	6,622 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	726 ," 	1,961 "," 	2,687 ", 	59 , 	365 , 	424 , 	1 ," 	2,163 "," 	4,457 "," 	4,422 "," 	4,304 "," 	4,248 "," 	1,971 "," 	6,476 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	822 ," 	2,877 "," 	3,699 ", 	59 , 	939 , 	998 , 	1 ," 	2,421 "," 	6,245 "," 	5,208 "," 	6,151 "," 	5,115 "," 	4,435 "," 	8,647 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	790 ," 	3,386 "," 	4,176 ", 	119 ," 	1,116 "," 	1,235 ", 	- 0," 	2,671 "," 	8,043 "," 	6,860 "," 	7,843 "," 	6,834 "," 	4,589 "," 	10,890 "
,2010-11,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,896 "," 	8,823 "," 	11,719 ", 	385 ," 	2,125 "," 	2,510 ", 	269 ," 	7,428 "," 	21,829 "," 	18,558 "," 	20,623 "," 	17,646 "," 	11,638 "," 	28,582 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	526 ," 	2,165 "," 	2,691 ", 	73 , 	389 , 	462 , 	- 0," 	2,058 "," 	3,699 "," 	3,388 "," 	3,671 "," 	3,373 "," 	2,124 "," 	6,171 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	394 ," 	1,123 "," 	1,517 ", 	52 , 	351 , 	403 , 	54 ," 	1,050 "," 	3,233 "," 	2,677 "," 	2,764 "," 	2,305 "," 	1,283 "," 	3,878 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	804 ," 	3,465 "," 	4,269 ", 	132 , 	791 , 	923 , 	4 ," 	2,216 "," 	5,727 "," 	5,998 "," 	5,336 "," 	5,975 "," 	3,836 "," 	9,652 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	497 ," 	2,171 "," 	2,668 ", 	89 , 	654 , 	743 , 	- 0," 	1,804 "," 	4,139 "," 	4,095 "," 	3,742 "," 	3,880 "," 	3,073 "," 	7,423 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	814 ," 	3,041 "," 	3,855 ", 	112 , 	629 , 	741 , 	126 ," 	2,862 "," 	8,765 "," 	7,048 "," 	8,294 "," 	6,263 "," 	5,273 "," 	10,771 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	586 ," 	2,154 "," 	2,740 ", 	78 , 	558 , 	636 , 	591 ," 	2,159 "," 	5,561 "," 	4,398 "," 	5,137 "," 	4,159 "," 	2,574 "," 	7,246 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	685 ," 	2,868 "," 	3,553 ", 	89 , 	788 , 	877 , 	394 ," 	2,090 "," 	6,015 "," 	5,564 "," 	5,633 "," 	4,840 "," 	4,071 "," 	8,201 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	327 ," 	1,318 "," 	1,645 ", 	49 , 	237 , 	286 , 	2 ," 	1,880 "," 	2,991 "," 	2,533 "," 	2,952 "," 	2,508 "," 	1,812 "," 	4,567 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	422 ," 	1,588 "," 	2,010 ", 	104 , 	305 , 	409 , 	3 ," 	1,898 "," 	3,736 "," 	3,400 "," 	3,576 "," 	3,169 "," 	2,191 "," 	5,150 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	412 ," 	1,388 "," 	1,800 ", 	57 , 	257 , 	314 , 	- 0," 	1,882 "," 	4,673 "," 	4,000 "," 	3,678 "," 	3,126 "," 	2,719 "," 	6,547 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	530 ," 	1,841 "," 	2,371 ", 	77 , 	741 , 	818 , 	1 ," 	2,746 "," 	7,661 "," 	6,590 "," 	5,223 "," 	4,247 "," 	3,362 "," 	8,507 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	477 ," 	2,301 "," 	2,778 ", 	50 , 	665 , 	715 , 	30 ," 	1,785 "," 	5,131 "," 	4,697 "," 	4,760 "," 	4,345 "," 	3,476 "," 	8,113 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	416 ," 	1,151 "," 	1,567 ", 	43 , 	249 , 	292 , 	8 ," 	1,971 "," 	4,459 "," 	3,326 "," 	4,038 "," 	3,016 "," 	2,234 "," 	5,234 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	733 ," 	2,825 "," 	3,558 ", 	93 , 	799 , 	892 , 	139 ," 	3,195 "," 	7,800 "," 	6,393 "," 	6,825 "," 	5,707 "," 	4,484 "," 	9,310 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	502 ," 	1,782 "," 	2,284 ", 	70 , 	465 , 	535 , 	9 ," 	1,844 "," 	5,692 "," 	4,904 "," 	4,949 "," 	4,370 "," 	2,111 "," 	6,858 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	644 ," 	2,246 "," 	2,890 ", 	74 , 	695 , 	769 , 	695 ," 	2,469 "," 	6,722 "," 	5,329 "," 	6,271 "," 	5,118 "," 	3,520 "," 	7,785 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	462 ," 	1,713 "," 	2,175 ", 	91 , 	683 , 	774 , 	275 ," 	1,608 "," 	3,568 "," 	3,232 "," 	3,471 "," 	3,107 "," 	1,966 "," 	4,848 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	415 ," 	1,660 "," 	2,075 ", 	41 , 	450 , 	491 , 	3 ," 	1,543 "," 	5,000 "," 	4,199 "," 	4,690 "," 	3,910 "," 	3,347 "," 	7,169 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	433 ," 	1,799 "," 	2,232 ", 	49 , 	540 , 	589 , 	2 ," 	1,672 "," 	4,127 "," 	3,756 "," 	3,830 "," 	3,466 "," 	2,544 "," 	6,437 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	777 ," 	2,955 "," 	3,732 ", 	105 , 	721 , 	826 , 	62 ," 	2,914 "," 	7,120 "," 	5,667 "," 	6,473 "," 	5,401 "," 	4,291 "," 	10,602 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	383 ," 	1,136 "," 	1,519 ", 	80 , 	292 , 	372 , 	4 ," 	1,477 "," 	4,156 "," 	3,039 "," 	3,875 "," 	2,853 "," 	2,059 "," 	7,984 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	429 ," 	1,395 "," 	1,824 ", 	54 , 	310 , 	364 , 	4 ," 	1,902 "," 	4,913 "," 	3,575 "," 	4,448 "," 	3,391 "," 	3,198 "," 	8,948 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	530 ," 	2,107 "," 	2,637 ", 	79 , 	506 , 	585 , 	5 ," 	2,931 "," 	6,571 "," 	4,762 "," 	5,455 "," 	4,351 "," 	4,043 "," 	9,934 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	479 ," 	1,815 "," 	2,294 ", 	87 , 	455 , 	542 , 	98 ," 	2,726 "," 	5,183 "," 	3,894 "," 	4,312 "," 	3,581 "," 	3,824 "," 	9,129 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	529 ," 	2,385 "," 	2,914 ", 	74 , 	613 , 	687 , 	100 ," 	2,065 "," 	5,577 "," 	4,340 "," 	5,282 "," 	4,222 "," 	5,121 "," 	10,027 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	539 ," 	1,819 "," 	2,358 ", 	64 , 	383 , 	447 , 	50 ," 	2,219 "," 	8,800 "," 	6,071 "," 	7,836 "," 	5,502 "," 	3,112 "," 	9,250 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	391 ," 	1,225 "," 	1,616 ", 	57 , 	371 , 	428 , 	33 ," 	1,079 "," 	3,556 "," 	3,131 "," 	3,029 "," 	2,743 "," 	1,419 "," 	4,548 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	837 ," 	2,723 "," 	3,560 ", 	85 , 	500 , 	585 , 	138 ," 	2,787 "," 	8,050 "," 	6,282 "," 	7,415 "," 	6,007 "," 	2,484 "," 	9,973 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	453 ," 	2,052 "," 	2,505 ", 	50 , 	496 , 	546 , 	186 ," 	2,341 "," 	4,857 "," 	4,128 "," 	4,698 "," 	4,087 "," 	2,199 "," 	6,774 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	532 ," 	2,265 "," 	2,797 ", 	61 , 	837 , 	898 , 	2 ," 	2,293 "," 	6,052 "," 	4,455 "," 	5,522 "," 	4,401 "," 	2,523 "," 	7,920 "
,2010-11,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	439 ," 	2,074 "," 	2,513 ", 	67 , 	646 , 	713 , 	1 ," 	1,695 "," 	2,808 "," 	2,651 "," 	2,561 "," 	2,509 "," 	2,175 "," 	5,138 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	902 ," 	1,919 "," 	2,821 ", 	282 , 	447 , 	729 , 	270 ," 	2,084 "," 	5,296 "," 	4,621 "," 	4,753 "," 	4,184 "," 	2,423 "," 	6,754 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	760 ," 	1,882 "," 	2,642 ", 	293 , 	272 , 	565 , 	277 ," 	2,337 "," 	5,684 "," 	4,748 "," 	5,130 "," 	4,261 "," 	2,806 "," 	6,388 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,532 "," 	8,944 "," 	11,476 ", 	291 ," 	2,612 "," 	2,903 ", 	217 ," 	8,954 "," 	19,509 "," 	16,594 "," 	18,270 "," 	15,531 "," 	8,362 "," 	26,746 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,241 "," 	6,612 "," 	8,853 ", 	526 ," 	1,755 "," 	2,281 "," 	1,172 "," 	6,860 "," 	13,895 "," 	12,052 "," 	13,390 "," 	11,643 "," 	8,923 "," 	21,199 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,076 "," 	2,628 "," 	3,704 ", 	279 , 	786 ," 	1,065 ", 	90 ," 	2,838 "," 	7,906 "," 	6,837 "," 	7,698 "," 	6,673 "," 	3,019 "," 	9,447 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	572 ," 	1,337 "," 	1,909 ", 	77 , 	535 , 	612 , 	1 ," 	1,627 "," 	4,517 "," 	3,800 "," 	4,511 "," 	3,797 "," 	1,689 "," 	5,387 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,770 "," 	4,741 "," 	6,511 ", 	325 ," 	1,260 "," 	1,585 ", 	26 ," 	4,696 "," 	11,707 "," 	10,644 "," 	10,982 "," 	10,012 "," 	6,784 "," 	16,358 "
,2010-11,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,219 "," 	6,145 "," 	8,364 ", 	418 ," 	2,239 "," 	2,657 ", 	86 ," 	6,174 "," 	13,805 "," 	12,933 "," 	13,631 "," 	12,573 "," 	8,168 "," 	21,696 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	566 ," 	1,813 "," 	2,379 ", 	123 , 	621 , 	744 , 	165 ," 	2,050 "," 	4,394 "," 	3,746 "," 	4,012 "," 	3,402 "," 	1,685 "," 	5,924 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	452 ," 	1,737 "," 	2,189 ", 	40 , 	301 , 	341 , 	304 ," 	1,753 "," 	3,983 "," 	3,381 "," 	3,809 "," 	3,208 "," 	1,623 "," 	5,632 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	551 ," 	2,217 "," 	2,768 ", 	115 , 	903 ," 	1,018 ", 	748 ," 	2,224 "," 	3,712 "," 	3,222 "," 	3,467 "," 	3,071 "," 	2,164 "," 	4,850 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,129 "," 	11,429 "," 	14,558 ", 	411 ," 	2,924 "," 	3,335 "," 	3,162 "," 	9,669 "," 	22,074 "," 	18,486 "," 	21,762 "," 	18,156 "," 	12,553 "," 	30,925 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	911 ," 	3,961 "," 	4,872 ", 	149 ," 	1,174 "," 	1,323 ", 	57 ," 	3,726 "," 	8,120 "," 	7,099 "," 	7,603 "," 	6,776 "," 	2,433 "," 	12,245 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,316 "," 	4,276 "," 	5,592 ", 	262 ," 	1,342 "," 	1,604 ", 	102 ," 	4,003 "," 	7,726 "," 	7,466 "," 	7,563 "," 	7,290 "," 	4,354 "," 	13,771 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	862 ," 	2,905 "," 	3,767 ", 	109 , 	551 , 	660 , 	65 ," 	2,504 "," 	6,946 "," 	6,255 "," 	6,659 "," 	5,991 "," 	2,847 "," 	10,833 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	763 ," 	3,238 "," 	4,001 ", 	117 , 	483 , 	600 , 	50 ," 	2,766 "," 	7,559 "," 	6,464 "," 	5,248 "," 	6,068 "," 	1,512 "," 	9,940 "
,2010-11,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	306 , 	854 ," 	1,160 ", 	41 , 	108 , 	149 , 	39 ," 	1,045 "," 	3,040 "," 	2,334 "," 	2,837 "," 	2,234 "," 	1,977 "," 	3,994 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	613 ," 	2,324 "," 	2,937 ", 	126 ," 	1,197 "," 	1,323 ", 	- 0," 	1,570 "," 	3,323 "," 	3,212 "," 	3,202 "," 	3,105 "," 	1,931 "," 	5,241 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	625 ," 	2,141 "," 	2,766 ", 	128 , 	334 , 	462 , 	100 ," 	2,259 "," 	4,387 "," 	4,326 "," 	4,331 "," 	4,279 "," 	1,270 "," 	6,539 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	399 ," 	1,567 "," 	1,966 ", 	89 , 	406 , 	495 , 	- 0," 	1,327 "," 	3,432 "," 	3,172 "," 	3,165 "," 	3,122 "," 	1,650 "," 	4,760 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	502 ," 	1,727 "," 	2,229 ", 	109 , 	714 , 	823 , 	2 ," 	1,509 "," 	3,676 "," 	3,220 "," 	3,635 "," 	3,089 "," 	1,862 "," 	5,325 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	542 ," 	2,029 "," 	2,571 ", 	94 , 	810 , 	904 , 	- 0," 	1,737 "," 	3,486 "," 	3,065 "," 	3,400 "," 	3,025 "," 	1,696 "," 	4,959 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,398 "," 	5,942 "," 	7,340 ", 	207 ," 	2,827 "," 	3,034 ", 	5 ," 	4,492 "," 	9,224 "," 	8,463 "," 	8,721 "," 	7,934 "," 	5,112 "," 	13,864 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,023 "," 	4,174 "," 	5,197 ", 	229 ," 	1,735 "," 	1,964 ", 	1 ," 	3,388 "," 	6,984 "," 	6,047 "," 	6,565 "," 	5,700 "," 	3,917 "," 	10,497 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,140 "," 	3,894 "," 	5,034 ", 	237 ," 	1,120 "," 	1,357 ", 	27 ," 	3,319 "," 	8,391 "," 	7,614 "," 	8,070 "," 	7,584 "," 	4,374 "," 	11,786 "
,2010-11,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,526 "," 	5,137 "," 	6,663 ", 	222 ," 	1,431 "," 	1,653 ", 	- 0," 	4,167 "," 	8,741 "," 	7,778 "," 	8,681 "," 	7,739 "," 	4,088 "," 	12,757 "
