,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,SEPTEMBER,,,,England," 	134,791 "," 	494,818 "," 	629,609 "," 	22,002 "," 	153,650 "," 	175,652 "," 	21,172 "," 	441,718 "," 	963,623 "," 	839,078 "," 	913,005 "," 	796,256 "," 	546,668 "," 	1,386,015 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	602 ," 	2,556 "," 	3,158 ", 	100 ," 	1,119 "," 	1,219 ", 	8 ," 	2,291 "," 	5,401 "," 	5,223 "," 	4,870 "," 	4,364 "," 	2,153 "," 	7,574 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	582 ," 	1,918 "," 	2,500 ", 	126 , 	397 , 	523 , 	505 ," 	2,663 "," 	5,635 "," 	4,981 "," 	4,615 "," 	3,941 "," 	3,898 "," 	8,155 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	844 ," 	3,322 "," 	4,166 ", 	180 ," 	1,239 "," 	1,419 ", 	50 ," 	2,577 "," 	4,548 "," 	5,507 "," 	4,276 "," 	5,107 "," 	1,370 "," 	9,058 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	824 ," 	3,266 "," 	4,090 ", 	122 , 	742 , 	864 , 	519 ," 	2,985 "," 	7,092 "," 	5,727 "," 	6,593 "," 	5,040 "," 	3,179 "," 	8,692 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,022 "," 	3,935 "," 	4,957 ", 	226 ," 	1,534 "," 	1,760 ", 	147 ," 	4,133 "," 	9,653 "," 	7,747 "," 	8,695 "," 	6,978 "," 	5,840 "," 	12,245 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	618 ," 	1,942 "," 	2,560 ", 	220 , 	636 , 	856 , 	32 ," 	1,704 "," 	3,437 "," 	3,426 "," 	3,122 "," 	2,826 "," 	1,180 "," 	4,213 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	690 ," 	2,467 "," 	3,157 ", 	207 , 	793 ," 	1,000 ", 	56 ," 	2,680 "," 	4,900 "," 	5,071 "," 	4,192 "," 	3,779 "," 	1,407 "," 	5,529 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,583 "," 	6,491 "," 	8,074 ", 	206 ," 	2,575 "," 	2,781 ", 	373 ," 	4,448 "," 	12,489 "," 	9,828 "," 	11,905 "," 	9,342 "," 	7,666 "," 	15,170 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,372 "," 	4,906 "," 	6,278 ", 	213 ," 	1,671 "," 	1,884 "," 	1,244 "," 	4,010 "," 	9,821 "," 	7,616 "," 	9,103 "," 	7,279 "," 	5,903 "," 	13,010 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,410 "," 	4,822 "," 	6,232 ", 	169 ," 	1,541 "," 	1,710 ", 	45 ," 	3,884 "," 	8,636 "," 	8,107 "," 	8,305 "," 	7,886 "," 	6,204 "," 	12,811 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	476 ," 	1,924 "," 	2,400 ", 	98 , 	866 , 	964 , 	16 ," 	1,895 "," 	4,425 "," 	3,579 "," 	4,128 "," 	3,093 "," 	2,864 "," 	5,377 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	511 ," 	1,380 "," 	1,891 ", 	107 , 	266 , 	373 , 	2 ," 	1,649 "," 	3,135 "," 	3,172 "," 	3,006 "," 	2,869 "," 	1,498 "," 	5,273 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	894 ," 	3,383 "," 	4,277 ", 	181 ," 	1,330 "," 	1,511 ", 	1 ," 	2,564 "," 	7,177 "," 	5,828 "," 	7,126 "," 	5,788 "," 	3,071 "," 	8,554 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	984 ," 	3,521 "," 	4,505 ", 	158 , 	628 , 	786 , 	35 ," 	2,704 "," 	7,074 "," 	6,658 "," 	6,887 "," 	6,463 "," 	2,899 "," 	10,050 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	404 ," 	1,297 "," 	1,701 ", 	55 , 	388 , 	443 , 	7 ," 	1,400 "," 	2,850 "," 	2,397 "," 	2,519 "," 	2,121 "," 	1,994 "," 	3,288 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,350 "," 	6,232 "," 	7,582 ", 	214 ," 	2,187 "," 	2,401 "," 	1,230 "," 	3,991 "," 	9,810 "," 	8,239 "," 	9,488 "," 	7,931 "," 	6,568 "," 	12,938 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,938 "," 	8,719 "," 	10,657 ", 	333 ," 	3,171 "," 	3,504 ", 	41 ," 	6,188 "," 	12,787 "," 	12,454 "," 	12,449 "," 	12,144 "," 	5,720 "," 	19,935 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	674 ," 	2,382 "," 	3,056 ", 	132 , 	382 , 	514 , 	- 0," 	1,832 "," 	4,626 "," 	4,632 "," 	4,608 "," 	4,537 "," 	1,440 "," 	6,456 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,375 "," 	6,079 "," 	7,454 ", 	205 ," 	2,179 "," 	2,384 ", 	243 ," 	4,358 "," 	11,343 "," 	9,461 "," 	11,133 "," 	9,287 "," 	5,990 "," 	17,211 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	737 ," 	2,812 "," 	3,549 ", 	89 , 	974 ," 	1,063 ", 	334 ," 	2,119 "," 	4,672 "," 	3,944 "," 	4,384 "," 	3,653 "," 	2,705 "," 	6,056 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	831 ," 	2,348 "," 	3,179 ", 	68 , 	295 , 	363 , 	1 ," 	2,568 "," 	4,959 "," 	4,978 "," 	4,562 "," 	4,883 "," 	1,595 "," 	7,494 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	763 ," 	2,997 "," 	3,760 ", 	80 ," 	1,175 "," 	1,255 ", 	4 ," 	2,466 "," 	7,165 "," 	5,872 "," 	6,635 "," 	5,683 "," 	4,194 "," 	9,564 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	736 ," 	3,266 "," 	4,002 ", 	127 ," 	1,207 "," 	1,334 ", 	2 ," 	2,471 "," 	7,750 "," 	7,131 "," 	7,387 "," 	6,978 "," 	4,641 "," 	11,155 "
,2011-12,SEPTEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,758 "," 	8,624 "," 	11,382 ", 	493 ," 	2,381 "," 	2,874 ", 	255 ," 	7,574 "," 	19,753 "," 	16,706 "," 	18,664 "," 	16,199 "," 	11,748 "," 	27,461 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	569 ," 	2,215 "," 	2,784 ", 	82 , 	395 , 	477 , 	1 ," 	2,149 "," 	3,650 "," 	3,144 "," 	3,585 "," 	3,107 "," 	2,394 "," 	5,869 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	399 ," 	1,144 "," 	1,543 ", 	36 , 	259 , 	295 , 	38 ," 	1,057 "," 	3,355 "," 	2,905 "," 	2,929 "," 	2,520 "," 	1,516 "," 	4,029 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	782 ," 	3,666 "," 	4,448 ", 	95 , 	967 ," 	1,062 ", 	1 ," 	2,238 "," 	7,141 "," 	5,533 "," 	6,678 "," 	5,521 "," 	4,279 "," 	8,741 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	548 ," 	2,328 "," 	2,876 ", 	71 , 	654 , 	725 , 	2 ," 	1,777 "," 	3,647 "," 	4,123 "," 	3,296 "," 	3,891 "," 	2,494 "," 	7,132 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	703 ," 	3,230 "," 	3,933 ", 	100 , 	912 ," 	1,012 ", 	117 ," 	2,899 "," 	8,253 "," 	6,494 "," 	7,545 "," 	5,974 "," 	6,094 "," 	10,875 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	567 ," 	2,240 "," 	2,807 ", 	90 , 	550 , 	640 , 	585 ," 	2,291 "," 	5,537 "," 	4,417 "," 	5,106 "," 	4,215 "," 	2,716 "," 	7,017 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	688 ," 	3,111 "," 	3,799 ", 	76 ," 	1,001 "," 	1,077 ", 	375 ," 	2,083 "," 	6,315 "," 	5,491 "," 	5,788 "," 	5,159 "," 	4,553 "," 	8,921 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	321 ," 	1,338 "," 	1,659 ", 	57 , 	245 , 	302 , 	1 ," 	1,828 "," 	2,700 "," 	2,191 "," 	2,642 "," 	2,142 "," 	1,934 "," 	4,257 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	447 ," 	1,688 "," 	2,135 ", 	59 , 	344 , 	403 , 	- 0," 	1,959 "," 	3,853 "," 	3,382 "," 	3,393 "," 	2,931 "," 	2,321 "," 	5,446 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	526 ," 	1,290 "," 	1,816 ", 	43 , 	283 , 	326 , 	- 0," 	2,114 "," 	5,653 "," 	4,809 "," 	3,664 "," 	3,018 "," 	3,076 "," 	7,011 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	542 ," 	1,771 "," 	2,313 ", 	102 , 	673 , 	775 , 	- 0," 	2,619 "," 	7,894 "," 	7,351 "," 	5,358 "," 	4,422 "," 	3,699 "," 	9,026 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	456 ," 	2,191 "," 	2,647 ", 	65 , 	631 , 	696 , 	15 ," 	1,793 "," 	4,797 "," 	4,006 "," 	4,445 "," 	3,720 "," 	3,262 "," 	8,167 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	351 ," 	1,304 "," 	1,655 ", 	47 , 	255 , 	302 , 	12 ," 	1,501 "," 	3,925 "," 	3,129 "," 	3,397 "," 	2,812 "," 	3,101 "," 	6,520 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	713 ," 	2,839 "," 	3,552 ", 	88 , 	731 , 	819 , 	182 ," 	3,143 "," 	7,472 "," 	6,343 "," 	6,540 "," 	5,741 "," 	4,382 "," 	9,845 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	459 ," 	1,731 "," 	2,190 ", 	86 , 	463 , 	549 , 	10 ," 	1,873 "," 	4,749 "," 	4,291 "," 	4,388 "," 	3,998 "," 	2,494 "," 	6,643 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	617 ," 	2,306 "," 	2,923 ", 	69 , 	716 , 	785 , 	578 ," 	2,317 "," 	7,194 "," 	5,585 "," 	6,985 "," 	5,443 "," 	3,398 "," 	8,164 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	529 ," 	1,846 "," 	2,375 ", 	86 , 	762 , 	848 , 	257 ," 	1,587 "," 	4,465 "," 	3,721 "," 	4,339 "," 	3,643 "," 	1,901 "," 	5,264 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	448 ," 	1,788 "," 	2,236 ", 	68 , 	472 , 	540 , 	1 ," 	1,524 "," 	4,674 "," 	4,445 "," 	4,408 "," 	4,167 "," 	3,369 "," 	7,677 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	447 ," 	1,866 "," 	2,313 ", 	42 , 	518 , 	560 , 	- 0," 	1,618 "," 	4,244 "," 	3,856 "," 	3,933 "," 	3,588 "," 	2,533 "," 	6,647 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	751 ," 	3,011 "," 	3,762 ", 	92 , 	716 , 	808 , 	53 ," 	2,907 "," 	6,071 "," 	4,850 "," 	5,558 "," 	4,508 "," 	4,134 "," 	9,300 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	307 ," 	1,143 "," 	1,450 ", 	62 , 	308 , 	370 , 	1 ," 	1,159 "," 	4,343 "," 	2,841 "," 	4,122 "," 	2,717 "," 	2,322 "," 	5,294 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	422 ," 	1,533 "," 	1,955 ", 	55 , 	341 , 	396 , 	1 ," 	1,626 "," 	5,070 "," 	3,686 "," 	4,831 "," 	3,523 "," 	3,000 "," 	6,588 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	600 ," 	2,206 "," 	2,806 ", 	96 , 	596 , 	692 , 	6 ," 	2,732 "," 	6,628 "," 	5,141 "," 	5,421 "," 	4,813 "," 	4,002 "," 	10,543 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	544 ," 	2,067 "," 	2,611 ", 	91 , 	553 , 	644 , 	99 ," 	2,682 "," 	5,505 "," 	4,372 "," 	4,648 "," 	4,142 "," 	3,940 "," 	9,498 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	501 ," 	2,414 "," 	2,915 ", 	81 , 	661 , 	742 , 	99 ," 	2,018 "," 	5,266 "," 	4,102 "," 	4,940 "," 	4,004 "," 	5,198 "," 	9,717 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	628 ," 	1,782 "," 	2,410 ", 	64 , 	373 , 	437 , 	47 ," 	2,040 "," 	9,183 "," 	6,068 "," 	7,674 "," 	5,626 "," 	3,164 "," 	9,681 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	351 ," 	1,107 "," 	1,458 ", 	31 , 	254 , 	285 , 	22 ," 	1,123 "," 	3,825 "," 	3,234 "," 	3,346 "," 	2,891 "," 	1,687 "," 	4,657 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	790 ," 	2,993 "," 	3,783 ", 	79 , 	545 , 	624 , 	145 ," 	2,424 "," 	7,841 "," 	5,996 "," 	6,970 "," 	5,681 "," 	2,276 "," 	9,687 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	518 ," 	2,102 "," 	2,620 ", 	97 , 	526 , 	623 , 	2 ," 	2,354 "," 	5,214 "," 	4,113 "," 	5,041 "," 	3,966 "," 	2,529 "," 	6,933 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	498 ," 	2,099 "," 	2,597 ", 	93 , 	774 , 	867 , 	2 ," 	2,328 "," 	5,422 "," 	4,167 "," 	4,779 "," 	3,854 "," 	2,594 "," 	6,813 "
,2011-12,SEPTEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	521 ," 	2,065 "," 	2,586 ", 	62 , 	486 , 	548 , 	- 0," 	1,620 "," 	2,909 "," 	2,917 "," 	2,717 "," 	2,827 "," 	2,208 "," 	5,301 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	831 ," 	1,845 "," 	2,676 ", 	281 , 	447 , 	728 , 	1 ," 	2,095 "," 	4,911 "," 	4,645 "," 	4,756 "," 	4,495 "," 	2,876 "," 	6,980 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	858 ," 	1,928 "," 	2,786 ", 	322 , 	240 , 	562 , 	2 ," 	2,364 "," 	5,490 "," 	4,330 "," 	5,241 "," 	4,135 "," 	3,530 "," 	6,419 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,779 "," 	9,207 "," 	11,986 ", 	367 ," 	2,607 "," 	2,974 ", 	235 ," 	7,790 "," 	18,282 "," 	16,689 "," 	17,084 "," 	15,534 "," 	9,038 "," 	26,870 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,279 "," 	7,151 "," 	9,430 ", 	341 ," 	1,881 "," 	2,222 "," 	1,119 "," 	6,387 "," 	13,538 "," 	11,294 "," 	13,355 "," 	11,130 "," 	8,459 "," 	20,406 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,095 "," 	2,696 "," 	3,791 ", 	276 , 	850 ," 	1,126 ", 	3 ," 	2,656 "," 	7,543 "," 	6,476 "," 	7,442 "," 	6,400 "," 	3,443 "," 	9,275 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	514 ," 	1,405 "," 	1,919 ", 	91 , 	569 , 	660 , 	- 0," 	1,395 "," 	3,855 "," 	3,197 "," 	3,853 "," 	3,194 "," 	1,808 "," 	4,680 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,615 "," 	4,524 "," 	6,139 ", 	331 ," 	1,258 "," 	1,589 ", 	2 ," 	4,939 "," 	11,700 "," 	10,003 "," 	10,980 "," 	9,486 "," 	8,359 "," 	16,765 "
,2011-12,SEPTEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,181 "," 	7,864 "," 	10,045 ", 	455 ," 	2,930 "," 	3,385 ", 	2 ," 	6,325 "," 	12,666 "," 	10,799 "," 	12,300 "," 	10,596 "," 	8,712 "," 	18,360 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	492 ," 	1,851 "," 	2,343 ", 	68 , 	517 , 	585 , 	113 ," 	2,251 "," 	3,956 "," 	3,573 "," 	3,645 "," 	3,248 "," 	1,729 "," 	5,792 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	422 ," 	1,663 "," 	2,085 ", 	53 , 	253 , 	306 , 	311 ," 	1,809 "," 	4,247 "," 	3,394 "," 	4,055 "," 	3,268 "," 	1,523 "," 	5,334 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	595 ," 	2,066 "," 	2,661 ", 	110 , 	575 , 	685 , 	937 ," 	2,219 "," 	4,110 "," 	3,587 "," 	4,068 "," 	3,412 "," 	2,672 "," 	5,630 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,000 "," 	11,229 "," 	14,229 ", 	354 ," 	2,536 "," 	2,890 "," 	2,945 "," 	9,854 "," 	19,692 "," 	17,672 "," 	19,384 "," 	17,331 "," 	11,633 "," 	30,244 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	953 ," 	4,028 "," 	4,981 ", 	136 ," 	1,144 "," 	1,280 ", 	47 ," 	3,620 "," 	7,693 "," 	6,748 "," 	7,421 "," 	6,400 "," 	2,812 "," 	11,652 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,165 "," 	4,113 "," 	5,278 ", 	177 ," 	1,250 "," 	1,427 ", 	78 ," 	3,952 "," 	7,654 "," 	7,323 "," 	7,498 "," 	7,145 "," 	4,330 "," 	11,474 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	942 ," 	2,683 "," 	3,625 ", 	125 , 	427 , 	552 , 	89 ," 	2,460 "," 	6,910 "," 	6,373 "," 	6,076 "," 	5,568 "," 	3,577 "," 	12,425 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	780 ," 	2,649 "," 	3,429 ", 	106 , 	345 , 	451 , 	34 ," 	2,840 "," 	6,659 "," 	5,159 "," 	6,373 "," 	4,714 "," 	2,909 "," 	7,807 "
,2011-12,SEPTEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	290 , 	653 , 	943 , 	40 , 	90 , 	130 , 	25 ," 	1,056 "," 	2,829 "," 	2,206 "," 	2,742 "," 	2,113 "," 	1,881 "," 	3,312 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	584 ," 	2,350 "," 	2,934 ", 	96 ," 	1,061 "," 	1,157 ", 	- 0," 	1,479 "," 	3,562 "," 	3,353 "," 	3,378 "," 	3,182 "," 	1,840 "," 	5,213 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	675 ," 	2,098 "," 	2,773 ", 	95 , 	427 , 	522 , 	2 ," 	2,029 "," 	4,546 "," 	3,728 "," 	4,540 "," 	3,725 "," 	1,210 "," 	6,317 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	396 ," 	1,353 "," 	1,749 ", 	49 , 	284 , 	333 , 	3 ," 	1,269 "," 	3,372 "," 	2,944 "," 	3,276 "," 	2,873 "," 	2,659 "," 	5,110 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	443 ," 	1,784 "," 	2,227 ", 	38 , 	658 , 	696 , 	- 0," 	1,614 "," 	3,763 "," 	3,326 "," 	3,694 "," 	3,181 "," 	1,661 "," 	5,165 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	496 ," 	2,078 "," 	2,574 ", 	59 , 	738 , 	797 , 	- 0," 	1,419 "," 	3,844 "," 	3,254 "," 	3,768 "," 	3,184 "," 	1,679 "," 	5,280 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,338 "," 	5,961 "," 	7,299 ", 	222 ," 	2,588 "," 	2,810 ", 	8 ," 	4,233 "," 	8,683 "," 	8,498 "," 	8,211 "," 	7,990 "," 	5,093 "," 	13,874 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,012 "," 	3,816 "," 	4,828 ", 	136 ," 	1,543 "," 	1,679 ", 	2 ," 	3,345 "," 	7,237 "," 	6,646 "," 	6,659 "," 	6,133 "," 	3,816 "," 	11,022 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,172 "," 	3,657 "," 	4,829 ", 	148 , 	809 , 	957 , 	15 ," 	3,432 "," 	8,184 "," 	7,180 "," 	8,153 "," 	7,113 "," 	4,920 "," 	11,721 "
,2011-12,SEPTEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,428 "," 	5,267 "," 	6,695 ", 	134 ," 	1,184 "," 	1,318 ", 	- 0," 	4,647 "," 	8,337 "," 	7,576 "," 	8,320 "," 	7,549 "," 	4,355 "," 	13,183 "
