,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JULY,,,,England," 	149,480 "," 	437,984 "," 	587,464 "," 	24,208 "," 	127,610 "," 	151,818 "," 	8,052 "," 	16,778 "," 	424,751 "," 	944,448 "," 	793,814 "," 	901,783 "," 	753,847 "," 	483,791 "," 	1,247,964 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	577 ," 	1,717 "," 	2,294 ", 	111 , 	402 , 	513 , 	- 0, 	435 ," 	2,416 "," 	5,672 "," 	4,745 "," 	3,811 "," 	3,556 "," 	3,975 "," 	7,352 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	976 ," 	3,309 "," 	4,285 ", 	151 ," 	1,516 "," 	1,667 ", 	- 0, 	44 ," 	2,495 "," 	5,347 "," 	4,392 "," 	5,103 "," 	4,226 "," 	1,725 "," 	7,507 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT," 	1,002 "," 	3,054 "," 	4,056 ", 	120 , 	758 , 	878 , 	- 0, 	408 ," 	2,773 "," 	5,304 "," 	4,846 "," 	4,485 "," 	4,268 "," 	4,218 "," 	8,054 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	979 ," 	3,825 "," 	4,804 ", 	205 ," 	1,504 "," 	1,709 ", 	- 0, 	187 ," 	3,476 "," 	7,427 "," 	6,481 "," 	6,348 "," 	5,443 "," 	7,904 "," 	11,882 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	535 ," 	1,851 "," 	2,386 ", 	180 , 	539 , 	719 , 	- 0, 	10 ," 	1,395 "," 	3,502 "," 	2,790 "," 	3,337 "," 	2,473 "," 	1,856 "," 	3,722 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	595 ," 	2,465 "," 	3,060 ", 	157 , 	717 , 	874 , 	- 0, 	11 ," 	2,339 "," 	4,973 "," 	4,378 "," 	4,600 "," 	3,711 "," 	2,656 "," 	5,231 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,529 "," 	5,244 "," 	6,773 ", 	165 ," 	1,710 "," 	1,875 ", 	- 0, 	502 ," 	4,403 "," 	11,895 "," 	8,462 "," 	11,191 "," 	8,094 "," 	8,372 "," 	13,493 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,343 "," 	3,568 "," 	4,911 ", 	123 , 	886 ," 	1,009 ", 	156 ," 	1,008 "," 	3,740 "," 	10,006 "," 	8,204 "," 	9,519 "," 	7,945 "," 	3,653 "," 	11,291 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,448 "," 	4,568 "," 	6,016 ", 	203 ," 	1,477 "," 	1,680 ", 	16 , 	26 ," 	3,666 "," 	8,936 "," 	7,321 "," 	8,664 "," 	6,866 "," 	3,891 "," 	10,621 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	532 ," 	1,766 "," 	2,298 ", 	135 , 	741 , 	876 , 	- 0, 	22 ," 	1,340 "," 	3,896 "," 	3,419 "," 	3,453 "," 	3,001 "," 	3,702 "," 	5,771 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	611 ," 	1,182 "," 	1,793 ", 	101 , 	279 , 	380 , 	- 0, 	- 0," 	1,490 "," 	3,539 "," 	3,465 "," 	3,081 "," 	2,956 "," 	1,458 "," 	4,785 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	998 ," 	3,156 "," 	4,154 ", 	135 , 	813 , 	948 , 	- 0, 	- 0," 	2,765 "," 	7,183 "," 	5,880 "," 	7,183 "," 	5,874 "," 	3,051 "," 	8,170 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,564 "," 	3,493 "," 	5,057 ", 	125 , 	512 , 	637 , 	- 0, 	- 0," 	2,427 "," 	7,569 "," 	6,275 "," 	6,810 "," 	5,436 "," 	2,308 "," 	7,979 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	2,002 "," 	3,774 "," 	5,776 ", 	205 , 	856 ," 	1,061 ", 	- 0, 	- 0," 	3,639 "," 	11,859 "," 	8,627 "," 	10,981 "," 	7,988 "," 	4,869 "," 	13,195 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,512 "," 	4,117 "," 	5,629 ", 	267 , 	830 ," 	1,097 ", 	- 0, 	- 0," 	3,570 "," 	11,167 "," 	10,413 "," 	10,060 "," 	9,381 "," 	6,489 "," 	15,383 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	416 ," 	1,238 "," 	1,654 ", 	91 , 	280 , 	371 , 	1 , 	16 ," 	1,310 "," 	3,012 "," 	2,879 "," 	2,847 "," 	2,702 "," 	1,342 "," 	3,976 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,571 "," 	5,340 "," 	6,911 ", 	312 ," 	1,921 "," 	2,233 ", 	24 ," 	1,197 "," 	3,817 "," 	9,027 "," 	7,604 "," 	8,949 "," 	7,374 "," 	5,291 "," 	11,860 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,170 "," 	7,230 "," 	9,400 ", 	990 ," 	1,740 "," 	2,730 ", 	534 , 	38 ," 	5,470 "," 	14,307 "," 	12,185 "," 	15,110 "," 	10,450 "," 	3,450 "," 	15,090 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	876 ," 	2,206 "," 	3,082 ", 	107 , 	619 , 	726 , 	- 0, 	- 0," 	1,613 "," 	4,692 "," 	4,114 "," 	4,542 "," 	3,982 "," 	1,019 "," 	4,880 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,490 "," 	4,544 "," 	6,034 ", 	215 ," 	1,671 "," 	1,886 ", 	- 0, 	- 0," 	4,075 "," 	10,272 "," 	9,579 "," 	9,822 "," 	9,266 "," 	5,192 "," 	14,483 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	764 ," 	2,772 "," 	3,536 ", 	67 , 	953 ," 	1,020 ", 	- 0, 	- 0," 	2,187 "," 	4,943 "," 	4,707 "," 	4,773 "," 	4,356 "," 	2,338 "," 	6,673 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	970 ," 	2,111 "," 	3,081 ", 	100 , 	534 , 	634 , 	- 0, 	- 0," 	2,141 "," 	5,950 "," 	5,060 "," 	5,852 "," 	4,904 "," 	2,445 "," 	6,577 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	968 ," 	2,583 "," 	3,551 ", 	130 , 	753 , 	883 , 	4 , 	- 0," 	3,134 "," 	5,784 "," 	5,605 "," 	5,723 "," 	4,768 "," 	5,296 "," 	7,492 "
,2008-09,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT," 	1,036 "," 	2,929 "," 	3,965 ", 	195 , 	929 ," 	1,124 ", 	- 0, 	- 0," 	2,700 "," 	6,737 "," 	6,179 "," 	6,627 "," 	6,136 "," 	3,709 "," 	9,734 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	513 ," 	2,000 "," 	2,513 ", 	41 , 	758 , 	799 , 	390 , 	- 0," 	1,850 "," 	3,003 "," 	2,603 "," 	2,996 "," 	2,050 "," 	2,592 "," 	4,748 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	387 ," 	1,130 "," 	1,517 ", 	95 , 	230 , 	325 , 	- 0, 	- 0, 	831 ," 	2,496 "," 	2,013 "," 	2,488 "," 	2,008 ", 	981 ," 	3,123 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	766 ," 	3,373 "," 	4,139 ", 	82 , 	860 , 	942 , 	- 0, 	141 ," 	2,299 "," 	6,870 "," 	5,184 "," 	5,925 "," 	4,748 ", 	910 ," 	6,416 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	525 ," 	2,172 "," 	2,697 ", 	46 , 	427 , 	473 , 	- 0, 	4 ," 	1,380 "," 	3,695 "," 	2,996 "," 	3,639 "," 	2,976 "," 	3,233 "," 	6,264 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	671 ," 	3,488 "," 	4,159 ", 	113 ," 	1,391 "," 	1,504 ", 	- 0, 	- 0," 	2,489 "," 	7,718 "," 	5,547 "," 	7,447 "," 	4,917 "," 	3,336 "," 	9,174 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	608 ," 	1,935 "," 	2,543 ", 	78 , 	409 , 	487 , 	1 , 	- 0," 	1,998 "," 	5,329 "," 	4,512 "," 	4,868 "," 	3,817 "," 	1,687 "," 	5,880 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	612 ," 	2,118 "," 	2,730 ", 	51 , 	601 , 	652 , 	- 0, 	341 ," 	2,130 "," 	5,625 "," 	4,215 "," 	5,208 "," 	3,730 "," 	3,404 "," 	6,656 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	299 ," 	1,217 "," 	1,516 ", 	51 , 	416 , 	467 , 	143 , 	- 0," 	1,463 "," 	2,784 "," 	2,296 "," 	2,776 "," 	2,284 "," 	1,507 "," 	3,598 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	569 ," 	1,368 "," 	1,937 ", 	49 , 	171 , 	220 , 	- 0, 	- 0," 	1,727 "," 	4,155 "," 	3,916 "," 	3,941 "," 	3,946 "," 	2,507 "," 	6,781 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	434 ," 	1,014 "," 	1,448 ", 	33 , 	133 , 	166 , 	8 , 	- 0," 	2,044 "," 	3,096 "," 	2,650 "," 	3,545 "," 	3,241 "," 	2,162 "," 	5,532 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	556 ," 	1,855 "," 	2,411 ", 	62 , 	340 , 	402 , 	- 0, 	- 0," 	2,475 "," 	4,615 "," 	4,155 "," 	4,340 "," 	4,094 "," 	2,589 "," 	6,920 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	437 ," 	1,693 "," 	2,130 ", 	50 , 	445 , 	495 , 	- 0, 	16 ," 	1,712 "," 	4,822 "," 	3,799 "," 	4,316 "," 	3,371 "," 	2,846 "," 	7,427 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	421 ," 	1,094 "," 	1,515 ", 	37 , 	135 , 	172 , 	- 0, 	- 0," 	1,341 "," 	2,367 "," 	1,796 "," 	2,170 "," 	1,664 "," 	1,177 "," 	4,681 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	817 ," 	2,782 "," 	3,599 ", 	80 , 	690 , 	770 , 	- 0, 	- 0," 	2,943 "," 	7,776 "," 	6,149 "," 	6,930 "," 	5,360 "," 	3,642 "," 	9,392 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	596 ," 	1,550 "," 	2,146 ", 	64 , 	181 , 	245 , 	- 0, 	- 0," 	2,245 "," 	4,924 "," 	4,612 "," 	4,174 "," 	4,419 "," 	2,453 "," 	7,069 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	674 ," 	2,133 "," 	2,807 ", 	90 , 	777 , 	867 , 	- 0, 	- 0," 	2,062 "," 	6,025 "," 	5,012 "," 	5,594 "," 	4,441 "," 	2,534 "," 	7,515 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	574 ," 	1,591 "," 	2,165 ", 	117 , 	574 , 	691 , 	- 0, 	- 0," 	1,581 "," 	3,602 "," 	3,195 "," 	3,378 "," 	3,043 "," 	2,085 "," 	4,906 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT," 	1,404 ", 	386 ," 	1,790 ", 	478 , 	66 , 	544 , 	- 0, 	- 0," 	1,496 "," 	4,108 "," 	3,303 "," 	4,108 "," 	3,303 "," 	2,501 "," 	6,908 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	366 ," 	1,503 "," 	1,869 ", 	43 , 	368 , 	411 , 	- 0, 	- 0," 	1,359 "," 	3,864 "," 	3,366 "," 	3,516 "," 	3,063 "," 	2,345 "," 	6,162 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	840 ," 	3,281 "," 	4,121 ", 	68 , 	998 ," 	1,066 ", 	- 0, 	51 ," 	2,243 "," 	5,477 "," 	4,850 "," 	5,421 "," 	4,761 "," 	3,608 "," 	9,220 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	405 ," 	1,175 "," 	1,580 ", 	69 , 	372 , 	441 , 	- 0, 	- 0," 	1,158 "," 	2,826 "," 	2,489 "," 	2,656 "," 	2,360 "," 	1,624 "," 	5,626 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	612 ," 	1,517 "," 	2,129 ", 	97 , 	540 , 	637 , 	- 0, 	- 0," 	1,570 "," 	4,246 "," 	5,298 "," 	3,921 "," 	4,968 "," 	2,413 "," 	5,462 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	686 ," 	1,992 "," 	2,678 ", 	114 , 	375 , 	489 , 	- 0, 	- 0," 	2,121 "," 	5,180 "," 	3,955 "," 	5,044 "," 	3,891 "," 	3,325 "," 	9,189 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	604 ," 	2,055 "," 	2,659 ", 	93 , 	433 , 	526 , 	- 0, 	- 0," 	2,050 "," 	4,310 "," 	3,694 "," 	4,288 "," 	3,675 "," 	3,182 "," 	8,406 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	543 ," 	2,484 "," 	3,027 ", 	106 , 	657 , 	763 , 	- 0, 	- 0," 	1,782 "," 	5,129 "," 	3,028 "," 	5,097 "," 	2,988 "," 	2,382 "," 	7,101 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	538 ," 	1,361 "," 	1,899 ", 	103 , 	580 , 	683 , 	- 0, 	- 0," 	2,208 "," 	7,472 "," 	4,722 "," 	6,745 "," 	4,558 "," 	2,474 "," 	7,551 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	360 , 	911 ," 	1,271 ", 	4 , 	11 , 	15 , 	- 0, 	- 0, 	960 ," 	3,070 "," 	2,532 "," 	3,070 "," 	2,532 "," 	1,425 "," 	4,009 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	964 ," 	2,525 "," 	3,489 ", 	154 , 	619 , 	773 , 	- 0, 	145 ," 	2,705 "," 	7,573 "," 	5,321 "," 	6,960 "," 	5,176 "," 	2,057 "," 	14,204 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	467 ," 	1,630 "," 	2,097 ", 	68 , 	557 , 	625 , 	100 , 	- 0," 	1,961 "," 	4,631 "," 	4,680 "," 	4,618 "," 	4,679 "," 	2,287 "," 	6,923 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	597 ," 	1,981 "," 	2,578 ", 	91 , 	634 , 	725 , 	5 , 	44 ," 	2,018 "," 	4,568 "," 	3,477 "," 	4,568 "," 	3,477 "," 	2,283 "," 	6,131 "
,2008-09,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	453 ," 	1,821 "," 	2,274 ", 	28 , 	461 , 	489 , 	- 0, 	38 ," 	1,334 "," 	2,479 "," 	2,193 "," 	2,161 "," 	2,021 "," 	1,422 "," 	3,821 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	652 ," 	1,563 "," 	2,215 ", 	43 , 	182 , 	225 , 	148 , 	18 ," 	1,915 "," 	5,836 "," 	4,440 "," 	5,678 "," 	4,116 "," 	1,923 "," 	5,845 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	602 ," 	1,538 "," 	2,140 ", 	222 , 	270 , 	492 , 	210 , 	- 0," 	2,170 "," 	4,970 "," 	4,555 "," 	4,970 "," 	4,402 "," 	2,480 "," 	5,582 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,170 "," 	7,528 "," 	9,698 ", 	108 ," 	1,395 "," 	1,503 ", 	- 0, 	625 ," 	7,909 "," 	16,775 "," 	15,605 "," 	15,898 "," 	15,019 "," 	4,716 "," 	22,549 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,350 "," 	5,911 "," 	8,261 ", 	344 , 	962 ," 	1,306 ", 	- 0," 	1,592 "," 	6,730 "," 	13,120 "," 	10,859 "," 	12,911 "," 	10,605 "," 	7,955 "," 	19,622 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,079 "," 	2,455 "," 	3,534 ", 	245 , 	866 ," 	1,111 ", 	- 0, 	- 0," 	2,636 "," 	8,034 "," 	6,237 "," 	7,850 "," 	6,073 "," 	1,623 "," 	8,244 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	499 ," 	1,569 "," 	2,068 ", 	90 , 	553 , 	643 , 	- 0, 	- 0," 	1,730 "," 	4,145 "," 	3,194 "," 	4,141 "," 	3,192 "," 	1,482 "," 	4,738 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,905 "," 	4,334 "," 	6,239 ", 	147 , 	725 , 	872 , 	644 , 	305 ," 	4,520 "," 	12,477 "," 	10,591 "," 	10,707 "," 	9,248 "," 	4,815 "," 	13,830 "
,2008-09,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,017 "," 	5,179 "," 	7,196 ", 	315 ," 	1,653 "," 	1,968 ", 	53 , 	- 0," 	6,045 "," 	11,876 "," 	9,814 "," 	11,847 "," 	11,847 "," 	8,161 "," 	16,583 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	522 ," 	1,665 "," 	2,187 ", 	70 , 	422 , 	492 , 	136 , 	- 0," 	2,121 "," 	3,281 "," 	3,501 "," 	3,184 "," 	3,360 "," 	2,037 "," 	5,924 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	542 ," 	1,600 "," 	2,142 ", 	83 , 	333 , 	416 , 	225 , 	412 ," 	2,082 "," 	4,331 "," 	3,380 "," 	3,687 "," 	2,861 "," 	1,665 "," 	5,321 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	768 ," 	1,716 "," 	2,484 ", 	146 , 	765 , 	911 , 	122 , 	18 ," 	2,738 "," 	3,515 "," 	2,961 "," 	3,490 "," 	2,937 "," 	2,713 "," 	4,932 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,740 "," 	11,097 "," 	14,837 ", 	483 ," 	3,576 "," 	4,059 ", 	333 ," 	3,317 "," 	10,138 "," 	22,823 "," 	19,237 "," 	22,021 "," 	18,498 "," 	9,814 "," 	31,045 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	985 ," 	3,201 "," 	4,186 ", 	155 ," 	1,099 "," 	1,254 ", 	22 , 	- 0," 	5,169 "," 	7,979 "," 	6,596 "," 	7,793 "," 	6,544 "," 	2,298 "," 	10,396 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,479 "," 	4,314 "," 	5,793 ", 	355 ," 	1,491 "," 	1,846 ", 	181 , 	- 0," 	4,360 "," 	9,245 "," 	11,000 "," 	8,709 "," 	8,317 "," 	4,928 "," 	14,997 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT," 	1,037 "," 	2,579 "," 	3,616 ", 	143 , 	560 , 	703 , 	99 , 	- 0," 	2,591 "," 	6,479 "," 	5,783 "," 	6,080 "," 	5,483 "," 	2,775 "," 	9,494 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	921 ," 	3,065 "," 	3,986 ", 	120 , 	508 , 	628 , 	109 , 	- 0," 	2,528 "," 	5,127 "," 	4,612 "," 	4,901 "," 	4,401 "," 	2,352 "," 	7,007 "
,2008-09,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	392 , 	905 ," 	1,297 ", 	54 , 	93 , 	147 , 	5 , 	1 ," 	1,075 "," 	2,980 "," 	2,387 "," 	2,879 "," 	2,333 "," 	1,772 "," 	3,929 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	685 ," 	2,175 "," 	2,860 ", 	103 , 	950 ," 	1,053 ", 	57 , 	- 0," 	1,629 "," 	3,911 "," 	3,078 "," 	3,766 "," 	3,008 "," 	1,873 "," 	4,862 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	908 ," 	2,220 "," 	3,128 ", 	206 , 	488 , 	694 , 	78 , 	163 ," 	2,188 "," 	4,434 "," 	4,033 "," 	4,772 "," 	4,359 "," 	1,573 "," 	6,474 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	406 ," 	1,391 "," 	1,797 ", 	49 , 	213 , 	262 , 	80 , 	- 0," 	1,329 "," 	3,092 "," 	2,879 "," 	3,442 "," 	2,822 "," 	1,829 "," 	4,380 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	472 ," 	1,604 "," 	2,076 ", 	80 , 	466 , 	546 , 	- 0, 	195 ," 	1,528 "," 	3,871 "," 	3,512 "," 	3,506 "," 	3,374 "," 	2,071 "," 	6,068 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	629 ," 	1,947 "," 	2,576 ", 	85 , 	692 , 	777 , 	23 , 	- 0," 	1,381 "," 	3,369 "," 	3,156 "," 	3,304 "," 	3,123 "," 	1,627 "," 	4,724 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,535 "," 	5,248 "," 	6,783 ", 	249 ," 	2,450 "," 	2,699 ", 	19 , 	11 ," 	4,153 "," 	9,491 "," 	7,865 "," 	9,096 "," 	7,487 "," 	5,448 "," 	13,719 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,201 "," 	3,973 "," 	5,174 ", 	185 ," 	1,566 "," 	1,751 ", 	41 , 	- 0," 	3,350 "," 	6,615 "," 	5,669 "," 	6,271 "," 	5,575 "," 	3,395 "," 	9,828 "
,2008-09,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,157 "," 	3,595 "," 	4,752 ", 	162 , 	623 , 	785 , 	- 0, 	161 ," 	3,121 "," 	8,249 "," 	7,224 "," 	8,317 "," 	7,256 "," 	4,609 "," 	11,250 "
