,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,APRIL,,,,England," 	141,966 "," 	421,825 "," 	563,791 "," 	24,225 "," 	122,080 "," 	146,305 "," 	9,098 "," 	14,335 "," 	408,413 "," 	914,131 "," 	762,501 "," 	866,763 "," 	711,755 "," 	459,669 "," 	1,189,155 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	611 ," 	1,758 "," 	2,369 ", 	94 , 	565 , 	659 , 	30 , 	- 0," 	1,335 "," 	3,093 "," 	2,865 "," 	3,060 "," 	2,803 "," 	1,496 "," 	4,369 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,533 "," 	5,023 "," 	6,556 ", 	260 ," 	2,374 "," 	2,634 ", 	12 , 	10 ," 	4,038 "," 	8,685 "," 	7,156 "," 	8,324 "," 	6,798 "," 	4,380 "," 	11,567 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,138 "," 	3,836 "," 	4,974 ", 	183 ," 	1,476 "," 	1,659 ", 	40 , 	- 0," 	3,451 "," 	6,577 "," 	5,541 "," 	6,415 "," 	5,312 "," 	3,563 "," 	9,960 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,082 "," 	3,567 "," 	4,649 ", 	154 , 	726 , 	880 , 	- 0, 	131 ," 	3,100 "," 	8,345 "," 	6,805 "," 	8,279 "," 	6,622 "," 	4,400 "," 	10,262 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,512 "," 	4,360 "," 	5,872 ", 	200 ," 	1,391 "," 	1,591 ", 	596 , 	- 0," 	4,209 "," 	8,847 "," 	7,495 "," 	8,581 "," 	7,068 "," 	3,853 "," 	11,339 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,406 "," 	4,537 "," 	5,943 ", 	181 ," 	1,701 "," 	1,882 ", 	72 , 	- 0," 	3,314 "," 	7,939 "," 	6,503 "," 	6,956 "," 	5,912 "," 	3,001 "," 	9,393 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT," 	1,120 "," 	3,801 "," 	4,921 ", 	194 ," 	1,819 "," 	2,013 ", 	37 , 	1 ," 	3,226 "," 	5,934 "," 	4,827 "," 	5,733 "," 	4,687 "," 	4,112 "," 	9,327 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	2,005 "," 	5,279 "," 	7,284 ", 	375 ," 	2,843 "," 	3,218 ", 	13 , 	468 ," 	4,143 "," 	9,532 "," 	8,489 "," 	10,804 "," 	8,195 "," 	4,662 "," 	13,602 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,684 "," 	6,758 "," 	9,442 ", 	588 ," 	2,538 "," 	3,126 ", 	- 0, 	159 ," 	5,575 "," 	11,781 "," 	10,681 "," 	11,741 "," 	9,741 "," 	5,884 "," 	16,122 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,TAL,TORBAY CARE TRUST, 	437 ," 	1,262 "," 	1,699 ", 	80 , 	467 , 	547 , 	- 0, 	111 , 	882 ," 	2,335 "," 	2,378 "," 	2,315 "," 	2,073 "," 	1,129 "," 	3,103 "
