,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JUNE,,,,England," 	139,030 "," 	483,870 "," 	622,927 "," 	22,690 "," 	144,721 "," 	167,441 "," 	23,779 "," 	449,326 "," 	1,062,591 "," 	894,979 "," 	1,008,219 "," 	848,213 "," 	544,019 "," 	1,428,070 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	862 ," 	3,574 "," 	4,436 ", 	123 ," 	1,278 "," 	1,401 ", 	71 ," 	2,645 "," 	4,832 "," 	5,677 "," 	4,196 "," 	5,029 "," 	1,307 "," 	8,781 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	871 ," 	3,424 "," 	4,295 ", 	126 , 	763 , 	889 , 	574 ," 	3,228 "," 	7,929 "," 	6,314 "," 	7,340 "," 	5,622 "," 	3,538 "," 	9,271 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	996 ," 	4,283 "," 	5,279 ", 	133 ," 	1,614 "," 	1,747 ", 	256 ," 	4,421 "," 	7,989 "," 	10,248 "," 	7,186 "," 	9,237 "," 	4,055 "," 	14,767 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	561 ," 	2,211 "," 	2,772 ", 	202 , 	605 , 	807 , 	56 ," 	1,670 "," 	3,822 "," 	3,895 "," 	3,513 "," 	3,306 "," 	1,150 "," 	4,726 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	648 ," 	2,730 "," 	3,378 ", 	124 , 	718 , 	842 , 	31 ," 	2,556 "," 	5,261 "," 	5,663 "," 	4,525 "," 	4,342 "," 	1,510 "," 	6,313 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,507 "," 	6,574 "," 	8,081 ", 	197 ," 	2,286 "," 	2,483 "," 	1,159 "," 	4,564 "," 	12,898 "," 	10,844 "," 	12,080 "," 	10,027 "," 	7,939 "," 	15,763 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,539 "," 	4,857 "," 	6,396 ", 	204 ," 	1,563 "," 	1,767 "," 	1,248 "," 	4,171 "," 	11,156 "," 	9,073 "," 	9,909 "," 	8,722 "," 	4,753 "," 	13,811 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,467 "," 	4,945 "," 	6,412 ", 	182 ," 	1,573 "," 	1,755 ", 	26 ," 	3,740 "," 	10,382 "," 	8,853 "," 	9,990 "," 	8,607 "," 	6,607 "," 	13,954 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	453 ," 	1,853 "," 	2,306 ", 	59 , 	802 , 	861 , 	21 ," 	1,785 "," 	3,578 "," 	4,986 "," 	3,292 "," 	4,711 "," 	1,713 "," 	7,091 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	536 ," 	1,328 "," 	1,864 ", 	87 , 	321 , 	408 , 	- 0," 	1,468 "," 	3,316 "," 	3,670 "," 	2,828 "," 	3,108 "," 	1,644 "," 	5,589 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	950 ," 	3,381 "," 	4,331 ", 	155 ," 	1,166 "," 	1,321 ", 	- 0," 	2,635 "," 	7,570 "," 	6,009 "," 	7,476 "," 	5,995 "," 	3,025 "," 	8,703 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,071 "," 	3,444 "," 	4,515 ", 	133 , 	663 , 	796 , 	54 ," 	2,584 "," 	8,699 "," 	7,294 "," 	8,244 "," 	6,951 "," 	2,943 "," 	10,317 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	455 ," 	1,260 "," 	1,715 ", 	61 , 	307 , 	368 , 	14 ," 	1,340 "," 	2,967 "," 	2,623 "," 	2,745 "," 	2,521 "," 	1,890 "," 	4,007 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,443 "," 	5,811 "," 	7,254 ", 	267 ," 	1,910 "," 	2,177 "," 	1,207 "," 	4,148 "," 	9,839 "," 	8,433 "," 	9,512 "," 	8,098 "," 	6,882 "," 	13,491 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,963 "," 	7,968 "," 	9,931 ", 	261 ," 	2,842 "," 	3,103 ", 	33 ," 	5,885 "," 	14,423 "," 	13,116 "," 	14,113 "," 	12,820 "," 	5,774 "," 	19,786 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	694 ," 	2,514 "," 	3,208 ", 	72 , 	457 , 	529 , 	1 ," 	1,768 "," 	5,535 "," 	4,308 "," 	5,365 "," 	4,162 "," 	1,727 "," 	5,862 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,443 "," 	5,430 "," 	6,873 ", 	180 ," 	1,784 "," 	1,964 ", 	280 ," 	4,623 "," 	12,189 "," 	9,799 "," 	11,716 "," 	9,520 "," 	5,337 "," 	16,103 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	728 ," 	2,804 "," 	3,532 ", 	88 ," 	1,037 "," 	1,125 ", 	451 ," 	2,123 "," 	5,281 "," 	4,493 "," 	4,976 "," 	4,231 "," 	2,931 "," 	6,554 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	808 ," 	2,240 "," 	3,048 ", 	111 , 	390 , 	501 , 	2 ," 	2,175 "," 	4,532 "," 	4,440 "," 	4,364 "," 	4,163 "," 	2,594 "," 	6,470 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	807 ," 	2,748 "," 	3,555 ", 	90 , 	945 ," 	1,035 ", 	6 ," 	2,360 "," 	7,203 "," 	6,076 "," 	7,101 "," 	5,998 "," 	4,756 "," 	9,274 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	777 ," 	3,418 "," 	4,195 ", 	131 ," 	1,059 "," 	1,190 ", 	- 0," 	2,723 "," 	8,838 "," 	7,200 "," 	8,670 "," 	7,176 "," 	4,861 "," 	11,508 "
,2010-11,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	3,020 "," 	9,240 "," 	12,260 ", 	454 ," 	2,357 "," 	2,811 ", 	332 ," 	7,298 "," 	22,864 "," 	19,253 "," 	21,568 "," 	18,248 "," 	12,421 "," 	29,288 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	529 ," 	2,316 "," 	2,845 ", 	66 , 	432 , 	498 , 	3 ," 	2,151 "," 	4,387 "," 	3,829 "," 	4,360 "," 	3,806 "," 	2,467 "," 	6,138 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	356 ," 	1,102 "," 	1,458 ", 	58 , 	270 , 	328 , 	37 ," 	1,071 "," 	3,342 "," 	2,776 "," 	2,865 "," 	2,422 "," 	1,475 "," 	4,068 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	766 ," 	3,410 "," 	4,176 ", 	114 , 	779 , 	893 , 	2 ," 	2,192 "," 	7,845 "," 	5,899 "," 	7,414 "," 	5,872 "," 	4,145 "," 	9,669 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	521 ," 	2,190 "," 	2,711 ", 	96 , 	664 , 	760 , 	- 0," 	1,961 "," 	4,610 "," 	3,957 "," 	4,075 "," 	3,701 "," 	3,344 "," 	7,382 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	832 ," 	3,049 "," 	3,881 ", 	115 , 	637 , 	752 , 	126 ," 	2,880 "," 	9,229 "," 	7,514 "," 	8,748 "," 	6,759 "," 	5,644 "," 	11,933 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	611 ," 	2,179 "," 	2,790 ", 	98 , 	542 , 	640 , 	601 ," 	2,236 "," 	5,495 "," 	4,647 "," 	5,097 "," 	4,361 "," 	2,383 "," 	7,334 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	717 ," 	2,710 "," 	3,427 ", 	82 , 	750 , 	832 , 	440 ," 	2,066 "," 	6,048 "," 	5,624 "," 	5,590 "," 	5,019 "," 	4,007 "," 	8,743 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	319 ," 	1,374 "," 	1,693 ", 	40 , 	249 , 	289 , 	- 0," 	1,825 "," 	3,459 "," 	2,761 "," 	3,409 "," 	2,741 "," 	1,727 "," 	4,432 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	483 ," 	1,691 "," 	2,174 ", 	129 , 	308 , 	437 , 	2 ," 	1,939 "," 	4,141 "," 	3,661 "," 	3,916 "," 	3,391 "," 	2,428 "," 	5,406 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	441 ," 	1,266 "," 	1,707 ", 	84 , 	257 , 	341 , 	- 0," 	1,821 "," 	5,022 "," 	4,331 "," 	4,271 "," 	3,522 "," 	3,116 "," 	7,200 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	536 ," 	1,747 "," 	2,283 ", 	112 , 	728 , 	840 , 	- 0," 	2,588 "," 	8,493 "," 	6,612 "," 	6,233 "," 	4,440 "," 	3,903 "," 	8,618 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	504 ," 	2,169 "," 	2,673 ", 	48 , 	571 , 	619 , 	32 ," 	1,813 "," 	5,616 "," 	4,660 "," 	5,174 "," 	4,244 "," 	3,662 "," 	8,377 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	448 ," 	1,209 "," 	1,657 ", 	68 , 	227 , 	295 , 	8 ," 	2,060 "," 	4,812 "," 	3,579 "," 	4,349 "," 	3,247 "," 	2,201 "," 	5,400 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	742 ," 	2,759 "," 	3,501 ", 	88 , 	687 , 	775 , 	158 ," 	3,116 "," 	8,364 "," 	6,496 "," 	7,435 "," 	5,804 "," 	4,302 "," 	9,330 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	532 ," 	1,820 "," 	2,352 ", 	66 , 	428 , 	494 , 	13 ," 	1,993 "," 	6,057 "," 	4,822 "," 	5,303 "," 	4,232 "," 	2,065 "," 	6,777 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	679 ," 	2,208 "," 	2,887 ", 	79 , 	542 , 	621 , 	777 ," 	2,471 "," 	7,120 "," 	5,560 "," 	6,651 "," 	5,384 "," 	3,646 "," 	7,965 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	490 ," 	1,646 "," 	2,136 ", 	95 , 	564 , 	659 , 	241 ," 	1,545 "," 	3,591 "," 	3,564 "," 	3,478 "," 	3,435 "," 	2,081 "," 	5,243 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	396 ," 	1,749 "," 	2,145 ", 	53 , 	485 , 	538 , 	2 ," 	1,529 "," 	5,318 "," 	4,494 "," 	5,039 "," 	4,218 "," 	3,595 "," 	7,604 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	431 ," 	1,929 "," 	2,360 ", 	55 , 	575 , 	630 , 	6 ," 	1,634 "," 	4,616 "," 	3,964 "," 	4,281 "," 	3,610 "," 	3,001 "," 	6,734 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	771 ," 	3,020 "," 	3,791 ", 	136 , 	735 , 	871 , 	54 ," 	2,720 "," 	7,534 "," 	5,386 "," 	6,453 "," 	5,144 "," 	4,857 "," 	10,677 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	375 ," 	1,207 "," 	1,582 ", 	62 , 	235 , 	297 , 	3 ," 	1,425 "," 	4,323 "," 	3,010 "," 	3,965 "," 	2,803 "," 	2,168 "," 	7,646 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	443 ," 	1,524 "," 	1,967 ", 	53 , 	294 , 	347 , 	9 ," 	1,908 "," 	5,741 "," 	3,790 "," 	5,170 "," 	3,552 "," 	3,217 "," 	8,791 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	636 ," 	2,137 "," 	2,773 ", 	135 , 	488 , 	623 , 	10 ," 	2,937 "," 	7,178 "," 	5,324 "," 	5,910 "," 	4,808 "," 	3,942 "," 	10,133 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	521 ," 	1,883 "," 	2,404 ", 	90 , 	531 , 	621 , 	1 ," 	2,724 "," 	5,844 "," 	4,256 "," 	4,736 "," 	3,861 "," 	3,657 "," 	9,101 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	560 ," 	2,454 "," 	3,014 ", 	133 , 	559 , 	692 , 	1 ," 	2,128 "," 	5,688 "," 	4,442 "," 	5,299 "," 	4,287 "," 	2,844 "," 	7,366 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	648 ," 	1,717 "," 	2,365 ", 	94 , 	403 , 	497 , 	45 ," 	2,207 "," 	9,688 "," 	6,714 "," 	8,253 "," 	5,630 "," 	3,447 "," 	9,170 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	371 ," 	1,137 "," 	1,508 ", 	60 , 	356 , 	416 , 	27 ," 	1,191 "," 	4,222 "," 	3,440 "," 	3,641 "," 	3,065 "," 	1,611 "," 	4,828 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	784 ," 	2,598 "," 	3,382 ", 	108 , 	487 , 	595 , 	130 ," 	2,654 "," 	8,858 "," 	6,470 "," 	8,018 "," 	5,869 "," 	2,376 "," 	9,609 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	518 ," 	2,254 "," 	2,772 ", 	71 , 	544 , 	615 , 	143 ," 	2,143 "," 	5,360 "," 	4,401 "," 	5,312 "," 	4,381 "," 	2,537 "," 	6,838 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	544 ," 	2,224 "," 	2,768 ", 	77 , 	803 , 	880 , 	5 ," 	2,197 "," 	6,218 "," 	4,762 "," 	6,152 "," 	4,704 "," 	2,683 "," 	8,322 "
,2010-11,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	506 ," 	2,115 "," 	2,621 ", 	70 , 	637 , 	707 , 	1 ," 	1,661 "," 	2,973 "," 	2,826 "," 	2,703 "," 	2,658 "," 	2,163 "," 	5,285 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	825 ," 	1,836 "," 	2,661 ", 	260 , 	371 , 	631 , 	- 0," 	2,157 "," 	5,362 "," 	5,135 "," 	4,912 "," 	4,499 "," 	2,228 "," 	7,505 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	814 ," 	2,054 "," 	2,868 ", 	324 , 	448 , 	772 , 	247 ," 	2,298 "," 	5,674 "," 	4,601 "," 	5,513 "," 	4,415 "," 	3,006 "," 	6,505 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,613 "," 	8,977 "," 	11,590 ", 	297 ," 	2,621 "," 	2,918 ", 	199 ," 	9,026 "," 	20,278 "," 	18,164 "," 	19,099 "," 	17,076 "," 	8,150 "," 	28,263 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,335 "," 	6,766 "," 	9,101 ", 	548 ," 	1,713 "," 	2,261 "," 	1,356 "," 	6,813 "," 	14,513 "," 	12,297 "," 	14,399 "," 	12,207 "," 	9,242 "," 	21,420 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,145 "," 	2,669 "," 	3,814 ", 	295 , 	812 ," 	1,107 ", 	109 ," 	2,708 "," 	8,146 "," 	7,050 "," 	8,054 "," 	6,930 "," 	3,186 "," 	9,704 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	515 ," 	1,495 "," 	2,010 ", 	54 , 	532 , 	586 , 	- 0," 	1,688 "," 	4,734 "," 	3,833 "," 	4,725 "," 	3,824 "," 	1,811 "," 	5,362 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,775 "," 	4,845 "," 	6,620 ", 	335 ," 	1,340 "," 	1,675 ", 	3 ," 	5,006 "," 	13,830 "," 	11,351 "," 	12,715 "," 	10,201 "," 	7,512 "," 	17,816 "
,2010-11,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,133 "," 	6,274 "," 	8,407 ", 	409 ," 	2,164 "," 	2,573 ", 	4 ," 	6,094 "," 	14,945 "," 	12,444 "," 	14,544 "," 	12,115 "," 	9,618 "," 	20,475 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	512 ," 	1,877 "," 	2,389 ", 	96 , 	641 , 	737 , 	143 ," 	2,039 "," 	4,654 "," 	3,868 "," 	4,125 "," 	3,468 "," 	1,688 "," 	5,981 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	420 ," 	1,573 "," 	1,993 ", 	31 , 	219 , 	250 , 	265 ," 	1,705 "," 	4,444 "," 	3,521 "," 	4,307 "," 	3,350 "," 	1,631 "," 	5,608 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	543 ," 	2,115 "," 	2,658 ", 	77 , 	760 , 	837 , 	646 ," 	2,153 "," 	3,889 "," 	3,059 "," 	3,887 "," 	3,059 "," 	2,443 "," 	4,884 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,150 "," 	11,352 "," 	14,502 ", 	400 ," 	2,786 "," 	3,186 "," 	3,167 "," 	9,547 "," 	22,949 "," 	19,381 "," 	22,589 "," 	19,035 "," 	12,761 "," 	31,272 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,022 "," 	3,861 "," 	4,883 ", 	169 ," 	1,261 "," 	1,430 ", 	49 ," 	3,607 "," 	8,549 "," 	6,923 "," 	8,247 "," 	6,653 "," 	2,412 "," 	12,267 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,337 "," 	4,345 "," 	5,682 ", 	357 ," 	1,554 "," 	1,911 ", 	82 ," 	4,242 "," 	8,382 "," 	7,089 "," 	8,230 "," 	6,938 "," 	4,389 "," 	13,670 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	913 ," 	3,074 "," 	3,987 ", 	132 , 	475 , 	607 , 	60 ," 	2,529 "," 	7,921 "," 	6,727 "," 	7,613 "," 	6,415 "," 	2,788 "," 	11,125 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	725 ," 	3,102 "," 	3,827 ", 	111 , 	574 , 	685 , 	77 ," 	2,743 "," 	9,051 "," 	7,108 "," 	8,628 "," 	6,723 "," 	1,746 "," 	10,916 "
,2010-11,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	328 , 	764 ," 	1,092 ", 	41 , 	86 , 	127 , 	14 , 	899 ," 	3,105 "," 	2,399 "," 	3,025 "," 	2,297 "," 	2,026 "," 	4,114 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	659 ," 	2,292 "," 	2,951 ", 	80 , 	968 ," 	1,048 ", 	2 ," 	1,628 "," 	3,880 "," 	3,205 "," 	3,744 "," 	3,091 "," 	2,051 "," 	5,190 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	621 ," 	2,122 "," 	2,743 ", 	115 , 	326 , 	441 , 	168 ," 	2,386 "," 	4,615 "," 	4,029 "," 	4,601 "," 	3,972 "," 	1,405 "," 	6,221 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	410 ," 	1,478 "," 	1,888 ", 	62 , 	265 , 	327 , 	- 0," 	1,300 "," 	3,873 "," 	3,085 "," 	3,535 "," 	3,022 "," 	1,728 "," 	4,799 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	470 ," 	1,753 "," 	2,223 ", 	85 , 	623 , 	708 , 	- 0," 	1,638 "," 	3,949 "," 	3,354 "," 	3,900 "," 	3,252 "," 	1,990 "," 	5,722 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	601 ," 	2,099 "," 	2,700 ", 	92 , 	745 , 	837 , 	- 0," 	1,605 "," 	3,836 "," 	3,146 "," 	3,744 "," 	3,097 "," 	1,658 "," 	4,964 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,347 "," 	6,201 "," 	7,548 ", 	230 ," 	2,678 "," 	2,908 ", 	11 ," 	4,484 "," 	9,714 "," 	8,590 "," 	9,127 "," 	8,048 "," 	5,083 "," 	13,601 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,039 "," 	4,022 "," 	5,061 ", 	141 ," 	1,443 "," 	1,584 ", 	- 0," 	3,349 "," 	7,709 "," 	6,345 "," 	7,196 "," 	5,870 "," 	4,180 "," 	10,614 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,170 "," 	3,724 "," 	4,894 ", 	141 , 	731 , 	872 , 	22 ," 	3,439 "," 	8,302 "," 	7,101 "," 	7,985 "," 	7,063 "," 	4,392 "," 	11,401 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,687 "," 	5,289 "," 	6,976 ", 	176 ," 	1,136 "," 	1,312 ", 	- 0," 	4,622 "," 	9,211 "," 	8,139 "," 	9,150 "," 	8,129 "," 	4,083 "," 	12,994 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,324 "," 	5,008 "," 	6,332 ", 	154 ," 	1,520 "," 	1,674 ", 	2 ," 	3,389 "," 	7,557 "," 	6,660 "," 	7,496 "," 	6,608 "," 	3,589 "," 	10,770 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	956 ," 	4,193 "," 	5,149 ", 	178 ," 	1,895 "," 	2,073 ", 	1 ," 	3,277 "," 	6,026 "," 	4,804 "," 	5,825 "," 	4,679 "," 	4,228 "," 	9,717 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,671 "," 	5,684 "," 	7,355 ", 	271 ," 	2,066 "," 	2,337 ", 	76 ," 	4,362 "," 	10,217 "," 	9,526 "," 	10,153 "," 	9,479 "," 	4,790 "," 	14,676 "
,2010-11,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,530 "," 	7,927 "," 	10,457 ", 	550 ," 	3,098 "," 	3,648 ", 	154 ," 	6,026 "," 	13,834 "," 	11,917 "," 	13,745 "," 	11,823 "," 	6,046 "," 	18,247 "
