,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,MAY,,,,England," 	132,990 "," 	404,155 "," 	537,145 "," 	20,921 "," 	119,121 "," 	140,042 "," 	9,322 "," 	16,010 "," 	431,844 "," 	902,489 "," 	730,103 "," 	859,452 "," 	694,061 "," 	478,983 "," 	1,182,159 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	532 ," 	1,577 "," 	2,109 ", 	87 , 	397 , 	484 , 	- 0, 	516 ," 	2,580 "," 	3,896 "," 	4,276 "," 	2,915 "," 	3,226 "," 	4,212 "," 	6,596 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	784 ," 	3,042 "," 	3,826 ", 	128 ," 	1,215 "," 	1,343 ", 	- 0, 	55 ," 	2,509 "," 	5,268 "," 	4,575 "," 	4,694 "," 	4,148 "," 	1,538 "," 	7,106 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	871 ," 	2,942 "," 	3,813 ", 	113 , 	730 , 	843 , 	- 0, 	498 ," 	2,874 "," 	4,213 "," 	5,108 "," 	3,563 "," 	4,543 "," 	4,950 "," 	7,628 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	933 ," 	3,366 "," 	4,299 ", 	175 ," 	1,382 "," 	1,557 ", 	- 0, 	152 ," 	3,389 "," 	6,933 "," 	6,613 "," 	6,134 "," 	5,753 "," 	6,847 "," 	12,164 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	723 ," 	1,822 "," 	2,545 ", 	316 , 	535 , 	851 , 	- 0, 	13 ," 	1,872 "," 	3,888 "," 	2,623 "," 	3,276 "," 	2,356 "," 	1,647 "," 	3,325 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	650 ," 	2,256 "," 	2,906 ", 	186 , 	620 , 	806 , 	- 0, 	5 ," 	3,106 "," 	5,121 "," 	4,085 "," 	4,559 "," 	3,465 "," 	2,569 "," 	5,007 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,344 "," 	4,577 "," 	5,921 ", 	145 ," 	1,678 "," 	1,823 ", 	- 0, 	443 ," 	4,289 "," 	12,905 "," 	8,312 "," 	12,076 "," 	7,866 "," 	7,369 "," 	12,891 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,282 "," 	4,022 "," 	5,304 ", 	111 ," 	1,325 "," 	1,436 ", 	202 , 	58 ," 	3,952 "," 	8,914 "," 	7,651 "," 	8,326 "," 	7,331 "," 	3,976 "," 	11,480 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,354 "," 	4,221 "," 	5,575 ", 	146 ," 	1,471 "," 	1,617 ", 	25 , 	12 ," 	3,801 "," 	8,873 "," 	6,932 "," 	8,588 "," 	6,675 "," 	5,017 "," 	11,337 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	518 ," 	1,624 "," 	2,142 ", 	106 , 	707 , 	813 , 	- 0, 	62 ," 	1,390 "," 	3,086 "," 	2,960 "," 	2,678 "," 	2,605 "," 	3,392 "," 	5,584 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	502 ," 	1,033 "," 	1,535 ", 	77 , 	283 , 	360 , 	- 0, 	- 0," 	1,721 "," 	3,445 "," 	3,166 "," 	2,975 "," 	2,600 "," 	1,550 "," 	4,588 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	941 ," 	2,960 "," 	3,901 ", 	129 ," 	1,006 "," 	1,135 ", 	- 0, 	- 0," 	2,894 "," 	6,732 "," 	5,356 "," 	6,729 "," 	5,351 "," 	2,824 "," 	7,600 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,163 "," 	3,947 "," 	5,110 ", 	124 , 	497 , 	621 , 	- 0, 	10 ," 	2,537 "," 	7,072 "," 	5,567 "," 	6,883 "," 	5,515 "," 	2,414 "," 	8,511 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,609 "," 	3,977 "," 	5,586 ", 	228 , 	818 ," 	1,046 ", 	- 0, 	- 0," 	3,853 "," 	11,497 "," 	9,211 "," 	10,745 "," 	8,608 "," 	5,101 "," 	12,943 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,505 "," 	3,869 "," 	5,374 ", 	285 , 	921 ," 	1,206 ", 	- 0, 	- 0," 	3,729 "," 	11,022 "," 	9,367 "," 	10,112 "," 	8,594 "," 	5,404 "," 	14,008 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	428 , 	992 ," 	1,420 ", 	72 , 	194 , 	266 , 	65 , 	7 ," 	1,467 "," 	2,706 "," 	2,331 "," 	2,599 "," 	2,284 "," 	1,364 "," 	3,303 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,526 "," 	5,072 "," 	6,598 ", 	245 ," 	1,692 "," 	1,937 ", 	33 ," 	1,073 "," 	4,080 "," 	8,868 "," 	7,197 "," 	8,840 "," 	7,002 "," 	5,095 "," 	11,214 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,138 "," 	6,656 "," 	8,794 ", 	358 ," 	2,510 "," 	2,868 ", 	489 , 	50 ," 	6,119 "," 	13,804 "," 	13,402 "," 	12,736 "," 	12,546 "," 	5,482 "," 	18,844 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	847 ," 	2,023 "," 	2,870 ", 	123 , 	538 , 	661 , 	- 0, 	- 0," 	1,707 "," 	4,735 "," 	3,550 "," 	4,710 "," 	3,429 ", 	902 ," 	4,465 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,536 "," 	4,718 "," 	6,254 ", 	157 ," 	1,537 "," 	1,694 ", 	- 0, 	- 0," 	4,450 "," 	11,160 "," 	8,638 "," 	11,020 "," 	8,425 "," 	5,139 "," 	13,594 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	695 ," 	2,510 "," 	3,205 ", 	83 , 	908 , 	991 , 	- 0, 	- 0," 	2,157 "," 	4,848 "," 	4,467 "," 	4,617 "," 	4,110 "," 	2,458 "," 	5,993 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	778 ," 	1,992 "," 	2,770 ", 	73 , 	467 , 	540 , 	- 0, 	- 0," 	2,216 "," 	6,327 "," 	4,450 "," 	6,230 "," 	4,311 "," 	2,220 "," 	6,191 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	906 ," 	2,392 "," 	3,298 ", 	145 , 	755 , 	900 , 	4 , 	- 0," 	3,155 "," 	5,562 "," 	5,210 "," 	5,521 "," 	4,605 "," 	5,310 "," 	7,793 "
,2009-10,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	897 ," 	2,632 "," 	3,529 ", 	192 , 	854 ," 	1,046 ", 	- 0, 	- 0," 	2,755 "," 	6,397 "," 	5,852 "," 	6,261 "," 	5,805 "," 	4,121 "," 	9,335 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	686 ," 	2,365 "," 	3,051 ", 	84 , 	475 , 	559 , 	363 , 	- 0," 	2,198 "," 	2,755 "," 	2,347 "," 	2,750 "," 	1,589 "," 	2,340 "," 	5,716 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	320 ," 	1,089 "," 	1,409 ", 	79 , 	204 , 	283 , 	- 0, 	- 0, 	852 ," 	2,580 "," 	2,383 "," 	2,573 "," 	2,382 "," 	1,104 "," 	3,087 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	779 ," 	2,815 "," 	3,594 ", 	118 , 	640 , 	758 , 	2 , 	89 ," 	2,011 "," 	5,687 "," 	4,720 "," 	5,252 "," 	4,365 ", 	657 ," 	6,589 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	510 ," 	1,816 "," 	2,326 ", 	124 , 	725 , 	849 , 	- 0, 	3 ," 	1,372 "," 	3,399 "," 	2,742 "," 	3,335 "," 	2,732 "," 	2,412 "," 	5,632 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	703 ," 	2,540 "," 	3,243 ", 	97 , 	391 , 	488 , 	- 0, 	- 0," 	2,583 "," 	7,987 "," 	5,680 "," 	7,467 "," 	4,860 "," 	3,488 "," 	8,196 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	584 ," 	1,807 "," 	2,391 ", 	60 , 	394 , 	454 , 	- 0, 	1 ," 	2,083 "," 	4,630 "," 	3,736 "," 	4,575 "," 	3,357 "," 	1,870 "," 	5,127 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	554 ," 	2,288 "," 	2,842 ", 	53 , 	605 , 	658 , 	- 0, 	328 ," 	2,104 "," 	5,467 "," 	4,005 "," 	5,030 "," 	3,510 "," 	3,428 "," 	6,647 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	338 ," 	1,101 "," 	1,439 ", 	37 , 	230 , 	267 , 	150 , 	- 0," 	2,003 "," 	3,109 "," 	2,477 "," 	3,103 "," 	2,465 "," 	1,897 "," 	4,247 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	453 ," 	1,400 "," 	1,853 ", 	53 , 	167 , 	220 , 	- 0, 	- 0," 	1,772 "," 	4,456 "," 	4,344 "," 	3,780 "," 	3,626 "," 	2,592 "," 	6,312 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	430 ," 	1,129 "," 	1,559 ", 	47 , 	87 , 	134 , 	12 , 	- 0," 	1,816 "," 	3,465 "," 	3,265 "," 	2,956 "," 	2,873 "," 	2,275 "," 	5,158 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	450 ," 	1,684 "," 	2,134 ", 	85 , 	402 , 	487 , 	- 0, 	- 0," 	2,636 "," 	4,871 "," 	4,867 "," 	4,552 "," 	3,891 "," 	2,962 "," 	6,618 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	478 ," 	1,889 "," 	2,367 ", 	53 , 	482 , 	535 , 	- 0, 	22 ," 	1,721 "," 	4,630 "," 	3,406 "," 	4,229 "," 	3,120 "," 	2,964 "," 	6,876 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	373 , 	963 ," 	1,336 ", 	48 , 	199 , 	247 , 	- 0, 	- 0," 	1,625 "," 	3,247 "," 	2,442 "," 	2,988 "," 	2,245 "," 	1,634 "," 	3,894 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	743 ," 	2,393 "," 	3,136 ", 	69 , 	641 , 	710 , 	- 0, 	- 0," 	2,948 "," 	6,460 "," 	4,856 "," 	5,835 "," 	4,245 "," 	3,724 "," 	7,895 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	524 ," 	1,470 "," 	1,994 ", 	60 , 	216 , 	276 , 	- 0, 	- 0," 	2,335 "," 	5,090 "," 	4,064 "," 	4,359 "," 	3,913 "," 	2,458 "," 	6,174 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	644 ," 	1,950 "," 	2,594 ", 	75 , 	552 , 	627 , 	- 0, 	- 0," 	2,171 "," 	5,828 "," 	4,695 "," 	5,425 "," 	4,219 "," 	2,493 "," 	7,126 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	485 ," 	1,452 "," 	1,937 ", 	81 , 	515 , 	596 , 	- 0, 	- 0," 	1,552 "," 	3,504 "," 	2,867 "," 	3,139 "," 	2,711 "," 	2,058 "," 	4,478 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	389 ," 	1,340 "," 	1,729 ", 	54 , 	298 , 	352 , 	- 0, 	- 0," 	1,305 "," 	4,467 "," 	3,708 "," 	3,440 "," 	2,818 "," 	2,960 "," 	6,652 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	383 ," 	1,483 "," 	1,866 ", 	42 , 	328 , 	370 , 	- 0, 	- 0," 	1,600 "," 	4,090 "," 	3,236 "," 	3,721 "," 	2,944 "," 	2,617 "," 	4,958 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	682 ," 	3,005 "," 	3,687 ", 	79 ," 	1,065 "," 	1,144 ", 	3 , 	54 ," 	2,613 "," 	5,979 "," 	4,747 "," 	5,845 "," 	4,455 "," 	3,807 "," 	8,838 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	310 , 	964 ," 	1,274 ", 	53 , 	230 , 	283 , 	- 0, 	- 0," 	1,084 "," 	3,165 "," 	2,361 "," 	3,000 "," 	2,250 "," 	1,588 "," 	6,262 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	396 ," 	1,256 "," 	1,652 ", 	89 , 	408 , 	497 , 	- 0, 	- 0," 	1,440 "," 	4,107 "," 	3,034 "," 	4,043 "," 	2,966 "," 	2,246 "," 	6,588 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	642 ," 	1,730 "," 	2,372 ", 	103 , 	262 , 	365 , 	- 0, 	- 0," 	2,281 "," 	5,255 "," 	4,213 "," 	5,109 "," 	4,144 "," 	3,252 "," 	9,313 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	493 ," 	1,646 "," 	2,139 ", 	63 , 	243 , 	306 , 	- 0, 	- 0," 	2,079 "," 	4,141 "," 	3,388 "," 	4,108 "," 	3,372 "," 	3,004 "," 	7,980 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	561 ," 	2,134 "," 	2,695 ", 	109 , 	582 , 	691 , 	- 0, 	- 0," 	1,959 "," 	4,929 "," 	3,611 "," 	4,902 "," 	3,579 "," 	2,295 "," 	5,567 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	509 ," 	1,453 "," 	1,962 ", 	105 , 	468 , 	573 , 	- 0, 	- 0," 	1,921 "," 	6,648 "," 	3,784 "," 	5,971 "," 	3,719 "," 	1,911 "," 	6,766 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	355 , 	900 ," 	1,255 ", 	3 , 	5 , 	8 , 	- 0, 	- 0," 	1,012 "," 	3,042 "," 	2,575 "," 	3,022 "," 	2,556 "," 	1,363 "," 	5,805 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	760 ," 	2,304 "," 	3,064 ", 	121 , 	523 , 	644 , 	13 , 	111 ," 	2,574 "," 	6,739 "," 	4,738 "," 	6,391 "," 	4,616 "," 	1,730 "," 	12,607 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	500 ," 	1,756 "," 	2,256 ", 	85 , 	429 , 	514 , 	127 , 	- 0," 	2,188 "," 	5,099 "," 	3,801 "," 	5,028 "," 	3,715 "," 	2,246 "," 	6,165 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	386 ," 	1,607 "," 	1,993 ", 	60 , 	535 , 	595 , 	- 0, 	9 ," 	1,774 "," 	4,061 "," 	3,048 "," 	4,061 "," 	3,048 "," 	2,175 "," 	5,166 "
,2009-10,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	570 ," 	1,465 "," 	2,035 ", 	232 , 	280 , 	512 , 	- 0, 	32 ," 	1,491 "," 	2,861 "," 	1,997 "," 	2,453 "," 	1,899 "," 	1,787 "," 	4,244 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	622 ," 	1,446 "," 	2,068 ", 	55 , 	190 , 	245 , 	127 , 	24 ," 	2,107 "," 	4,893 "," 	3,542 "," 	4,698 "," 	3,542 "," 	1,544 "," 	5,260 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	659 ," 	1,509 "," 	2,168 ", 	270 , 	220 , 	490 , 	209 , 	- 0," 	2,189 "," 	5,512 "," 	3,756 "," 	5,440 "," 	3,685 "," 	2,344 "," 	5,134 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,159 "," 	7,060 "," 	9,219 ", 	128 ," 	1,575 "," 	1,703 ", 	- 0, 	481 ," 	8,514 "," 	17,195 "," 	14,534 "," 	16,435 "," 	13,544 "," 	5,957 "," 	21,804 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,060 "," 	5,343 "," 	7,403 ", 	350 , 	940 ," 	1,290 ", 	- 0," 	1,295 "," 	6,633 "," 	12,209 "," 	9,709 "," 	12,106 "," 	9,477 "," 	8,264 "," 	17,089 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,058 "," 	2,271 "," 	3,329 ", 	211 , 	684 , 	895 , 	- 0, 	- 0," 	2,680 "," 	7,545 "," 	6,041 "," 	7,418 "," 	5,951 "," 	2,634 "," 	8,265 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	438 ," 	1,131 "," 	1,569 ", 	42 , 	453 , 	495 , 	- 0, 	- 0," 	1,571 "," 	3,832 "," 	3,125 "," 	3,828 "," 	3,124 "," 	1,508 "," 	4,550 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,571 "," 	3,551 "," 	5,122 ", 	208 , 	797 ," 	1,005 ", 	652 , 	279 ," 	4,934 "," 	10,141 "," 	7,992 "," 	9,924 "," 	7,799 "," 	4,831 "," 	11,673 "
,2009-10,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,894 "," 	4,825 "," 	6,719 ", 	295 ," 	1,477 "," 	1,772 ", 	51 , 	- 0," 	6,293 "," 	11,463 "," 	9,349 "," 	11,413 "," 	9,223 "," 	7,223 "," 	15,798 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	437 ," 	1,303 "," 	1,740 ", 	54 , 	290 , 	344 , 	130 , 	- 0," 	1,980 "," 	3,716 "," 	3,249 "," 	3,394 "," 	2,971 "," 	1,388 "," 	4,714 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	412 ," 	1,444 "," 	1,856 ", 	38 , 	311 , 	349 , 	236 , 	337 ," 	1,920 "," 	3,950 "," 	2,813 "," 	3,645 "," 	2,601 "," 	1,282 "," 	4,497 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	528 ," 	1,617 "," 	2,145 ", 	123 , 	680 , 	803 , 	316 , 	17 ," 	2,062 "," 	3,755 "," 	3,404 "," 	3,697 "," 	3,362 "," 	2,896 "," 	5,672 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,138 "," 	9,299 "," 	12,437 ", 	453 ," 	2,464 "," 	2,917 ", 	293 ," 	3,221 "," 	9,707 "," 	21,491 "," 	16,804 "," 	20,577 "," 	16,306 "," 	11,433 "," 	26,996 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,030 "," 	3,598 "," 	4,628 ", 	208 ," 	1,118 "," 	1,326 ", 	26 , 	- 0," 	3,608 "," 	7,630 "," 	6,030 "," 	7,445 "," 	5,838 "," 	2,435 "," 	9,625 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,169 "," 	3,497 "," 	4,666 ", 	310 ," 	1,194 "," 	1,504 ", 	148 , 	- 0," 	4,248 "," 	7,765 "," 	7,090 "," 	7,602 "," 	6,720 "," 	4,334 "," 	13,293 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	897 ," 	2,306 "," 	3,203 ", 	172 , 	529 , 	701 , 	110 , 	- 0," 	2,649 "," 	6,236 "," 	4,637 "," 	6,111 "," 	4,514 "," 	2,241 "," 	8,328 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	699 ," 	2,540 "," 	3,239 ", 	81 , 	371 , 	452 , 	122 , 	- 0," 	2,520 "," 	5,027 "," 	4,812 "," 	5,026 "," 	4,810 "," 	2,591 "," 	6,924 "
,2009-10,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	359 , 	837 ," 	1,196 ", 	39 , 	80 , 	119 , 	- 0, 	- 0, 	965 ," 	2,528 "," 	2,062 "," 	2,450 "," 	1,965 "," 	1,607 "," 	3,492 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	619 ," 	1,945 "," 	2,564 ", 	84 , 	838 , 	922 , 	42 , 	- 0," 	1,510 "," 	3,449 "," 	2,669 "," 	3,284 "," 	2,590 "," 	1,754 "," 	4,248 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	702 ," 	1,965 "," 	2,667 ", 	110 , 	304 , 	414 , 	89 , 	145 ," 	2,287 "," 	4,266 "," 	3,747 "," 	4,475 "," 	3,880 "," 	1,430 "," 	5,745 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	413 ," 	1,314 "," 	1,727 ", 	58 , 	173 , 	231 , 	56 , 	- 0," 	1,353 "," 	3,194 "," 	2,646 "," 	3,508 "," 	2,922 "," 	1,849 "," 	4,399 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	399 ," 	1,336 "," 	1,735 ", 	72 , 	441 , 	513 , 	- 0, 	230 ," 	1,653 "," 	3,433 "," 	2,791 "," 	3,219 "," 	2,555 "," 	1,741 "," 	5,013 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	568 ," 	1,805 "," 	2,373 ", 	73 , 	631 , 	704 , 	16 , 	- 0," 	1,586 "," 	3,268 "," 	2,789 "," 	3,175 "," 	2,726 "," 	1,581 "," 	4,124 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,532 "," 	5,540 "," 	7,072 ", 	236 ," 	2,538 "," 	2,774 ", 	17 , 	10 ," 	4,452 "," 	8,433 "," 	6,913 "," 	7,904 "," 	7,219 "," 	5,071 "," 	13,177 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,061 "," 	3,335 "," 	4,396 ", 	149 ," 	1,274 "," 	1,423 ", 	22 , 	- 0," 	3,254 "," 	7,010 "," 	5,457 "," 	6,521 "," 	5,052 "," 	3,587 "," 	8,984 "
,2009-10,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,087 "," 	3,258 "," 	4,345 ", 	138 , 	560 , 	698 , 	- 0, 	170 ," 	3,306 "," 	7,780 "," 	6,432 "," 	7,695 "," 	6,387 "," 	4,853 "," 	10,255 "
