,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,AUGUST,,,,England," 	129,794 "," 	443,312 "," 	573,106 "," 	21,148 "," 	135,563 "," 	156,711 "," 	21,179 "," 	440,323 "," 	948,316 "," 	796,634 "," 	899,953 "," 	754,865 "," 	493,704 "," 	1,284,967 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	827 ," 	3,209 "," 	4,036 ", 	135 ," 	1,184 "," 	1,319 ", 	63 ," 	2,686 "," 	4,665 "," 	5,120 "," 	4,011 "," 	4,331 "," 	1,243 "," 	7,800 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	780 ," 	2,974 "," 	3,754 ", 	129 , 	642 , 	771 , 	489 ," 	3,159 "," 	6,820 "," 	5,251 "," 	6,335 "," 	4,631 "," 	2,964 "," 	7,957 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	917 ," 	3,647 "," 	4,564 ", 	149 ," 	1,419 "," 	1,568 ", 	180 ," 	3,826 "," 	10,083 "," 	9,028 "," 	9,400 "," 	8,061 "," 	4,250 "," 	13,594 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	532 ," 	1,959 "," 	2,491 ", 	172 , 	517 , 	689 , 	44 ," 	1,616 "," 	3,658 "," 	3,574 "," 	3,309 "," 	2,985 "," 	1,013 "," 	4,265 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	619 ," 	2,478 "," 	3,097 ", 	142 , 	705 , 	847 , 	20 ," 	2,666 "," 	5,018 "," 	5,112 "," 	4,332 "," 	3,900 "," 	1,424 "," 	5,603 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,433 "," 	5,995 "," 	7,428 ", 	180 ," 	2,219 "," 	2,399 "," 	1,043 "," 	4,511 "," 	12,363 "," 	9,529 "," 	11,575 "," 	8,767 "," 	7,119 "," 	14,384 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,456 "," 	4,445 "," 	5,901 ", 	212 ," 	1,462 "," 	1,674 "," 	1,105 "," 	4,043 "," 	10,000 "," 	7,993 "," 	8,894 "," 	7,681 "," 	4,282 "," 	12,298 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,452 "," 	4,570 "," 	6,022 ", 	198 ," 	1,559 "," 	1,757 ", 	25 ," 	3,618 "," 	9,311 "," 	7,679 "," 	9,040 "," 	7,408 "," 	5,473 "," 	11,957 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	504 ," 	1,701 "," 	2,205 ", 	89 , 	761 , 	850 , 	18 ," 	1,636 "," 	4,465 "," 	4,310 "," 	4,219 "," 	4,049 "," 	1,961 "," 	6,120 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	508 ," 	1,140 "," 	1,648 ", 	93 , 	319 , 	412 , 	- 0," 	1,385 "," 	2,914 "," 	2,911 "," 	2,551 "," 	2,495 "," 	1,342 "," 	4,815 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	906 ," 	3,147 "," 	4,053 ", 	121 ," 	1,150 "," 	1,271 ", 	- 0," 	2,701 "," 	6,949 "," 	5,238 "," 	6,871 "," 	5,225 "," 	2,873 "," 	7,712 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	977 ," 	3,168 "," 	4,145 ", 	139 , 	556 , 	695 , 	34 ," 	2,752 "," 	7,573 "," 	6,428 "," 	6,737 "," 	6,148 "," 	2,815 "," 	9,443 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	410 ," 	1,208 "," 	1,618 ", 	70 , 	323 , 	393 , 	8 ," 	1,284 "," 	2,742 "," 	2,156 "," 	2,533 "," 	2,070 "," 	1,740 "," 	3,527 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,301 "," 	5,223 "," 	6,524 ", 	181 ," 	1,805 "," 	1,986 "," 	1,002 "," 	3,926 "," 	8,733 "," 	7,186 "," 	8,464 "," 	6,954 "," 	5,983 "," 	11,968 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,027 "," 	7,671 "," 	9,698 ", 	279 ," 	2,701 "," 	2,980 ", 	33 ," 	5,764 "," 	13,037 "," 	11,869 "," 	12,753 "," 	11,613 "," 	4,999 "," 	18,283 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	680 ," 	2,332 "," 	3,012 ", 	82 , 	359 , 	441 , 	3 ," 	1,723 "," 	5,150 "," 	4,213 "," 	4,926 "," 	4,108 "," 	1,410 "," 	5,833 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,313 "," 	4,740 "," 	6,053 ", 	137 ," 	1,653 "," 	1,790 ", 	191 ," 	4,459 "," 	10,623 "," 	8,932 "," 	10,233 "," 	8,730 "," 	4,582 "," 	14,644 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	723 ," 	2,649 "," 	3,372 ", 	94 , 	980 ," 	1,074 ", 	376 ," 	2,086 "," 	4,927 "," 	4,095 "," 	4,745 "," 	3,914 "," 	2,588 "," 	6,103 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	715 ," 	1,955 "," 	2,670 ", 	54 , 	327 , 	381 , 	2 ," 	2,275 "," 	3,862 "," 	3,660 "," 	3,723 "," 	3,524 "," 	1,760 "," 	5,425 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	806 ," 	2,603 "," 	3,409 ", 	61 , 	847 , 	908 , 	- 0," 	2,353 "," 	6,317 "," 	5,352 "," 	6,230 "," 	5,264 "," 	4,253 "," 	8,432 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	744 ," 	3,229 "," 	3,973 ", 	102 ," 	1,179 "," 	1,281 ", 	2 ," 	2,533 "," 	7,545 "," 	6,603 "," 	7,450 "," 	6,581 "," 	4,220 "," 	10,487 "
,2010-11,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,693 "," 	8,237 "," 	10,930 ", 	356 ," 	1,968 "," 	2,324 ", 	319 ," 	7,356 "," 	19,721 "," 	17,063 "," 	18,620 "," 	16,247 "," 	11,091 "," 	26,317 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	463 ," 	1,968 "," 	2,431 ", 	68 , 	340 , 	408 , 	2 ," 	2,159 "," 	3,570 "," 	3,262 "," 	3,556 "," 	3,254 "," 	2,219 "," 	5,575 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	300 ," 	1,036 "," 	1,336 ", 	38 , 	316 , 	354 , 	32 , 	981 ," 	2,882 "," 	2,350 "," 	2,471 "," 	1,980 "," 	1,283 "," 	3,465 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	736 ," 	3,088 "," 	3,824 ", 	136 , 	722 , 	858 , 	2 ," 	2,171 "," 	6,707 "," 	4,929 "," 	6,341 "," 	4,912 "," 	3,765 "," 	8,442 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	466 ," 	1,879 "," 	2,345 ", 	69 , 	584 , 	653 , 	- 0," 	1,784 "," 	3,964 "," 	3,561 "," 	3,578 "," 	3,370 "," 	2,930 "," 	6,706 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	792 ," 	2,841 "," 	3,633 ", 	116 , 	565 , 	681 , 	116 ," 	2,785 "," 	9,007 "," 	5,982 "," 	8,515 "," 	5,337 "," 	5,071 "," 	9,862 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	584 ," 	2,041 "," 	2,625 ", 	88 , 	484 , 	572 , 	592 ," 	2,128 "," 	5,458 "," 	4,044 "," 	5,101 "," 	3,783 "," 	2,196 "," 	6,612 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	631 ," 	2,596 "," 	3,227 ", 	85 , 	701 , 	786 , 	344 ," 	1,956 "," 	5,545 "," 	4,766 "," 	5,164 "," 	4,076 "," 	3,746 "," 	7,413 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	266 ," 	1,150 "," 	1,416 ", 	38 , 	214 , 	252 , 	1 ," 	1,839 "," 	3,066 "," 	2,486 "," 	3,029 "," 	2,464 "," 	1,715 "," 	4,051 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	422 ," 	1,474 "," 	1,896 ", 	87 , 	255 , 	342 , 	3 ," 	1,821 "," 	3,587 "," 	3,313 "," 	3,388 "," 	3,087 "," 	1,884 "," 	4,865 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	391 ," 	1,284 "," 	1,675 ", 	74 , 	286 , 	360 , 	- 0," 	1,775 "," 	4,243 "," 	3,506 "," 	3,777 "," 	2,970 "," 	2,646 "," 	6,134 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	497 ," 	1,750 "," 	2,247 ", 	77 , 	618 , 	695 , 	- 0," 	2,748 "," 	6,874 "," 	5,822 "," 	4,759 "," 	3,834 "," 	3,016 "," 	7,784 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	448 ," 	2,024 "," 	2,472 ", 	60 , 	529 , 	589 , 	23 ," 	1,731 "," 	4,671 "," 	4,196 "," 	4,308 "," 	3,821 "," 	3,284 "," 	7,598 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	393 ," 	1,049 "," 	1,442 ", 	46 , 	212 , 	258 , 	9 ," 	1,851 "," 	3,887 "," 	3,140 "," 	3,463 "," 	2,818 "," 	1,923 "," 	4,847 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	683 ," 	2,635 "," 	3,318 ", 	99 , 	664 , 	763 , 	156 ," 	3,192 "," 	7,413 "," 	5,772 "," 	6,554 "," 	5,165 "," 	3,865 "," 	8,368 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	502 ," 	1,628 "," 	2,130 ", 	80 , 	437 , 	517 , 	8 ," 	1,969 "," 	5,469 "," 	4,372 "," 	4,755 "," 	3,854 "," 	1,824 "," 	6,094 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	626 ," 	2,159 "," 	2,785 ", 	76 , 	589 , 	665 , 	679 ," 	2,355 "," 	6,401 "," 	4,958 "," 	6,072 "," 	4,800 "," 	3,261 "," 	7,195 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	488 ," 	1,583 "," 	2,071 ", 	92 , 	564 , 	656 , 	281 ," 	1,510 "," 	3,499 "," 	3,026 "," 	3,400 "," 	2,930 "," 	1,657 "," 	4,519 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	421 ," 	1,566 "," 	1,987 ", 	63 , 	386 , 	449 , 	8 ," 	1,485 "," 	4,697 "," 	3,934 "," 	4,393 "," 	3,662 "," 	2,931 "," 	6,470 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	387 ," 	1,722 "," 	2,109 ", 	48 , 	476 , 	524 , 	7 ," 	1,580 "," 	4,160 "," 	3,481 "," 	3,844 "," 	3,172 "," 	2,411 "," 	5,921 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	735 ," 	2,687 "," 	3,422 ", 	101 , 	659 , 	760 , 	67 ," 	2,805 "," 	6,684 "," 	4,992 "," 	5,969 "," 	4,664 "," 	4,265 "," 	9,361 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	334 ," 	1,024 "," 	1,358 ", 	50 , 	260 , 	310 , 	6 ," 	1,395 "," 	3,728 "," 	2,570 "," 	3,494 "," 	2,413 "," 	1,868 "," 	7,228 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	399 ," 	1,338 "," 	1,737 ", 	48 , 	274 , 	322 , 	6 ," 	1,884 "," 	4,880 "," 	3,307 "," 	4,494 "," 	3,129 "," 	2,776 "," 	8,251 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	538 ," 	1,861 "," 	2,399 ", 	97 , 	430 , 	527 , 	13 ," 	2,765 "," 	6,366 "," 	4,588 "," 	5,297 "," 	4,115 "," 	3,843 "," 	9,286 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	479 ," 	1,699 "," 	2,178 ", 	89 , 	428 , 	517 , 	98 ," 	2,734 "," 	5,062 "," 	3,652 "," 	4,194 "," 	3,299 "," 	3,754 "," 	8,437 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	498 ," 	2,170 "," 	2,668 ", 	104 , 	581 , 	685 , 	100 ," 	2,004 "," 	5,325 "," 	3,912 "," 	5,007 "," 	3,782 "," 	5,255 "," 	9,361 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	616 ," 	1,701 "," 	2,317 ", 	70 , 	385 , 	455 , 	46 ," 	2,178 "," 	9,940 "," 	6,327 "," 	8,630 "," 	5,300 "," 	4,088 "," 	8,763 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	337 ," 	1,039 "," 	1,376 ", 	46 , 	326 , 	372 , 	19 ," 	1,055 "," 	3,263 "," 	2,905 "," 	2,734 "," 	2,561 "," 	1,427 "," 	4,113 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	771 ," 	2,391 "," 	3,162 ", 	85 , 	461 , 	546 , 	128 ," 	2,595 "," 	7,944 "," 	6,396 "," 	7,207 "," 	5,857 "," 	2,365 "," 	9,609 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	440 ," 	1,964 "," 	2,404 ", 	64 , 	537 , 	601 , 	138 ," 	2,347 "," 	5,049 "," 	3,826 "," 	4,986 "," 	3,787 "," 	2,067 "," 	6,055 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	506 ," 	2,112 "," 	2,618 ", 	76 , 	776 , 	852 , 	3 ," 	2,216 "," 	5,692 "," 	4,141 "," 	5,649 "," 	4,100 "," 	2,354 "," 	7,287 "
,2010-11,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	461 ," 	1,976 "," 	2,437 ", 	92 , 	614 , 	706 , 	- 0," 	1,610 "," 	2,299 "," 	2,546 "," 	2,075 "," 	2,425 "," 	2,042 "," 	4,840 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	712 ," 	1,725 "," 	2,437 ", 	257 , 	336 , 	593 , 	1 ," 	2,097 "," 	4,666 "," 	3,969 "," 	4,507 "," 	3,828 "," 	2,141 "," 	6,157 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	695 ," 	1,826 "," 	2,521 ", 	296 , 	414 , 	710 , 	198 ," 	2,467 "," 	5,260 "," 	4,266 "," 	5,106 "," 	4,091 "," 	2,785 "," 	6,020 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,356 "," 	8,191 "," 	10,547 ", 	249 ," 	2,386 "," 	2,635 ", 	206 ," 	8,664 "," 	17,696 "," 	15,663 "," 	16,695 "," 	14,597 "," 	7,280 "," 	24,526 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,140 "," 	6,067 "," 	8,207 ", 	494 ," 	1,574 "," 	2,068 ", 	948 ," 	6,694 "," 	12,714 "," 	11,283 "," 	12,548 "," 	11,135 "," 	8,428 "," 	19,891 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,009 "," 	2,565 "," 	3,574 ", 	279 , 	813 ," 	1,092 ", 	67 ," 	2,983 "," 	7,334 "," 	6,011 "," 	7,270 "," 	5,939 "," 	2,986 "," 	8,416 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	500 ," 	1,374 "," 	1,874 ", 	70 , 	455 , 	525 , 	2 ," 	1,663 "," 	4,007 "," 	3,259 "," 	4,005 "," 	3,257 "," 	1,549 "," 	4,691 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,671 "," 	4,442 "," 	6,113 ", 	311 ," 	1,188 "," 	1,499 ", 	4 ," 	4,771 "," 	11,320 "," 	9,327 "," 	10,608 "," 	8,772 "," 	6,457 "," 	14,734 "
,2010-11,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,027 "," 	5,869 "," 	7,896 ", 	351 ," 	2,019 "," 	2,370 ", 	11 ," 	6,030 "," 	12,950 "," 	11,220 "," 	12,605 "," 	11,028 "," 	7,886 "," 	18,930 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	535 ," 	1,767 "," 	2,302 ", 	97 , 	616 , 	713 , 	125 ," 	2,038 "," 	4,220 "," 	3,312 "," 	3,657 "," 	2,915 "," 	1,577 "," 	5,160 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	408 ," 	1,495 "," 	1,903 ", 	37 , 	225 , 	262 , 	269 ," 	1,636 "," 	3,797 "," 	3,348 "," 	3,662 "," 	3,189 "," 	1,269 "," 	5,318 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	508 ," 	2,148 "," 	2,656 ", 	86 , 	810 , 	896 , 	723 ," 	2,232 "," 	3,816 "," 	3,014 "," 	3,543 "," 	2,780 "," 	2,041 "," 	4,348 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,821 "," 	10,744 "," 	13,565 ", 	349 ," 	2,843 "," 	3,192 "," 	3,040 "," 	9,479 "," 	20,283 "," 	17,663 "," 	19,903 "," 	17,364 "," 	11,001 "," 	29,030 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	935 ," 	3,528 "," 	4,463 ", 	145 ," 	1,143 "," 	1,288 ", 	52 ," 	3,642 "," 	7,832 "," 	6,199 "," 	7,543 "," 	5,956 "," 	2,306 "," 	10,879 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,235 "," 	4,041 "," 	5,276 ", 	247 ," 	1,420 "," 	1,667 ", 	69 ," 	4,048 "," 	7,209 "," 	7,008 "," 	7,081 "," 	6,891 "," 	3,813 "," 	12,862 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	885 ," 	2,748 "," 	3,633 ", 	101 , 	472 , 	573 , 	66 ," 	2,532 "," 	6,819 "," 	5,606 "," 	6,571 "," 	5,377 "," 	2,272 "," 	9,543 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	626 ," 	3,075 "," 	3,701 ", 	100 , 	521 , 	621 , 	61 ," 	2,578 "," 	7,606 "," 	6,274 "," 	7,189 "," 	5,959 "," 	1,689 "," 	9,288 "
,2010-11,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	328 , 	741 ," 	1,069 ", 	43 , 	68 , 	111 , 	40 , 	958 ," 	2,711 "," 	2,188 "," 	2,622 "," 	1,914 "," 	1,848 "," 	3,306 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	600 ," 	2,275 "," 	2,875 ", 	70 , 	976 ," 	1,046 ", 	- 0," 	1,565 "," 	3,398 "," 	3,003 "," 	3,271 "," 	2,912 "," 	1,788 "," 	4,812 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	556 ," 	1,943 "," 	2,499 ", 	117 , 	334 , 	451 , 	31 ," 	2,361 "," 	4,461 "," 	3,655 "," 	4,453 "," 	3,644 "," 	1,150 "," 	5,687 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	404 ," 	1,403 "," 	1,807 ", 	62 , 	249 , 	311 , 	- 0," 	1,291 "," 	3,201 "," 	2,660 "," 	2,924 "," 	2,624 "," 	1,570 "," 	4,123 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	508 ," 	1,599 "," 	2,107 ", 	96 , 	593 , 	689 , 	1 ," 	1,463 "," 	3,448 "," 	3,047 "," 	3,390 "," 	2,913 "," 	1,892 "," 	5,280 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	525 ," 	2,012 "," 	2,537 ", 	90 , 	686 , 	776 , 	- 0," 	1,561 "," 	3,448 "," 	3,025 "," 	3,369 "," 	2,967 "," 	1,423 "," 	4,697 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,286 "," 	5,620 "," 	6,906 ", 	197 ," 	2,583 "," 	2,780 ", 	3 ," 	4,380 "," 	8,552 "," 	7,593 "," 	8,102 "," 	7,194 "," 	4,589 "," 	12,219 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,096 "," 	3,819 "," 	4,915 ", 	176 ," 	1,435 "," 	1,611 ", 	- 0," 	3,318 "," 	6,836 "," 	5,738 "," 	6,457 "," 	5,428 "," 	3,678 "," 	9,674 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,068 "," 	3,478 "," 	4,546 ", 	165 , 	717 , 	882 , 	15 ," 	3,312 "," 	7,377 "," 	6,457 "," 	7,080 "," 	6,416 "," 	3,866 "," 	10,177 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,579 "," 	4,663 "," 	6,242 ", 	165 , 	938 ," 	1,103 ", 	- 0," 	4,496 "," 	8,055 "," 	7,409 "," 	7,954 "," 	7,332 "," 	3,695 "," 	11,654 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,230 "," 	4,783 "," 	6,013 ", 	154 ," 	1,562 "," 	1,716 ", 	6 ," 	3,379 "," 	6,992 "," 	5,789 "," 	6,919 "," 	5,740 "," 	3,093 "," 	9,245 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	901 ," 	3,932 "," 	4,833 ", 	140 ," 	1,805 "," 	1,945 ", 	3 ," 	3,230 "," 	5,513 "," 	4,322 "," 	5,334 "," 	4,209 "," 	3,620 "," 	8,935 "
,2010-11,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,670 "," 	5,147 "," 	6,817 ", 	287 ," 	1,868 "," 	2,155 ", 	10 ," 	4,445 "," 	9,640 "," 	8,644 "," 	9,528 "," 	8,567 "," 	4,639 "," 	13,638 "
