,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,DECEMBER,,,,England," 	117,728 "," 	412,977 "," 	530,706 "," 	18,969 "," 	127,182 "," 	146,151 "," 	19,459 "," 	477,973 "," 	757,046 "," 	695,750 "," 	710,958 "," 	657,780 "," 	460,450 "," 	1,131,647 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	747 ," 	2,727 "," 	3,474 ", 	128 ," 	1,088 "," 	1,216 ", 	57 ," 	2,762 "," 	3,692 "," 	4,897 "," 	3,187 "," 	4,303 "," 	1,278 "," 	6,753 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	699 ," 	2,612 "," 	3,311 ", 	96 , 	560 , 	656 , 	450 ," 	3,422 "," 	5,562 "," 	4,942 "," 	5,125 "," 	4,352 "," 	2,881 "," 	7,272 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	935 ," 	3,543 "," 	4,478 ", 	148 ," 	1,330 "," 	1,478 ", 	232 ," 	4,308 "," 	7,677 "," 	7,607 "," 	6,917 "," 	6,889 "," 	4,669 "," 	11,590 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	537 ," 	1,790 "," 	2,327 ", 	195 , 	608 , 	803 , 	39 ," 	1,724 "," 	2,714 "," 	3,042 "," 	2,393 "," 	2,475 ", 	886 ," 	3,672 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	574 ," 	2,354 "," 	2,928 ", 	166 , 	781 , 	947 , 	21 ," 	2,792 "," 	3,974 "," 	4,673 "," 	3,374 "," 	3,454 "," 	1,112 "," 	4,958 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,429 "," 	5,696 "," 	7,125 ", 	177 ," 	2,086 "," 	2,263 ", 	823 ," 	4,926 "," 	9,902 "," 	8,644 "," 	9,431 "," 	8,273 "," 	7,126 "," 	13,282 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,276 "," 	4,271 "," 	5,547 ", 	153 ," 	1,228 "," 	1,381 "," 	1,034 "," 	4,427 "," 	7,094 "," 	6,227 "," 	6,173 "," 	5,923 "," 	4,209 "," 	9,908 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,057 "," 	3,826 "," 	4,883 ", 	170 ," 	1,437 "," 	1,607 ", 	36 ," 	4,144 "," 	5,943 "," 	5,851 "," 	5,709 "," 	5,667 "," 	5,045 "," 	9,917 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	485 ," 	1,773 "," 	2,258 ", 	75 , 	833 , 	908 , 	30 ," 	1,781 "," 	3,174 "," 	3,167 "," 	2,929 "," 	2,872 "," 	1,993 "," 	5,052 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	384 ," 	1,131 "," 	1,515 ", 	62 , 	283 , 	345 , 	1 ," 	1,734 "," 	2,578 "," 	2,750 "," 	2,096 "," 	2,204 "," 	1,213 "," 	4,113 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	811 ," 	2,893 "," 	3,704 ", 	105 ," 	1,076 "," 	1,181 ", 	- 0," 	2,760 "," 	5,100 "," 	4,666 "," 	5,025 "," 	4,655 "," 	2,519 "," 	7,000 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	949 ," 	3,062 "," 	4,011 ", 	111 , 	575 , 	686 , 	33 ," 	3,061 "," 	6,446 "," 	5,874 "," 	6,144 "," 	5,583 "," 	3,119 "," 	8,817 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	328 ," 	1,004 "," 	1,332 ", 	44 , 	284 , 	328 , 	3 ," 	1,329 "," 	2,394 "," 	1,907 "," 	1,952 "," 	1,669 "," 	1,598 "," 	2,740 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,308 "," 	5,253 "," 	6,561 ", 	226 ," 	1,800 "," 	2,026 "," 	1,148 "," 	4,352 "," 	8,139 "," 	7,132 "," 	7,805 "," 	6,856 "," 	5,837 "," 	11,473 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,791 "," 	7,678 "," 	9,469 ", 	256 ," 	2,651 "," 	2,907 ", 	41 ," 	6,387 "," 	11,557 "," 	11,623 "," 	11,264 "," 	11,346 "," 	5,013 "," 	17,515 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	564 ," 	2,119 "," 	2,683 ", 	88 , 	327 , 	415 , 	1 ," 	1,963 "," 	4,227 "," 	4,173 "," 	4,217 "," 	4,077 "," 	1,206 "," 	5,731 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,360 "," 	5,074 "," 	6,434 ", 	159 ," 	1,711 "," 	1,870 ", 	276 ," 	5,027 "," 	9,523 "," 	8,720 "," 	9,058 "," 	8,473 "," 	4,582 "," 	15,285 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	574 ," 	2,317 "," 	2,891 ", 	60 , 	921 , 	981 , 	197 ," 	2,244 "," 	3,814 "," 	3,305 "," 	3,576 "," 	3,113 "," 	2,315 "," 	4,498 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	684 ," 	1,858 "," 	2,542 ", 	55 , 	230 , 	285 , 	2 ," 	2,816 "," 	4,611 "," 	3,940 "," 	3,922 "," 	3,853 "," 	1,270 "," 	5,793 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	635 ," 	2,319 "," 	2,954 ", 	60 , 	778 , 	838 , 	3 ," 	2,651 "," 	5,403 "," 	3,653 "," 	5,266 "," 	3,594 "," 	3,321 "," 	6,296 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	657 ," 	2,892 "," 	3,549 ", 	105 , 	961 ," 	1,066 ", 	- 0," 	2,645 "," 	4,715 "," 	4,686 "," 	4,585 "," 	4,672 "," 	4,086 "," 	8,388 "
,2010-11,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,352 "," 	7,686 "," 	10,038 ", 	316 ," 	1,820 "," 	2,136 ", 	216 ," 	8,034 "," 	16,872 "," 	14,957 "," 	15,669 "," 	14,104 "," 	10,164 "," 	22,742 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	458 ," 	1,739 "," 	2,197 ", 	62 , 	339 , 	401 , 	225 ," 	2,213 "," 	2,925 "," 	2,916 "," 	2,902 "," 	2,894 "," 	1,894 "," 	5,128 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	319 , 	910 ," 	1,229 ", 	41 , 	218 , 	259 , 	24 ," 	1,084 "," 	2,780 "," 	2,478 "," 	2,340 "," 	2,147 "," 	1,389 "," 	3,450 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	556 ," 	2,601 "," 	3,157 ", 	91 , 	564 , 	655 , 	3 ," 	2,077 "," 	5,179 "," 	4,060 "," 	4,875 "," 	4,035 "," 	3,474 "," 	6,799 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	416 ," 	1,710 "," 	2,126 ", 	80 , 	508 , 	588 , 	- 0," 	1,829 "," 	3,043 "," 	3,130 "," 	2,706 "," 	2,904 "," 	2,544 "," 	5,546 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	638 ," 	2,647 "," 	3,285 ", 	97 , 	561 , 	658 , 	97 ," 	2,870 "," 	6,559 "," 	5,724 "," 	6,152 "," 	5,007 "," 	4,925 "," 	9,245 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	468 ," 	1,757 "," 	2,225 ", 	54 , 	517 , 	571 , 	431 ," 	2,488 "," 	4,300 "," 	3,630 "," 	3,896 "," 	3,411 "," 	2,030 "," 	5,849 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	494 ," 	2,490 "," 	2,984 ", 	58 , 	713 , 	771 , 	328 ," 	2,358 "," 	4,345 "," 	4,388 "," 	4,018 "," 	3,719 "," 	3,811 "," 	6,922 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	255 ," 	1,102 "," 	1,357 ", 	33 , 	174 , 	207 , 	102 ," 	1,759 "," 	2,080 "," 	1,888 "," 	2,056 "," 	1,868 "," 	1,376 "," 	3,471 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	355 ," 	1,374 "," 	1,729 ", 	78 , 	311 , 	389 , 	2 ," 	2,052 "," 	2,760 "," 	2,880 "," 	2,595 "," 	2,628 "," 	1,930 "," 	4,339 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	332 ," 	1,120 "," 	1,452 ", 	48 , 	220 , 	268 , 	1 ," 	1,951 "," 	3,991 "," 	3,258 "," 	2,643 "," 	2,457 "," 	2,418 "," 	5,553 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	382 ," 	1,416 "," 	1,798 ", 	80 , 	538 , 	618 , 	1 ," 	2,774 "," 	5,910 "," 	5,359 "," 	3,831 "," 	3,419 "," 	2,994 "," 	6,988 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	411 ," 	1,851 "," 	2,263 ", 	45 , 	571 , 	616 , 	28 ," 	1,853 "," 	3,764 "," 	3,634 "," 	3,455 "," 	3,338 "," 	3,048 "," 	7,047 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	401 ," 	1,071 "," 	1,472 ", 	56 , 	228 , 	284 , 	6 ," 	1,892 "," 	3,543 "," 	2,775 "," 	3,094 "," 	2,477 "," 	2,101 "," 	5,115 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	599 ," 	2,495 "," 	3,094 ", 	70 , 	688 , 	758 , 	131 ," 	3,207 "," 	6,636 "," 	5,255 "," 	5,839 "," 	4,622 "," 	3,703 "," 	7,920 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	472 ," 	1,542 "," 	2,014 ", 	76 , 	424 , 	500 , 	5 ," 	2,030 "," 	4,577 "," 	4,224 "," 	3,953 "," 	3,704 "," 	1,822 "," 	6,622 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	486 ," 	1,860 "," 	2,346 ", 	60 , 	572 , 	632 , 	587 ," 	2,549 "," 	5,678 "," 	4,533 "," 	5,195 "," 	4,336 "," 	2,949 "," 	6,697 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	372 ," 	1,431 "," 	1,803 ", 	57 , 	656 , 	713 , 	184 ," 	1,604 "," 	3,080 "," 	2,588 "," 	2,977 "," 	2,468 "," 	1,569 "," 	3,977 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	341 ," 	1,442 "," 	1,783 ", 	56 , 	393 , 	449 , 	4 ," 	1,633 "," 	3,661 "," 	3,641 "," 	3,397 "," 	3,415 "," 	2,993 "," 	6,323 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	310 ," 	1,545 "," 	1,855 ", 	31 , 	468 , 	499 , 	3 ," 	1,758 "," 	2,866 "," 	3,221 "," 	2,570 "," 	2,921 "," 	2,219 "," 	5,522 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	674 ," 	2,252 "," 	2,926 ", 	79 , 	434 , 	513 , 	54 ," 	2,818 "," 	5,016 "," 	4,382 "," 	4,527 "," 	4,031 "," 	3,660 "," 	8,104 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	382 ," 	1,102 "," 	1,484 ", 	85 , 	316 , 	401 , 	- 0," 	1,410 "," 	3,713 "," 	2,620 "," 	3,409 "," 	2,432 "," 	1,798 "," 	4,531 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	349 ," 	1,298 "," 	1,647 ", 	31 , 	307 , 	338 , 	4 ," 	1,940 "," 	5,345 "," 	3,106 "," 	4,820 "," 	2,895 "," 	2,524 "," 	5,589 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	500 ," 	1,661 "," 	2,161 ", 	91 , 	394 , 	485 , 	1 ," 	3,023 "," 	4,806 "," 	4,264 "," 	3,915 "," 	3,884 "," 	3,279 "," 	8,235 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	447 ," 	1,489 "," 	1,936 ", 	95 , 	449 , 	544 , 	98 ," 	2,980 "," 	3,743 "," 	3,464 "," 	3,046 "," 	3,200 "," 	3,227 "," 	7,455 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	481 ," 	1,867 "," 	2,348 ", 	104 , 	472 , 	576 , 	101 ," 	2,210 "," 	3,999 "," 	3,585 "," 	3,742 "," 	3,477 "," 	3,828 "," 	7,576 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	553 ," 	1,513 "," 	2,066 ", 	62 , 	316 , 	378 , 	41 ," 	2,267 "," 	6,904 "," 	4,963 "," 	5,892 "," 	4,574 "," 	2,566 "," 	7,719 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	328 , 	972 ," 	1,300 ", 	39 , 	270 , 	309 , 	18 ," 	1,189 "," 	3,349 "," 	2,899 "," 	2,844 "," 	2,591 "," 	1,539 "," 	4,118 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	692 ," 	2,249 "," 	2,941 ", 	62 , 	452 , 	514 , 	125 ," 	2,898 "," 	5,995 "," 	4,951 "," 	5,298 "," 	4,719 "," 	1,999 "," 	7,868 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	398 ," 	1,732 "," 	2,130 ", 	41 , 	444 , 	485 , 	126 ," 	2,343 "," 	3,553 "," 	3,177 "," 	3,437 "," 	3,162 "," 	1,900 "," 	5,336 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	421 ," 	1,878 "," 	2,299 ", 	64 , 	728 , 	792 , 	3 ," 	2,316 "," 	4,716 "," 	3,686 "," 	4,213 "," 	3,637 "," 	2,230 "," 	6,735 "
,2010-11,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	423 ," 	1,586 "," 	2,009 ", 	63 , 	381 , 	444 , 	- 0," 	1,926 "," 	2,360 "," 	2,372 "," 	2,079 "," 	2,240 "," 	1,960 "," 	4,299 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	678 ," 	1,384 "," 	2,062 ", 	252 , 	306 , 	558 , 	- 0," 	2,140 "," 	3,392 "," 	3,501 "," 	3,230 "," 	3,377 "," 	1,726 "," 	5,201 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	612 ," 	2,522 "," 	3,134 ", 	247 , 	382 , 	629 , 	1 ," 	2,396 "," 	4,674 "," 	3,760 "," 	4,580 "," 	3,591 "," 	2,492 "," 	5,296 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,161 "," 	7,485 "," 	9,646 ", 	189 ," 	2,259 "," 	2,448 ", 	188 ," 	9,477 "," 	14,528 "," 	13,519 "," 	13,486 "," 	12,552 "," 	7,612 "," 	21,135 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	1,729 "," 	6,016 "," 	7,745 ", 	427 ," 	1,612 "," 	2,039 ", 	945 ," 	7,064 "," 	10,204 "," 	9,648 "," 	10,063 "," 	9,492 "," 	7,418 "," 	16,991 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	840 ," 	2,296 "," 	3,136 ", 	248 , 	765 ," 	1,013 ", 	5 ," 	2,934 "," 	5,664 "," 	5,210 "," 	5,609 "," 	5,149 "," 	2,655 "," 	7,167 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	413 ," 	1,055 "," 	1,468 ", 	52 , 	448 , 	500 , 	- 0," 	1,657 "," 	2,973 "," 	2,795 "," 	2,968 "," 	2,794 "," 	1,418 "," 	4,004 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,366 "," 	3,665 "," 	5,031 ", 	251 , 	980 ," 	1,231 ", 	1 ," 	4,998 "," 	8,178 "," 	7,267 "," 	7,492 "," 	6,765 "," 	5,346 "," 	11,289 "
,2010-11,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,032 "," 	5,406 "," 	7,438 ", 	411 ," 	2,073 "," 	2,484 ", 	6 ," 	6,315 "," 	10,120 "," 	9,178 "," 	9,843 "," 	9,013 "," 	6,458 "," 	15,769 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	457 ," 	1,584 "," 	2,041 ", 	68 , 	539 , 	607 , 	66 ," 	2,206 "," 	3,068 "," 	2,751 "," 	2,774 "," 	2,510 "," 	1,396 "," 	4,456 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	403 ," 	1,318 "," 	1,721 ", 	41 , 	210 , 	251 , 	244 ," 	2,110 "," 	3,409 "," 	2,758 "," 	3,225 "," 	2,622 "," 	1,442 "," 	4,530 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	426 ," 	1,679 "," 	2,105 ", 	74 , 	495 , 	569 , 	633 ," 	2,345 "," 	2,938 "," 	2,634 "," 	2,880 "," 	2,454 "," 	2,139 "," 	4,130 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,600 "," 	9,383 "," 	11,983 ", 	313 ," 	2,350 "," 	2,663 "," 	2,661 "," 	10,315 "," 	16,654 "," 	15,618 "," 	16,309 "," 	15,340 "," 	10,676 "," 	25,172 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	844 ," 	3,296 "," 	4,140 ", 	110 ," 	1,010 "," 	1,120 ", 	40 ," 	3,868 "," 	6,694 "," 	5,737 "," 	6,421 "," 	5,470 "," 	2,081 "," 	9,853 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,263 "," 	3,685 "," 	4,948 ", 	191 ," 	1,072 "," 	1,263 ", 	73 ," 	4,282 "," 	6,078 "," 	5,969 "," 	5,922 "," 	5,822 "," 	3,616 "," 	10,215 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	872 ," 	2,613 "," 	3,485 ", 	107 , 	387 , 	494 , 	75 ," 	2,855 "," 	6,228 "," 	5,504 "," 	5,580 "," 	4,982 "," 	2,452 "," 	8,662 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	610 ," 	2,683 "," 	3,293 ", 	89 , 	315 , 	404 , 	33 ," 	2,766 "," 	6,066 "," 	4,794 "," 	5,731 "," 	4,462 "," 	1,614 "," 	7,236 "
,2010-11,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	266 , 	543 , 	809 , 	30 , 	108 , 	138 , 	26 ," 	1,104 "," 	2,148 "," 	1,739 "," 	2,064 "," 	1,666 "," 	1,772 "," 	3,068 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	518 ," 	2,072 "," 	2,590 ", 	69 , 	960 ," 	1,029 ", 	1 ," 	1,649 "," 	2,894 "," 	2,691 "," 	2,736 "," 	2,572 "," 	1,724 "," 	4,316 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	615 ," 	1,904 "," 	2,519 ", 	124 , 	313 , 	437 , 	3 ," 	2,409 "," 	3,780 "," 	3,281 "," 	3,731 "," 	3,232 "," 	1,172 "," 	5,100 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	372 ," 	1,331 "," 	1,703 ", 	63 , 	191 , 	254 , 	1 ," 	1,416 "," 	2,833 "," 	2,902 "," 	2,619 "," 	2,869 "," 	1,581 "," 	4,271 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	518 ," 	1,574 "," 	2,092 ", 	115 , 	506 , 	621 , 	- 0," 	1,677 "," 	2,822 "," 	2,686 "," 	2,776 "," 	2,566 "," 	1,635 "," 	4,370 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	538 ," 	1,898 "," 	2,436 ", 	58 , 	667 , 	725 , 	- 0," 	1,694 "," 	2,947 "," 	2,728 "," 	2,867 "," 	2,697 "," 	1,567 "," 	4,417 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,320 "," 	5,208 "," 	6,528 ", 	248 ," 	2,360 "," 	2,608 ", 	7 ," 	4,643 "," 	6,746 "," 	6,882 "," 	6,393 "," 	6,547 "," 	4,290 "," 	11,206 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	946 ," 	3,708 "," 	4,654 ", 	129 ," 	1,517 "," 	1,646 ", 	1 ," 	3,657 "," 	5,711 "," 	5,389 "," 	5,524 "," 	5,224 "," 	3,430 "," 	9,130 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT, 	939 ," 	3,018 "," 	3,957 ", 	140 , 	599 , 	739 , 	19 ," 	3,605 "," 	6,241 "," 	6,213 "," 	5,954 "," 	6,141 "," 	3,748 "," 	9,778 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,392 "," 	4,118 "," 	5,510 ", 	157 , 	951 ," 	1,108 ", 	1 ," 	4,914 "," 	6,063 "," 	5,814 "," 	6,031 "," 	5,781 "," 	3,656 "," 	10,089 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,137 "," 	4,333 "," 	5,470 ", 	154 ," 	1,437 "," 	1,591 ", 	1 ," 	3,669 "," 	5,411 "," 	5,141 "," 	5,348 "," 	5,056 "," 	3,112 "," 	8,383 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	816 ," 	3,916 "," 	4,732 ", 	126 ," 	1,771 "," 	1,897 ", 	1 ," 	3,654 "," 	4,345 "," 	4,086 "," 	4,203 "," 	3,987 "," 	3,401 "," 	8,189 "
,2010-11,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,491 "," 	4,929 "," 	6,420 ", 	285 ," 	1,718 "," 	2,003 ", 	276 ," 	4,574 "," 	7,763 "," 	8,062 "," 	7,677 "," 	7,986 "," 	4,165 "," 	11,735 "
