,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,FEBRUARY,,,,England," 	131,078 "," 	401,326 "," 	532,404 "," 	20,254 "," 	116,392 "," 	136,646 "," 	8,391 "," 	17,025 "," 	403,583 "," 	848,071 "," 	692,127 "," 	808,810 "," 	651,499 "," 	444,581 "," 	1,107,312 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	362 ," 	1,432 "," 	1,794 ", 	57 , 	528 , 	585 , 	- 0, 	2 ," 	1,107 "," 	2,226 "," 	1,051 "," 	2,088 ", 	950 ," 	1,740 "," 	1,368 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	609 ," 	2,063 "," 	2,672 ", 	120 , 	917 ," 	1,037 ", 	- 0, 	23 ," 	2,140 "," 	4,515 "," 	3,864 "," 	4,223 "," 	3,479 "," 	3,240 "," 	6,239 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	541 ," 	1,645 "," 	2,186 ", 	128 , 	442 , 	570 , 	- 0, 	520 ," 	2,212 "," 	4,102 "," 	3,751 "," 	3,065 "," 	2,747 "," 	3,861 "," 	6,543 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	819 ," 	3,027 "," 	3,846 ", 	149 ," 	1,207 "," 	1,356 ", 	1 , 	49 ," 	2,402 "," 	5,765 "," 	4,440 "," 	5,200 "," 	4,014 "," 	1,662 "," 	6,912 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	892 ," 	2,970 "," 	3,862 ", 	117 , 	723 , 	840 , 	- 0, 	518 ," 	2,560 "," 	3,879 "," 	3,557 "," 	3,304 "," 	3,020 "," 	4,887 "," 	7,493 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	956 ," 	3,411 "," 	4,367 ", 	233 ," 	1,384 "," 	1,617 ", 	- 0, 	196 ," 	3,165 "," 	6,138 "," 	6,230 "," 	5,438 "," 	5,277 "," 	6,606 "," 	11,559 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	574 ," 	1,828 "," 	2,402 ", 	191 , 	564 , 	755 , 	- 0, 	38 ," 	1,506 "," 	3,742 "," 	3,043 "," 	3,486 "," 	2,754 "," 	1,694 "," 	3,840 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	666 ," 	2,417 "," 	3,083 ", 	171 , 	722 , 	893 , 	- 0, 	15 ," 	2,334 "," 	4,576 "," 	3,961 "," 	4,132 "," 	3,462 "," 	2,336 "," 	4,974 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,452 "," 	4,570 "," 	6,022 ", 	164 ," 	1,564 "," 	1,728 ", 	- 0, 	375 ," 	4,081 "," 	10,791 "," 	7,092 "," 	10,052 "," 	6,735 "," 	6,797 "," 	11,751 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,355 "," 	4,343 "," 	5,698 ", 	124 ," 	1,369 "," 	1,493 ", 	181 ," 	1,084 "," 	3,837 "," 	8,773 "," 	7,040 "," 	8,242 "," 	6,747 "," 	3,801 "," 	10,220 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,303 "," 	4,269 "," 	5,572 ", 	139 ," 	1,466 "," 	1,605 ", 	16 , 	13 ," 	3,417 "," 	7,132 "," 	6,446 "," 	6,925 "," 	6,150 "," 	3,958 "," 	10,613 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	417 ," 	1,626 "," 	2,043 ", 	117 , 	701 , 	818 , 	- 0, 	18 ," 	1,343 "," 	3,026 "," 	2,683 "," 	2,616 "," 	2,277 "," 	3,328 "," 	5,030 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	491 ," 	1,041 "," 	1,532 ", 	80 , 	263 , 	343 , 	- 0, 	- 0," 	1,463 "," 	2,798 "," 	2,823 "," 	2,896 "," 	2,277 "," 	1,378 "," 	3,833 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	892 ," 	2,974 "," 	3,866 ", 	105 , 	849 , 	954 , 	- 0, 	- 0," 	2,724 "," 	6,489 "," 	4,735 "," 	6,489 "," 	4,731 "," 	2,851 "," 	6,814 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,047 "," 	3,836 "," 	4,883 ", 	105 , 	434 , 	539 , 	- 0, 	28 ," 	2,354 "," 	6,475 "," 	5,054 "," 	6,321 "," 	4,817 "," 	2,529 "," 	8,387 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,554 "," 	3,683 "," 	5,237 ", 	196 , 	812 ," 	1,008 ", 	- 0, 	- 0," 	3,606 "," 	8,272 "," 	7,273 "," 	7,659 "," 	6,734 "," 	6,685 "," 	11,603 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,288 "," 	3,566 "," 	4,854 ", 	169 , 	691 , 	860 , 	- 0, 	- 0," 	3,394 "," 	10,341 "," 	8,284 "," 	9,316 "," 	7,463 "," 	5,412 "," 	12,458 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	412 , 	855 ," 	1,267 ", 	64 , 	219 , 	283 , 	4 , 	5 ," 	1,209 "," 	2,329 "," 	2,018 "," 	2,155 "," 	1,934 "," 	1,359 "," 	2,896 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,323 "," 	4,793 "," 	6,116 ", 	207 ," 	1,748 "," 	1,955 ", 	29 ," 	1,050 "," 	3,667 "," 	8,732 "," 	6,540 "," 	8,715 "," 	6,364 "," 	4,807 "," 	10,479 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,890 "," 	6,280 "," 	8,170 ", 	870 ," 	1,520 "," 	2,390 ", 	387 , 	33 ," 	4,950 "," 	13,973 "," 	12,229 "," 	13,120 "," 	8,950 "," 	2,990 "," 	12,940 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	689 ," 	1,962 "," 	2,651 ", 	104 , 	525 , 	629 , 	- 0, 	- 0," 	1,666 "," 	4,558 "," 	3,839 "," 	4,437 "," 	3,737 "," 	1,219 "," 	4,631 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,396 "," 	4,399 "," 	5,795 ", 	142 ," 	1,445 "," 	1,587 ", 	- 0, 	- 0," 	4,215 "," 	9,503 "," 	7,659 "," 	9,128 "," 	7,447 "," 	4,654 "," 	11,971 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	622 ," 	2,224 "," 	2,846 ", 	83 , 	849 , 	932 , 	- 0, 	- 0," 	1,975 "," 	4,818 "," 	4,080 "," 	4,596 "," 	3,765 "," 	2,175 "," 	5,521 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	733 ," 	2,061 "," 	2,794 ", 	95 , 	491 , 	586 , 	- 0, 	- 0," 	1,960 "," 	5,892 "," 	4,779 "," 	5,795 "," 	4,629 "," 	2,087 "," 	5,698 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	785 ," 	2,377 "," 	3,162 ", 	114 , 	798 , 	912 , 	3 , 	- 0," 	2,790 "," 	5,309 "," 	4,855 "," 	5,226 "," 	4,271 "," 	5,035 "," 	7,209 "
,2008-09,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	789 ," 	2,611 "," 	3,400 ", 	123 , 	744 , 	867 , 	- 0, 	- 0," 	2,474 "," 	6,468 "," 	5,393 "," 	6,251 "," 	5,342 "," 	3,714 "," 	8,619 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	564 ," 	1,670 "," 	2,234 ", 	34 , 	358 , 	392 , 	364 , 	- 0," 	1,839 "," 	2,813 "," 	2,211 "," 	2,809 "," 	2,185 "," 	2,207 "," 	5,123 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	281 ," 	1,146 "," 	1,427 ", 	52 , 	210 , 	262 , 	- 0, 	- 0, 	756 ," 	2,175 "," 	1,826 "," 	2,040 "," 	1,720 ", 	790 ," 	2,827 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	753 ," 	2,938 "," 	3,691 ", 	85 , 	553 , 	638 , 	- 0, 	152 ," 	1,903 "," 	5,449 "," 	4,470 "," 	4,924 "," 	4,125 ", 	664 ," 	5,822 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	550 ," 	1,779 "," 	2,329 ", 	106 , 	558 , 	664 , 	- 0, 	3 ," 	1,284 "," 	3,165 "," 	2,449 "," 	3,116 "," 	2,431 "," 	2,412 "," 	5,142 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	634 ," 	2,405 "," 	3,039 ", 	124 , 	367 , 	491 , 	- 0, 	- 0," 	2,362 "," 	7,039 "," 	6,277 "," 	6,684 "," 	5,568 "," 	3,100 "," 	6,986 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	529 ," 	1,684 "," 	2,213 ", 	66 , 	339 , 	405 , 	- 0, 	- 0," 	1,672 "," 	3,901 "," 	3,440 "," 	3,744 "," 	3,105 "," 	1,676 "," 	4,942 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	575 ," 	2,204 "," 	2,779 ", 	62 , 	726 , 	788 , 	- 0, 	314 ," 	1,970 "," 	4,512 "," 	3,721 "," 	4,049 "," 	3,086 "," 	3,056 "," 	6,626 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	314 , 	938 ," 	1,252 ", 	17 , 	197 , 	214 , 	127 , 	- 0," 	1,404 "," 	2,707 "," 	1,950 "," 	2,698 "," 	1,938 "," 	1,603 "," 	3,809 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	446 ," 	1,295 "," 	1,741 ", 	51 , 	154 , 	205 , 	- 0, 	- 0," 	1,554 "," 	4,061 "," 	3,772 "," 	4,049 "," 	3,456 "," 	2,314 "," 	5,928 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	349 ," 	1,006 "," 	1,355 ", 	18 , 	105 , 	123 , 	12 , 	- 0," 	1,941 "," 	3,346 "," 	3,023 "," 	3,107 "," 	2,825 "," 	1,972 "," 	4,740 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	463 ," 	1,667 "," 	2,130 ", 	87 , 	421 , 	508 , 	- 0, 	- 0," 	2,275 "," 	4,700 "," 	4,600 "," 	4,082 "," 	3,539 "," 	2,648 "," 	5,998 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	453 ," 	1,738 "," 	2,191 ", 	62 , 	432 , 	494 , 	- 0, 	10 ," 	1,572 "," 	4,571 "," 	3,318 "," 	4,103 "," 	2,889 "," 	2,744 "," 	6,438 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	325 , 	993 ," 	1,318 ", 	23 , 	262 , 	285 , 	- 0, 	- 0," 	1,521 "," 	2,926 "," 	2,373 "," 	2,623 "," 	2,131 "," 	1,519 "," 	3,696 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	651 ," 	2,250 "," 	2,901 ", 	54 , 	532 , 	586 , 	- 0, 	- 0," 	2,648 "," 	5,996 "," 	4,556 "," 	5,389 "," 	4,041 "," 	3,402 "," 	7,545 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	500 ," 	1,344 "," 	1,844 ", 	52 , 	171 , 	223 , 	- 0, 	- 0," 	1,989 "," 	4,368 "," 	3,774 "," 	3,798 "," 	3,628 "," 	2,084 "," 	5,771 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	599 ," 	1,876 "," 	2,475 ", 	77 , 	585 , 	662 , 	- 0, 	- 0," 	1,916 "," 	4,876 "," 	4,210 "," 	4,655 "," 	3,701 "," 	1,974 "," 	6,261 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	460 ," 	1,322 "," 	1,782 ", 	87 , 	422 , 	509 , 	- 0, 	- 0," 	1,463 "," 	3,487 "," 	2,809 "," 	2,906 "," 	2,499 "," 	1,721 "," 	3,940 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	362 ," 	1,261 "," 	1,623 ", 	43 , 	275 , 	318 , 	- 0, 	- 0," 	1,196 "," 	4,070 "," 	3,741 "," 	3,134 "," 	2,843 "," 	2,686 "," 	6,142 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	349 ," 	1,520 "," 	1,869 ", 	31 , 	320 , 	351 , 	- 0, 	- 0," 	1,343 "," 	3,847 "," 	2,883 "," 	3,500 "," 	2,623 "," 	2,065 "," 	5,315 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	633 ," 	2,855 "," 	3,488 ", 	76 ," 	1,037 "," 	1,113 ", 	- 0, 	39 ," 	2,129 "," 	4,881 "," 	3,950 "," 	4,843 "," 	3,820 "," 	3,423 "," 	7,704 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	282 , 	931 ," 	1,213 ", 	35 , 	278 , 	313 , 	- 0, 	- 0," 	1,018 "," 	2,903 "," 	2,224 "," 	2,777 "," 	2,095 "," 	1,275 "," 	5,946 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	482 ," 	1,347 "," 	1,829 ", 	67 , 	439 , 	506 , 	- 0, 	- 0," 	1,597 "," 	3,909 "," 	2,882 "," 	3,790 "," 	2,762 "," 	2,137 "," 	5,581 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	517 ," 	1,725 "," 	2,242 ", 	78 , 	307 , 	385 , 	- 0, 	- 0," 	2,097 "," 	4,807 "," 	3,597 "," 	4,649 "," 	3,529 "," 	2,985 "," 	8,079 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	434 ," 	1,655 "," 	2,089 ", 	60 , 	319 , 	379 , 	- 0, 	- 0," 	2,085 "," 	3,778 "," 	3,118 "," 	3,757 "," 	3,089 "," 	2,692 "," 	7,295 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	490 ," 	1,943 "," 	2,433 ", 	129 , 	494 , 	623 , 	- 0, 	- 0," 	1,802 "," 	4,437 "," 	3,246 "," 	4,421 "," 	3,228 "," 	1,891 "," 	6,037 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	452 ," 	1,269 "," 	1,721 ", 	108 , 	358 , 	466 , 	- 0, 	- 0," 	1,679 "," 	6,391 "," 	3,267 "," 	5,886 "," 	3,228 "," 	1,936 "," 	6,403 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	377 ," 	1,107 "," 	1,484 ", 	2 , 	9 , 	11 , 	- 0, 	- 0," 	1,199 "," 	2,678 "," 	2,325 "," 	2,665 "," 	2,309 "," 	1,185 "," 	5,928 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT," 	1,322 "," 	2,240 "," 	3,562 ", 	130 , 	485 , 	615 , 	7 , 	116 ," 	2,516 "," 	6,489 "," 	4,479 "," 	6,026 "," 	4,382 "," 	1,684 "," 	12,134 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	428 ," 	1,526 "," 	1,954 ", 	50 , 	358 , 	408 , 	122 , 	- 0," 	2,216 "," 	4,233 "," 	3,426 "," 	4,178 "," 	3,363 "," 	2,189 "," 	5,489 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	424 ," 	1,671 "," 	2,095 ", 	66 , 	563 , 	629 , 	- 0, 	- 0," 	1,631 "," 	3,950 "," 	2,860 "," 	3,950 "," 	2,860 "," 	2,310 "," 	4,977 "
,2008-09,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	576 ," 	1,409 "," 	1,985 ", 	140 , 	287 , 	427 , 	- 0, 	40 ," 	1,369 "," 	2,792 "," 	2,089 "," 	2,434 "," 	1,824 "," 	1,815 "," 	3,301 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	601 ," 	1,445 "," 	2,046 ", 	51 , 	145 , 	196 , 	166 , 	19 ," 	1,986 "," 	4,733 "," 	3,396 "," 	4,591 "," 	3,099 "," 	1,719 "," 	5,035 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	571 ," 	1,174 "," 	1,745 ", 	270 , 	192 , 	462 , 	249 , 	- 0," 	2,127 "," 	5,202 "," 	3,893 "," 	5,202 "," 	3,475 "," 	2,070 "," 	4,825 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,119 "," 	6,986 "," 	9,105 ", 	132 ," 	1,297 "," 	1,429 ", 	- 0, 	619 ," 	7,228 "," 	15,733 "," 	13,746 "," 	14,958 "," 	13,198 "," 	6,306 "," 	20,636 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,098 "," 	5,153 "," 	7,251 ", 	267 , 	657 , 	924 , 	- 0," 	1,402 "," 	6,361 "," 	11,822 "," 	9,228 "," 	11,630 "," 	9,073 "," 	6,312 "," 	15,980 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	944 ," 	2,097 "," 	3,041 ", 	233 , 	668 , 	901 , 	- 0, 	- 0," 	2,594 "," 	7,122 "," 	5,580 "," 	7,019 "," 	5,509 "," 	2,263 "," 	4,833 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	489 ," 	1,112 "," 	1,601 ", 	34 , 	425 , 	459 , 	- 0, 	- 0," 	1,709 "," 	3,623 "," 	2,958 "," 	3,618 "," 	2,957 "," 	1,419 "," 	4,279 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,502 "," 	3,690 "," 	5,192 ", 	141 , 	757 , 	898 , 	584 , 	247 ," 	4,553 "," 	10,808 "," 	8,313 "," 	9,536 "," 	7,510 "," 	4,625 "," 	11,533 "
,2008-09,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,856 "," 	4,813 "," 	6,669 ", 	231 ," 	1,556 "," 	1,787 ", 	67 , 	- 0," 	5,995 "," 	10,849 "," 	8,914 "," 	10,767 "," 	8,914 "," 	6,228 "," 	14,985 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	414 ," 	1,384 "," 	1,798 ", 	49 , 	426 , 	475 , 	103 , 	- 0," 	2,168 "," 	3,184 "," 	2,970 "," 	3,004 "," 	2,836 "," 	1,251 "," 	4,558 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	469 ," 	1,444 "," 	1,913 ", 	71 , 	342 , 	413 , 	200 , 	373 ," 	1,932 "," 	3,781 "," 	2,753 "," 	3,438 "," 	2,542 "," 	1,404 "," 	4,895 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	593 ," 	1,601 "," 	2,194 ", 	100 , 	687 , 	787 , 	303 , 	25 ," 	2,418 "," 	4,565 "," 	3,184 "," 	4,523 "," 	3,150 "," 	3,324 "," 	5,393 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,166 "," 	9,749 "," 	12,915 ", 	383 ," 	2,908 "," 	3,291 ", 	344 ," 	3,193 "," 	9,171 "," 	19,686 "," 	15,292 "," 	19,219 "," 	14,915 "," 	8,627 "," 	24,583 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,101 "," 	3,403 "," 	4,504 ", 	356 , 	800 ," 	1,156 ", 	41 , 	- 0," 	4,424 "," 	7,324 "," 	5,634 "," 	7,144 "," 	5,431 "," 	2,052 "," 	8,974 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,217 "," 	3,381 "," 	4,598 ", 	330 ," 	1,264 "," 	1,594 ", 	160 , 	- 0," 	4,071 "," 	7,295 "," 	8,874 "," 	6,863 "," 	6,136 "," 	4,156 "," 	12,243 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	901 ," 	2,327 "," 	3,228 ", 	128 , 	541 , 	669 , 	44 , 	- 0," 	2,538 "," 	6,390 "," 	5,286 "," 	6,039 "," 	4,928 "," 	2,329 "," 	8,336 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	554 ," 	2,849 "," 	3,403 ", 	68 , 	511 , 	579 , 	120 , 	- 0," 	2,447 "," 	5,093 "," 	4,498 "," 	4,976 "," 	4,323 "," 	2,463 "," 	5,933 "
,2008-09,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	330 , 	699 ," 	1,029 ", 	55 , 	85 , 	140 , 	- 0, 	- 0," 	1,012 "," 	2,645 "," 	1,764 "," 	2,631 "," 	1,755 "," 	1,613 "," 	3,192 "
,2008-09,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	605 ," 	2,033 "," 	2,638 ", 	94 , 	955 ," 	1,049 ", 	46 , 	- 0," 	1,502 "," 	2,876 "," 	2,625 "," 	3,058 "," 	2,560 "," 	1,636 "," 	4,226 "
,2008-09,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	810 ," 	1,982 "," 	2,792 ", 	186 , 	439 , 	625 , 	93 , 	169 ," 	2,044 "," 	4,465 "," 	3,853 "," 	4,465 "," 	3,824 "," 	1,311 "," 	5,737 "
,2008-09,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	354 ," 	1,299 "," 	1,653 ", 	45 , 	178 , 	223 , 	60 , 	- 0," 	1,207 "," 	2,685 "," 	2,539 "," 	3,141 "," 	2,591 "," 	1,753 "," 	3,981 "
,2008-09,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	417 ," 	1,523 "," 	1,940 ", 	64 , 	430 , 	494 , 	- 0, 	221 ," 	1,406 "," 	3,609 "," 	2,765 "," 	3,353 "," 	2,666 "," 	1,964 "," 	4,957 "
,2008-09,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	492 ," 	1,825 "," 	2,317 ", 	53 , 	585 , 	638 , 	12 , 	- 0," 	1,514 "," 	2,890 "," 	2,615 "," 	2,917 "," 	2,577 "," 	1,340 "," 	3,969 "
