,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MARCH,,,,England," 	141,913 "," 	534,470 "," 	676,383 "," 	21,380 "," 	161,064 "," 	182,444 "," 	23,218 "," 	480,163 "," 	1,041,984 "," 	839,603 "," 	991,642 "," 	796,046 "," 	579,067 "," 	1,389,669 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	775 ," 	3,663 "," 	4,438 ", 	123 ," 	1,304 "," 	1,427 ", 	53 ," 	2,853 "," 	6,290 "," 	5,481 "," 	5,760 "," 	4,810 "," 	1,318 "," 	8,468 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	864 ," 	3,506 "," 	4,370 ", 	108 , 	688 , 	796 , 	557 ," 	3,477 "," 	7,986 "," 	6,214 "," 	7,418 "," 	5,260 "," 	3,331 "," 	8,824 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,095 "," 	4,126 "," 	5,221 ", 	221 ," 	1,520 "," 	1,741 ", 	187 ," 	4,754 "," 	10,238 "," 	7,531 "," 	9,178 "," 	6,696 "," 	6,856 "," 	12,030 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	663 ," 	2,094 "," 	2,757 ", 	242 , 	684 , 	926 , 	47 ," 	1,815 "," 	3,654 "," 	3,369 "," 	3,326 "," 	2,746 "," 	1,147 "," 	4,136 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	762 ," 	2,605 "," 	3,367 ", 	253 , 	827 ," 	1,080 ", 	45 ," 	2,789 "," 	5,128 "," 	4,884 "," 	4,388 "," 	3,530 "," 	1,489 "," 	5,355 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,645 "," 	7,309 "," 	8,954 ", 	207 ," 	2,705 "," 	2,912 ", 	356 ," 	5,572 "," 	13,246 "," 	10,857 "," 	12,617 "," 	10,390 "," 	8,631 "," 	16,742 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,512 "," 	5,268 "," 	6,780 ", 	171 ," 	1,787 "," 	1,958 "," 	1,443 "," 	4,584 "," 	10,304 "," 	7,492 "," 	9,633 "," 	7,120 "," 	5,154 "," 	13,095 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,419 "," 	4,989 "," 	6,408 ", 	110 ," 	1,723 "," 	1,833 ", 	41 ," 	4,382 "," 	10,176 "," 	7,301 "," 	9,731 "," 	7,072 "," 	6,513 "," 	11,940 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5QW,SOLIHULL PCT, 	636 ," 	2,164 "," 	2,800 ", 	115 , 	945 ," 	1,060 ", 	23 ," 	2,243 "," 	5,039 "," 	3,544 "," 	4,684 "," 	3,333 "," 	2,857 "," 	5,523 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	656 ," 	1,533 "," 	2,189 ", 	68 , 	381 , 	449 , 	2 ," 	1,842 "," 	3,627 "," 	3,372 "," 	3,304 "," 	2,942 "," 	1,801 "," 	5,455 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT," 	1,080 "," 	3,666 "," 	4,746 ", 	202 ," 	1,441 "," 	1,643 ", 	1 ," 	2,799 "," 	7,238 "," 	5,873 "," 	7,123 "," 	5,783 "," 	3,290 "," 	8,901 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,133 "," 	3,773 "," 	4,906 ", 	120 , 	741 , 	861 , 	47 ," 	2,963 "," 	7,935 "," 	6,200 "," 	7,683 "," 	5,946 "," 	3,452 "," 	9,964 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	446 ," 	1,388 "," 	1,834 ", 	71 , 	396 , 	467 , 	3 ," 	1,384 "," 	3,606 "," 	2,663 "," 	3,247 "," 	2,334 "," 	1,955 "," 	3,905 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,408 "," 	5,868 "," 	7,276 ", 	220 ," 	2,080 "," 	2,300 "," 	1,258 "," 	4,380 "," 	10,358 "," 	7,925 "," 	9,949 "," 	7,635 "," 	7,422 "," 	12,829 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,145 "," 	9,435 "," 	11,580 ", 	358 ," 	3,317 "," 	3,675 ", 	27 ," 	6,509 "," 	13,721 "," 	12,200 "," 	13,375 "," 	11,876 "," 	5,869 "," 	19,774 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	752 ," 	2,722 "," 	3,474 ", 	144 , 	434 , 	578 , 	2 ," 	1,955 "," 	4,934 "," 	4,532 "," 	4,919 "," 	4,404 "," 	1,403 "," 	6,326 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,414 "," 	6,313 "," 	7,727 ", 	195 ," 	2,311 "," 	2,506 ", 	144 ," 	4,725 "," 	12,178 "," 	9,097 "," 	12,047 "," 	8,938 "," 	7,157 "," 	15,013 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	681 ," 	2,584 "," 	3,265 ", 	84 , 	781 , 	865 , 	354 ," 	2,275 "," 	5,285 "," 	4,485 "," 	4,894 "," 	4,178 "," 	3,007 "," 	6,632 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	916 ," 	2,809 "," 	3,725 ", 	77 , 	464 , 	541 , 	1 ," 	2,802 "," 	5,047 "," 	5,160 "," 	4,724 "," 	5,056 "," 	1,949 "," 	7,716 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	910 ," 	3,290 "," 	4,200 ", 	72 ," 	1,376 "," 	1,448 ", 	6 ," 	2,603 "," 	6,246 "," 	5,279 "," 	5,749 "," 	5,099 "," 	4,214 "," 	8,619 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	840 ," 	3,570 "," 	4,410 ", 	121 ," 	1,262 "," 	1,383 ", 	- 0," 	2,557 "," 	6,828 "," 	6,264 "," 	6,512 "," 	5,901 "," 	4,993 "," 	10,448 "
,2011-12,MARCH,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,975 "," 	9,561 "," 	12,536 ", 	450 ," 	2,611 "," 	3,061 ", 	303 ," 	8,222 "," 	23,022 "," 	16,947 "," 	22,521 "," 	16,332 "," 	12,096 "," 	27,061 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	544 ," 	2,456 "," 	3,000 ", 	63 , 	492 , 	555 , 	- 0," 	2,162 "," 	4,422 "," 	3,811 "," 	4,342 "," 	3,749 "," 	2,380 "," 	6,266 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	402 ," 	1,089 "," 	1,491 ", 	27 , 	258 , 	285 , 	72 ," 	1,067 "," 	3,482 "," 	2,775 "," 	3,035 "," 	2,364 "," 	1,626 "," 	4,082 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	838 ," 	3,772 "," 	4,610 ", 	104 ," 	1,112 "," 	1,216 ", 	1 ," 	2,284 "," 	7,674 "," 	5,601 "," 	7,168 "," 	5,537 "," 	4,227 "," 	9,285 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	618 ," 	2,407 "," 	3,025 ", 	78 , 	717 , 	795 , 	- 0," 	1,801 "," 	4,095 "," 	4,230 "," 	3,800 "," 	3,997 "," 	2,826 "," 	7,317 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	795 ," 	3,398 "," 	4,193 ", 	86 , 	931 ," 	1,017 ", 	123 ," 	2,945 "," 	9,799 "," 	6,440 "," 	9,246 "," 	5,933 "," 	6,016 "," 	10,107 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	656 ," 	2,644 "," 	3,300 ", 	81 , 	629 , 	710 , 	653 ," 	2,449 "," 	5,951 "," 	4,363 "," 	5,522 "," 	4,183 "," 	2,797 "," 	7,392 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	679 ," 	3,367 "," 	4,046 ", 	66 , 	994 ," 	1,060 ", 	367 ," 	2,425 "," 	5,818 "," 	5,161 "," 	5,378 "," 	4,694 "," 	4,486 "," 	8,399 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	362 ," 	1,477 "," 	1,839 ", 	53 , 	325 , 	378 , 	- 0," 	1,869 "," 	2,909 "," 	2,482 "," 	2,819 "," 	2,421 "," 	2,103 "," 	4,371 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	386 ," 	1,804 "," 	2,190 ", 	70 , 	373 , 	443 , 	- 0," 	2,093 "," 	4,379 "," 	3,731 "," 	3,982 "," 	3,266 "," 	2,136 "," 	5,997 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	412 ," 	1,389 "," 	1,801 ", 	51 , 	232 , 	283 , 	1 ," 	2,150 "," 	6,649 "," 	5,361 "," 	4,082 "," 	3,116 "," 	2,818 "," 	6,977 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	477 ," 	1,850 "," 	2,327 ", 	84 , 	704 , 	788 , 	3 ," 	2,829 "," 	7,707 "," 	6,201 "," 	5,680 "," 	4,257 "," 	3,561 "," 	8,733 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	489 ," 	2,388 "," 	2,877 ", 	61 , 	599 , 	660 , 	16 ," 	2,110 "," 	4,978 "," 	4,191 "," 	4,674 "," 	3,886 "," 	3,463 "," 	8,245 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	348 ," 	1,455 "," 	1,803 ", 	30 , 	218 , 	248 , 	8 ," 	1,610 "," 	4,091 "," 	3,029 "," 	3,525 "," 	2,637 "," 	3,466 "," 	6,459 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	747 ," 	3,110 "," 	3,857 ", 	68 , 	685 , 	753 , 	182 ," 	3,362 "," 	7,693 "," 	5,854 "," 	6,821 "," 	5,216 "," 	4,862 "," 	9,424 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	525 ," 	1,981 "," 	2,506 ", 	45 , 	413 , 	458 , 	12 ," 	2,068 "," 	5,555 "," 	4,383 "," 	5,035 "," 	4,208 "," 	2,499 "," 	6,788 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	631 ," 	2,618 "," 	3,249 ", 	86 , 	712 , 	798 , 	640 ," 	2,651 "," 	7,989 "," 	6,050 "," 	7,766 "," 	5,892 "," 	3,677 "," 	8,597 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	467 ," 	2,150 "," 	2,617 ", 	79 , 	791 , 	870 , 	365 ," 	1,744 "," 	4,242 "," 	3,448 "," 	4,153 "," 	3,381 "," 	2,024 "," 	5,079 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	424 ," 	1,928 "," 	2,352 ", 	43 , 	483 , 	526 , 	1 ," 	1,552 "," 	5,126 "," 	4,210 "," 	4,868 "," 	3,940 "," 	3,451 "," 	6,864 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	457 ," 	2,133 "," 	2,590 ", 	59 , 	543 , 	602 , 	- 0," 	1,689 "," 	4,827 "," 	4,053 "," 	4,476 "," 	3,733 "," 	2,595 "," 	6,962 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	729 ," 	3,532 "," 	4,261 ", 	61 , 	852 , 	913 , 	52 ," 	3,258 "," 	6,803 "," 	5,328 "," 	6,238 "," 	4,927 "," 	4,744 "," 	9,971 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	323 ," 	1,181 "," 	1,504 ", 	52 , 	264 , 	316 , 	2 ," 	1,205 "," 	4,469 "," 	2,781 "," 	4,245 "," 	2,606 "," 	2,529 "," 	5,076 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	431 ," 	1,701 "," 	2,132 ", 	38 , 	343 , 	381 , 	4 ," 	1,654 "," 	5,217 "," 	3,801 "," 	5,016 "," 	3,632 "," 	3,218 "," 	6,727 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	690 ," 	2,519 "," 	3,209 ", 	87 , 	636 , 	723 , 	6 ," 	2,880 "," 	6,793 "," 	5,395 "," 	5,763 "," 	5,054 "," 	4,507 "," 	10,661 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	559 ," 	2,279 "," 	2,838 ", 	80 , 	658 , 	738 , 	98 ," 	2,701 "," 	5,735 "," 	4,538 "," 	4,916 "," 	4,285 "," 	4,083 "," 	9,409 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	588 ," 	2,626 "," 	3,214 ", 	93 , 	643 , 	736 , 	99 ," 	2,314 "," 	5,398 "," 	4,351 "," 	5,119 "," 	4,229 "," 	5,332 "," 	9,961 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	655 ," 	1,986 "," 	2,641 ", 	64 , 	360 , 	424 , 	64 ," 	1,976 "," 	9,393 "," 	6,269 "," 	8,227 "," 	5,844 "," 	3,194 "," 	9,943 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	412 ," 	1,219 "," 	1,631 ", 	53 , 	267 , 	320 , 	61 ," 	1,056 "," 	4,082 "," 	3,219 "," 	3,621 "," 	2,962 "," 	1,753 "," 	4,757 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	800 ," 	3,129 "," 	3,929 ", 	62 , 	587 , 	649 , 	142 ," 	2,656 "," 	8,885 "," 	6,581 "," 	8,153 "," 	6,314 "," 	2,417 "," 	10,263 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	526 ," 	2,319 "," 	2,845 ", 	73 , 	598 , 	671 , 	- 0," 	2,255 "," 	5,537 "," 	4,644 "," 	5,305 "," 	4,436 "," 	2,557 "," 	7,160 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	551 ," 	2,261 "," 	2,812 ", 	80 , 	745 , 	825 , 	1 ," 	2,452 "," 	5,669 "," 	4,232 "," 	4,972 "," 	3,918 "," 	3,043 "," 	7,021 "
,2011-12,MARCH,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	610 ," 	2,443 "," 	3,053 ", 	76 , 	582 , 	658 , 	1 ," 	1,772 "," 	3,143 "," 	3,093 "," 	2,950 "," 	2,983 "," 	2,293 "," 	5,707 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	976 ," 	2,107 "," 	3,083 ", 	338 , 	473 , 	811 , 	1 ," 	2,317 "," 	5,480 "," 	4,779 "," 	5,298 "," 	4,605 "," 	2,766 "," 	7,263 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	827 ," 	2,297 "," 	3,124 ", 	338 , 	290 , 	628 , 	1 ," 	2,398 "," 	5,573 "," 	4,206 "," 	5,327 "," 	3,999 "," 	3,315 "," 	6,066 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,806 "," 	10,324 "," 	13,130 ", 	317 ," 	2,907 "," 	3,224 ", 	199 ," 	8,671 "," 	20,489 "," 	17,400 "," 	19,191 "," 	16,575 "," 	8,950 "," 	27,753 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,124 "," 	7,692 "," 	9,816 ", 	229 ," 	2,009 "," 	2,238 ", 	949 ," 	7,176 "," 	13,949 "," 	11,406 "," 	13,699 "," 	11,206 "," 	8,754 "," 	20,070 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,037 "," 	2,965 "," 	4,002 ", 	231 , 	935 ," 	1,166 ", 	1 ," 	2,907 "," 	7,918 "," 	6,309 "," 	7,788 "," 	6,207 "," 	3,659 "," 	9,085 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	566 ," 	1,562 "," 	2,128 ", 	69 , 	635 , 	704 , 	- 0," 	1,593 "," 	4,050 "," 	3,880 "," 	4,045 "," 	3,875 "," 	1,962 "," 	5,568 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,838 "," 	5,285 "," 	7,123 ", 	335 ," 	1,538 "," 	1,873 ", 	1 ," 	5,451 "," 	13,122 "," 	10,184 "," 	12,256 "," 	9,444 "," 	8,692 "," 	16,994 "
,2011-12,MARCH,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	2,446 "," 	8,173 "," 	10,619 ", 	490 ," 	2,953 "," 	3,443 ", 	3 ," 	6,654 "," 	13,950 "," 	11,073 "," 	13,560 "," 	10,712 "," 	9,792 "," 	19,980 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	558 ," 	2,181 "," 	2,739 ", 	58 , 	589 , 	647 , 	159 ," 	2,431 "," 	4,033 "," 	3,266 "," 	3,927 "," 	3,170 "," 	2,206 "," 	5,816 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	452 ," 	1,656 "," 	2,108 ", 	42 , 	234 , 	276 , 	293 ," 	2,051 "," 	4,516 "," 	3,436 "," 	4,275 "," 	3,246 "," 	1,581 "," 	4,803 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	585 ," 	2,190 "," 	2,775 ", 	85 , 	539 , 	624 , 	960 ," 	2,443 "," 	4,365 "," 	3,753 "," 	4,346 "," 	3,587 "," 	2,733 "," 	5,967 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,383 "," 	12,153 "," 	15,536 ", 	420 ," 	3,063 "," 	3,483 "," 	3,207 "," 	10,708 "," 	22,131 "," 	17,948 "," 	21,775 "," 	17,636 "," 	11,966 "," 	29,274 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,003 "," 	4,309 "," 	5,312 ", 	100 ," 	1,136 "," 	1,236 ", 	60 ," 	3,925 "," 	8,875 "," 	6,895 "," 	8,560 "," 	6,571 "," 	3,043 "," 	11,275 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,214 "," 	4,145 "," 	5,359 ", 	96 , 	707 , 	803 , 	72 ," 	4,797 "," 	11,243 "," 	7,960 "," 	10,560 "," 	7,453 "," 	6,012 "," 	13,096 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT," 	1,066 "," 	2,832 "," 	3,898 ", 	162 , 	452 , 	614 , 	86 ," 	2,745 "," 	7,739 "," 	6,466 "," 	6,930 "," 	5,710 "," 	3,979 "," 	12,629 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	868 ," 	2,830 "," 	3,698 ", 	160 , 	417 , 	577 , 	35 ," 	3,033 "," 	6,654 "," 	4,765 "," 	6,369 "," 	4,185 "," 	3,148 "," 	7,441 "
,2011-12,MARCH,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	376 , 	723 ," 	1,099 ", 	48 , 	110 , 	158 , 	24 ," 	1,297 "," 	2,972 "," 	2,177 "," 	2,874 "," 	2,118 "," 	2,377 "," 	3,401 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	586 ," 	2,363 "," 	2,949 ", 	76 , 	797 , 	873 , 	- 0," 	2,067 "," 	4,372 "," 	3,589 "," 	4,231 "," 	3,524 "," 	2,108 "," 	5,859 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	613 ," 	2,439 "," 	3,052 ", 	109 , 	368 , 	477 , 	125 ," 	2,352 "," 	4,494 "," 	3,692 "," 	4,489 "," 	3,688 "," 	1,182 "," 	6,216 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	446 ," 	1,555 "," 	2,001 ", 	38 , 	325 , 	363 , 	1 ," 	1,464 "," 	3,742 "," 	3,202 "," 	3,650 "," 	3,118 "," 	2,711 "," 	5,498 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	482 ," 	1,807 "," 	2,289 ", 	51 , 	575 , 	626 , 	- 0," 	1,841 "," 	4,090 "," 	3,270 "," 	4,005 "," 	3,117 "," 	1,955 "," 	5,138 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	529 ," 	2,199 "," 	2,728 ", 	78 , 	692 , 	770 , 	- 0," 	1,583 "," 	4,220 "," 	3,483 "," 	4,090 "," 	3,432 "," 	1,768 "," 	5,699 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,365 "," 	6,199 "," 	7,564 ", 	191 ," 	2,589 "," 	2,780 ", 	19 ," 	4,671 "," 	9,577 "," 	7,962 "," 	8,993 "," 	7,365 "," 	4,969 "," 	12,671 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT, 	955 ," 	3,858 "," 	4,813 ", 	159 ," 	1,314 "," 	1,473 ", 	2 ," 	3,847 "," 	8,059 "," 	6,684 "," 	7,560 "," 	6,294 "," 	3,821 "," 	11,359 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,167 "," 	3,954 "," 	5,121 ", 	140 , 	855 , 	995 , 	19 ," 	3,646 "," 	8,563 "," 	6,721 "," 	8,517 "," 	6,664 "," 	4,922 "," 	11,222 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,520 "," 	5,698 "," 	7,218 ", 	129 ," 	1,140 "," 	1,269 ", 	2 ," 	5,034 "," 	8,862 "," 	7,363 "," 	8,849 "," 	7,349 "," 	4,490 "," 	12,966 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,351 "," 	4,972 "," 	6,323 ", 	129 ," 	1,594 "," 	1,723 ", 	4 ," 	3,890 "," 	7,863 "," 	6,325 "," 	7,855 "," 	6,305 "," 	3,499 "," 	10,444 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	899 ," 	3,961 "," 	4,860 ", 	125 ," 	1,978 "," 	2,103 ", 	2 ," 	3,821 "," 	6,026 "," 	4,417 "," 	6,013 "," 	4,415 "," 	3,883 "," 	9,292 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,549 "," 	6,189 "," 	7,738 ", 	240 ," 	2,173 "," 	2,413 ", 	443 ," 	4,470 "," 	9,735 "," 	8,681 "," 	9,671 "," 	8,632 "," 	4,937 "," 	14,058 "
,2011-12,MARCH,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,289 "," 	8,975 "," 	11,264 ", 	476 ," 	3,691 "," 	4,167 ", 	161 ," 	6,499 "," 	13,555 "," 	11,502 "," 	13,462 "," 	11,456 "," 	6,617 "," 	17,938 "
