,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JUNE,,,,England," 	139,990 "," 	406,636 "," 	546,626 "," 	21,983 "," 	118,809 "," 	140,792 "," 	9,595 "," 	13,583 "," 	408,705 "," 	886,572 "," 	755,628 "," 	845,108 "," 	713,978 "," 	461,013 "," 	1,187,592 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	556 ," 	1,546 "," 	2,102 ", 	108 , 	372 , 	480 , 	381 , 	- 0," 	2,329 "," 	4,765 "," 	4,111 "," 	3,655 "," 	3,034 "," 	3,878 "," 	6,430 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	747 ," 	3,981 "," 	4,728 ", 	89 ," 	2,219 "," 	2,308 ", 	41 , 	- 0," 	2,129 "," 	4,918 "," 	4,999 "," 	4,733 "," 	4,758 "," 	1,436 "," 	8,061 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	892 ," 	3,063 "," 	3,955 ", 	102 , 	816 , 	918 , 	289 , 	- 0," 	2,724 "," 	5,142 "," 	5,033 "," 	4,456 "," 	4,352 "," 	3,831 "," 	8,056 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	991 ," 	3,601 "," 	4,592 ", 	210 ," 	1,432 "," 	1,642 ", 	175 , 	- 0," 	3,338 "," 	4,906 "," 	6,109 "," 	3,848 "," 	5,189 "," 	9,811 "," 	11,151 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	557 ," 	1,719 "," 	2,276 ", 	184 , 	472 , 	656 , 	48 , 	- 0," 	1,518 "," 	2,955 "," 	2,757 "," 	2,846 "," 	2,460 "," 	1,547 "," 	3,398 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	821 ," 	2,536 "," 	3,357 ", 	233 , 	708 , 	941 , 	6 , 	- 0," 	2,427 "," 	4,309 "," 	3,944 "," 	4,123 "," 	3,379 "," 	2,458 "," 	5,140 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,280 "," 	4,512 "," 	5,792 ", 	139 ," 	1,449 "," 	1,588 ", 	443 , 	- 0," 	3,887 "," 	10,866 "," 	8,163 "," 	10,283 "," 	7,866 "," 	8,075 "," 	13,159 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,401 "," 	4,528 "," 	5,929 ", 	129 ," 	1,488 "," 	1,617 ", 	926 , 	137 ," 	3,811 "," 	9,005 "," 	8,328 "," 	8,603 "," 	7,755 "," 	3,742 "," 	11,231 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,380 "," 	4,361 "," 	5,741 ", 	168 ," 	1,473 "," 	1,641 ", 	17 , 	14 ," 	3,524 "," 	8,156 "," 	7,162 "," 	7,659 "," 	6,629 "," 	2,859 "," 	9,694 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	479 ," 	1,636 "," 	2,115 ", 	115 , 	696 , 	811 , 	29 , 	- 0," 	1,322 "," 	2,638 "," 	3,183 "," 	2,236 "," 	2,814 "," 	4,547 "," 	5,353 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	503 ," 	1,158 "," 	1,661 ", 	88 , 	233 , 	321 , 	- 0, 	- 0," 	1,523 "," 	3,413 "," 	3,242 "," 	2,766 "," 	2,857 "," 	1,406 "," 	4,548 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	939 ," 	3,172 "," 	4,111 ", 	141 , 	861 ," 	1,002 ", 	- 0, 	- 0," 	2,838 "," 	6,552 "," 	5,509 "," 	6,548 "," 	5,501 "," 	2,828 "," 	7,872 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,554 "," 	3,552 "," 	5,106 ", 	123 , 	514 , 	637 , 	- 0, 	- 0," 	2,465 "," 	7,230 "," 	5,984 "," 	6,857 "," 	5,766 "," 	2,470 "," 	7,561 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,498 "," 	3,633 "," 	5,131 ", 	157 , 	783 , 	940 , 	- 0, 	- 0," 	3,293 "," 	10,584 "," 	9,264 "," 	9,800 "," 	8,578 "," 	5,030 "," 	12,884 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,374 "," 	3,716 "," 	5,090 ", 	238 , 	734 , 	972 , 	- 0, 	- 0," 	3,467 "," 	10,466 "," 	10,341 "," 	9,429 "," 	9,316 "," 	6,105 "," 	14,958 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	476 ," 	1,162 "," 	1,638 ", 	83 , 	308 , 	391 , 	1 , 	10 ," 	1,314 "," 	2,716 "," 	2,668 "," 	2,540 "," 	2,484 "," 	1,574 "," 	3,599 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,491 "," 	4,850 "," 	6,341 ", 	285 ," 	1,789 "," 	2,074 ", 	15 ," 	1,093 "," 	3,563 "," 	8,331 "," 	7,073 "," 	8,281 "," 	6,888 "," 	5,001 "," 	11,007 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,980 "," 	6,600 "," 	8,580 ", 	910 ," 	1,590 "," 	2,500 ", 	523 , 	26 ," 	5,310 "," 	13,446 "," 	11,881 "," 	13,780 "," 	9,540 "," 	3,130 "," 	13,780 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	798 ," 	2,165 "," 	2,963 ", 	114 , 	680 , 	794 , 	- 0, 	- 0," 	1,537 "," 	4,422 "," 	3,894 "," 	4,264 "," 	3,755 "," 	1,036 "," 	4,539 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,447 "," 	4,245 "," 	5,692 ", 	180 ," 	1,407 "," 	1,587 ", 	- 0, 	- 0," 	3,939 "," 	9,483 "," 	8,825 "," 	9,162 "," 	8,636 "," 	4,749 "," 	13,361 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	760 ," 	2,621 "," 	3,381 ", 	88 , 	920 ," 	1,008 ", 	- 0, 	- 0," 	2,124 "," 	4,686 "," 	4,402 "," 	4,524 "," 	4,113 "," 	2,202 "," 	6,050 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	832 ," 	2,033 "," 	2,865 ", 	107 , 	485 , 	592 , 	- 0, 	- 0," 	1,943 "," 	6,199 "," 	4,475 "," 	6,097 "," 	4,281 "," 	3,366 "," 	6,127 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	943 ," 	2,263 "," 	3,206 ", 	139 , 	711 , 	850 , 	3 , 	- 0," 	2,966 "," 	5,399 "," 	5,216 "," 	5,345 "," 	4,442 "," 	4,910 "," 	7,124 "
,2008-09,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	862 ," 	2,817 "," 	3,679 ", 	155 , 	843 , 	998 , 	- 0, 	- 0," 	2,714 "," 	6,530 "," 	6,047 "," 	6,414 "," 	6,010 "," 	3,815 "," 	9,472 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	972 ," 	1,520 "," 	2,492 ", 	44 , 	705 , 	749 , 	367 , 	- 0," 	1,401 "," 	3,092 "," 	2,644 "," 	3,070 "," 	1,786 "," 	2,600 "," 	5,060 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	405 ," 	1,106 "," 	1,511 ", 	90 , 	218 , 	308 , 	- 0, 	- 0, 	735 ," 	2,260 "," 	1,883 "," 	2,238 "," 	1,878 ", 	925 ," 	2,964 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	727 ," 	2,951 "," 	3,678 ", 	111 , 	679 , 	790 , 	- 0, 	133 ," 	2,361 "," 	6,957 "," 	5,556 "," 	5,760 "," 	4,807 "," 	1,199 "," 	6,325 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	493 ," 	2,126 "," 	2,619 ", 	66 , 	763 , 	829 , 	- 0, 	5 ," 	1,331 "," 	3,540 "," 	3,153 "," 	3,233 "," 	2,794 "," 	2,819 "," 	6,125 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	813 ," 	2,140 "," 	2,953 ", 	111 , 	465 , 	576 , 	- 0, 	- 0," 	2,365 "," 	7,000 "," 	5,923 "," 	6,347 "," 	5,125 "," 	3,134 "," 	8,742 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	617 ," 	1,840 "," 	2,457 ", 	85 , 	386 , 	471 , 	- 0, 	- 0," 	1,878 "," 	5,425 "," 	4,143 "," 	4,952 "," 	3,576 "," 	2,091 "," 	5,581 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	595 ," 	2,016 "," 	2,611 ", 	49 , 	609 , 	658 , 	- 0, 	353 ," 	2,074 "," 	5,307 "," 	3,812 "," 	4,913 "," 	3,353 "," 	2,712 "," 	6,480 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	357 ," 	1,070 "," 	1,427 ", 	42 , 	372 , 	414 , 	106 , 	- 0, 	888 ," 	2,691 "," 	2,351 "," 	2,671 "," 	2,317 "," 	1,212 "," 	3,705 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	508 ," 	1,337 "," 	1,845 ", 	46 , 	183 , 	229 , 	- 0, 	- 0," 	1,712 "," 	4,356 "," 	3,878 "," 	4,046 "," 	3,558 "," 	2,313 "," 	6,274 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	399 , 	947 ," 	1,346 ", 	35 , 	100 , 	135 , 	6 , 	- 0," 	1,926 "," 	3,245 "," 	3,009 "," 	3,601 "," 	2,681 "," 	2,033 "," 	4,932 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	512 ," 	1,620 "," 	2,132 ", 	61 , 	166 , 	227 , 	- 0, 	- 0," 	2,373 "," 	4,812 "," 	4,199 "," 	4,412 "," 	3,486 "," 	2,344 "," 	5,968 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	466 ," 	1,691 "," 	2,157 ", 	47 , 	466 , 	513 , 	- 0, 	20 ," 	1,688 "," 	4,511 "," 	3,636 "," 	4,018 "," 	3,242 "," 	2,583 "," 	5,860 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	187 , 	420 , 	607 , 	35 , 	133 , 	168 , 	- 0, 	- 0, 	557 ," 	3,938 "," 	2,274 "," 	2,450 "," 	1,833 "," 	2,153 "," 	4,503 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	772 ," 	2,610 "," 	3,382 ", 	68 , 	649 , 	717 , 	- 0, 	- 0," 	2,810 "," 	7,251 "," 	5,643 "," 	6,478 "," 	4,967 "," 	3,535 "," 	8,822 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	515 ," 	1,455 "," 	1,970 ", 	47 , 	177 , 	224 , 	- 0, 	- 0," 	2,112 "," 	5,119 "," 	4,369 "," 	4,476 "," 	4,235 "," 	2,379 "," 	6,766 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	692 ," 	2,012 "," 	2,704 ", 	116 , 	857 , 	973 , 	- 0, 	- 0," 	2,138 "," 	5,602 "," 	4,824 "," 	5,310 "," 	4,299 "," 	2,098 "," 	7,061 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	500 ," 	1,541 "," 	2,041 ", 	101 , 	609 , 	710 , 	- 0, 	- 0," 	1,606 "," 	3,450 "," 	2,947 "," 	3,137 "," 	2,797 "," 	1,862 "," 	4,530 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	379 ," 	1,348 "," 	1,727 ", 	57 , 	385 , 	442 , 	- 0, 	- 0," 	1,356 "," 	3,715 "," 	3,590 "," 	3,715 "," 	3,590 "," 	3,350 "," 	6,953 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	382 ," 	1,408 "," 	1,790 ", 	36 , 	329 , 	365 , 	- 0, 	- 0," 	1,419 "," 	3,846 "," 	3,259 "," 	3,499 "," 	2,965 "," 	2,149 "," 	5,692 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	776 ," 	3,247 "," 	4,023 ", 	95 ," 	1,039 "," 	1,134 ", 	- 0, 	52 ," 	2,294 "," 	5,299 "," 	4,571 "," 	5,257 "," 	4,504 "," 	3,644 "," 	8,641 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	377 ," 	1,032 "," 	1,409 ", 	109 , 	400 , 	509 , 	- 0, 	- 0," 	1,038 "," 	2,919 "," 	2,628 "," 	2,723 "," 	2,451 "," 	1,514 "," 	6,344 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	570 ," 	1,354 "," 	1,924 ", 	67 , 	495 , 	562 , 	- 0, 	- 0," 	1,559 "," 	4,260 "," 	3,333 "," 	4,047 "," 	3,170 "," 	2,439 "," 	5,247 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	675 ," 	1,854 "," 	2,529 ", 	109 , 	320 , 	429 , 	- 0, 	- 0," 	2,054 "," 	4,723 "," 	3,642 "," 	4,613 "," 	3,588 "," 	3,156 "," 	8,716 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	522 ," 	1,829 "," 	2,351 ", 	90 , 	366 , 	456 , 	- 0, 	- 0," 	1,910 "," 	4,275 "," 	3,564 "," 	4,257 "," 	3,553 "," 	2,807 "," 	7,927 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	536 ," 	2,157 "," 	2,693 ", 	129 , 	547 , 	676 , 	- 0, 	- 0," 	1,696 "," 	4,761 "," 	3,736 "," 	4,717 "," 	3,694 "," 	2,149 "," 	6,750 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	521 , 	981 ," 	1,502 ", 	74 , 	374 , 	448 , 	- 0, 	- 0," 	2,007 "," 	7,210 "," 	4,094 "," 	6,538 "," 	3,905 "," 	2,051 "," 	7,294 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	292 , 	763 ," 	1,055 ", 	2 , 	8 , 	10 , 	- 0, 	- 0, 	873 ," 	3,017 "," 	2,512 "," 	3,017 "," 	2,512 "," 	1,339 "," 	5,530 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	863 ," 	2,267 "," 	3,130 ", 	112 , 	496 , 	608 , 	- 0, 	112 ," 	2,674 "," 	6,696 "," 	4,762 "," 	6,117 "," 	4,645 "," 	1,868 "," 	13,195 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	504 ," 	1,554 "," 	2,058 ", 	154 , 	522 , 	676 , 	100 , 	- 0," 	2,419 "," 	4,362 "," 	4,442 "," 	4,336 "," 	4,182 "," 	2,510 "," 	6,072 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	538 ," 	1,893 "," 	2,431 ", 	65 , 	624 , 	689 , 	4 , 	23 ," 	1,936 "," 	4,547 "," 	3,373 "," 	4,547 "," 	3,373 "," 	1,888 "," 	5,875 "
,2008-09,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	424 ," 	1,602 "," 	2,026 ", 	38 , 	382 , 	420 , 	- 0, 	5 ," 	1,380 "," 	2,505 "," 	2,114 "," 	2,318 "," 	2,091 "," 	1,822 "," 	3,497 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	588 ," 	1,463 "," 	2,051 ", 	31 , 	174 , 	205 , 	123 , 	16 ," 	1,863 "," 	5,460 "," 	4,028 "," 	4,028 "," 	3,701 "," 	1,833 "," 	5,290 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	602 ," 	1,376 "," 	1,978 ", 	232 , 	221 , 	453 , 	243 , 	- 0," 	2,103 "," 	5,661 "," 	4,431 "," 	5,661 "," 	3,769 "," 	2,109 "," 	4,915 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,136 "," 	7,052 "," 	9,188 ", 	105 ," 	1,303 "," 	1,408 ", 	- 0, 	616 ," 	7,579 "," 	15,005 "," 	14,516 "," 	14,420 "," 	14,168 "," 	4,463 "," 	21,073 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,092 "," 	5,482 "," 	7,574 ", 	272 , 	948 ," 	1,220 ", 	- 0," 	1,452 "," 	6,293 "," 	12,838 "," 	10,263 "," 	12,658 "," 	9,968 "," 	6,630 "," 	18,044 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,094 "," 	2,322 "," 	3,416 ", 	220 , 	755 , 	975 , 	- 0, 	- 0," 	2,605 "," 	7,528 "," 	6,368 "," 	7,325 "," 	6,254 "," 	2,365 "," 	8,300 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	506 ," 	1,522 "," 	2,028 ", 	93 , 	587 , 	680 , 	- 0, 	- 0," 	1,746 "," 	3,569 "," 	2,916 "," 	3,565 "," 	2,910 "," 	1,493 "," 	4,672 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,711 "," 	3,791 "," 	5,502 ", 	152 , 	677 , 	829 , 	600 , 	312 ," 	4,450 "," 	11,836 "," 	9,553 "," 	10,183 "," 	8,417 "," 	4,693 "," 	12,640 "
,2008-09,JUNE,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,763 "," 	4,698 "," 	6,461 ", 	307 ," 	1,579 "," 	1,886 ", 	56 , 	- 0," 	5,830 "," 	11,172 "," 	9,919 "," 	11,145 "," 	11,145 "," 	7,982 "," 	16,227 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	499 ," 	1,549 "," 	2,048 ", 	58 , 	381 , 	439 , 	127 , 	- 0," 	1,932 "," 	2,941 "," 	3,362 "," 	2,882 "," 	3,223 "," 	1,862 "," 	5,679 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	473 ," 	1,470 "," 	1,943 ", 	70 , 	314 , 	384 , 	228 , 	328 ," 	1,947 "," 	4,356 "," 	3,302 "," 	4,117 "," 	3,222 "," 	1,569 "," 	5,240 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	674 ," 	1,547 "," 	2,221 ", 	138 , 	609 , 	747 , 	99 , 	8 ," 	2,597 "," 	3,272 "," 	2,640 "," 	3,244 "," 	2,615 "," 	2,424 "," 	4,802 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,263 "," 	9,638 "," 	12,901 ", 	400 ," 	3,373 "," 	3,773 ", 	344 ," 	3,095 "," 	9,678 "," 	22,195 "," 	18,347 "," 	21,913 "," 	18,277 "," 	8,558 "," 	28,995 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,081 "," 	3,459 "," 	4,540 ", 	156 , 	941 ," 	1,097 ", 	75 , 	- 0," 	4,912 "," 	7,923 "," 	5,812 "," 	7,703 "," 	5,768 "," 	2,114 "," 	10,152 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,384 "," 	4,110 "," 	5,494 ", 	288 ," 	1,347 "," 	1,635 ", 	149 , 	- 0," 	4,290 "," 	8,673 "," 	10,073 "," 	8,218 "," 	7,483 "," 	5,034 "," 	13,904 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	968 ," 	2,401 "," 	3,369 ", 	162 , 	606 , 	768 , 	103 , 	- 0," 	2,571 "," 	6,483 "," 	5,021 "," 	6,158 "," 	4,766 "," 	2,484 "," 	8,456 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	686 ," 	2,000 "," 	2,686 ", 	108 , 	382 , 	490 , 	- 0, 	- 0," 	2,580 "," 	4,587 "," 	4,177 "," 	4,336 "," 	4,001 "," 	2,538 "," 	6,853 "
,2008-09,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	343 ," 	1,180 "," 	1,523 ", 	31 , 	175 , 	206 , 	2 , 	5 , 	982 ," 	3,039 "," 	2,855 "," 	2,930 "," 	2,177 "," 	1,359 "," 	3,835 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	679 ," 	1,957 "," 	2,636 ", 	105 , 	861 , 	966 , 	42 , 	- 0," 	1,653 "," 	3,400 "," 	3,076 "," 	3,479 "," 	2,947 "," 	1,784 "," 	4,751 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	850 ," 	2,078 "," 	2,928 ", 	198 , 	469 , 	667 , 	60 , 	133 ," 	2,164 "," 	4,504 "," 	3,414 "," 	4,677 "," 	3,838 "," 	1,552 "," 	5,784 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	354 ," 	1,341 "," 	1,695 ", 	40 , 	189 , 	229 , 	69 , 	- 0," 	1,209 "," 	2,869 "," 	2,700 "," 	3,237 "," 	2,756 "," 	1,707 "," 	4,229 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	481 ," 	1,386 "," 	1,867 ", 	80 , 	386 , 	466 , 	- 0, 	217 ," 	1,542 "," 	3,766 "," 	3,066 "," 	3,559 "," 	2,948 "," 	2,092 "," 	5,347 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	582 ," 	1,710 "," 	2,292 ", 	88 , 	596 , 	684 , 	26 , 	- 0," 	1,278 "," 	3,033 "," 	2,922 "," 	3,038 "," 	2,878 "," 	1,468 "," 	4,339 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,547 "," 	5,010 "," 	6,557 ", 	258 ," 	2,322 "," 	2,580 ", 	15 , 	8 ," 	4,047 "," 	8,554 "," 	7,182 "," 	8,201 "," 	6,835 "," 	5,179 "," 	12,573 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,145 "," 	3,820 "," 	4,965 ", 	164 ," 	1,494 "," 	1,658 ", 	27 , 	- 0," 	3,426 "," 	5,724 "," 	5,710 "," 	5,952 "," 	5,491 "," 	3,407 "," 	10,023 "
,2008-09,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,050 "," 	3,459 "," 	4,509 ", 	140 , 	668 , 	808 , 	- 0, 	123 ," 	2,980 "," 	8,135 "," 	6,381 "," 	7,717 "," 	6,456 "," 	4,160 "," 	10,320 "
