,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MAY,,,,England," 	133,688 "," 	429,196 "," 	562,853 "," 	20,663 "," 	128,849 "," 	149,510 "," 	21,679 "," 	453,884 "," 	950,430 "," 	786,495 "," 	902,673 "," 	746,373 "," 	498,549 "," 	1,268,980 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	845 ," 	3,197 "," 	4,042 ", 	121 , 	745 , 	866 , 	483 ," 	3,294 "," 	6,989 "," 	5,301 "," 	6,502 "," 	4,791 "," 	3,258 "," 	8,193 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT, 	959 ," 	3,667 "," 	4,626 ", 	147 ," 	1,518 "," 	1,665 ", 	218 ," 	4,259 "," 	7,024 "," 	8,902 "," 	6,278 "," 	8,034 "," 	3,955 "," 	13,387 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	574 ," 	1,783 "," 	2,357 ", 	170 , 	529 , 	699 , 	33 ," 	1,826 "," 	3,517 "," 	3,451 "," 	3,253 "," 	2,848 "," 	1,023 "," 	4,189 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	659 ," 	2,317 "," 	2,976 ", 	156 , 	671 , 	827 , 	5 ," 	2,758 "," 	4,706 "," 	4,829 "," 	4,089 "," 	3,567 "," 	1,313 "," 	5,339 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,537 "," 	5,160 "," 	6,697 ", 	192 ," 	1,811 "," 	2,003 ", 	420 ," 	4,658 "," 	11,657 "," 	9,258 "," 	11,189 "," 	8,865 "," 	7,356 "," 	14,078 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,386 "," 	4,214 "," 	5,600 ", 	155 ," 	1,402 "," 	1,557 "," 	1,178 "," 	4,188 "," 	9,711 "," 	7,958 "," 	8,519 "," 	7,660 "," 	4,441 "," 	12,317 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,376 "," 	4,534 "," 	5,910 ", 	162 ," 	1,404 "," 	1,566 ", 	33 ," 	3,772 "," 	9,498 "," 	7,454 "," 	9,240 "," 	7,226 "," 	6,472 "," 	12,131 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	494 ," 	1,612 "," 	2,106 ", 	79 , 	682 , 	761 , 	19 ," 	1,951 "," 	3,192 "," 	4,412 "," 	2,934 "," 	4,172 "," 	1,606 "," 	6,412 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	475 ," 	1,185 "," 	1,660 ", 	65 , 	283 , 	348 , 	1 ," 	1,429 "," 	3,209 "," 	3,100 "," 	2,824 "," 	2,648 "," 	1,442 "," 	4,748 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	932 ," 	3,059 "," 	3,991 ", 	179 ," 	1,108 "," 	1,287 ", 	- 0," 	3,481 "," 	6,466 "," 	5,096 "," 	6,419 "," 	5,089 "," 	2,588 "," 	7,602 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT, 	881 ," 	3,071 "," 	3,952 ", 	113 , 	588 , 	701 , 	37 ," 	2,663 "," 	7,376 "," 	6,579 "," 	7,014 "," 	6,224 "," 	2,550 "," 	9,454 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	440 ," 	1,104 "," 	1,544 ", 	61 , 	294 , 	355 , 	13 ," 	1,316 "," 	2,850 "," 	2,214 "," 	2,668 "," 	2,108 "," 	1,876 "," 	3,510 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,424 "," 	5,347 "," 	6,771 ", 	221 ," 	1,783 "," 	2,004 "," 	1,147 "," 	4,179 "," 	8,812 "," 	7,624 "," 	8,541 "," 	7,330 "," 	6,264 "," 	12,217 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	1,997 "," 	7,252 "," 	9,249 ", 	291 ," 	2,597 "," 	2,888 ", 	37 ," 	5,982 "," 	13,059 "," 	11,323 "," 	12,725 "," 	11,027 "," 	5,464 "," 	17,330 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	638 ," 	2,133 "," 	2,771 ", 	84 , 	352 , 	436 , 	2 ," 	1,822 "," 	5,301 "," 	4,171 "," 	5,096 "," 	4,031 "," 	1,514 "," 	5,648 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,482 "," 	4,824 "," 	6,306 ", 	185 ," 	1,646 "," 	1,831 ", 	254 ," 	4,734 "," 	10,586 "," 	8,750 "," 	10,252 "," 	8,527 "," 	4,708 "," 	14,167 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	672 ," 	2,496 "," 	3,168 ", 	77 , 	941 ," 	1,018 ", 	332 ," 	2,031 "," 	4,897 "," 	4,192 "," 	4,662 "," 	3,954 "," 	2,654 "," 	5,982 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	732 ," 	1,985 "," 	2,717 ", 	85 , 	324 , 	409 , 	1 ," 	2,257 "," 	3,902 "," 	4,189 "," 	3,761 "," 	4,036 "," 	2,272 "," 	5,964 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	763 ," 	2,527 "," 	3,290 ", 	76 , 	855 , 	931 , 	5 ," 	2,445 "," 	6,625 "," 	5,176 "," 	6,538 "," 	5,097 "," 	4,666 "," 	8,315 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	826 ," 	2,976 "," 	3,802 ", 	127 , 	858 , 	985 , 	- 0," 	2,655 "," 	7,628 "," 	6,293 "," 	7,464 "," 	6,271 "," 	4,456 "," 	10,166 "
,2010-11,MAY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5QV,HERTFORDSHIRE PCT," 	2,703 "," 	8,333 "," 	11,036 ", 	361 ," 	2,163 "," 	2,524 ", 	265 ," 	7,348 "," 	21,132 "," 	17,099 "," 	19,809 "," 	16,230 "," 	10,783 "," 	25,659 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	525 ," 	2,008 "," 	2,533 ", 	73 , 	364 , 	437 , 	- 0," 	2,002 "," 	3,856 "," 	3,398 "," 	3,821 "," 	3,384 "," 	2,260 "," 	5,589 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	327 ," 	1,007 "," 	1,334 ", 	68 , 	278 , 	346 , 	31 ," 	1,127 "," 	3,041 "," 	2,590 "," 	2,603 "," 	2,194 "," 	1,281 "," 	3,800 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	734 ," 	3,212 "," 	3,946 ", 	91 , 	669 , 	760 , 	2 ," 	2,187 "," 	6,964 "," 	5,259 "," 	6,557 "," 	5,246 "," 	3,801 "," 	8,582 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	514 ," 	1,961 "," 	2,475 ", 	89 , 	569 , 	658 , 	1 ," 	1,927 "," 	4,068 "," 	3,648 "," 	3,689 "," 	3,412 "," 	2,700 "," 	6,701 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	679 ," 	2,724 "," 	3,403 ", 	101 , 	527 , 	628 , 	74 ," 	3,099 "," 	8,091 "," 	6,280 "," 	7,600 "," 	5,578 "," 	5,046 "," 	9,797 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	574 ," 	1,870 "," 	2,444 ", 	89 , 	448 , 	537 , 	541 ," 	2,247 "," 	5,245 "," 	4,220 "," 	4,891 "," 	4,004 "," 	2,159 "," 	6,728 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	570 ," 	2,480 "," 	3,050 ", 	69 , 	676 , 	745 , 	359 ," 	2,185 "," 	5,452 "," 	4,823 "," 	5,089 "," 	4,217 "," 	3,845 "," 	7,393 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	313 ," 	1,265 "," 	1,577 ", 	50 , 	250 , 	300 , 	- 0," 	1,867 "," 	2,878 "," 	2,383 "," 	2,851 "," 	2,361 "," 	1,630 "," 	3,908 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	396 ," 	1,567 "," 	1,963 ", 	44 , 	273 , 	317 , 	5 ," 	1,827 "," 	3,615 "," 	3,115 "," 	3,382 "," 	2,915 "," 	2,109 "," 	4,548 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	331 ," 	1,372 "," 	1,703 ", 	39 , 	233 , 	272 , 	- 0," 	1,804 "," 	4,931 "," 	3,967 "," 	4,138 "," 	3,211 "," 	2,843 "," 	7,587 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	451 ," 	1,307 "," 	1,758 ", 	76 , 	656 , 	732 , 	1 ," 	2,624 "," 	7,413 "," 	5,856 "," 	5,626 "," 	4,112 "," 	3,838 "," 	7,821 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	521 ," 	2,014 "," 	2,535 ", 	52 , 	489 , 	541 , 	23 ," 	1,923 "," 	5,060 "," 	4,124 "," 	4,660 "," 	3,749 "," 	3,382 "," 	7,268 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	416 ," 	1,034 "," 	1,450 ", 	41 , 	216 , 	257 , 	10 ," 	1,996 "," 	3,896 "," 	2,949 "," 	3,563 "," 	2,712 "," 	1,967 "," 	4,691 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	673 ," 	2,408 "," 	3,081 ", 	78 , 	596 , 	674 , 	164 ," 	2,998 "," 	7,179 "," 	5,427 "," 	6,372 "," 	4,848 "," 	3,744 "," 	8,020 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	514 ," 	1,573 "," 	2,087 ", 	70 , 	385 , 	455 , 	9 ," 	1,822 "," 	5,462 "," 	4,366 "," 	4,805 "," 	3,792 "," 	1,832 "," 	6,067 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	623 ," 	2,049 "," 	2,672 ", 	72 , 	548 , 	620 , 	671 ," 	2,529 "," 	5,871 "," 	4,717 "," 	5,522 "," 	4,581 "," 	2,811 "," 	6,910 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	464 ," 	1,502 "," 	1,966 ", 	60 , 	459 , 	519 , 	238 ," 	1,560 "," 	3,409 "," 	3,019 "," 	3,275 "," 	2,922 "," 	1,671 "," 	4,554 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	424 ," 	1,518 "," 	1,942 ", 	55 , 	379 , 	434 , 	5 ," 	1,737 "," 	4,804 "," 	4,190 "," 	4,494 "," 	3,862 "," 	2,989 "," 	6,779 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	416 ," 	1,561 "," 	1,977 ", 	45 , 	444 , 	489 , 	2 ," 	1,617 "," 	4,174 "," 	3,663 "," 	3,814 "," 	3,318 "," 	2,423 "," 	5,951 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	713 ," 	2,628 "," 	3,341 ", 	96 , 	529 , 	625 , 	66 ," 	2,856 "," 	6,294 "," 	4,814 "," 	5,525 "," 	4,645 "," 	4,416 "," 	9,328 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	355 ," 	1,098 "," 	1,453 ", 	52 , 	241 , 	293 , 	3 ," 	1,406 "," 	3,762 "," 	2,581 "," 	3,548 "," 	2,467 "," 	1,626 "," 	6,840 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	431 ," 	1,396 "," 	1,827 ", 	45 , 	244 , 	289 , 	7 ," 	1,821 "," 	5,782 "," 	3,346 "," 	5,396 "," 	3,214 "," 	2,353 "," 	7,945 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	604 ," 	1,765 "," 	2,369 ", 	98 , 	369 , 	467 , 	6 ," 	2,930 "," 	6,596 "," 	4,581 "," 	5,492 "," 	4,154 "," 	3,634 "," 	8,813 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	498 ," 	1,607 "," 	2,105 ", 	79 , 	339 , 	418 , 	99 ," 	2,756 "," 	5,205 "," 	3,734 "," 	4,286 "," 	3,444 "," 	3,570 "," 	8,237 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	556 ," 	2,267 "," 	2,823 ", 	126 , 	485 , 	611 , 	99 ," 	2,135 "," 	5,191 "," 	3,897 "," 	4,844 "," 	3,778 "," 	2,657 "," 	6,575 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	567 ," 	2,183 "," 	2,750 ", 	79 , 	974 ," 	1,053 ", 	33 ," 	2,158 "," 	9,834 "," 	6,046 "," 	8,598 "," 	5,092 "," 	3,926 "," 	8,556 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	323 ," 	1,055 "," 	1,378 ", 	52 , 	325 , 	377 , 	18 ," 	1,111 "," 	4,052 "," 	3,103 "," 	3,554 "," 	2,723 "," 	1,356 "," 	4,523 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	874 ," 	2,418 "," 	3,292 ", 	117 , 	447 , 	564 , 	109 ," 	2,572 "," 	8,040 "," 	5,798 "," 	7,292 "," 	5,254 "," 	2,222 "," 	8,693 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	475 ," 	1,910 "," 	2,385 ", 	72 , 	527 , 	599 , 	138 ," 	2,291 "," 	4,909 "," 	3,643 "," 	4,857 "," 	3,616 "," 	2,229 "," 	5,869 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	469 ," 	1,941 "," 	2,410 ", 	75 , 	699 , 	774 , 	2 ," 	2,144 "," 	5,771 "," 	4,127 "," 	5,702 "," 	4,096 "," 	2,531 "," 	7,259 "
,2010-11,MAY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	529 ," 	1,876 "," 	2,405 ", 	62 , 	522 , 	584 , 	- 0," 	1,653 "," 	2,770 "," 	2,544 "," 	2,489 "," 	2,390 "," 	2,010 "," 	4,752 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	762 ," 	1,611 "," 	2,373 ", 	237 , 	309 , 	546 , 	- 0," 	2,043 "," 	4,597 "," 	4,524 "," 	4,199 "," 	3,921 "," 	1,930 "," 	6,883 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	694 ," 	1,895 "," 	2,589 ", 	289 , 	355 , 	644 , 	230 ," 	2,486 "," 	5,576 "," 	4,280 "," 	5,085 "," 	4,126 "," 	2,749 "," 	6,058 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,423 "," 	7,884 "," 	10,307 ", 	273 ," 	2,289 "," 	2,562 ", 	180 ," 	9,030 "," 	19,054 "," 	15,783 "," 	17,803 "," 	14,767 "," 	7,394 "," 	24,594 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,071 "," 	5,738 "," 	7,809 ", 	486 ," 	1,627 "," 	2,113 "," 	1,135 "," 	6,809 "," 	13,109 "," 	10,719 "," 	12,996 "," 	10,643 "," 	8,597 "," 	19,105 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT, 	997 ," 	2,426 "," 	3,423 ", 	243 , 	688 , 	931 , 	97 ," 	2,832 "," 	7,686 "," 	6,122 "," 	7,611 "," 	5,990 "," 	2,987 "," 	8,504 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	509 ," 	1,327 "," 	1,836 ", 	66 , 	519 , 	585 , 	- 0," 	1,703 "," 	4,287 "," 	3,549 "," 	4,283 "," 	3,544 "," 	1,346 "," 	4,909 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,658 "," 	4,351 "," 	6,009 ", 	295 ," 	1,275 "," 	1,570 ", 	1 ," 	4,858 "," 	12,541 "," 	9,633 "," 	11,484 "," 	8,827 "," 	6,851 "," 	15,763 "
,2010-11,MAY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,960 "," 	5,897 "," 	7,857 ", 	326 ," 	2,031 "," 	2,357 ", 	3 ," 	6,107 "," 	13,397 "," 	10,993 "," 	12,995 "," 	10,735 "," 	8,551 "," 	18,130 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	549 ," 	1,538 "," 	2,087 ", 	73 , 	462 , 	535 , 	98 ," 	2,002 "," 	3,698 "," 	3,034 "," 	3,374 "," 	2,741 "," 	1,532 "," 	5,022 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	433 ," 	1,382 "," 	1,815 ", 	40 , 	186 , 	226 , 	279 ," 	1,753 "," 	4,137 "," 	3,181 "," 	3,906 "," 	3,016 "," 	1,448 "," 	5,169 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	576 ," 	1,992 "," 	2,568 ", 	93 , 	687 , 	780 ," 	1,770 "," 	2,218 "," 	3,419 "," 	2,998 "," 	3,419 "," 	2,998 "," 	2,105 "," 	4,636 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	2,979 "," 	9,988 "," 	12,967 ", 	368 ," 	2,542 "," 	2,910 "," 	2,977 "," 	9,316 "," 	20,614 "," 	16,755 "," 	20,160 "," 	16,496 "," 	11,321 "," 	27,643 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT, 	864 ," 	3,460 "," 	4,324 ", 	110 ," 	1,101 "," 	1,211 ", 	43 ," 	3,615 "," 	7,417 "," 	5,804 "," 	7,203 "," 	5,585 "," 	2,222 "," 	10,726 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,286 "," 	3,844 "," 	5,130 ", 	292 ," 	1,365 "," 	1,657 ", 	84 ," 	4,312 "," 	7,089 "," 	6,288 "," 	6,979 "," 	6,157 "," 	4,397 "," 	12,714 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT, 	848 ," 	2,644 "," 	3,492 ", 	95 , 	403 , 	498 , 	52 ," 	2,508 "," 	6,938 "," 	5,285 "," 	6,614 "," 	5,024 "," 	2,492 "," 	9,178 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	746 ," 	2,858 "," 	3,604 ", 	108 , 	570 , 	678 , 	48 ," 	2,763 "," 	8,547 "," 	6,306 "," 	8,173 "," 	6,025 "," 	2,086 "," 	10,412 "
,2010-11,MAY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	347 , 	667 ," 	1,014 ", 	47 , 	74 , 	121 , 	32 , 	994 ," 	2,778 "," 	2,111 "," 	2,722 "," 	2,056 "," 	1,786 "," 	3,554 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	609 ," 	1,978 "," 	2,587 ", 	84 , 	877 , 	961 , 	- 0," 	1,557 "," 	3,441 "," 	2,963 "," 	3,311 "," 	2,844 "," 	1,887 "," 	4,677 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	634 ," 	1,838 "," 	2,472 ", 	125 , 	286 , 	411 , 	288 ," 	2,370 "," 	4,580 "," 	4,050 "," 	4,562 "," 	3,989 "," 	1,159 "," 	6,025 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	378 ," 	1,297 "," 	1,675 ", 	47 , 	215 , 	262 , 	- 0," 	1,300 "," 	3,428 "," 	2,730 "," 	3,119 "," 	2,682 "," 	1,661 "," 	4,249 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	505 ," 	1,421 "," 	1,926 ", 	82 , 	451 , 	533 , 	- 0," 	1,739 "," 	3,552 "," 	2,746 "," 	3,504 "," 	2,626 "," 	1,862 "," 	4,722 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5M8,NORTH SOMERSET PCT, 	533 ," 	1,792 "," 	2,325 ", 	76 , 	617 , 	693 , 	- 0," 	1,641 "," 	3,383 "," 	2,907 "," 	3,281 "," 	2,819 "," 	1,457 "," 	4,480 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT," 	1,364 "," 	5,210 "," 	6,574 ", 	224 ," 	2,296 "," 	2,520 ", 	6 ," 	4,687 "," 	9,019 "," 	7,439 "," 	8,549 "," 	7,034 "," 	5,004 "," 	12,092 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QJ,BRISTOL PCT," 	1,019 "," 	3,440 "," 	4,459 ", 	164 ," 	1,272 "," 	1,436 ", 	- 0," 	3,432 "," 	6,585 "," 	5,459 "," 	6,236 "," 	5,157 "," 	3,670 "," 	9,526 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QK,WILTSHIRE PCT," 	1,192 "," 	3,203 "," 	4,395 ", 	154 , 	580 , 	734 , 	26 ," 	3,295 "," 	7,552 "," 	6,463 "," 	7,252 "," 	6,410 "," 	4,090 "," 	10,245 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QL,SOMERSET PCT," 	1,553 "," 	4,653 "," 	6,206 ", 	146 , 	991 ," 	1,137 ", 	1 ," 	4,537 "," 	8,389 "," 	7,291 "," 	8,348 "," 	7,267 "," 	4,231 "," 	11,749 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QM,DORSET PCT," 	1,341 "," 	4,442 "," 	5,783 ", 	131 ," 	1,400 "," 	1,531 ", 	2 ," 	3,482 "," 	6,932 "," 	5,844 "," 	6,886 "," 	5,791 "," 	3,088 "," 	9,340 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QN,BOURNEMOUTH AND POOLE TEACHING PCT, 	899 ," 	3,630 "," 	4,529 ", 	133 ," 	1,703 "," 	1,836 ", 	3 ," 	3,393 "," 	5,572 "," 	4,022 "," 	5,430 "," 	3,910 "," 	3,719 "," 	8,515 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QP,CORNWALL AND ISLES OF SCILLY PCT," 	1,714 "," 	4,946 "," 	6,660 ", 	268 ," 	1,806 "," 	2,074 ", 	75 ," 	4,360 "," 	8,877 "," 	8,753 "," 	8,827 "," 	8,670 "," 	4,290 "," 	13,268 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QQ,DEVON PCT," 	2,510 "," 	7,267 "," 	9,747 ", 	510 ," 	2,681 "," 	3,191 ", 	143 ," 	5,467 "," 	12,178 "," 	10,926 "," 	12,078 "," 	10,875 "," 	5,397 "," 	15,976 "
,2010-11,MAY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,TAL,TORBAY CARE TRUST, 	479 ," 	1,263 "," 	1,742 ", 	93 , 	428 , 	521 , 	112 ," 	1,377 "," 	2,236 "," 	2,220 "," 	2,235 "," 	2,218 "," 	1,209 "," 	3,478 "
