RWY,Calderdale and Huddersfield NHS Foundation Trust,,,,,,"135,975","119,335","60,215","75,760",0,"52,015","35,790","18,170","13,360",48,30,3,1,53,"7,535","3,675","2,660","1,955",370,415,495,570,680,"4,565","6,315","6,535","5,415","4,725","6,465","7,495","11,670","8,990","9,920","11,765","10,595","10,135","7,495","5,090","48,215","248,630","17,350",775,"3,290",,,
RGT,Cambridge University Hospitals NHS Foundation Trust,,,,,,"201,880","152,130","94,560","107,315",*,"47,535","49,695","42,230","12,670",58,35,5,2,54,"7,960","4,770","3,495","3,660",895,725,855,"1,250","1,260","6,710","7,930","9,500","9,135","7,840","9,545","11,780","13,445","13,965","16,035","18,635","16,140","14,615","12,075","8,795","76,395","389,445","11,175","2,825","1,795",,,
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,,,,,,"2,150","1,630","1,090","1,060",*,345,450,360,475,5,2,46,16,43,0,0,10,25,10,20,10,30,55,205,230,230,200,180,215,200,100,95,80,95,60,50,30,10,0,"74,050",*,10,10,,,
RYV,Cambridgeshire Community Services NHS Trust,,,,,,"4,095","4,090","2,235","1,860",0,"3,750",25,90,225,19,21,1,0,4,"1,415","1,515",560,420,95,85,*,*,0,0,*,0,0,0,0,0,0,0,*,0,0,0,0,0,*,"3,995","2,675",105,35,,,
RV3,Central and North West London NHS Foundation Trust,,,,,,"4,345","3,965","2,245","2,095",*,"1,790",370,"1,070",735,,,67,26,49,0,0,*,10,*,*,10,35,60,400,445,450,400,340,345,295,245,195,150,195,180,225,165,155,0,"259,200",30,15,100,,,
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,,,,,,"161,600","138,920","72,245","89,320",35,"60,605","39,730","12,040","26,545",57,40,3,1,46,"15,320","5,920","4,405","3,290",690,780,760,675,750,"5,440","8,710","11,620","10,805","7,610","7,315","8,220","8,220","7,955","8,895","9,700","9,385","8,970","7,510","4,985","44,025","325,310","24,625","1,265","4,825",,,
RXA,Cheshire and Wirral Partnership NHS Foundation Trust,,,,,,"2,615","2,290","1,320","1,290",*,"1,330",250,360,350,6,2,48,17,44,0,0,0,25,25,40,55,50,25,260,280,260,245,195,200,160,190,130,110,120,120,70,40,15,0,"125,200",20,*,*,,,
RFS,Chesterfield Royal Hospital NHS Foundation Trust,,,,,,"98,135","82,685","42,170","55,965",0,"36,760","27,390","8,360","10,180",38,22,3,1,55,"5,030","2,055",890,865,210,230,360,465,515,"3,645","4,740","4,730","3,310","2,615","4,045","5,070","8,875","6,085","6,935","9,730","8,480","8,135","5,785","4,005","31,570","170,965","12,520",750,"4,505",,,
NV313,Circle - Nottingham NHS Treatment Centre,,,,,,"31,810","31,810","14,390","17,395",25,0,"26,990","4,380",440,413,72,2,2,57,0,0,0,0,0,*,20,125,200,"1,180","1,435","1,510","1,720","1,800","2,445","2,880","2,905","2,930","3,065","3,225","2,870","1,965",985,320,"30,180","2,635",0,10,20,,,
NV302,Circle Bath Hospital,,,,,,"4,410","4,410","1,975","2,435",0,0,"4,380",30,*,,,2,2,58,0,0,0,0,0,0,0,10,15,135,135,205,215,260,350,440,455,410,475,560,375,225,100,40,"3,305","2,570",0,*,*,,,
NV323,Circle Reading Hospital,,,,,,"5,215","5,215","2,000","3,220",0,0,"5,215",*,0,,,2,2,54,0,0,0,0,0,0,0,15,20,175,265,310,300,435,545,625,490,480,475,495,300,185,70,30,"4,440","1,645",0,10,0,,,
RLN,City Hospitals Sunderland NHS Foundation Trust,,,,,,"135,810","117,705","65,545","70,265",0,"38,415","44,615","26,950","7,725",58,40,4,1,57,"4,710","2,795","1,655","1,460",435,385,475,580,550,"3,810","4,860","5,225","5,030","4,325","6,595","7,780","9,820","11,380","12,140","14,885","12,480","12,255","7,960","4,050","60,440","232,185","11,360","2,440","1,230",,,
NQ108,Clacton Hospital,,,,,,640,635,260,385,0,30,0,40,570,,,20,15,81,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,15,25,30,65,80,130,150,130,*,"12,815",*,*,*,,,
NVC28,Clifton Park Hospital,,,,,,"1,565","1,565",745,820,0,0,"1,565",0,0,186,112,3,3,61,0,0,0,0,0,0,0,*,0,25,30,40,45,55,110,160,175,175,220,255,145,85,30,10,955,"1,600",0,0,0,,,
NVC29,Cobalt Hospital,,,,,,"3,605","3,605","1,660","1,940",*,0,"3,605",0,0,49,21,1,1,51,0,0,0,0,0,0,0,20,15,155,205,245,320,290,360,425,375,375,330,260,120,80,30,*,"3,600",*,0,0,0,,,
NVM01,Cobham Day Surgery Hospital,,,,,,"3,540","1,520","1,545","1,995",0,0,"1,455",65,0,49,38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,540",0,0,0,0,,,
RJ8,Cornwall Partnership NHS Foundation Trust,,,,,,"6,140","5,570","2,740","3,400",0,675,350,985,"3,560",1,1,23,14,74,0,*,0,*,0,*,*,10,15,110,110,125,120,140,155,165,205,205,365,595,665,"1,080","1,080",970,10,"133,320",25,*,20,,,
RJR,Countess of Chester Hospital NHS Foundation Trust,,,,,,"102,705","85,085","44,180","58,525",*,"29,665","32,295","8,870","14,255",53,34,4,1,55,"4,210","2,335","1,330","1,090",265,270,270,435,590,"3,725","6,230","6,655","4,915","2,970","3,850","4,755","5,815","5,865","7,375","9,305","9,025","8,635","6,650","4,640","36,730","198,865","9,520",930,"9,010",,,
RXP,County Durham and Darlington NHS Foundation Trust,,,,,,"148,795","119,670","66,130","82,655",10,"63,840","29,620","13,920","12,290",72,52,4,1,54,"8,810","4,860","2,710","1,930",415,415,525,705,875,"5,245","6,425","6,140","5,475","4,510","6,110","7,625","8,865","9,175","11,345","14,025","12,960","13,380","9,790","5,975","37,125","306,280","23,850","1,085","1,740",,,
RYG,Coventry and Warwickshire Partnership NHS Trust,,,,,,"3,010","3,010","1,645","1,365",0,"1,385",45,"1,515",65,,,61,8,32,0,0,145,400,65,270,75,50,100,265,215,335,150,200,155,150,120,50,65,65,50,45,20,15,0,"119,655",10,280,*,,,
RJ6,Croydon Health Services NHS Trust,,,,,,"80,165","62,620","36,100","44,060",*,"26,430","27,405","1,060","7,730",42,24,5,2,53,"4,630","1,895","1,205","1,090",305,220,310,270,370,"2,550","3,770","4,275","4,025","3,375","4,015","5,055","5,170","5,015","5,100","5,850","5,800","6,415","5,060","3,600","25,350","190,055","5,120",580,"1,255",,,
RNN,Cumbria Partnership NHS Foundation Trust,,,,,,"2,870","2,590","1,360","1,515",0,825,825,*,935,,,27,14,71,0,0,0,0,0,0,0,10,10,80,85,85,90,75,65,105,95,140,165,245,340,430,465,380,25,"70,035",135,15,10,,,
NQ738,Darent Valley Hospital,,,,,,135,135,55,80,0,0,135,0,0,3,3,0,0,7,0,25,90,15,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,130,0,,,
RN7-X,Dartford and Gravesham NHS Trust,,,,,,"102,345","89,155","45,190","57,145",15,"35,685","27,785","14,850","10,835",47,30,3,1,51,"8,555","2,850","1,550","1,105",245,230,335,360,420,"2,950","4,660","5,910","5,015","4,005","5,045","5,585","7,145","6,285","6,635","8,485","7,650","7,590","6,010","3,410","31,315","193,390","15,970","6,145","1,805",,,
RY8,Derbyshire Community Health Services NHS Foundation Trust,,,,,,"7,410","7,400","3,430","3,980",0,260,"5,080",95,"1,965",50,42,18,13,65,0,0,*,10,*,0,*,10,10,155,235,290,360,345,410,425,455,470,570,770,750,860,740,530,"4,435","54,095",*,15,15,,,
RXM,Derbyshire Healthcare NHS Foundation Trust,,,,,,"1,990","1,455","1,065",925,0,"1,235",0,0,225,,,62,35,46,0,0,0,0,0,0,*,15,35,190,220,215,200,185,145,180,100,85,105,130,95,55,25,10,0,"87,740",*,0,0,,,
NR505,Derriford Hospital Clinic,,,,,,25,25,15,15,0,0,25,0,0,20,14,,,8,0,*,15,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,,,
NTPH3,Devizes NHS Treatment Centre,,,,,,"4,565","4,160","2,135","2,430",*,0,"4,160",0,0,70,65,18,18,52,0,0,0,0,0,*,15,20,35,240,360,355,280,315,380,425,415,320,360,390,340,215,80,20,"4,565",35,0,0,0,,,
RWV,Devon Partnership NHS Trust,,,,,,20,20,10,10,0,15,0,*,*,,,31,21,36,0,0,0,0,0,0,0,*,0,*,*,*,*,*,0,*,*,0,0,*,0,0,0,0,0,740,0,0,0,,,
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,,,,,,"152,795","124,605","68,325","84,465",*,"53,025","41,675","18,555","11,350",51,35,4,1,57,"6,680","2,125","1,820","1,360",330,445,535,655,810,"5,490","7,110","6,645","5,710","5,145","6,855","8,950","9,600","10,015","11,880","14,635","14,300","13,925","10,810","6,335","51,040","271,065","18,675","2,410","2,250",,,
NNE02,Dorking General Hospital,,,,,,"1,845","1,845",845,"1,000",0,0,"1,845",0,0,47,34,2,2,58,0,0,0,0,0,0,0,*,*,40,40,75,110,110,165,185,185,155,155,215,145,90,65,15,"1,620",550,0,*,0,,,
RBD,Dorset County Hospital NHS Foundation Trust,,,,,,"65,265","54,325","30,540","34,725",*,"21,105","24,145","4,395","4,685",53,28,4,1,59,"2,385","1,290",805,705,195,185,180,345,260,"1,770","2,270","2,225","1,910","1,680","2,395","3,270","5,210","4,360","5,240","7,195","6,555","6,260","4,915","3,190","25,570","108,755","7,580",635,"1,485",,,
RDY,Dorset Healthcare University NHS Foundation Trust,,,,,,"7,265","6,310","3,160","4,100",*,"1,435","2,500",405,"1,970",50,28,37,22,64,0,0,0,*,15,*,25,75,50,260,285,340,305,315,400,360,380,380,455,610,595,785,845,750,"2,430","156,570",190,*,10,,,
NVC04,Duchy Hospital,,,,,,"6,075","6,075","3,135","2,940",0,0,"6,075",0,0,113,25,2,2,62,0,0,0,0,0,0,0,10,15,95,170,195,215,220,385,460,540,620,765,"1,040",750,410,160,25,"4,595","3,615",0,0,0,,,
RWH,East and North Hertfordshire NHS Trust,,,,,,"147,640","130,800","65,905","81,730",*,"47,350","48,180","23,525","11,745",47,25,3,1,54,"8,525","3,090","2,120","1,850",445,365,505,550,620,"3,770","5,115","6,450","6,105","4,935","6,590","9,265","14,125","10,675","11,765","14,165","11,825","11,070","8,215","4,990","63,445","231,300","14,350","2,380","2,365",,,
RJN,East Cheshire NHS Trust,,,,,,"42,105","35,060","18,690","23,415",0,"15,040","14,260","2,555","3,205",63,35,5,2,57,"2,655","1,360",615,555,140,95,105,120,145,850,"1,225","1,580","1,385","1,040","1,575","1,945","2,190","2,470","3,115","4,290","4,240","4,135","3,695","2,450","15,370","102,205","3,030",195,375,,,
RVV,East Kent Hospitals University NHS Foundation Trust,,,,,,"218,650","173,780","101,815","116,830",*,"74,560","65,790","15,905","17,530",70,36,4,1,56,"11,735","4,520","3,180","2,280",545,595,795,980,"1,200","7,080","8,910","8,800","7,565","6,735","9,055","11,490","12,865","14,075","17,840","23,390","20,875","19,040","14,175","10,320","66,690","397,305","28,475","3,920","4,200",,,
RXR,East Lancashire Hospitals NHS Trust,,,,,,"160,305","137,295","73,465","86,825",15,"59,340","51,330","12,775","13,855",45,33,4,1,51,"10,490","5,720","3,885","2,850",705,540,670,695,860,"5,510","7,680","7,875","6,790","5,730","7,310","8,665","11,185","10,455","11,870","14,050","12,175","11,300","7,885","4,870","54,410","338,865","20,355","2,935","2,230",,,
RWK,East London NHS Foundation Trust,,,,,,"9,115","6,030","5,410","3,705",0,"4,615",435,835,150,29,8,53,18,40,0,0,0,25,30,40,65,155,175,"1,055","1,155","1,300","1,095",845,810,735,515,310,215,150,125,90,65,20,*,"312,760",80,10,*,,,
RDE,East Suffolk and North Essex NHS Foundation Trust,,,,,,"248,405","202,060","114,970","133,420",15,"78,485","64,820","39,080","19,670",51,32,4,1,57,"13,825","5,430","3,255","2,665",600,555,765,"1,005","1,165","6,900","9,415","8,945","7,765","6,985","9,580","12,030","13,310","16,475","20,355","27,445","24,270","22,510","17,355","11,980","91,190","441,760","23,335","1,850","5,365",,,
RXC,East Sussex Healthcare NHS Trust,,,,,,"128,865","107,480","59,245","69,615",*,"49,005","31,355","20,045","7,080",52,31,4,1,60,"4,940","2,370","1,490","1,160",320,330,410,450,535,"3,290","4,190","4,110","3,800","3,345","4,870","6,535","7,905","8,020","10,860","14,815","13,685","13,335","10,445","7,300","45,365","263,335","19,140",650,"1,345",,,
NAX03,Ecch Beccles Hospital,,,,,,390,390,185,205,0,45,345,0,0,3,1,18,14,80,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,20,*,10,20,45,50,65,90,80,10,"6,885",15,*,0,,,
NTPH2,Emersons Green NHS Treatment Centre,,,,,,"11,405","10,500","5,135","6,255",10,0,"10,500",0,0,80,71,2,2,54,0,0,0,0,0,15,40,40,45,505,715,780,755,715,910,"1,040",990,895,970,"1,125",870,630,265,80,"10,145","2,755",0,45,0,,,
RVR-X,Epsom and St Helier University Hospitals NHS Trust,,,,,,"121,920","102,190","53,645","68,275",*,"43,895","41,340","6,600","10,360",52,38,4,1,55,"6,365","2,275","1,680","1,450",440,435,580,545,595,"3,680","4,980","5,715","5,850","4,565","5,450","6,740","8,170","7,030","8,085","10,355","9,940","10,575","9,160","6,695","39,420","262,660","18,570",635,"1,385",,,
NVM03,Epsom Day Surgery (Ebbisham Clinics),,,,,,80,60,45,35,0,0,60,*,0,29,28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,,,
NVM02,Epsom Day Surgery Limited,,,,,,"2,160","1,055",965,"1,195",0,0,"1,005",50,0,55,35,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,160",0,0,0,0,,,
R1L,Essex Partnership University NHS Foundation Trust,,,,,,"5,740","4,510","2,750","2,985",*,"3,675",0,325,515,,,52,16,46,0,0,0,45,35,50,60,140,135,560,615,580,480,385,435,430,275,250,205,230,230,235,210,140,*,"234,705",65,*,*,,,
NVC05,Euxton Hall Hospital,,,,,,"6,450","6,450","2,775","3,675",*,0,"6,450",0,0,96,28,2,2,55,0,0,0,0,0,0,0,10,20,160,240,350,460,460,650,735,765,625,600,655,425,205,70,20,"5,595","1,980",0,0,0,,,
NVG01,Fairfield Hospital,,,,,,"3,770","3,770","1,830","1,935",*,0,"3,770",0,0,157,73,2,2,55,0,0,0,0,0,0,0,10,15,110,140,195,270,265,365,405,360,370,380,380,280,140,60,15,"3,050","1,595",0,0,0,,,
NVC06,Fitzwilliam Hospital,,,,,,"8,005","8,005","3,435","4,565",*,0,"8,005",0,0,73,30,2,2,56,0,0,0,0,0,0,0,10,20,265,385,445,480,515,710,780,705,735,820,880,645,400,165,40,"6,660","3,065",0,0,0,,,
AHH01,Foscote Court (Banbury) Trust,,,,,,375,375,225,145,0,0,375,0,0,50,48,3,3,55,0,0,0,0,0,0,0,0,0,10,20,20,20,20,55,35,35,35,40,30,35,*,*,0,310,155,0,0,0,,,
RDU,Frimley Health NHS Foundation Trust,,,,,,"258,285","203,050","117,445","140,835",*,"93,965","77,535","9,970","21,580",49,34,4,1,55,"14,435","5,715","3,615","2,985",650,730,980,"1,160","1,255","7,385","10,660","12,845","12,145","9,840","11,350","14,060","16,395","15,350","17,465","21,905","21,470","22,805","18,625","13,125","72,210","476,935","38,085","2,055","3,510",,,
NQ106,Fryatt Hospital,,,,,,330,330,120,210,0,25,0,40,260,,,23,20,81,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,10,10,15,35,45,65,70,70,0,"7,385",0,0,*,,,
NVC07,Fulwood Hall Hospital,,,,,,"8,035","8,035","3,550","4,485",*,0,"8,035",0,0,91,36,2,2,58,0,0,0,0,0,0,0,25,35,200,320,365,450,490,650,715,780,755,775,900,765,490,245,65,"6,805","2,760",0,0,0,,,
RR7-X,Gateshead Health NHS Foundation Trust,,,,,,"84,925","64,365","36,420","48,500",*,"24,290","19,955","15,825","4,300",43,28,5,2,60,"2,610","1,110",430,380,140,100,155,270,270,"1,710","2,480","2,790","2,790","2,945","3,835","5,370","8,525","6,960","7,710","8,920","7,900","7,850","5,635","3,340","31,445","177,365","5,455",355,375,,,
RLT,George Eliot Hospital NHS Trust,,,,,,"49,435","42,620","21,200","28,240",0,"16,755","18,440","2,175","5,250",63,36,5,2,57,"2,595",315,185,175,60,85,130,170,220,"1,545","2,390","2,415","1,945","1,740","2,215","2,940","3,865","3,225","3,665","4,875","4,530","4,335","3,445","2,235","18,410","111,875","3,755",290,740,,,
R1J,Gloucestershire Care Services NHS Trust,,,,,,"3,410","3,410","1,005","2,405",0,490,75,930,"1,915",,,20,14,67,0,0,0,10,*,20,10,40,60,240,195,205,130,50,10,35,25,70,110,195,320,525,635,520,0,"66,550",10,"1,005",15,,,
RTE,Gloucestershire Hospitals NHS Foundation Trust,,,,,,"194,450","165,090","86,150","108,295",*,"55,775","47,480","40,725","21,115",63,38,4,1,55,"9,850","4,600","2,470","2,205",600,640,710,755,875,"6,220","8,840","9,660","7,805","5,860","7,740","10,800","13,815","13,360","16,075","19,535","17,735","15,205","11,425","7,100","75,055","339,150","11,525","2,850","9,690",,,
NWV01,Gp Care Uk,,,,,,*,*,*,0,0,0,0,0,*,,,,,68,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0,*,*,*,0,0,0,0,0,0,0,,,
NDAH9,Gravesham Community Hospital,,,,,,210,210,110,100,0,*,0,0,205,,,32,25,76,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,10,15,10,20,25,20,40,35,30,0,"6,740",0,0,*,,,
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,,,,,,"53,650","42,550","28,840","24,805",*,705,"15,850","24,360","1,630",42,28,6,1,7,"7,675","14,175","12,590","11,965","2,110","1,665",815,245,50,110,75,80,70,60,40,25,15,15,15,*,0,*,0,0,"28,065","92,280",140,"1,795",50,,,
RN3,Great Western Hospitals NHS Foundation Trust,,,,,,"119,720","100,910","54,490","65,225",*,"46,510","31,850","12,725","9,825",76,43,4,1,55,"6,155","2,250","1,630","1,335",305,360,370,515,605,"3,855","4,940","5,760","4,955","4,590","5,905","7,290","7,875","8,565","9,275","11,275","10,180","9,440","7,310","4,805","37,340","227,940","18,040","1,320","1,810",,,
RJ1-X,Guy's and St Thomas' NHS Foundation Trust,,,,,,"192,885","178,090","91,910","100,970",*,"48,540","92,780","19,480","17,290",55,37,4,1,43,"11,230","8,025","7,925","6,920","1,365","1,295","1,005","1,040","1,030","7,610","11,660","13,170","12,130","10,270","11,195","12,810","13,005","12,065","11,320","11,255","9,170","7,190","4,520","2,490","84,220","384,745","19,135","3,085","1,880",,,
RN5-X,Hampshire Hospitals NHS Foundation Trust,,,,,,"131,635","109,470","58,150","73,475",*,"45,320","43,090","9,545","11,515",55,36,4,1,55,"6,610","2,680","1,565","1,565",355,430,510,620,665,"4,105","5,750","6,580","5,810","4,705","5,745","7,010","9,775","8,020","9,070","12,120","11,095","10,880","8,945","6,215","45,110","280,685","14,140",880,"2,235",,,
RCD,Harrogate and District NHS Foundation Trust,,,,,,"64,150","59,755","30,040","34,115",0,"19,560","24,725","11,525","3,950",44,21,4,1,57,"2,900","1,440",990,820,180,175,210,175,210,"1,305","1,890","2,345","2,235","2,035","2,880","3,715","5,690","4,790","4,845","6,885","5,775","5,630","4,145","2,750","32,655","112,050","6,575",400,635,,,
NXP04,Hathaway Medical Centre,,,,,,630,630,475,160,0,0,630,0,0,,,6,6,52,0,0,0,0,0,0,0,0,*,10,15,70,90,85,50,50,40,40,45,45,40,25,20,*,630,*,0,0,0,,,
NW612,Hca - 52 Alderley Road,,,,,,30,30,15,15,0,0,30,0,0,,,,,66,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,*,*,*,*,*,*,*,30,0,0,0,0,,,
RY4,Hertfordshire Community NHS Trust,,,,,,"2,305","2,280",950,"1,355",0,0,*,"2,075",210,,,28,23,80,0,0,0,0,0,0,0,0,0,*,*,10,10,10,25,35,75,65,120,190,295,465,550,450,0,"64,550",0,*,0,,,
RWR,Hertfordshire Partnership University NHS Foundation Trust,,,,,,"3,225","1,915","1,700","1,525",0,345,205,220,"1,145",2,1,77,20,43,0,0,0,45,40,25,40,40,60,375,350,365,250,215,250,225,225,145,110,155,110,110,50,15,*,"156,210",10,*,10,,,
RQX,Homerton University Hospital NHS Foundation Trust,,,,,,"85,720","71,980","33,205","52,505",10,"22,595","25,085","3,955","20,345",46,36,3,1,42,"8,180","1,375",645,575,150,210,350,330,480,"4,705","8,165","9,875","7,900","5,075","4,495","4,860","5,335","4,075","3,460","3,215","3,035","3,060","2,200","1,360","26,075","150,095","6,470",190,"8,000",,,
NVC25,Horton NHS Treatment Centre,,,,,,"3,030","3,030","1,295","1,735",0,0,"3,030",0,0,59,24,3,3,62,0,0,0,0,0,0,0,*,*,50,55,80,90,130,170,315,325,335,375,520,310,195,65,15,"1,575","4,470",0,0,0,,,
RY9,Hounslow and Richmond Community Healthcare NHS Trust,,,,,,335,335,115,220,0,0,0,0,335,,,29,25,83,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,10,10,30,35,60,95,85,0,"9,580",0,0,0,,,
NTX19,Huddersfield Hospital - The One Health Group,,,,,,95,95,45,50,0,0,95,0,0,161,87,,,55,0,0,0,0,0,0,0,*,0,*,*,*,10,*,10,10,10,10,*,15,*,*,0,0,95,0,0,0,0,,,
RWA,Hull and East Yorkshire Hospitals NHS Trust,,,,,,"191,000","160,680","88,405","102,595",*,"53,915","58,740","33,035","14,990",78,42,4,2,54,"8,845","3,415","2,490","2,170",485,480,690,820,"1,065","6,845","8,940","8,330","7,605","6,950","9,015","11,185","14,935","13,835","17,160","19,630","16,355","14,065","9,510","5,445","75,625","355,100","12,020","2,125","3,915",,,
RV9-X,Humber Teaching NHS Foundation Trust,,,,,,"2,590","2,060","1,310","1,280",0,"1,345",155,410,150,85,21,46,12,55,0,0,0,*,0,*,*,20,25,175,205,170,185,175,185,185,160,140,105,110,180,190,205,140,170,"77,810",40,*,20,,,
NXP41,Ihg Craven Road,,,,,,*,*,*,*,0,0,*,0,0,35,35,,,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,0,*,0,*,0,*,0,0,0,0,,,
RYJ,Imperial College Healthcare NHS Trust,,,,,,"254,340","220,270","106,205","148,130",*,"52,435","87,415","44,415","36,010",47,21,4,1,50,"12,580","5,030","3,755","3,170",715,550,675,750,945,"7,555","13,415","18,400","17,695","12,895","14,310","17,025","20,095","17,920","18,670","19,180","16,295","12,725","8,490","5,735","112,110","455,735","13,955","3,155","15,075",,,
R1F-X,Isle of Wight NHS Trust,,,,,,"40,095","34,195","18,420","21,675",0,"13,270","16,285","2,195","2,445",64,27,6,2,60,"1,395",660,425,410,130,90,105,125,125,815,"1,150","1,105","1,060","1,080","1,685","2,155","2,355","2,945","3,605","5,210","4,605","3,840","2,725","1,965","16,390","107,185","2,625",650,525,,,
RGP,James Paget University Hospitals NHS Foundation Trust,,,,,,"79,690","66,120","36,855","42,830",*,"24,915","25,810","10,805","4,595",77,36,4,2,60,"3,290","1,205",795,725,175,190,235,335,315,"2,005","2,745","2,555","2,195","2,415","3,110","4,015","4,520","4,900","6,380","9,215","9,005","8,250","6,730","4,215","32,580","151,340","7,550","1,085",740,,,
RXY,Kent and Medway NHS and Social Care Partnership Trust,,,,,,"3,975","3,060","2,140","1,835",*,"2,050",395,550,65,2,1,55,13,44,0,0,0,0,0,0,*,75,75,435,410,435,360,345,350,365,285,195,155,170,145,100,35,25,0,"158,770",45,10,0,,,
RYY,Kent Community Health NHS Foundation Trust,,,,,,"2,315","2,315",875,"1,440",0,0,0,0,"2,315",,,23,19,83,0,0,*,0,0,0,0,0,0,*,*,*,*,*,10,20,30,55,75,160,280,455,615,605,0,"53,540",0,0,20,,,
RNQ,Kettering General Hospital NHS Foundation Trust,,,,,,"108,315","95,965","47,575","60,740",*,"36,935","35,830","11,940","11,260",61,32,4,1,55,"5,035","2,140","1,370","1,090",270,265,355,520,630,"3,710","5,245","4,985","4,075","3,525","4,725","5,685","9,280","6,875","8,190","10,635","9,210","7,940","6,115","4,440","43,370","221,495","13,220",565,"4,345",,,
ADP02,Kims Hospital (Newnham Court),,,,,,"5,155","5,155","2,095","3,055",0,0,"5,155",0,0,92,72,2,2,57,0,0,0,0,0,0,0,10,15,125,165,225,305,355,470,555,520,485,540,665,400,215,75,25,"3,825","2,480",0,0,0,,,
RJZ,King's College Hospital NHS Foundation Trust,,,,,,"271,025","212,835","121,145","149,865",15,"60,130","96,500","26,745","29,455",,,5,2,53,"14,380","4,205","4,105","3,945",870,950,985,"1,120","1,175","8,435","12,780","16,240","14,740","11,610","13,265","17,295","20,535","17,800","18,840","20,430","19,305","19,095","15,490","10,800","99,350","565,605","12,425","6,645","8,745",,,
NXP21,Kingskerswell Health Centre,,,,,,325,325,325,0,0,0,325,0,0,,,,,39,0,0,0,0,0,0,0,0,0,*,20,75,90,80,35,15,*,*,*,0,0,0,0,0,325,0,0,0,0,,,
RAX,Kingston Hospital NHS Foundation Trust,,,,,,"93,035","81,750","35,835","57,195",*,"33,530","24,645","2,085","21,490",48,35,3,1,48,"8,480","2,800","1,655","1,175",240,220,325,360,440,"3,005","5,065","7,905","7,425","3,915","3,525","4,010","4,230","4,210","4,805","5,920","5,870","5,840","5,410","4,575","22,610","157,130","14,010","1,600","10,850",,,
RW5,Lancashire Care NHS Foundation Trust,,,,,,"3,340","2,460","1,690","1,655",0,"2,025",*,365,65,,,39,18,45,0,0,0,10,15,10,30,40,70,355,380,305,295,270,295,285,200,160,155,150,105,80,70,45,240,"84,480",15,*,*,,,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,,,,,,"154,430","133,555","66,700","87,670",60,"49,355","46,680","18,715","18,805",67,41,4,1,51,"7,080","4,700","2,975","2,270",520,500,680,845,"1,005","7,000","10,075","9,800","7,020","5,750","6,840","8,400","9,900","9,765","11,010","13,875","11,885","10,485","7,170","4,260","54,035","322,325","16,935","3,435","8,980",,,
NXP20,Lawn Medical Centre,,,,,,115,115,40,75,0,0,115,0,0,,,1,1,61,0,0,0,0,0,0,0,0,0,*,0,*,*,*,*,20,15,10,*,15,10,10,*,0,115,*,0,0,0,,,
RGD,Leeds and York Partnership NHS Foundation Trust,,,,,,"1,970","1,535",940,"1,030",*,945,55,400,140,,,74,25,42,0,0,0,10,*,15,15,30,30,265,285,210,190,165,150,90,110,50,70,90,65,55,30,10,0,"115,210",*,*,*,,,
RY6,Leeds Community Healthcare NHS Trust,,,,,,115,115,40,75,0,*,0,115,0,,,11,11,64,0,0,0,0,0,0,0,0,*,*,*,*,*,10,*,*,10,10,15,10,10,20,10,*,0,"1,260",0,*,0,,,
RR8,Leeds Teaching Hospitals NHS Trust,,,,,,"237,305","195,430","112,280","125,015",10,"77,330","71,850","23,050","23,200",63,37,5,2,50,"13,805","8,185","6,620","6,485","1,715","1,260","1,245","1,390","1,475","8,645","10,940","11,810","10,720","9,490","11,230","13,250","14,570","15,635","16,740","19,110","16,470","16,170","11,380","7,410","70,385","677,325","17,795","4,500","3,680",,,
RT5,Leicestershire Partnership NHS Trust,,,,,,"10,750","6,090","5,670","5,080",0,"5,095",395,505,95,2,1,38,17,60,0,0,0,20,10,15,30,55,90,865,670,635,465,520,525,465,475,445,555,775,930,"1,140","1,160",865,30,"214,260",15,*,0,,,
