RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,,,,,,"135,140","119,050","59,370","75,770",0,"51,365","34,180","20,265","13,240",51,29,3,1,53,"7,330","3,345","2,305","1,810",400,385,440,565,620,"4,570","6,230","6,585","5,610","4,735","6,270","7,520","10,960","9,390","9,880","12,220","11,280","9,910","7,285","4,935","48,860","246,820","17,125",905,"3,290"
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"204,620","151,195","96,320","108,295",*,"46,280","47,935","44,465","12,515",56,35,5,2,55,"7,635","4,680","3,775","3,540",965,850,835,935,"1,105","6,600","7,655","9,265","8,825","7,895","9,250","11,905","13,290","13,715","16,120","19,685","16,950","15,685","12,430","10,120","78,020","396,410","9,805","2,395","1,510"
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,,,,,,"5,285","4,930","2,705","2,540",40,"3,130",105,450,"1,245",8,6,61,25,48,60,0,*,25,10,20,25,65,75,420,500,510,470,420,375,365,330,260,190,250,215,280,220,170,0,"278,385",60,*,110
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,,,,,,"167,385","138,525","74,490","92,845",55,"63,130","39,615","9,415","26,365",58,38,3,1,47,"15,160","5,485","4,065","3,030",735,780,670,625,710,"4,945","8,150","11,360","10,575","7,385","6,695","7,835","8,370","8,080","8,505","10,185","10,175","9,395","7,770","5,715","41,025","340,595","26,665","1,125","4,025"
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,,,,,,"2,560","2,225","1,240","1,320",*,"1,395",235,300,290,9,8,45,17,44,0,0,0,30,20,30,70,40,60,275,250,210,230,175,225,190,170,135,110,115,100,80,45,*,0,"108,325",25,*,*
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,,,,,,"99,095","82,750","43,230","55,870",0,"37,475","29,125","6,505","9,640",39,21,4,1,56,"5,155","2,035",925,845,245,245,265,460,595,"3,345","4,635","4,385","3,235","2,805","3,810","4,955","7,635","6,205","7,045","9,790","9,400","8,775","6,280","4,365","31,660","189,335","12,030",765,"4,195"
NV313,CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,,,,,,"10,135","10,135","4,665","5,465",*,0,"8,735","1,255",145,455,86,2,2,58,0,0,0,0,0,0,0,30,75,370,450,425,570,580,740,890,960,935,"1,000",990,950,640,360,100,"9,595",850,0,15,15
NV302,CIRCLE BATH HOSPITAL,,,,,,"4,735","4,735","2,060","2,675",0,0,"4,640",95,0,,,2,2,59,0,0,0,0,0,0,0,*,20,120,155,195,225,280,335,440,475,485,510,545,435,335,140,30,"3,705","2,405",0,0,0
NV323,CIRCLE READING HOSPITAL,,,,,,"5,295","5,295","2,065","3,235",0,0,"5,295",0,0,,,2,2,55,0,0,0,0,0,0,0,10,15,170,225,320,375,435,535,555,545,465,445,500,355,230,95,25,"4,480","1,540",0,0,0
NQ108,CLACTON HOSPITAL,,,,,,575,565,235,340,0,10,0,15,545,,,23,19,81,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,15,10,15,40,50,65,115,145,115,0,"13,215",0,0,*
NVC28,CLIFTON PARK HOSPITAL,,,,,,"1,645","1,645",740,905,*,0,"1,645",0,0,222,140,2,2,62,0,0,0,0,0,0,0,*,*,20,35,45,60,45,95,150,170,205,240,250,170,105,35,10,925,"1,735",0,0,0
NVC29,COBALT HOSPITAL,,,,,,"3,645","3,645","1,730","1,915",*,0,"3,645",0,0,60,21,1,1,51,0,0,0,0,0,0,0,10,*,145,245,270,295,305,415,360,380,370,335,250,165,65,25,*,"3,645",*,0,0,0
NVM01,COBHAM DAY SURGERY HOSPITAL,,,,,,"3,240","3,240","1,365","1,880",0,0,"3,085",155,0,56,46,,,65,0,0,0,0,0,0,0,*,*,45,60,70,90,125,160,150,175,170,250,360,370,350,170,85,"3,240",0,0,0,0
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,,,,,,"6,395","5,865","2,900","3,500",0,685,425,"1,140","3,610",1,1,24,15,75,0,0,0,10,*,15,30,15,10,70,95,95,120,130,145,190,190,240,305,565,775,"1,135","1,250",995,10,"139,580",30,10,15
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,,,,,,"103,235","83,805","44,495","58,740",0,"30,475","31,585","8,720","13,025",55,33,4,1,56,"4,340","2,230","1,135","1,060",245,235,275,400,525,"3,590","5,650","6,550","5,000","3,190","3,970","4,925","6,050","6,220","6,900","9,475","9,555","9,335","7,055","4,970","36,020","202,890","10,125",835,"8,050"
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,,,,,,"143,260","113,240","63,020","80,230",*,"60,860","27,115","13,675","11,590",77,55,4,1,55,"8,115","3,900","2,515","1,840",455,475,435,630,750,"4,810","5,930","5,770","5,140","4,315","5,715","7,285","8,440","9,155","11,305","13,625","12,860","13,495","9,690","6,200","35,260","306,625","21,200",920,"1,470"
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,,,,,,"2,380","2,380","1,375","1,005",*,"1,070",30,"1,245",30,,,42,7,31,0,0,140,350,105,50,205,45,50,235,205,195,115,115,110,130,55,75,60,45,35,40,15,*,0,"91,100",*,250,*
RJ6,CROYDON HEALTH SERVICES NHS TRUST,,,,,,"76,815","60,645","34,375","42,435",*,"24,295","27,515","1,045","7,785",45,28,5,2,54,"4,265","1,125",885,755,210,240,250,320,310,"2,450","3,645","4,525","4,145","3,415","3,775","4,710","5,365","4,915","4,750","5,675","5,660","6,425","4,850","3,365","25,590","198,810","3,035",550,"1,180"
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",,,,,,"2,450","1,685","1,325","1,130",0,"1,415",25,240,*,1,1,104,39,47,0,0,0,10,25,40,50,20,40,160,240,210,220,180,225,180,165,155,150,105,90,90,60,30,0,"166,395",15,0,0
NQ738,DARENT VALLEY HOSPITAL,,,,,,105,105,50,55,0,0,105,0,0,3,3,,,7,0,15,75,10,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0
RN7-X,DARTFORD AND GRAVESHAM NHS TRUST,,,,,,"100,895","89,475","44,605","56,280",10,"35,865","26,765","16,015","10,830",50,32,3,1,51,"8,645","2,780","1,400","1,145",250,250,295,435,445,"2,870","4,745","5,925","4,880","4,205","4,565","5,805","6,950","6,170","6,415","8,225","7,700","7,155","5,675","3,600","32,210","190,450","15,810","5,685","1,800"
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,,,,,,"5,315","5,300","2,385","2,930",*,190,"3,615",50,"1,450",55,46,19,13,64,0,0,*,10,*,*,*,*,10,105,180,270,305,295,305,305,315,315,320,525,555,585,505,395,"3,060","42,840",*,10,*
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,,,,,,"1,910","1,530","1,010",900,0,"1,215",0,0,310,,,60,35,46,0,0,0,0,0,0,*,25,15,155,215,230,190,155,150,160,110,105,105,105,70,45,45,15,0,"97,070",*,0,0
NR505,DERRIFORD HOSPITAL CLINIC,,,,,,855,855,420,435,0,0,855,0,0,35,31,1,1,7,0,125,575,140,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,850,*,0,0,0
NTPH3,DEVIZES NHS TREATMENT CENTRE,,,,,,"4,590","4,220","2,115","2,465",10,0,"4,220",0,0,76,71,25,25,53,0,0,0,0,0,10,15,10,25,260,350,320,300,300,400,445,420,340,375,390,330,195,90,15,"4,590",25,0,0,0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"149,545","123,640","66,480","83,060",*,"51,945","41,455","18,760","11,475",52,36,4,1,57,"6,905","1,900","1,760","1,215",305,410,445,580,675,"5,085","7,205","6,345","5,585","5,085","6,500","8,335","9,665","10,425","11,065","14,895","14,090","13,730","10,420","6,160","51,125","269,030","18,520","2,390","2,440"
NNE02,DORKING GENERAL HOSPITAL,,,,,,"1,620","1,620",740,880,0,0,"1,620",0,0,40,27,2,2,59,0,0,0,0,0,0,0,*,10,35,65,60,95,85,110,160,165,145,155,210,155,95,60,*,"1,450",380,0,0,0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,,,,,,"65,580","54,260","31,050","34,530",*,"21,610","24,050","4,600","4,000",58,28,4,1,60,"2,280","1,185",790,710,150,180,215,245,290,"1,510","2,075","2,150","1,715","1,705","2,305","3,155","4,335","4,565","5,680","7,185","7,180","6,900","5,125","3,265","25,990","111,430","7,285",575,895
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,,,,,,"7,485","6,515","3,350","4,135",0,"1,520","2,510",350,"2,135",52,30,36,20,65,0,0,0,*,*,20,25,40,35,260,320,310,365,290,350,365,380,430,475,675,665,780,860,815,"2,390","161,570",220,*,*
NVC04,DUCHY HOSPITAL,,,,,,"4,445","4,445","2,120","2,330",0,0,"4,445",0,0,164,60,2,2,61,0,0,0,0,0,0,0,*,10,95,115,145,195,190,295,310,405,465,555,685,545,285,105,30,"2,965","3,650",0,*,0
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,,,,,,"154,350","132,965","69,790","84,560",0,"49,360","47,020","24,975","11,605",46,29,3,1,55,"8,160","3,275","2,260","2,245",545,420,475,605,700,"3,815","5,125","6,470","6,285","5,365","6,680","8,965","15,060","11,685","12,190","14,930","12,875","11,035","8,865","5,745","65,250","228,145","15,990","1,540","2,290"
RJN,EAST CHESHIRE NHS TRUST,,,,,,"41,830","34,905","18,415","23,415",0,"14,975","14,005","2,715","3,210",63,33,5,2,57,"2,730","1,460",675,555,135,85,90,115,135,765,"1,255","1,560","1,305","1,075","1,425","1,895","2,335","2,310","2,995","3,960","4,360","4,280","3,585","2,620","15,290","105,860","3,100",195,415
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,,,,,,"219,585","169,460","103,125","116,455",*,"80,500","60,470","12,965","15,525",65,36,4,1,57,"11,360","3,720","2,720","2,045",535,605,790,945,"1,105","6,870","8,220","8,315","7,465","6,845","8,495","11,225","13,740","13,805","17,355","24,200","22,210","20,205","15,330","11,105","63,395","412,835","34,380","2,145","2,575"
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,,,,,,"169,185","145,760","77,745","91,440",*,"65,945","55,595","10,175","14,045",48,32,4,1,51,"10,265","5,350","3,740","2,800",685,675,775,875,995,"6,140","8,505","8,845","7,530","6,340","7,705","9,465","11,755","11,555","12,235","15,095","13,195","11,530","7,715","5,005","55,280","344,715","26,775","3,865","2,275"
RWK,EAST LONDON NHS FOUNDATION TRUST,,,,,,"9,570","6,535","5,540","4,030",*,"4,800",530,"1,070",135,8,1,45,16,39,0,0,0,30,40,35,50,145,215,"1,215","1,290","1,405","1,145",845,790,745,495,290,195,150,125,90,60,25,0,"309,255",150,55,0
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,,,,,,"253,340","205,200","116,430","136,890",25,"78,310","63,675","41,045","22,170",58,34,4,1,57,"14,600","4,900","3,150","2,385",635,630,845,940,"1,055","7,030","9,225","9,820","8,140","7,095","9,330","12,345","14,255","16,850","20,110","27,090","25,760","24,055","17,420","12,070","92,700","456,380","22,705","1,705","6,340"
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,,,,,,"132,070","110,230","60,385","71,680",*,"51,060","30,680","21,250","7,240",49,28,4,1,60,"4,855","2,435","1,350","1,200",330,315,370,485,575,"3,360","4,185","4,345","3,920","3,675","4,650","6,370","8,170","8,680","10,930","15,200","14,385","13,740","10,485","7,675","46,400","263,985","21,035",680,"1,280"
NAX03,ECCH BECCLES HOSPITAL,,,,,,345,340,135,205,0,30,310,0,0,1,1,17,14,77,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,20,15,10,20,25,45,70,65,55,*,"5,820",*,0,0
NTPH2,EMERSONS GREEN NHS TREATMENT CENTRE,,,,,,"11,515","10,670","5,165","6,295",55,0,"10,670",0,0,86,75,2,2,53,0,0,0,0,0,20,45,40,55,570,875,905,845,765,900,"1,070",990,850,930,"1,020",770,520,255,70,"10,320","2,355",0,55,0
RVR-X,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,,,,,,"119,705","102,465","53,265","66,425",15,"43,920","41,575","7,150","9,820",51,41,4,1,56,"6,400","2,045","1,550","1,460",410,505,515,520,560,"3,430","4,740","5,595","5,675","4,570","5,310","6,650","8,205","7,225","8,060","10,190","10,105","10,550","8,695","6,210","40,560","247,630","18,780",585,"1,265"
NVM03,EPSOM DAY SURGERY (EPSOM SQUARE CLINICS),,,,,,95,95,50,40,0,0,90,*,0,30,27,,,67,0,0,0,0,0,0,0,0,0,0,*,0,*,0,*,*,0,*,*,*,*,*,0,*,95,0,0,0,0
NVM02,EPSOM DAY SURGERY LIMITED,,,,,,"2,410","2,410","1,155","1,255",0,0,"2,230",175,0,63,42,,,63,0,0,0,0,0,0,0,10,10,45,55,45,75,105,125,125,155,170,185,275,245,200,135,40,"2,410",0,0,0,0
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,,,,,,"5,340","4,060","2,570","2,765",*,"3,385",*,240,430,,,52,19,46,0,0,0,40,45,55,75,105,110,470,525,485,530,400,380,400,255,270,210,265,210,225,155,95,*,"231,885",40,0,*
NVC05,EUXTON HALL HOSPITAL,,,,,,"6,300","6,300","2,810","3,490",0,0,"6,300",0,0,103,24,2,2,55,0,0,0,0,0,0,0,*,25,195,240,330,450,460,635,700,690,655,575,595,405,240,80,10,"5,475","1,835",0,0,0
NVG01,FAIRFIELD HOSPITAL,,,,,,"3,770","3,770","1,790","1,975",0,0,"3,770",0,0,154,79,2,2,55,0,0,0,0,0,0,0,15,15,120,140,210,235,265,345,385,405,380,365,410,260,155,60,*,"2,935","1,700",0,0,0
NVC06,FITZWILLIAM HOSPITAL,,,,,,"7,365","7,365","3,240","4,130",0,0,"7,365",0,0,71,28,2,2,56,0,0,0,0,0,0,0,20,25,200,380,425,460,500,610,665,635,610,725,830,640,405,175,60,"6,070","2,975",0,0,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,,,,,,"241,360","193,450","109,940","131,415",*,"86,040","77,570","9,305","20,535",52,36,4,1,55,"13,470","5,240","3,130","3,060",755,710,830,990,"1,000","6,465","9,300","11,935","11,230","9,180","10,500","12,515","15,045","14,595","15,715","20,255","20,245","21,225","17,700","12,585","71,670","483,070","32,985","2,340","3,175"
NQ106,FRYATT HOSPITAL,,,,,,345,340,145,195,0,20,0,20,295,,,23,19,81,0,0,0,0,0,0,0,0,0,0,*,0,*,0,*,*,*,10,15,40,35,75,90,65,0,"7,875",0,*,*
NVC07,FULWOOD HALL HOSPITAL,,,,,,"8,145","8,145","3,465","4,680",0,0,"8,145",0,0,107,42,2,2,59,0,0,0,0,0,0,0,20,35,225,315,365,490,435,585,725,780,670,770,895,830,585,305,90,"6,980","2,405",0,*,0
RR7-X,GATESHEAD HEALTH NHS FOUNDATION TRUST,,,,,,"84,300","63,020","35,340","48,935",25,"24,245","19,015","15,320","4,440",44,33,5,2,60,"2,615",835,370,355,95,105,175,205,290,"1,695","2,610","2,825","2,745","2,855","3,920","5,240","7,830","7,185","7,560","9,130","7,835","7,910","5,730","3,550","30,555","175,535","5,230",340,385
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,,,,,,"48,785","41,230","20,700","28,085",0,"16,395","17,835","1,865","5,140",66,35,5,2,58,"2,520",270,145,140,55,85,115,165,205,"1,450","2,230","2,455","1,930","1,715","2,200","2,840","4,150","2,965","3,415","4,670","4,865","4,605","3,310","2,190","17,650","117,620","3,240",500,645
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,,,,,,"3,640","3,150","1,465","2,175",0,975,15,490,"1,670",1,1,38,22,65,0,0,0,0,*,*,10,40,25,200,200,185,170,105,115,160,140,125,155,240,315,450,515,470,0,"120,835",10,425,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"194,625","166,000","86,595","108,025",10,"56,765","50,670","37,750","20,810",65,39,4,1,54,"9,755","4,655","2,875","2,490",610,630,755,730,960,"6,270","8,675","9,620","7,810","5,875","7,615","10,405","14,725","13,170","15,750","19,420","17,510","15,065","11,045","7,115","73,090","345,160","11,170","5,500","9,570"
NWV01,GP CARE UK,,,,,,70,70,70,0,0,0,0,0,70,,,,,41,0,0,0,0,0,0,0,*,*,10,10,*,*,*,*,*,10,*,*,*,*,*,0,0,0,0,0,0,0
NDAH9,GRAVESHAM COMMUNITY HOSPITAL,,,,,,185,185,95,90,0,*,0,30,150,,,34,29,77,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,10,10,30,20,25,40,25,0,"6,405",0,0,*
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,,,,,,"48,325","41,970","25,630","22,695",0,"1,795","11,320","28,480",375,44,28,5,1,7,"6,555","12,170","11,065","10,540","1,795","1,530",920,190,55,65,60,60,60,35,30,30,15,15,*,*,*,0,0,0,"25,595","87,625",115,"3,645",45
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,,,,,,"116,975","101,155","53,225","63,740",10,"44,480","29,585","17,290","9,805",75,44,4,1,55,"6,290","2,145","1,480","1,170",335,345,365,505,540,"3,625","4,855","5,455","4,950","4,560","5,555","7,040","7,820","8,270","9,225","10,990","10,200","9,055","7,120","4,885","39,705","243,265","16,455","1,630","1,715"
RJ1-X,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,,,,,,"194,385","179,695","91,945","102,440",0,"50,380","93,185","18,790","17,335",58,38,4,1,43,"11,135","7,980","7,885","6,860","1,525","1,175","1,060","1,040","1,095","7,690","12,100","13,350","12,290","10,600","11,220","12,690","13,040","12,280","11,075","11,520","9,320","7,235","4,390","2,640","84,000","388,030","21,340","3,495","1,940"
RN5-X,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"137,795","113,710","61,410","76,375",10,"50,785","40,985","10,760","11,180",61,38,4,1,55,"6,720","2,695","1,580","1,530",425,480,565,680,745,"4,320","6,015","6,910","6,050","5,120","5,710","7,680","10,005","8,560","9,430","12,505","11,875","11,725","9,160","6,655","45,240","293,070","17,795",375,"1,975"
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,,,,,,"68,310","62,820","31,830","36,480",*,"20,965","25,890","12,010","3,955",44,19,4,1,58,"2,790","1,480","1,000",730,200,175,215,180,200,"1,200","1,795","2,395","2,410","2,060","2,810","3,800","7,415","4,715","5,105","7,140","6,640","6,320","4,250","3,155","34,600","113,275","7,355",495,670
NXP04,HATHAWAY MEDICAL CENTRE,,,,,,690,690,460,230,0,0,690,0,0,31,28,,,54,0,0,0,0,0,0,0,0,0,0,20,50,75,85,65,80,75,55,50,45,40,30,15,*,690,0,0,0,0
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,,,,,,"1,540","1,535",625,915,0,0,0,"1,505",30,,,29,24,81,0,0,0,0,0,0,0,0,0,*,*,0,10,10,10,30,35,60,70,135,200,320,335,325,0,"45,180",0,*,*
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,,,,,,"2,650","1,585","1,330","1,310",*,255,170,145,"1,015",,,76,24,44,0,0,0,25,30,40,40,50,30,300,285,255,210,195,200,195,175,150,90,115,90,85,60,15,0,"119,000",*,*,15
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,,,,,,"82,350","69,950","31,505","50,840",*,"22,085","24,355","3,600","19,910",50,38,3,1,43,"7,225","1,155",540,540,130,235,305,325,525,"4,320","7,065","9,440","8,190","4,965","4,300","4,515","5,395","4,310","3,480","3,365","2,985","2,815","2,005","1,545","24,825","155,180","6,595",245,"7,995"
NVC25,HORTON NHS TREATMENT CENTRE,,,,,,"2,660","2,660","1,170","1,485",0,0,"2,660",0,0,89,57,3,2,62,0,0,0,0,0,0,0,*,10,40,50,70,65,105,150,250,305,320,345,425,305,160,55,15,"1,435","3,295",0,0,0
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,,,,,,355,355,115,240,*,0,0,0,355,,,25,23,84,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,20,45,70,90,110,0,"8,825",0,0,*
NTX19,HUDDERSFIELD HOSPITAL - THE ONE HEALTH GROUP,,,,,,90,90,50,40,0,0,90,0,0,133,136,6,6,50,0,0,0,0,0,0,0,*,*,*,*,*,10,10,10,*,10,10,10,*,*,*,0,0,90,*,0,0,0
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,,,,,,"188,500","156,815","86,725","101,770",*,"53,580","55,820","32,355","15,055",78,43,4,2,55,"9,180","3,500","2,260","2,055",505,440,575,810,890,"6,385","8,670","8,630","7,305","6,545","8,510","11,055","14,605","14,090","16,115","19,960","16,400","14,235","9,345","5,850","72,865","364,245","11,975","1,710","4,010"
RV9-X,HUMBER TEACHING NHS FOUNDATION TRUST,,,,,,"2,710","2,185","1,425","1,285",0,"1,360",320,450,55,,,36,13,53,0,0,0,*,*,15,*,40,25,190,285,185,200,190,175,150,185,110,105,130,155,190,180,160,120,"94,315",35,20,0
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,,,,,,"259,205","221,920","107,290","151,825",95,"54,770","73,685","56,285","37,180",51,28,4,1,51,"12,545","4,785","3,950","3,030",640,610,635,795,"1,020","7,500","13,850","19,145","18,660","12,885","12,905","17,575","19,145","18,400","18,860","20,055","17,265","13,410","9,265","6,150","111,690","467,605","14,620","2,590","16,140"
NY601,INHEALTH PAIN MANAGEMENT SOLUTIONS,,,,,,790,790,210,465,115,0,790,0,0,,,,,60,0,0,0,0,0,0,0,0,0,*,10,20,35,50,75,110,90,100,80,70,65,55,25,*,790,0,0,0,0
NY62M,INHEALTH PAIN MANAGEMENT SOLUTIONS - HOLME VALLEY MEMORIAL HOSPITAL,,,,,,120,120,50,75,0,0,120,0,0,,,,,57,0,0,0,0,0,0,0,0,0,0,*,*,10,10,15,20,10,10,*,15,10,10,*,*,120,0,0,0,0
NY65M,INHEALTH PAIN MANAGEMENT SOLUTIONS - JOHNSON COMMUNITY HOSPITAL,,,,,,110,110,50,60,0,0,110,0,0,,,,,60,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,15,15,10,15,15,*,*,*,*,110,0,0,0,0
NY60T,INHEALTH PAIN MANAGEMENT SOLUTIONS - LONGFIELDS COURT,,,,,,*,*,*,*,0,0,*,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,0,0,*,0,0,0,*,0,0,0,0
NY61N,"INHEALTH PAIN MANAGEMENT SOLUTIONS - MOBILE UNIT, UNION STREET CAR PARK",,,,,,*,*,0,*,0,0,*,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*,0,0,0,0
NY67L,INHEALTH PAIN MANAGEMENT SOLUTIONS - ROYAL TOBY,,,,,,165,165,60,110,0,0,165,0,0,,,,,63,0,0,0,0,0,0,0,0,0,0,*,*,*,10,15,20,20,15,10,20,15,20,*,*,165,0,0,0,0
NY69L,INHEALTH PAIN MANAGEMENT SOLUTIONS - SALOP LEISURE,,,,,,60,60,25,35,0,0,60,0,0,,,,,56,0,0,0,0,0,0,0,0,0,*,*,0,*,*,10,10,*,10,*,*,*,*,*,*,60,0,0,0,0
NY66M,INHEALTH PAIN MANAGEMENT SOLUTIONS - ST HUGHES HOSPITAL,,,,,,100,100,40,60,0,0,100,0,0,,,,,58,0,0,0,0,0,0,0,0,0,0,*,*,*,*,10,15,10,10,10,10,10,*,*,0,100,0,0,0,0
NCR01,ISIGHT (SOUTHPORT),,,,,,"1,735","1,735",710,"1,025",0,0,"1,735",0,0,,,,,78,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,15,35,55,100,245,415,415,320,110,"1,735",0,0,0,0
R1F-X,ISLE OF WIGHT NHS TRUST,,,,,,"41,930","35,065","19,800","22,130",0,"13,930","10,225","8,210","2,700",90,49,6,2,61,"1,300",715,510,460,120,120,105,100,115,825,"1,035","1,045","1,030","1,035","1,555","2,475","2,755","2,875","3,750","5,235","4,890","4,415","2,990","2,145","16,485","111,385","3,675",560,455
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"77,605","64,640","36,050","41,555",0,"24,965","24,785","10,415","4,480",80,39,5,2,60,"3,060","1,180",715,685,185,240,255,280,375,"2,020","2,615","2,500","2,125","2,210","2,850","3,780","4,540","5,095","6,185","8,925","8,805","8,045","6,455","4,275","31,780","159,420","7,635",690,670
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,,,,,,330,235,165,165,*,155,20,40,10,,,71,15,45,0,0,0,0,0,0,0,*,10,30,40,40,30,20,20,25,30,20,20,15,10,*,*,*,0,"16,950",10,0,0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,,,,,,"2,525","2,525",900,"1,625",0,0,0,0,"2,525",,,23,19,83,0,0,*,0,0,0,0,0,0,*,0,*,*,*,10,25,30,45,70,185,300,520,675,650,0,"58,620",0,0,20
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,,,,,,"114,465","95,410","50,420","64,050",0,"34,370","36,580","13,350","11,105",48,28,4,1,56,"4,985","1,925","1,265","1,010",265,300,330,425,570,"3,565","5,130","5,175","4,185","3,455","4,565","5,915","9,725","7,205","8,320","11,535","10,370","9,575","6,970","5,165","45,735","213,950","11,460",480,"4,075"
ADP02,KIMS HOSPITAL (NEWNHAM COURT),,,,,,"4,695","4,695","1,890","2,805",0,*,"2,495","2,195",0,83,71,2,2,57,0,0,0,0,0,0,0,*,15,95,145,215,285,325,425,485,515,475,440,555,370,220,90,15,"3,400","2,385",0,0,0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,,,,,,"273,310","210,320","122,775","150,520",15,"57,115","94,975","28,780","29,455",,,5,2,53,"13,980","4,105","4,040","4,005",920,900,985,"1,075","1,285","8,370","12,925","16,530","14,865","11,635","12,830","17,090","21,215","18,365","18,310","20,505","19,500","19,645","15,990","11,410","101,040","579,505","10,255","5,930","9,205"
NXP21,KINGSKERSWELL HEALTH CENTRE,,,,,,320,320,320,0,0,0,320,0,0,56,56,,,39,0,0,0,0,0,0,0,0,0,0,20,65,100,70,40,20,*,*,0,0,0,0,0,0,320,0,0,0,0
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,,,,,,"96,585","84,195","37,805","58,780",0,"36,985","24,190","1,520","21,505",45,34,3,1,49,"8,170","2,610","1,640","1,125",255,245,270,450,500,"3,365","5,250","8,130","7,795","4,365","3,590","4,260","4,570","4,435","4,945","6,385","6,175","6,600","5,525","4,700","21,885","166,525","17,315","1,515","10,915"
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,,,,,,"2,330","1,810","1,215","1,115",0,"1,550",10,185,70,1,1,21,10,40,0,0,0,*,10,20,25,30,75,270,290,260,290,210,200,175,135,105,65,55,40,30,20,10,30,"46,450",145,0,*
