NT436,BMI - Shirley Oaks Hospital,,,,,," 	2,695 "," 	2,695 "," 	1,177 "," 	1,516 ",*, 	- 0," 	2,695 ", 	- 0, 	- 0,,, 	2 , 	1 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	8 , 	8 , 	90 , 	109 , 	127 , 	162 , 	172 , 	175 , 	285 , 	195 , 	241 , 	260 , 	271 , 	262 , 	194 , 	100 , 	33 ," 	2,282 ", 	689 , 	- 0, 	25 , 	- 0
NT401,BMI - The Alexandra Hospital,,,,,," 	4,374 "," 	4,374 "," 	2,034 "," 	2,337 ",*, 	- 0," 	4,374 ", 	- 0, 	- 0,,, 	2 , 	1 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	7 , 	9 , 	116 , 	171 , 	218 , 	264 , 	356 , 	455 , 	536 , 	463 , 	444 , 	527 , 	365 , 	257 , 	132 , 	44 , 	8 ," 	2,826 "," 	2,664 ", 	- 0, 	369 , 	- 0
NT403,BMI - The Beardwood Hospital,,,,,," 	6,442 "," 	6,442 "," 	2,351 "," 	4,088 ",*, 	- 0," 	6,442 ", 	- 0, 	- 0,,, 	2 , 	1 , 	56 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	13 , 	17 , 	132 , 	192 , 	289 , 	313 , 	556 , 	775 , 	775 , 	669 , 	641 , 	764 , 	514 , 	375 , 	261 , 	117 , 	33 ," 	5,868 "," 	1,036 ", 	- 0, 	64 , 	- 0
NT404,BMI - The Beaumont Hospital,,,,,," 	4,889 "," 	4,889 "," 	2,148 "," 	2,741 ", 	- 0, 	- 0," 	4,889 ", 	- 0, 	- 0,,, 	2 , 	1 , 	53 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	18 , 	17 , 	119 , 	196 , 	299 , 	368 , 	463 , 	583 , 	613 , 	520 , 	429 , 	437 , 	401 , 	235 , 	126 , 	34 , 	23 ," 	4,363 ", 	932 , 	- 0, 	42 , 	- 0
NT406,BMI - The Blackheath Hospital,,,,,," 	1,915 "," 	1,915 ", 	919 , 	996 , 	- 0, 	- 0," 	1,915 ", 	- 0, 	- 0,,, 	2 , 	1 , 	49 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	8 , 	17 , 	85 , 	122 , 	177 , 	192 , 	215 , 	203 , 	195 , 	157 , 	155 , 	147 , 	99 , 	73 , 	38 , 	25 ,*," 	1,550 ", 	645 , 	- 0, 	26 , 	- 0
NT408,BMI - The Chaucer Hospital,,,,,," 	2,485 "," 	2,485 ", 	948 ," 	1,537 ", 	- 0, 	- 0," 	2,485 ", 	- 0, 	- 0,,, 	1 , 	1 , 	59 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	10 , 	11 , 	71 , 	89 , 	88 , 	105 , 	177 , 	233 , 	191 , 	180 , 	193 , 	307 , 	254 , 	248 , 	193 , 	93 , 	39 ," 	2,198 ", 	379 , 	- 0, 	36 , 	- 0
NT410,BMI - The Chiltern Hospital,,,,,," 	1,077 "," 	1,077 ", 	543 , 	528 , 	6 , 	- 0," 	1,077 ", 	- 0, 	- 0,,, 	2 , 	3 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	6 , 	20 , 	45 , 	53 , 	71 , 	113 , 	92 , 	124 , 	99 , 	113 , 	114 , 	110 , 	62 , 	35 , 	11 ,*, 	736 , 	837 , 	- 0, 	13 , 	- 0
NT411,BMI - The Clementine Churchill Hospital,,,,,," 	3,142 "," 	3,142 "," 	1,302 "," 	1,836 ",*, 	- 0," 	3,142 ", 	- 0, 	- 0,,, 	2 , 	2 , 	53 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	10 , 	14 , 	96 , 	184 , 	188 , 	240 , 	273 , 	317 , 	391 , 	311 , 	278 , 	268 , 	236 , 	180 , 	112 , 	27 , 	15 ," 	2,304 "," 	2,052 ", 	- 0, 	90 , 	- 0
NT412,BMI - The Droitwich Spa Hospital,,,,,," 	2,881 "," 	2,881 "," 	1,341 "," 	1,538 ",*, 	- 0," 	2,881 ", 	- 0, 	- 0,,, 	2 , 	3 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	9 , 	12 , 	71 , 	73 , 	97 , 	154 , 	206 , 	253 , 	285 , 	290 , 	310 , 	362 , 	312 , 	203 , 	160 , 	61 , 	19 ," 	2,287 "," 	1,289 ", 	- 0, 	54 , 	- 0
NT413,BMI - The Esperance Hospital,,,,,," 	1,556 "," 	1,556 ", 	601 , 	955 , 	- 0, 	- 0," 	1,556 ", 	- 0, 	- 0,,, 	2 , 	2 , 	59 , 	- 0,*,*, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	26 , 	53 , 	55 , 	73 , 	104 , 	140 , 	143 , 	145 , 	110 , 	201 , 	169 , 	157 , 	112 , 	56 ,*," 	1,393 ", 	324 , 	- 0, 	22 , 	- 0
NT418,BMI - The Hampshire Clinic,,,,,," 	3,556 "," 	3,556 "," 	1,437 "," 	2,111 ", 	8 , 	- 0," 	3,556 ", 	- 0, 	- 0,,, 	2 , 	1 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	18 , 	21 , 	130 , 	167 , 	186 , 	257 , 	286 , 	366 , 	369 , 	346 , 	317 , 	356 , 	301 , 	215 , 	130 , 	69 , 	21 ," 	3,030 ", 	996 , 	- 0, 	52 , 	- 0
NT419,BMI - The Harbour Hospital,,,,,," 	1,243 "," 	1,243 ", 	606 , 	637 , 	- 0, 	- 0," 	1,243 ", 	- 0, 	- 0,,, 	2 , 	2 , 	65 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	18 , 	25 , 	41 , 	47 , 	54 , 	59 , 	80 , 	88 , 	99 , 	133 , 	141 , 	169 , 	160 , 	100 , 	23 ," 	1,134 ", 	265 , 	- 0, 	10 , 	- 0
NT420,BMI - The Highfield Hospital,,,,,," 	4,592 "," 	4,592 "," 	2,166 "," 	2,416 ", 	10 , 	- 0," 	4,592 ", 	- 0, 	- 0,,, 	2 , 	3 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	16 , 	17 , 	158 , 	214 , 	304 , 	303 , 	385 , 	481 , 	480 , 	429 , 	442 , 	463 , 	349 , 	302 , 	166 , 	56 , 	19 ," 	3,601 "," 	2,232 ", 	- 0, 	82 , 	- 0
NT421,BMI - The Kings Oak Hospital,,,,,," 	1,923 "," 	1,923 ", 	708 ," 	1,194 ", 	21 , 	- 0," 	1,923 ", 	- 0, 	- 0,,, 	2 , 	2 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	63 , 	67 , 	87 , 	124 , 	157 , 	264 , 	236 , 	190 , 	150 , 	167 , 	138 , 	138 , 	80 , 	45 , 	7 ," 	1,569 ", 	709 , 	- 0, 	27 , 	- 0
NT422,BMI - The London Independent Hospital,,,,,," 	4,388 "," 	4,388 "," 	2,134 "," 	2,235 ", 	19 , 	- 0," 	4,388 ", 	- 0, 	- 0,,, 	2 , 	1 , 	47 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	21 , 	20 , 	210 , 	433 , 	503 , 	482 , 	442 , 	446 , 	424 , 	366 , 	332 , 	262 , 	198 , 	118 , 	80 , 	20 , 	7 ," 	3,961 ", 	676 , 	- 0, 	43 , 	- 0
NT423,BMI - The Manor Hospital,,,,,, 	876 , 	876 , 	394 , 	479 ,*, 	- 0, 	876 , 	- 0, 	- 0,,, 	2 , 	2 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	24 , 	27 , 	59 , 	54 , 	65 , 	95 , 	101 , 	94 , 	89 , 	107 , 	70 , 	48 , 	19 , 	11 ,*, 	612 , 	498 , 	- 0, 	41 , 	- 0
NT424,BMI - The Meriden Hospital,,,,,," 	3,366 "," 	3,366 "," 	1,614 "," 	1,746 ", 	6 , 	- 0," 	3,366 ", 	- 0, 	- 0,,, 	2 , 	2 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	13 , 	82 , 	126 , 	184 , 	191 , 	268 , 	386 , 	421 , 	344 , 	368 , 	370 , 	264 , 	197 , 	112 , 	28 , 	7 ," 	2,154 "," 	2,288 ", 	- 0, 	85 , 	- 0
NT427,BMI - The Park Hospital,,,,,," 	1,923 "," 	1,923 ", 	756 ," 	1,162 ",*, 	- 0," 	1,923 ", 	- 0, 	- 0,,, 	2 , 	2 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	11 , 	7 , 	60 , 	77 , 	92 , 	125 , 	153 , 	221 , 	213 , 	194 , 	175 , 	210 , 	165 , 	115 , 	62 , 	28 ,*," 	1,312 "," 	1,366 ", 	- 0, 	53 , 	- 0
NT428,BMI - The Princess Margaret Hospital,,,,,, 	844 , 	844 , 	351 , 	493 , 	- 0, 	- 0, 	844 , 	- 0, 	- 0,,, 	2 , 	2 , 	52 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	29 , 	46 , 	52 , 	63 , 	76 , 	107 , 	92 , 	89 , 	93 , 	88 , 	53 , 	33 ,*,*, 	- 0, 	632 , 	424 , 	- 0, 	19 , 	- 0
NT429,BMI - The Priory Hospital,,,,,," 	1,047 "," 	1,047 ", 	389 , 	651 , 	7 , 	- 0," 	1,047 ", 	- 0, 	- 0,,, 	2 , 	1 , 	52 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	6 , 	40 , 	53 , 	85 , 	94 , 	90 , 	113 , 	100 , 	88 , 	94 , 	83 , 	74 , 	60 , 	39 , 	19 ,*, 	569 , 	836 , 	- 0, 	58 , 	- 0
NT430,BMI - The Ridgeway Hospital,,,,,," 	3,261 "," 	3,261 "," 	1,509 "," 	1,751 ",*, 	- 0," 	3,261 ", 	- 0, 	- 0,,, 	2 , 	2 , 	62 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	10 , 	64 , 	83 , 	121 , 	132 , 	156 , 	222 , 	250 , 	265 , 	295 , 	432 , 	388 , 	354 , 	298 , 	149 , 	34 ," 	2,603 "," 	1,395 ", 	- 0, 	26 , 	- 0
NT431,BMI - The Runnymede Hospital,,,,,, 	915 , 	915 , 	425 , 	488 ,*, 	- 0, 	915 , 	- 0, 	- 0,,, 	2 , 	1 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	6 , 	6 , 	30 , 	40 , 	38 , 	70 , 	65 , 	86 , 	108 , 	62 , 	89 , 	101 , 	85 , 	62 , 	43 , 	20 ,*, 	735 , 	361 , 	- 0, 	13 , 	- 0
NT432,BMI - The Sandringham Hospital,,,,,," 	1,360 "," 	1,360 ", 	745 , 	614 ,*, 	- 0," 	1,360 ", 	- 0, 	- 0,,, 	2 , 	2 , 	65 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	15 , 	14 , 	23 , 	32 , 	45 , 	71 , 	84 , 	94 , 	140 , 	216 , 	229 , 	182 , 	131 , 	54 , 	19 , 	977 , 	758 , 	- 0, 	20 , 	- 0
NT434,BMI - The Saxon Clinic,,,,,," 	1,178 "," 	1,178 ", 	485 , 	693 , 	- 0, 	- 0," 	1,178 ", 	- 0, 	- 0,,, 	2 , 	2 , 	53 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	32 , 	53 , 	63 , 	87 , 	109 , 	155 , 	137 , 	136 , 	124 , 	111 , 	92 , 	43 , 	24 , 	8 , 	- 0, 	927 , 	400 , 	- 0, 	16 , 	- 0
NT435,BMI - The Shelburne Hospital,,,,,, 	420 , 	420 , 	213 , 	206 ,*, 	- 0, 	420 , 	- 0, 	- 0,,, 	2 , 	3 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*,*, 	16 , 	16 , 	20 , 	36 , 	33 , 	36 , 	42 , 	47 , 	53 , 	54 , 	41 ,*,*, 	- 0, 	242 , 	394 , 	- 0, 	17 , 	- 0
NT437,BMI - The Sloane Hospital,,,,,, 	221 , 	221 , 	93 , 	128 , 	- 0, 	- 0, 	221 , 	- 0, 	- 0,,, 	2 , 	3 , 	59 , 	- 0, 	- 0,*,*, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	9 ,*,*, 	15 , 	16 , 	27 , 	17 , 	21 , 	26 , 	25 , 	12 , 	16 , 	11 ,*, 	165 , 	136 , 	- 0,*, 	- 0
NT438,BMI - The Somerfield Hospital,,,,,," 	1,646 "," 	1,646 ", 	666 , 	979 ,*, 	- 0," 	1,646 ", 	- 0, 	- 0,,, 	2 , 	2 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	9 , 	54 , 	55 , 	67 , 	111 , 	105 , 	158 , 	140 , 	130 , 	111 , 	196 , 	162 , 	153 , 	116 , 	58 , 	14 ," 	1,368 ", 	460 , 	- 0, 	34 , 	- 0
NT439,BMI - The South Cheshire Private Hospital,,,,,," 	1,649 "," 	1,649 ", 	746 , 	903 , 	- 0, 	- 0," 	1,649 ", 	- 0, 	- 0,,, 	2 , 	2 , 	53 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	9 , 	56 , 	64 , 	72 , 	107 , 	178 , 	190 , 	211 , 	192 , 	159 , 	166 , 	131 , 	74 , 	27 , 	8 , 	- 0," 	1,337 ", 	588 , 	- 0, 	38 , 	- 0
NT443,BMI - The Winterbourne Hospital,,,,,," 	1,598 "," 	1,598 ", 	800 , 	795 ,*, 	- 0," 	1,598 ", 	- 0, 	- 0,,, 	2 , 	3 , 	65 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	12 , 	29 , 	21 , 	38 , 	57 , 	91 , 	131 , 	135 , 	164 , 	236 , 	227 , 	216 , 	142 , 	82 , 	14 ," 	1,247 ", 	826 , 	- 0, 	9 , 	- 0
NT440,BMI - Thornbury Hospital,,,,,," 	1,569 "," 	1,569 ", 	639 , 	924 , 	6 , 	- 0," 	1,569 ", 	- 0, 	- 0,,, 	2 , 	1 , 	53 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	10 , 	52 , 	68 , 	87 , 	85 , 	132 , 	199 , 	156 , 	182 , 	172 , 	153 , 	128 , 	78 , 	43 , 	15 ,*, 	817 ," 	1,450 ", 	- 0, 	79 , 	- 0
NT441,BMI - Three Shires Hospital,,,,,," 	2,994 "," 	2,994 "," 	1,429 "," 	1,562 ",*, 	- 0," 	2,994 ", 	- 0, 	- 0,,, 	2 , 	2 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	6 , 	9 , 	104 , 	130 , 	173 , 	192 , 	260 , 	312 , 	326 , 	274 , 	305 , 	389 , 	234 , 	168 , 	69 , 	32 ,*," 	2,168 "," 	1,559 ", 	- 0, 	80 , 	- 0
NT497,BMI Gisburne Park Hospital,,,,,," 	3,252 "," 	3,252 "," 	1,386 "," 	1,850 ", 	16 , 	- 0," 	3,252 ", 	- 0, 	- 0,,, 	2 , 	1 , 	59 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	7 , 	9 , 	62 , 	102 , 	126 , 	155 , 	198 , 	297 , 	290 , 	325 , 	352 , 	406 , 	333 , 	279 , 	200 , 	79 , 	29 ," 	2,479 "," 	1,218 ", 	- 0, 	54 , 	- 0
NTX19,BMI Huddersfield Hospital,,,,,,*,*,*,*, 	- 0, 	- 0,*, 	- 0, 	- 0,*,*,*,*,*, 	- 0,*, 	- 0,*, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	- 0,*,*, 	- 0,*,*,*,*, 	- 0,*,*, 	- 0,*,*,*, 	- 0, 	- 0, 	- 0
NT455,BMI Mount Alvernia Hospital,,,,,, 	377 , 	377 , 	161 , 	216 , 	- 0, 	- 0, 	377 , 	- 0, 	- 0,,, 	2 , 	2 , 	54 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	13 , 	15 , 	15 , 	16 , 	31 , 	37 , 	47 , 	57 , 	32 , 	46 , 	23 , 	18 ,*,*,*, 	338 , 	79 , 	- 0, 	6 , 	- 0
NT490,BMI Southend Private Hospital,,,,,," 	1,130 "," 	1,130 ", 	446 , 	681 ,*, 	- 0," 	1,130 ", 	- 0, 	- 0,,,,, 	72 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	- 0, 	9 , 	16 , 	6 , 	13 , 	22 , 	21 , 	35 , 	47 , 	57 , 	122 , 	174 , 	249 , 	213 , 	98 , 	47 ," 	1,130 ", 	- 0, 	- 0, 	- 0, 	- 0
NT446,BMI St Edmunds Hospital,,,,,," 	1,170 "," 	1,170 ", 	616 , 	554 , 	- 0, 	- 0," 	1,170 ", 	- 0, 	- 0, 	47 , 	36 , 	2 , 	2 , 	61 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	6 , 	18 , 	28 , 	45 , 	49 , 	61 , 	91 , 	86 , 	92 , 	110 , 	167 , 	169 , 	122 , 	89 , 	27 , 	7 , 	911 , 	483 , 	- 0,*, 	- 0
NT451,BMI The Cavell Hospital,,,,,," 	1,882 "," 	1,882 ", 	683 ," 	1,187 ", 	12 , 	- 0," 	1,882 ", 	- 0, 	- 0, 	52 , 	49 , 	2 , 	2 , 	52 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	8 , 	83 , 	109 , 	116 , 	135 , 	193 , 	256 , 	203 , 	175 , 	135 , 	152 , 	131 , 	95 , 	51 , 	31 ,*," 	1,426 ", 	850 , 	- 0, 	37 , 	- 0
NT447,BMI The Duchy Hospital,,,,,, 	858 , 	858 , 	440 , 	418 , 	- 0, 	- 0, 	858 , 	- 0, 	- 0, 	58 , 	52 , 	2 , 	1 , 	56 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	7 , 	32 , 	33 , 	34 , 	42 , 	42 , 	79 , 	90 , 	85 , 	92 , 	113 , 	79 , 	74 , 	37 , 	15 , 	- 0, 	382 , 	762 , 	- 0, 	25 , 	- 0
NT445,BMI The Edgbaston Hospital,,,,,," 	2,101 "," 	2,101 ", 	938 ," 	1,163 ", 	- 0, 	- 0," 	2,101 ", 	- 0, 	- 0, 	69 , 	47 , 	2 , 	1 , 	51 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	9 , 	13 , 	107 , 	132 , 	145 , 	145 , 	187 , 	216 , 	245 , 	214 , 	211 , 	199 , 	118 , 	96 , 	33 , 	20 ,*," 	1,602 ", 	907 , 	- 0, 	51 , 	- 0
NT448,BMI The Huddersfield Hospital,,,,,," 	1,925 "," 	1,925 "," 	1,101 ", 	824 , 	- 0, 	- 0," 	1,925 ", 	- 0, 	- 0, 	77 , 	71 , 	2 , 	2 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	8 , 	9 , 	67 , 	55 , 	90 , 	115 , 	140 , 	179 , 	234 , 	222 , 	212 , 	232 , 	172 , 	104 , 	56 , 	24 , 	6 ," 	1,397 "," 	1,073 ", 	- 0, 	48 , 	- 0
NT449,BMI The Lancaster Hospital,,,,,," 	1,642 "," 	1,642 ", 	595 ," 	1,047 ", 	- 0, 	- 0," 	1,642 ", 	- 0, 	- 0, 	74 , 	69 , 	3 , 	3 , 	57 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	39 , 	53 , 	56 , 	87 , 	123 , 	176 , 	182 , 	167 , 	175 , 	182 , 	171 , 	124 , 	66 , 	30 ,*," 	1,394 ", 	646 , 	- 0, 	12 , 	- 0
NT450,BMI The Lincoln Hospital,,,,,," 	1,163 "," 	1,163 ", 	623 , 	540 , 	- 0, 	- 0," 	1,163 ", 	- 0, 	- 0, 	71 , 	63 , 	2 , 	3 , 	61 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	49 , 	43 , 	35 , 	28 , 	42 , 	66 , 	75 , 	105 , 	133 , 	146 , 	138 , 	135 , 	109 , 	41 , 	8 , 	778 , 	915 , 	- 0, 	21 , 	- 0
NT457,BMI Woodlands Hospital,,,,,," 	4,687 "," 	4,687 "," 	2,068 "," 	2,610 ", 	9 , 	- 0," 	4,687 ", 	- 0, 	- 0, 	624 , 	66 , 	1 , 	1 , 	57 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	12 , 	20 , 	134 , 	183 , 	202 , 	229 , 	338 , 	485 , 	527 , 	435 , 	427 , 	484 , 	459 , 	402 , 	218 , 	95 , 	33 ," 	3,240 "," 	2,102 ", 	- 0, 	280 , 	- 0
NLL11,Bodmin Community Hospital,,,,,, 	727 , 	698 , 	366 , 	361 , 	- 0, 	33 , 	14 , 	75 , 	576 , 	21 , 	14 , 	21 , 	16 , 	78 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*,*,*,*, 	7 , 	8 , 	46 , 	27 , 	48 , 	117 , 	79 , 	118 , 	134 , 	130 , 	- 0," 	14,957 ", 	- 0,*,*
NVC24,Bodmin NHS Treatment Centre,,,,,," 	3,938 "," 	3,938 "," 	1,874 "," 	2,064 ", 	- 0, 	- 0," 	3,938 ", 	- 0, 	- 0, 	58 , 	42 , 	1 , 	1 , 	64 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	61 , 	87 , 	105 , 	110 , 	151 , 	235 , 	280 , 	275 , 	313 , 	536 , 	544 , 	535 , 	428 , 	217 , 	51 ,*,*, 	- 0, 	- 0, 	- 0
RMC,Bolton NHS Foundation Trust,,,,,," 	102,139 "," 	90,696 "," 	41,374 "," 	60,762 ",*," 	37,910 "," 	25,477 "," 	6,678 "," 	20,631 ", 	36 , 	28 , 	3 , 	1 , 	47 ," 	8,760 "," 	3,410 "," 	1,778 "," 	1,374 ", 	333 , 	407 , 	458 , 	660 , 	764 ," 	6,125 "," 	7,760 "," 	6,982 "," 	4,420 "," 	3,723 "," 	4,130 "," 	4,840 "," 	4,759 "," 	5,306 "," 	7,135 "," 	7,258 "," 	7,395 "," 	6,308 "," 	4,812 "," 	2,965 "," 	26,574 "," 	212,515 "," 	12,978 "," 	1,287 "," 	8,310 "
NVC27,Boston West Hospital,,,,,," 	3,489 "," 	3,489 "," 	1,508 "," 	1,981 ", 	- 0, 	- 0," 	3,489 ", 	- 0, 	- 0, 	63 , 	28 ,,, 	59 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	7 , 	10 , 	68 , 	123 , 	122 , 	140 , 	206 , 	349 , 	343 , 	318 , 	326 , 	405 , 	410 , 	337 , 	221 , 	81 , 	23 ," 	3,489 ", 	- 0, 	- 0, 	- 0, 	- 0
TAD,Bradford District Care NHS Foundation Trust,,,,,," 	1,503 "," 	1,049 ", 	856 , 	647 , 	- 0, 	466 , 	159 , 	381 , 	43 , 	1 , 	1 , 	60 , 	29 , 	42 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	6 , 	13 , 	34 , 	23 , 	174 , 	164 , 	176 , 	142 , 	152 , 	137 , 	119 , 	101 , 	76 , 	58 , 	34 , 	36 , 	25 , 	21 ,*,*," 	62,013 ",*,*, 	- 0
RAE,Bradford Teaching Hospitals NHS Foundation Trust,,,,,," 	129,474 "," 	121,286 "," 	54,782 "," 	74,688 ",*," 	48,199 "," 	36,124 "," 	20,658 "," 	16,305 ", 	50 , 	35 , 	3 , 	1 , 	47 ," 	7,746 "," 	3,289 "," 	2,526 "," 	2,061 ", 	513 , 	691 , 	771 , 	895 ," 	1,097 "," 	7,179 "," 	9,660 "," 	9,289 "," 	7,081 "," 	6,269 "," 	6,836 "," 	7,532 "," 	8,164 "," 	8,516 "," 	8,755 "," 	7,750 "," 	8,406 "," 	6,965 "," 	4,549 "," 	2,704 "," 	46,392 "," 	234,237 "," 	15,360 "," 	3,289 "," 	4,427 "
RXH,Brighton And Sussex University Hospitals NHS Trust,,,,,," 	142,945 "," 	119,991 "," 	67,597 "," 	75,346 ",*," 	44,407 "," 	46,963 "," 	14,909 "," 	13,712 ", 	64 , 	44 , 	5 , 	2 , 	53 ," 	10,327 "," 	3,573 "," 	2,480 "," 	1,926 ", 	526 , 	501 , 	625 , 	597 , 	720 ," 	4,350 "," 	5,482 "," 	6,748 "," 	6,109 "," 	5,987 "," 	7,319 "," 	8,072 "," 	8,411 "," 	8,819 "," 	11,494 "," 	11,277 "," 	11,424 "," 	10,426 "," 	8,725 "," 	5,862 "," 	50,921 "," 	331,447 "," 	12,866 "," 	1,315 "," 	1,677 "
RXQ,Buckinghamshire Healthcare NHS Trust,,,,,," 	112,394 "," 	103,629 "," 	48,727 "," 	63,667 ", 	- 0," 	35,305 "," 	37,070 "," 	14,879 "," 	16,375 ", 	48 , 	31 , 	4 , 	1 , 	51 ," 	8,013 "," 	3,564 "," 	1,964 "," 	1,683 ", 	395 , 	375 , 	406 , 	509 , 	587 ," 	3,933 "," 	5,790 "," 	6,705 "," 	5,259 "," 	4,252 "," 	5,419 "," 	6,069 "," 	6,614 "," 	6,983 "," 	8,595 "," 	8,710 "," 	8,826 "," 	7,997 "," 	5,514 "," 	3,627 "," 	45,856 "," 	258,942 "," 	13,598 ", 	659 ," 	5,303 "
RJF,Burton Hospitals NHS Foundation Trust,,,,,," 	84,829 "," 	69,383 "," 	35,217 "," 	49,612 ", 	- 0," 	25,485 "," 	21,930 "," 	9,587 "," 	12,381 ", 	52 , 	42 , 	4 , 	1 , 	54 ," 	5,222 "," 	1,854 "," 	1,001 ", 	825 , 	238 , 	269 , 	273 , 	436 , 	522 ," 	3,592 "," 	4,591 "," 	4,255 "," 	3,186 "," 	3,016 "," 	3,539 "," 	4,329 "," 	4,362 "," 	4,798 "," 	6,821 "," 	7,471 "," 	7,560 "," 	6,993 "," 	5,547 "," 	4,042 "," 	27,668 "," 	164,653 "," 	8,250 ", 	684 ," 	4,352 "
RWY,Calderdale And Huddersfield NHS Foundation Trust,,,,,," 	140,615 "," 	122,119 "," 	58,677 "," 	81,936 ",*," 	44,223 "," 	35,372 "," 	23,149 "," 	19,375 ", 	44 , 	36 , 	4 , 	1 , 	52 ," 	8,142 "," 	3,701 "," 	2,738 "," 	1,806 ", 	433 , 	455 , 	535 , 	687 , 	927 ," 	5,939 "," 	8,073 "," 	7,709 "," 	5,771 "," 	5,051 "," 	6,476 "," 	7,830 "," 	9,031 "," 	8,319 "," 	11,421 "," 	10,871 "," 	11,349 "," 	9,866 "," 	7,876 "," 	5,224 "," 	50,147 "," 	263,747 "," 	13,719 "," 	1,630 "," 	8,543 "
